rank,front,published_meaning,risk,reason,supporting_sources,external_agreement_pairs,kaikki_meaning,readurdu_meaning,word2word_meaning,evidence_tier,semantic_basis
2303,شاہین,eagle; bird of Jove,block,independent_sources_agree_against_published_meaning,,kaikki+readurdu,"falcon, especially the peregrine falcon subspecies Falco peregrinus peregrinator",falcon,,A_direct_iwn_en,IWN-En Direct manual link (single direct sense)
2305,محتاط,collected; equanimous; poised; self-collected; self-contained; self-possessed,block,independent_sources_agree_against_published_meaning,,kaikki+readurdu,"guarded, cautious, careful","adj. guarded, cautious, careful | Platts: (pass. part. of احتاط 'to surround, encompass,' &c., viii of حاط (for حوط) 'to guard, protect,' &c.), part.…",attendants; regular; Those; killed; Be,A_direct_iwn_en,IWN-En Direct manual link (single direct sense)
2316,راضی,prosperity; successfulness,block,independent_sources_agree_against_published_meaning,,kaikki+word2word,"happy; content; pleased, satisfied","(for A. rāẓiṉ, act. part. of رضو 'to be pleased,' &c.)",pleases; Whatever; patriotic; duty; convinced,A_direct_iwn_en,IWN-En Direct manual link (single direct sense)
2320,بندی,vacation; holiday; point; abduction; imprisonment; kidnapped; kidnaped; abducted,block,independent_sources_agree_against_published_meaning,,kaikki+readurdu,bard; slave; captive,n. prisoner; captive; slave | Platts:,classified; planning; risky; Command; detonators,A_direct_iwn_en,IWN-En Direct manual links (all direct valid senses retained; no unsupported disambiguation)
2327,صابر,unplayful; serious; sober; ascetic; ascetical; austere; spartan,block,independent_sources_agree_against_published_meaning,,kaikki+readurdu,patient; enduring; forbearing,"adj. patient; enduring; forbearing | Platts: (act. part. of صبر 'to restrain (oneself), to be patient'), adj. Patient, enduring",,A_direct_iwn_en,IWN-En Direct manual links (all direct valid senses retained; no unsupported disambiguation)
2328,لگن,preference; penchant; predilection; taste; ecstasy; rapture,block,independent_sources_agree_against_published_meaning,,kaikki+readurdu,"time; marriage; love, affinity","n. love, affinity; time; marriage | Platts:",,A_direct_iwn_en,IWN-En Direct manual links (all direct valid senses retained; no unsupported disambiguation)
2329,نیکی,breeding; genteelness; gentility,block,independent_sources_agree_against_published_meaning,,kaikki+readurdu+kaikki+word2word+readurdu+word2word,"virtue, goodness","virtue, goodness",-Oh; goodness; stays; -Well; Daddy,A_direct_iwn_en,IWN-En Direct manual links; best valid sense set selected by 2 independent bilingual signal(s)
2334,شاگرد,boarder,block,independent_sources_agree_against_published_meaning,,kaikki+readurdu+kaikki+word2word,"servant; helper; pupil, apprentice; student","pupil, disciple",atrium; students; still; her; are,A_direct_iwn_en,IWN-En Direct manual links; best valid sense set selected by 2 independent bilingual signal(s)
2337,برکت,increase; step-up,block,independent_sources_agree_against_published_meaning,,kaikki+readurdu,blessing (good fortune); a female given name from Arabic,"blessing, abundance",,A_direct_iwn_en,IWN-En Direct manual link (single direct sense)
2346,زبردستی,harassment; molestation,block,independent_sources_agree_against_published_meaning,,kaikki+readurdu,"oppression, injustice; forcefulness; coercion (act of forcing)","forcefulness; coercion (act of forcing); oppression, injustice",affidavit; separation; confirming; obtain; reasons,A_direct_iwn_en,IWN-En Direct manual links; best valid sense set selected by 2 independent bilingual signal(s)
2362,استوار,vertical; perpendicular,block,independent_sources_agree_against_published_meaning,,kaikki+readurdu,"even, leveled; straight, consistent; inviolate, indissoluble","adj. strong, powerful, mighty; durable, firm, solid, bold; inviolate, indissoluble | Platts: adj. Strong, powerful; stable, firm; even, level, equal; straight: — ustuwār karnā, v.t. To strengthen; to…",,A_direct_iwn_en,IWN-En Direct manual link (single direct sense)
2365,نیت,aim; object; objective; target; goal; end,block,independent_sources_agree_against_published_meaning,,kaikki+readurdu+readurdu+word2word,"Niyyah; attention; led, guided","n. intention, intent, purpose; desire; wise; Niyyah",heartened; intention; did; am; knowledge,A_direct_iwn_en,IWN-En Direct manual links (all direct valid senses retained; no unsupported disambiguation)
2373,تلخ,sage grouse; sage hen; Centrocercus urophasianus; unpalatable; loud; sour,block,independent_sources_agree_against_published_meaning,,kaikki+readurdu+kaikki+word2word+readurdu+word2word,"bitter, distasteful","bitter, distasteful",bitter; sweet; having; among; knowledge,A_direct_iwn_en,IWN-En Direct manual links (all direct valid senses retained; no unsupported disambiguation)
2416,جنازہ,cortege,block,independent_sources_agree_against_published_meaning,,kaikki+readurdu+kaikki+word2word+readurdu+word2word,funeral; bier; the corpse (or coffin in which a corpse is taken away),"funeral procession, bier",funeral; went; her; six; when,A_direct_iwn_en,IWN-En Direct manual links; best valid sense set selected by 3 independent bilingual signal(s)
2421,قطعی,clear; clean-cut; clear-cut; clearly; at all; in the least; the least bit,block,independent_sources_agree_against_published_meaning,,kaikki+readurdu,"definitive, imperative, peremptory; decisive, conclusive, final, categorical, absolute, imperative, ultimate, binding; conclusively, finally, verily, truly, entirely, absolutely, altogether, definitely","adj. decisive, conclusive, final, categorical, absolute, imperative, ultimate, binding; definitive, imperative, peremptory",wants; exactly; enter; through; Mr,A_direct_iwn_en,IWN-En Direct manual links (all direct valid senses retained; no unsupported disambiguation)
2422,لطف,affection; affectionateness; fondness; tenderness; heart; warmness; warmheartedness; philia; interest; involvement; happiness; felicity; entertainment; amusement; gaiety; merriment,block,independent_sources_agree_against_published_meaning,,kaikki+readurdu+kaikki+word2word+readurdu+word2word,"kindness, favour; enjoyment, pleasure","n. enjoyment, pleasure; kindness, favour | Platts: (inf. n. of لطف; cf. lat̤āfat)",meal; Enjoy; enjoying; pleasures; enjoyed,A_direct_iwn_en,IWN-En Direct manual links (all direct valid senses retained; no unsupported disambiguation)
2428,غالبا,possibly; perchance; perhaps; maybe; mayhap; peradventure,block,independent_sources_agree_against_published_meaning,,kaikki+readurdu,"probably, apparently, for the most part, mostly, chiefly","adv. probably, apparently, for the most part, mostly, chiefly | Platts: (acc. of g̠ālib), adv. Most probably; apparently; for the most part, mostly, chiefly, principally; upon the…",,A_direct_iwn_en,IWN-En Direct manual link (single direct sense)
2458,چمک,sparkle; twinkle; spark; light,block,independent_sources_agree_against_published_meaning,,kaikki+word2word+readurdu+word2word,glow; glare; shine,brightness; radiance; luminosity,shine; brightness; bury; wanderers; Next,A_direct_iwn_en,IWN-En Direct manual links; best valid sense set selected by 2 independent bilingual signal(s)
2466,دال,pulse,block,independent_sources_agree_against_published_meaning,,kaikki+readurdu+kaikki+word2word+readurdu+word2word,"bean; lentil, dal","n. lentil, dal; bean | Platts:",lentils; chores; pick; darling; may,A_direct_iwn_en,IWN-En Direct manual link (single direct sense)
2480,مانند,example; illustration; instance; representative,block,independent_sources_agree_against_published_meaning,,readurdu+word2word,,"prep. & postpn. Like, resembling, after the likeness (of, -ke; — if mānind is used as a postpn., the governed…",early; Like; as; caterpillars; beasts,A_direct_iwn_en,IWN-En Direct manual link (single direct sense)
2481,نشریات,extension; transmission; transmittal; transmitting,block,independent_sources_agree_against_published_meaning,,kaikki+readurdu,broadcasting,"plural of نَشْرِیّہ (naśriyyah, “broadcast”); broadcasting",,A_direct_iwn_en,IWN-En Direct manual links (all direct valid senses retained; no unsupported disambiguation)
2483,تائید,backing; backup; championship; patronage; advocacy; protagonism,block,independent_sources_agree_against_published_meaning,,kaikki+readurdu+kaikki+word2word+readurdu+word2word,"corroboration; help; aid, support; favour (ie. support)","s.f. Strengthening; corroboration, confirmation; assisting; assistance, help, aid, support; a written voucher…",supported; fully; Our; position; is,A_direct_iwn_en,IWN-En Direct manual links; best valid sense set selected by 3 independent bilingual signal(s)
2496,مہاجر,immigration,block,one_source_support_but_other_two_agree_elsewhere,word2word,kaikki+readurdu,"refugee, immigrant; a muhajir: Urdu-speaking Muslim that moved to Pakistan after the Partition of India","n. refugee, immigrant; a muhajir: Urdu-speaking Muslim that moved to Pakistan after the Partition of India | Platts: (act. part. of هاجر; see next), part.",parole; non-immigration; humanitarian; qualify; protective,A_direct_iwn_en,IWN-En Direct manual links; best valid sense set selected by 3 independent bilingual signal(s)
2504,نادر,exotic,block,independent_sources_agree_against_published_meaning,,kaikki+readurdu,"rare, uncommon, unusual; priceless, rare, precious","adj. priceless, rare, precious; rare, uncommon, unusual | Platts: (act. part. of ندر 'to remain alone,' &c.), adj. Singular, rare, uncommon, unusual; wonderful; precious;…",rarely; leave; state; my,A_direct_iwn_en,IWN-En Direct manual links; best valid sense set selected by 2 independent bilingual signal(s)
2506,پول,pool; pocket billiards,block,one_source_support_but_other_two_agree_elsewhere,word2word,kaikki+readurdu,"an excuse; emptiness, meaninglessness; gate, entrance (to a town)","n. emptiness, meaninglessness; gate, entrance (to a town) | Platts: (from the English)",pool; say; talent; compete; importantly,A_direct_iwn_en,IWN-En Direct manual links; best valid sense set selected by 1 independent bilingual signal(s)
2510,جذب,incorporate; incorporated; integrated; merged; unified,block,independent_sources_agree_against_published_meaning,,kaikki+readurdu,"absorption; attraction, allurement, drawing","n. attraction, allurement, drawing; absorption | Platts:",turn; into; Or; he; Titan,A_direct_iwn_en,IWN-En Direct manual link (single direct sense)
2529,پاؤ,one-fourth; fourth; quarter; fourth part; twenty-five percent; quartern,block,independent_sources_agree_against_published_meaning,,kaikki+readurdu,foot,n. foot | Platts:,,A_direct_iwn_en,IWN-En Direct manual link (single direct sense)
2532,ذائقہ,relish; flavor; flavour; sapidity; savor; savour; smack; nip; tang,block,independent_sources_agree_against_published_meaning,,kaikki+readurdu+kaikki+word2word+readurdu+word2word,taste,n. taste | Platts: (for A. ذائِقة ẕāʼiqat; see ẕāʼiq),TASTE; THEY; DON; SO; T,A_direct_iwn_en,IWN-En Direct manual link (single direct sense)
2541,اطاعت,humility; humbleness,block,independent_sources_agree_against_published_meaning,,kaikki+readurdu,obedience; submission,n. obedience; submission | Platts:,obey; command; Why; Obey; could,A_direct_iwn_en,IWN-En Direct manual link (single direct sense)
2546,قابض,authoritative; important; overlord; master; lord,block,independent_sources_agree_against_published_meaning,,kaikki+readurdu,"possesser; occupier, seizer","adj. occupier, seizer; possesser | Platts: (act. part. of قبض 'to take, seize, grasp,' &c.), part. adj. &",,A_direct_iwn_en,IWN-En Direct manual links (all direct valid senses retained; no unsupported disambiguation)
2568,چپ,mute; tongueless; unspoken; wordless; silence,block,independent_sources_agree_against_published_meaning,,kaikki+readurdu+kaikki+word2word+readurdu+word2word,"still; silent, quiet","adj. silent, quiet; still | Platts: adj. &",quiet; Quiet; Shut; up; shut,A_direct_iwn_en,IWN-En Direct manual links; best valid sense set selected by 2 independent bilingual signal(s)
2576,وقف,trust; corporate trust; combine; cartel,block,independent_sources_agree_against_published_meaning,,kaikki+readurdu+kaikki+word2word+readurdu+word2word,"pausa; devoted; stop, stay","adj. devoted | n. devotion; devotee; charity, charitable endowment; pause, stay, rest | Platts: (inf. n. of وقف 'to stand,' &c.)",Devote; burdens; carrying; themselves; devoting,A_direct_iwn_en,IWN-En Direct manual link (single direct sense)
2580,سپاہی,guardsman,block,independent_sources_agree_against_published_meaning,,kaikki+readurdu+kaikki+word2word+readurdu+word2word,"a brave person; soldier, fighter; policeman; constable",soldier,soldier; soldiers; ease; attacks; symbol,A_direct_iwn_en,IWN-En Direct manual links; best valid sense set selected by 3 independent bilingual signal(s)
2590,ناانصافی,maltreatment; ill-treatment; ill-usage; abuse,block,independent_sources_agree_against_published_meaning,,kaikki+readurdu,"injustice, misdeed","injustice, misdeed",,A_direct_iwn_en,IWN-En Direct manual link (single direct sense)
2600,چمچہ,spoon,block,independent_sources_agree_against_published_meaning,,kaikki+readurdu,"pet, puppet; stooge","n. pet, puppet; stooge; alternative form of چَمَچ (camac, “spoon”) | Platts: (S.",,A_direct_iwn_en,IWN-En Direct manual link (single direct sense)
2603,تبسم,beamish; smiling(a); twinkly,block,independent_sources_agree_against_published_meaning,,kaikki+readurdu,smile,smile,,A_direct_iwn_en,IWN-En Direct manual link (single direct sense)
2607,کروانا,work; put to work,block,independent_sources_agree_against_published_meaning,,kaikki+readurdu,"to cause to do, to make do or cause, to have or get done or made","v. to cause to do, to make do or cause, to have or get done or made | Platts: (doub. caus. of karnā), v.t. To cause to be done, &c., to have or get done; to cause (one) to do or make, &c.…",Honey; somebody; while; introduce; Well,A_direct_iwn_en,IWN-En Direct manual link (single direct sense)
2609,بدعنوانی,scam; cozenage,block,independent_sources_agree_against_published_meaning,,kaikki+readurdu,"corruption, malpractice","corruption, malpractice",,A_direct_iwn_en,IWN-En Direct manual link (single direct sense)
2612,دیسی,domestic; national,block,independent_sources_agree_against_published_meaning,,kaikki+readurdu,"Desi; local, native, indigenous (to the Indian subcontinent)","adj. local, native, indigenous (to the Indian subcontinent); Desi | Platts: (i.q. deśī",,A_direct_iwn_en,IWN-En Direct manual links (all direct valid senses retained; no unsupported disambiguation)
2614,انگلی,digit; dactyl,block,independent_sources_agree_against_published_meaning,,kaikki+readurdu,finger,n. finger | Platts:,push; toe; Go; Give; single,A_direct_iwn_en,IWN-En Direct manual links; best valid sense set selected by 3 independent bilingual signal(s)
2618,کشمکش,dilemma; quandary,block,independent_sources_agree_against_published_meaning,,kaikki+readurdu,struggle; strife,"conflict; struggle, clash",,A_direct_iwn_en,IWN-En Direct manual link (single direct sense)
2621,بیش,bash; do; brawl,block,independent_sources_agree_against_published_meaning,,kaikki+readurdu,"more, greater; excess, too much, a lot","adj. More; greater; good, proper, well; better, superior, excellent, preferable; elegant…",,A_direct_iwn_en,IWN-En Direct manual link (single direct sense)
2656,عجب,exotic,block,independent_sources_agree_against_published_meaning,,kaikki+readurdu,"droll; rare, strange; wonderful, astonishing, amazing, miraculous","adj. wonderful, astonishing, amazing, miraculous; rare, strange; droll | Platts: (inf. n. of عجب 'to wonder')",,A_direct_iwn_en,IWN-En Direct manual link (single direct sense)
2658,واسطہ,relationship,block,independent_sources_agree_against_published_meaning,,kaikki+readurdu,"account, sake; business, concern; anything intermediate","connection; sake, mediation",,A_direct_iwn_en,IWN-En Direct manual link (single direct sense)
2663,قصہ,episode; storyline; plot line,block,independent_sources_agree_against_published_meaning,,kaikki+readurdu,"story, tale","n. story, tale | Platts: (for A. قصة qiṣṣat, n. of un. fr. قصّ 'to cut; to explain,' &c.)",see; Make; sure; any; let,A_direct_iwn_en,IWN-En Direct manual links (all direct valid senses retained; no unsupported disambiguation)
2664,پاپ,popular; pop,block,one_source_support_but_other_two_agree_elsewhere,word2word,kaikki+readurdu,sin,n. sin | Platts:,Pop; pop; forgave; Night; mail,A_direct_iwn_en,IWN-En Direct manual links; best valid sense set selected by 1 independent bilingual signal(s)
2675,شرم,shyness,block,independent_sources_agree_against_published_meaning,,kaikki+readurdu+kaikki+word2word+readurdu+word2word,shame,n. shame | Platts:,shame; ashamed; outrage; Modestly; Isn,A_direct_iwn_en,IWN-En Direct manual link (single direct sense)
2701,تقدیر,luck; fortune; chance; hazard,block,independent_sources_agree_against_published_meaning,,kaikki+readurdu+kaikki+word2word+readurdu+word2word,fate; destiny; predestination,"destiny, fate",It; destiny; s; yours; been,A_direct_iwn_en,IWN-En Direct manual link (single direct sense)
2721,مشقت,effort; elbow grease; exertion; travail; sweat; diligence; industriousness; industry,block,independent_sources_agree_against_published_meaning,,kaikki+readurdu,"toil, trouble","n. toil, trouble | Platts: (for A. مشقة, inf. n. of شقّ 'to distress; to be distressing; to be difficult,' &c.)",evaluate; meant; risk; position; doing,A_direct_iwn_en,IWN-En Direct manual links (all direct valid senses retained; no unsupported disambiguation)
2723,اصطلاح,appellation; denomination; designation; appellative,block,independent_sources_agree_against_published_meaning,,kaikki+readurdu+kaikki+word2word+readurdu+word2word,"idiom, term, vocable","n. idiom, term, vocable | Platts:",SLANG; TERM; DID; IS; KNOW,A_direct_iwn_en,IWN-En Direct manual link (single direct sense)
2726,گندگی,contamination; pollution; dust; mark; print; taint,block,independent_sources_agree_against_published_meaning,,kaikki+readurdu+kaikki+word2word+readurdu+word2word,"filth, dirt; rubbish, litter","n. filth, dirt; rubbish, litter | Platts:",shit; mess; SHIT; suckers; dirt,A_direct_iwn_en,IWN-En Direct manual links (all direct valid senses retained; no unsupported disambiguation)
2736,حائل,blind; screen,block,independent_sources_agree_against_published_meaning,,kaikki+readurdu,"obstacle, impediment; hindering, standing in the way, disturbing; intervening, interposing, restraining, preventing","adj. intervening, interposing, restraining, preventing; hindering, standing in the way, disturbing | n. obstacle, impediment | Platts: (act. part. n. of حول 'to intervene,' &c.), part. &",,A_direct_iwn_en,IWN-En Direct manual link (single direct sense)
2770,دنیاوی,mundane; terrestrial,block,independent_sources_agree_against_published_meaning,,kaikki+readurdu,"worldly, materialistic; secular (ie. as opposed to religious or spiritual)","worldly, materialistic; secular (ie. as opposed to religious or spiritual)",,A_direct_iwn_en,IWN-En Direct manual links; best valid sense set selected by 2 independent bilingual signal(s)
2772,چرس,cannabis; marijuana; marihuana; ganja,block,one_source_support_but_other_two_agree_elsewhere,word2word,kaikki+readurdu,charas (cannabis-resin intoxicant),n. charas (cannabis-resin intoxicant) | Platts: (fr. ćarsā),Bringing; liquor; marijuana; Asia; places,A_direct_iwn_en,IWN-En Direct manual links; best valid sense set selected by 3 independent bilingual signal(s)
2774,طیارہ,craft,block,independent_sources_agree_against_published_meaning,,kaikki+readurdu,airplane; airship; plane (aircraft of any kind),airplane; airship; plane (aircraft of any kind),THE; Qaddafi; anti-air; nonexistent; virtually,A_direct_iwn_en,IWN-En Direct manual link (single direct sense)
2792,دلکش,bewitching; captivating; enchanting; enthralling; entrancing; fascinating,block,independent_sources_agree_against_published_meaning,,kaikki+readurdu+kaikki+word2word+readurdu+word2word,"attractive, interesting, engaging, pleasant, lovely, charming, winsome","attractive, interesting, engaging, pleasant, lovely, charming, winsome",charming; ain; sincere; Is; raised,A_direct_iwn_en,IWN-En Direct manual links; best valid sense set selected by 2 independent bilingual signal(s)
2799,شر,violence; force,block,independent_sources_agree_against_published_meaning,,kaikki+readurdu,"evil, wickedness","n. evil, wickedness | Platts:",,A_direct_iwn_en,IWN-En Direct manual link (single direct sense)
2808,احاطہ,wall; compound,block,independent_sources_agree_against_published_meaning,,kaikki+readurdu,"bawn, enclosure, fence, limitation, mew, pale, parvis, sept, yard","n. bawn, enclosure, fence, limitation, mew, pale, parvis, sept, yard | Platts:",cover; Cover; COVER; covered; flour,A_direct_iwn_en,IWN-En Direct manual links; best valid sense set selected by 2 independent bilingual signal(s)
2809,قابلیت,skill; accomplishment; acquirement; acquisition; attainment; aptitude; able,block,independent_sources_agree_against_published_meaning,,kaikki+readurdu,"ability, capability","n. ability, capability | Platts: (for A. قابلية; qābil+abst. aff. īyat)",,A_direct_iwn_en,IWN-En Direct manual links; best valid sense set selected by 2 independent bilingual signal(s)
2811,متوجہ,captivated; charmed,block,independent_sources_agree_against_published_meaning,,kaikki+readurdu,attentive; attracted,"adj. attracted; attentive | Platts: (act. part. of توجّه, v of (and syn. with) وجه 'to turn the face' (to or towards), &c.), part. adj. Having…",eat; drew; They; close; But,A_direct_iwn_en,IWN-En Direct manual link (single direct sense)
2824,چلانا,throw; driving; work,block,independent_sources_agree_against_published_meaning,,kaikki+readurdu,to start; to drive (a vehicle); to cause to walk; to move,"v. to cause to walk; to move; to start; to run, establish (a business) | Platts: v.t. To cause to move or go or pass, to move, put in motion, set agoing; to stir, agitate (with a spoon,…",shoot; No; kids; her; wanna,A_direct_iwn_en,IWN-En Direct manual links; best valid sense set selected by 2 independent bilingual signal(s)
2828,فساد,defect; fault; flaw; brawl; free-for-all; quarrel; wrangle; row; words; run-in; dustup; dispute; difference; difference of opinion; conflict; havoc,block,independent_sources_agree_against_published_meaning,,kaikki+readurdu,"riot, feud, outbreak","n. riot, feud, outbreak | Platts: (inf. n. of فسد 'to be bad, evil, or corrupt,' &c.)",,A_direct_iwn_en,IWN-En Direct manual links (all direct valid senses retained; no unsupported disambiguation)
2847,سراسر,quite,block,independent_sources_agree_against_published_meaning,,kaikki+readurdu,"totally, completely, entirely, through-and-through","totally, completely, entirely, through-and-through",Sheer; drops; Utter; side; every,A_direct_iwn_en,IWN-En Direct manual link (single direct sense)
2851,رسمی,formal,block,independent_sources_agree_against_published_meaning,,kaikki+readurdu,usual; ordinary; customary,"adj. usual; customary; ordinary | Platts: (rel. n. fr. rasm), adj. Usual, customary; — middling, second sort or rate, ordinary",terminated; officially; As; morning; employment,A_direct_iwn_en,IWN-En Direct manual link (single direct sense)
2853,لاپتہ,unwitting; unaware,block,independent_sources_agree_against_published_meaning,,kaikki+readurdu+kaikki+word2word+readurdu+word2word,missing; unknown,missing; unknown,missing; may; event; point; person,A_direct_iwn_en,IWN-En Direct manual link (single direct sense)
2854,منقطع,detached; free,block,independent_sources_agree_against_published_meaning,,kaikki+readurdu+readurdu+word2word,"extinct; conclusive; severed, cut off","adj. severed, cut off; concluded, settled, decided; disconnected (ie. interrupted) | Platts: (act. part. of اِنْقطع 'to be broken, cut off, or detached,' &c., vii (and quasi-pass.) of قطع 'to cut off,'…",disconnected; His; phone; s; ',A_direct_iwn_en,IWN-En Direct manual links; best valid sense set selected by 2 independent bilingual signal(s)
2862,ناکارہ,idler; loafer; do-nothing; layabout; bum,block,independent_sources_agree_against_published_meaning,,kaikki+readurdu,useless; redundant,useless; redundant,,A_direct_iwn_en,IWN-En Direct manual link (single direct sense)
2867,مزہ,profligacy; dissipation; dissolution; licentiousness; looseness,block,independent_sources_agree_against_published_meaning,,kaikki+readurdu+kaikki+word2word+readurdu+word2word,"fun, pleasure, enjoyment, delight","n. fun, pleasure, enjoyment, delight | Platts:",fun; FUN; following; meatspace; cyberspace,A_direct_iwn_en,IWN-En Direct manual links; best valid sense set selected by 2 independent bilingual signal(s)
2875,سواری,passenger; rider,block,independent_sources_agree_against_published_meaning,,readurdu+word2word,,"s.f. Riding; horsemanship; anything on which one rides, vehicle (beast, horse, &c.), conveyance; equipage,…",ride; Couldn; shotgun; GT-R; riding,A_direct_iwn_en,IWN-En Direct manual links; best valid sense set selected by 2 independent bilingual signal(s)
2883,فہم,perception; sense; cognition; knowledge; noesis,block,independent_sources_agree_against_published_meaning,,kaikki+readurdu+kaikki+word2word+readurdu+word2word,"understanding, comprehension","n. understanding, comprehension | Platts: (inf. n. of فہم 'to understand,' &c.)",understanding; Are; flatter; liar; used,A_direct_iwn_en,IWN-En Direct manual links (all direct valid senses retained; no unsupported disambiguation)
2885,مواصلات,telecommunication; telecom,block,independent_sources_agree_against_published_meaning,,kaikki+readurdu+kaikki+word2word+readurdu+word2word,"satellite; communications, telecommunications","communications, telecommunications; satellite",lines; communication; physical; owned; communications,A_direct_iwn_en,IWN-En Direct manual link (single direct sense)
2887,مویشی,cattle; cows; kine; oxen; Bos taurus; quadruped,block,independent_sources_agree_against_published_meaning,,kaikki+readurdu,herd; drove,"n. herd; drove | Platts: (by imāla, fr. mawāshī",Animal,A_direct_iwn_en,IWN-En Direct manual links; best valid sense set selected by 1 independent bilingual signal(s)
2901,چیخ,cry; outcry; call; yell; shout; vociferation,block,one_source_support_but_other_two_agree_elsewhere,word2word,kaikki+readurdu+kaikki+word2word+readurdu+word2word,shriek; squeal; scream; screech,n. scream; screech; shriek; squeal | Platts: (see ćīkhnā),RUMBLING; SCREAMS; noise; DANIEL; shouting,A_direct_iwn_en,IWN-En Direct manual link (single direct sense)
2910,اخلاص,friendship; friendly relationship,block,independent_sources_agree_against_published_meaning,,kaikki+readurdu,"candour, love, purity, selflessness, sincerity","n. candour, love, purity, selflessness, sincerity | Platts:",,A_direct_iwn_en,IWN-En Direct manual link (single direct sense)
2918,جنون,fad; craze; furor; furore; cult; rage,block,independent_sources_agree_against_published_meaning,,kaikki+readurdu,"obsession; lunacy, insanity, madness, craziness","obsession, madness, passion",,A_direct_iwn_en,IWN-En Direct manual link (single direct sense)
2919,منا,baby; babe; infant,block,independent_sources_agree_against_published_meaning,,kaikki+readurdu,"darling, dear, boy (especially of a child)","n. darling, dear, boy (especially of a child) | Platts: v.n. See مننا mannā",business; each; stay; other; And,A_direct_iwn_en,IWN-En Direct manual link (single direct sense)
2921,اخراج,emission; emanation,block,one_source_support_but_other_two_agree_elsewhere,word2word,kaikki+readurdu,"ousting; expulsion, efflux, relegation","n. expulsion, efflux, relegation; ousting | Platts:",Emission; signature; unusual; is,A_direct_iwn_en,IWN-En Direct manual links; best valid sense set selected by 1 independent bilingual signal(s)
2925,قومیت,patriotism; nationalism,block,independent_sources_agree_against_published_meaning,,kaikki+readurdu+kaikki+word2word+readurdu+word2word,nationality,"n. nationality | Platts: (for A. قومية, abst. s. fr. qaumī)",Jake; nationality; vest; Want; has,A_direct_iwn_en,IWN-En Direct manual links (all direct valid senses retained; no unsupported disambiguation)
2928,مخلوط,hybridization; hybridisation; crossbreeding; crossing; cross; interbreeding; hybridizing; crossed; hybrid; interbred; intercrossed,block,independent_sources_agree_against_published_meaning,,kaikki+readurdu,"complex; mixed, mingled; blended; confused","adj. mixed, mingled; blended; confused; complex | Platts: (pass. part. of خلط 'to mix or mingle,' &c.). part. Mixed, mingled; blended; confused",redefining; Jon; passionate; Sixteen; baddest,A_direct_iwn_en,IWN-En Direct manual links (all direct valid senses retained; no unsupported disambiguation)
2930,احوال,message; state,block,independent_sources_agree_against_published_meaning,,kaikki+readurdu,"event, narrative, ongoing","n. event, narrative, ongoing | Platts:",,A_direct_iwn_en,IWN-En Direct manual links (all direct valid senses retained; no unsupported disambiguation)
2964,انڈیا,India; Republic of India; Bharat,block,one_source_support_but_other_two_agree_elsewhere,word2word,kaikki+readurdu,synonym of ہندوستان (hindūstān),synonym of ہندوستان (hindūstān),India; assaulting; 1979; officer; wanted,A_direct_iwn_en,IWN-En Direct manual link (single direct sense)
2981,کھلاڑی,sport; sportsman; sportswoman,block,independent_sources_agree_against_published_meaning,,readurdu+word2word,,"player, athlete",player; sportsmanship; Abroad; Great; baseball,A_direct_iwn_en,IWN-En Direct manual link (single direct sense)
1003,والی,governor,review,no_independent_bilingual_support,,,,the one who/that (feminine suffix),brewing; handkerchief; bold; Am; War,A_direct_iwn_en,IWN-En Direct manual link (single direct sense)
1005,ای,Lakshmi,review,no_independent_bilingual_support,,,,the English letter E (in acronyms),e-mail; recognize; BQE; blanket; faster,A_direct_iwn_en,IWN-En Direct manual link (single direct sense)
1012,علاوہ,other,review,no_independent_bilingual_support,,,,"besides, in addition to (کے علاوہ)",except; plus; perish; apart; Everyone,A_direct_iwn_en,IWN-En Direct manual links; best valid sense set selected by 1 independent bilingual signal(s)
1016,حوالے,devotion,review,no_independent_bilingual_support,,,,"plural direct of حَوَالَہ (havāla — reference, citing)",hand; regards; over; obliged; fact,A_direct_iwn_en,IWN-En Direct manual link (single direct sense)
1017,کرتی,kurta,review,no_independent_bilingual_support,,,,does (feminine of کرنا),much; love; talks; unite; Friends,A_direct_iwn_en,IWN-En Direct manual link (single direct sense)
1018,ایسی,thus; thusly; so,review,no_independent_bilingual_support,,,,direct/oblique/vocative feminine singular/plural of,such; repeat; Something; wasn; unclaimed,A_direct_iwn_en,IWN-En Direct manual link (single direct sense)
1022,مل,flour mill; plant; works; industrial plant; liquor; spirits; booze; hard drink; hard liquor; John Barleycorn; strong drink,review,no_independent_bilingual_support,,,,"s.m. Dirt, filth; dust; impurity; impure matter; excrement; refuse; sediment; dregs; scum; alloy or dross (of…",got; meet; MEET; found; Nice,A_direct_iwn_en,IWN-En Direct manual links (all direct valid senses retained; no unsupported disambiguation)
1024,تحت,combined; concerted; conjunct; conjunctive; cooperative; united; claim,review,no_independent_bilingual_support,,,,(in A. phrases taḥtu),under; command; 9000; rpms; BKA,A_direct_iwn_en,IWN-En Direct manual links (all direct valid senses retained; no unsupported disambiguation)
1025,امدادی,dependent; assisted; aided,review,no_independent_bilingual_support,,,,,THERE-THERE; RESCUE; COMING; rescue; S,A_direct_iwn_en,IWN-En Direct manual links (all direct valid senses retained; no unsupported disambiguation)
