Front,Back
پاکستان,"Rank: 1001

Meaning: Pakistan

Frequency evidence: wordfreq Zipf 6.50
Frequency source: wordfreq Urdu multi-corpus ranking

Semantic verification: one core dictionary sense corroborated — Kaikki+ReadUrdu+word2word

Sources:
- wordfreq Urdu — Unicode multi-corpus frequency ordering
- Kaikki/Wiktextract — bilingual lexicographic evidence
- ReadUrdu — independent Urdu-English bilingual evidence
- word2word — independent corpus-derived bilingual evidence"
اللہ,"Rank: 1002

Meaning: Allah

Frequency evidence: wordfreq Zipf 6.44
Frequency source: wordfreq Urdu multi-corpus ranking

Semantic verification: one core dictionary sense corroborated — Kaikki+ReadUrdu+word2word

Sources:
- wordfreq Urdu — Unicode multi-corpus frequency ordering
- Kaikki/Wiktextract — bilingual lexicographic evidence
- ReadUrdu — independent Urdu-English bilingual evidence
- word2word — independent corpus-derived bilingual evidence"
پھر,"Rank: 1003

Meaning: then

Frequency evidence: wordfreq Zipf 6.17
Frequency source: wordfreq Urdu multi-corpus ranking

Semantic verification: one core dictionary sense corroborated — ReadUrdu+word2word

Sources:
- wordfreq Urdu — Unicode multi-corpus frequency ordering
- Kaikki/Wiktextract — bilingual lexicographic evidence
- ReadUrdu — independent Urdu-English bilingual evidence
- word2word — independent corpus-derived bilingual evidence"
گئے,"Rank: 1004

Meaning: went

Frequency evidence: wordfreq Zipf 6.17
Frequency source: wordfreq Urdu multi-corpus ranking

Semantic verification: one core dictionary sense corroborated — ReadUrdu+word2word

Sources:
- wordfreq Urdu — Unicode multi-corpus frequency ordering
- Kaikki/Wiktextract — bilingual lexicographic evidence
- ReadUrdu — independent Urdu-English bilingual evidence
- word2word — independent corpus-derived bilingual evidence"
اسلام,"Rank: 1005

Meaning: Islam

Frequency evidence: wordfreq Zipf 6.01
Frequency source: wordfreq Urdu multi-corpus ranking

Semantic verification: one core dictionary sense corroborated — Kaikki+ReadUrdu+word2word

Sources:
- wordfreq Urdu — Unicode multi-corpus frequency ordering
- Kaikki/Wiktextract — bilingual lexicographic evidence
- ReadUrdu — independent Urdu-English bilingual evidence
- word2word — independent corpus-derived bilingual evidence"
کہا,"Rank: 1006

Meaning: said

Frequency evidence: wordfreq Zipf 6.00
Frequency source: wordfreq Urdu multi-corpus ranking

Semantic verification: one core dictionary sense corroborated — ReadUrdu+word2word

Sources:
- wordfreq Urdu — Unicode multi-corpus frequency ordering
- Kaikki/Wiktextract — bilingual lexicographic evidence
- ReadUrdu — independent Urdu-English bilingual evidence
- word2word — independent corpus-derived bilingual evidence"
محمد,"Rank: 1007

Meaning: Muhammad

Frequency evidence: wordfreq Zipf 5.95
Frequency source: wordfreq Urdu multi-corpus ranking

Semantic verification: one core dictionary sense corroborated — Kaikki+ReadUrdu+word2word

Sources:
- wordfreq Urdu — Unicode multi-corpus frequency ordering
- Kaikki/Wiktextract — bilingual lexicographic evidence
- ReadUrdu — independent Urdu-English bilingual evidence
- word2word — independent corpus-derived bilingual evidence"
کرتا,"Rank: 1008

Meaning: does

Frequency evidence: wordfreq Zipf 5.90
Frequency source: wordfreq Urdu multi-corpus ranking

Semantic verification: one core dictionary sense corroborated — ReadUrdu+word2word

Sources:
- wordfreq Urdu — Unicode multi-corpus frequency ordering
- Kaikki/Wiktextract — bilingual lexicographic evidence
- ReadUrdu — independent Urdu-English bilingual evidence
- word2word — independent corpus-derived bilingual evidence"
مطابق,"Rank: 1009

Meaning: according to

Frequency evidence: wordfreq Zipf 5.87
Frequency source: wordfreq Urdu multi-corpus ranking

Semantic verification: one core dictionary sense corroborated — ReadUrdu+word2word

Sources:
- wordfreq Urdu — Unicode multi-corpus frequency ordering
- Kaikki/Wiktextract — bilingual lexicographic evidence
- ReadUrdu — independent Urdu-English bilingual evidence
- word2word — independent corpus-derived bilingual evidence"
لیا,"Rank: 1010

Meaning: took

Frequency evidence: wordfreq Zipf 5.86
Frequency source: wordfreq Urdu multi-corpus ranking

Semantic verification: one core dictionary sense corroborated — ReadUrdu+word2word

Sources:
- wordfreq Urdu — Unicode multi-corpus frequency ordering
- Kaikki/Wiktextract — bilingual lexicographic evidence
- ReadUrdu — independent Urdu-English bilingual evidence
- word2word — independent corpus-derived bilingual evidence"
سکتا,"Rank: 1011

Meaning: Can

Frequency evidence: wordfreq Zipf 5.85
Frequency source: wordfreq Urdu multi-corpus ranking

Semantic verification: one core dictionary sense corroborated — ReadUrdu+word2word

Sources:
- wordfreq Urdu — Unicode multi-corpus frequency ordering
- Kaikki/Wiktextract — bilingual lexicographic evidence
- ReadUrdu — independent Urdu-English bilingual evidence
- word2word — independent corpus-derived bilingual evidence"
پنجاب,"Rank: 1012

Meaning: Punjab

Frequency evidence: wordfreq Zipf 5.83
Frequency source: wordfreq Urdu multi-corpus ranking

Semantic verification: one core dictionary sense corroborated — Kaikki+ReadUrdu

Sources:
- wordfreq Urdu — Unicode multi-corpus frequency ordering
- Kaikki/Wiktextract — bilingual lexicographic evidence
- ReadUrdu — independent Urdu-English bilingual evidence
- word2word — independent corpus-derived bilingual evidence"
پولیس,"Rank: 1013

Meaning: police

Frequency evidence: wordfreq Zipf 5.80
Frequency source: wordfreq Urdu multi-corpus ranking

Semantic verification: one core dictionary sense corroborated — ReadUrdu+word2word

Sources:
- wordfreq Urdu — Unicode multi-corpus frequency ordering
- Kaikki/Wiktextract — bilingual lexicographic evidence
- ReadUrdu — independent Urdu-English bilingual evidence
- word2word — independent corpus-derived bilingual evidence"
آئے,"Rank: 1014

Meaning: came

Frequency evidence: wordfreq Zipf 5.75
Frequency source: wordfreq Urdu multi-corpus ranking

Semantic verification: one core dictionary sense corroborated — ReadUrdu+word2word

Sources:
- wordfreq Urdu — Unicode multi-corpus frequency ordering
- Kaikki/Wiktextract — bilingual lexicographic evidence
- ReadUrdu — independent Urdu-English bilingual evidence
- word2word — independent corpus-derived bilingual evidence"
امریکی,"Rank: 1015

Meaning: American

Frequency evidence: wordfreq Zipf 5.75
Frequency source: wordfreq Urdu multi-corpus ranking

Semantic verification: one core dictionary sense corroborated — ReadUrdu+word2word

Sources:
- wordfreq Urdu — Unicode multi-corpus frequency ordering
- Kaikki/Wiktextract — bilingual lexicographic evidence
- ReadUrdu — independent Urdu-English bilingual evidence
- word2word — independent corpus-derived bilingual evidence"
لاہور,"Rank: 1016

Meaning: Lahore

Frequency evidence: wordfreq Zipf 5.73
Frequency source: wordfreq Urdu multi-corpus ranking

Semantic verification: one core dictionary sense corroborated — Kaikki+ReadUrdu+word2word

Sources:
- wordfreq Urdu — Unicode multi-corpus frequency ordering
- Kaikki/Wiktextract — bilingual lexicographic evidence
- ReadUrdu — independent Urdu-English bilingual evidence
- word2word — independent corpus-derived bilingual evidence"
