front,zipf,reason
کرنے,6.33,no_clean_direct_dictionary_consensus
رہے,6.31,no_clean_direct_dictionary_consensus
والے,6.27,no_clean_direct_dictionary_consensus
ہونے,6.24,no_clean_direct_dictionary_consensus
جائے,6.23,no_clean_direct_dictionary_consensus
کرتے,6.20,no_clean_direct_dictionary_consensus
رہا,6.16,no_clean_direct_dictionary_consensus
گئی,6.12,no_clean_direct_dictionary_consensus
پی,6.08,no_clean_direct_dictionary_consensus
کریں,6.08,no_clean_direct_dictionary_consensus
انہوں,6.05,no_clean_direct_dictionary_consensus
جاتا,6.05,no_clean_direct_dictionary_consensus
لوگوں,6.05,no_clean_direct_dictionary_consensus
ہوئی,6.05,no_clean_direct_dictionary_consensus
دے,6.04,no_clean_direct_dictionary_consensus
بن,6.02,no_clean_direct_dictionary_consensus
رہی,6.02,no_clean_direct_dictionary_consensus
جا,5.97,no_clean_direct_dictionary_consensus
کیلئے,5.97,no_clean_direct_dictionary_consensus
ہوتی,5.93,no_clean_direct_dictionary_consensus
والی,5.91,no_clean_direct_dictionary_consensus
وسلم,5.88,no_clean_direct_dictionary_consensus
کرے,5.87,no_clean_direct_dictionary_consensus
جانے,5.81,no_clean_direct_dictionary_consensus
ہوتے,5.81,no_clean_direct_dictionary_consensus
ہوگا,5.80,no_clean_direct_dictionary_consensus
ٹی,5.79,no_clean_direct_dictionary_consensus
جاتی,5.78,no_clean_direct_dictionary_consensus
جائیں,5.77,no_clean_direct_dictionary_consensus
ایم,5.75,no_clean_direct_dictionary_consensus
دینے,5.75,no_clean_direct_dictionary_consensus
علیہ,5.75,no_clean_direct_dictionary_consensus
نواز,5.75,no_clean_direct_dictionary_consensus
جیسے,5.74,no_clean_direct_dictionary_consensus
والا,5.74,no_clean_direct_dictionary_consensus
دیں,5.72,no_clean_direct_dictionary_consensus
جاتے,5.71,no_clean_direct_dictionary_consensus
دونوں,5.69,no_clean_direct_dictionary_consensus
علاوہ,5.69,no_clean_direct_dictionary_consensus
کیے,5.69,no_clean_direct_dictionary_consensus
ایس,5.68,no_clean_direct_dictionary_consensus
میڈیا,5.68,no_clean_direct_dictionary_consensus
والوں,5.67,no_clean_direct_dictionary_consensus
لگا,5.65,no_clean_direct_dictionary_consensus
بی,5.63,no_clean_direct_dictionary_consensus
تعالی,5.63,no_clean_direct_dictionary_consensus
ڈی,5.63,no_clean_direct_dictionary_consensus
