frequency,front,kaikki,readurdu,reason,word2word
140157,بہی,,,not_cle_lexical_or_closed_class,
64589,کرنے,,,not_cle_lexical_or_closed_class,
61762,تہا,,,not_cle_lexical_or_closed_class,
61090,کہا,,,not_cle_lexical_or_closed_class,
47470,جائے,,,not_cle_lexical_or_closed_class,
43418,تہے,,,not_cle_lexical_or_closed_class,
39903,انہوں,,,no_two_source_semantic_agreement,shot; tried; gave; killed; looking
39784,رہے,,,not_cle_lexical_or_closed_class,
38807,ساتہ,,,not_cle_lexical_or_closed_class,
37351,کریں,,,not_cle_lexical_or_closed_class,
34818,کرتے,,,not_cle_lexical_or_closed_class,
34212,ہونے,,,not_cle_lexical_or_closed_class,
34143,گئے,,,not_cle_lexical_or_closed_class,
33589,والے,,,not_cle_lexical_or_closed_class,
32228,جا,,,not_cle_lexical_or_closed_class,
31627,تہی,,,not_cle_lexical_or_closed_class,
31279,گئی,,,not_cle_lexical_or_closed_class,
30164,کیلئے,,,not_cle_lexical_or_closed_class,
29272,رہا,,,not_cle_lexical_or_closed_class,
25044,رہی,,,not_cle_lexical_or_closed_class,
24185,جاتا,,,not_cle_lexical_or_closed_class,
21568,کچہ,,,not_cle_lexical_or_closed_class,
19935,ہوتی,,,not_cle_lexical_or_closed_class,
19654,ٹیم,,,not_cle_lexical_or_closed_class,
19398,مطابق,,,not_cle_lexical_or_closed_class,
19140,بی,,,not_cle_lexical_or_closed_class,
19080,ہوئی,,,not_cle_lexical_or_closed_class,
18238,والی,,,not_cle_lexical_or_closed_class,
18132,سکتا,,,not_cle_lexical_or_closed_class,
17951,دے,,,not_cle_lexical_or_closed_class,
17870,پہر,unit of time equalling three hours,,no_two_source_semantic_agreement,hopefully; raid; afternoon; set; ISI
17644,لوگوں,,,not_cle_lexical_or_closed_class,
17374,جاتی,,,not_cle_lexical_or_closed_class,
16822,بارے,,,not_cle_lexical_or_closed_class,
16230,ای,,,not_cle_lexical_or_closed_class,
15569,جائیں,,,not_cle_lexical_or_closed_class,
15557,لیا,,,not_cle_lexical_or_closed_class,
15262,جانے,,,not_cle_lexical_or_closed_class,
14970,کئے,,,not_cle_lexical_or_closed_class,
14811,پی,,,not_cle_lexical_or_closed_class,
13393,دونوں,,,not_cle_lexical_or_closed_class,
13287,امریکی,,,not_cle_lexical_or_closed_class,
13202,ہوتے,,,not_cle_lexical_or_closed_class,
13089,کرتا,,,not_cle_lexical_or_closed_class,
12767,ایم,,,not_cle_lexical_or_closed_class,
12459,پرنٹ,,,not_cle_lexical_or_closed_class,
12431,بتایا,,,not_cle_lexical_or_closed_class,
12353,مجہے,,,not_cle_lexical_or_closed_class,
12285,پولیس,,,not_cle_lexical_or_closed_class,
12213,کہیل,,,not_cle_lexical_or_closed_class,
12200,کیجیئے,,,not_cle_lexical_or_closed_class,
12199,کرے,,,not_cle_lexical_or_closed_class,
12034,سکتے,,,not_cle_lexical_or_closed_class,
11973,گہر,,,not_cle_lexical_or_closed_class,
11618,جاتے,,,not_cle_lexical_or_closed_class,
11225,سکتی,,,not_cle_lexical_or_closed_class,
10866,میچ,,,not_cle_lexical_or_closed_class,
10756,بن,,,not_cle_lexical_or_closed_class,
10570,دیں,,,not_cle_lexical_or_closed_class,
10490,سکے,,,not_cle_lexical_or_closed_class,
10449,ٹی,,,not_cle_lexical_or_closed_class,
10312,علاوہ,,"besides, in addition to (کے علاوہ)",no_two_source_semantic_agreement,except; plus; perish; apart; Everyone
10245,خبریں,,,not_cle_lexical_or_closed_class,
9568,سیریز,,,not_cle_lexical_or_closed_class,
9559,ٹیسٹ,,,not_cle_lexical_or_closed_class,
9322,آئے,,,not_cle_lexical_or_closed_class,
9318,عالمی,,,not_cle_lexical_or_closed_class,
9300,حوالے,,,not_cle_lexical_or_closed_class,
8927,کبہی,,,not_cle_lexical_or_closed_class,
8818,دینے,,,not_cle_lexical_or_closed_class,
8769,آنے,,,not_cle_lexical_or_closed_class,
8665,کرتی,,,not_cle_lexical_or_closed_class,
8556,ایسی,,,not_cle_lexical_or_closed_class,
8359,سید,,,not_cle_lexical_or_closed_class,
8317,تعمیر,,,not_cle_lexical_or_closed_class,
8144,بہارتی,,,not_cle_lexical_or_closed_class,
8140,ذریعے,,,not_cle_lexical_or_closed_class,
8052,بنانے,,,not_cle_lexical_or_closed_class,
7977,دیتے,,,not_cle_lexical_or_closed_class,
7877,مشرف,,,not_cle_lexical_or_closed_class,
7745,تہیں,,,not_cle_lexical_or_closed_class,
7711,لاکہ,,,not_cle_lexical_or_closed_class,
7664,پابندی,,,not_cle_lexical_or_closed_class,
7662,ڈی,,,not_cle_lexical_or_closed_class,
7528,پوری,,,not_cle_lexical_or_closed_class,
7420,لیں,,,not_cle_lexical_or_closed_class,
7301,ایس,,,not_cle_lexical_or_closed_class,
7289,نئے,,,not_cle_lexical_or_closed_class,
7248,والوں,,,not_cle_lexical_or_closed_class,
7226,مل,,,not_cle_lexical_or_closed_class,
7159,جیسے,,,no_two_source_semantic_agreement,Like; alike; notice; boat; soon
7049,اسمبلی,,,not_cle_lexical_or_closed_class,
7006,دیئے,,,not_cle_lexical_or_closed_class,
6976,اعلان,,,not_cle_lexical_or_closed_class,
6919,تحت,,,not_cle_lexical_or_closed_class,
6786,ابہی,,,not_cle_lexical_or_closed_class,
6752,آف,,,not_cle_lexical_or_closed_class,
6748,امدادی,,,not_cle_lexical_or_closed_class,
6693,لیگ,,,not_cle_lexical_or_closed_class,
6633,بہر,,,not_cle_lexical_or_closed_class,
6570,چکے,,,not_cle_lexical_or_closed_class,
6537,حالات,,,not_cle_lexical_or_closed_class,
6529,تکنیکی,,,not_cle_lexical_or_closed_class,
6494,لگا,,,not_cle_lexical_or_closed_class,
6491,سلسلے,,,not_cle_lexical_or_closed_class,
6469,تازہ ترین,,,not_cle_lexical_or_closed_class,
6429,رکہنے,,,not_cle_lexical_or_closed_class,
6428,گرفتار,,,not_cle_lexical_or_closed_class,
6419,بڑہ,,,not_cle_lexical_or_closed_class,
6280,رنز,,,not_cle_lexical_or_closed_class,
6264,اقبال,,,not_cle_lexical_or_closed_class,
6197,پروگرام,,,not_cle_lexical_or_closed_class,
6107,نمبر,,,not_cle_lexical_or_closed_class,
6097,لی,,,not_cle_lexical_or_closed_class,
6039,رپورٹ,,,not_cle_lexical_or_closed_class,
6023,رکہا,,,not_cle_lexical_or_closed_class,
5906,اچہی,,,not_cle_lexical_or_closed_class,
5872,خطاب,,,not_cle_lexical_or_closed_class,
5860,ہاتہ,,,not_cle_lexical_or_closed_class,
5791,سرکاری,,,not_cle_lexical_or_closed_class,
5738,بہائی,,,not_cle_lexical_or_closed_class,
5722,کہتے,,,not_cle_lexical_or_closed_class,
5715,سکیں,,,not_cle_lexical_or_closed_class,
5620,بورڈ,,,not_cle_lexical_or_closed_class,
5583,باوجود,,,not_cle_lexical_or_closed_class,
5540,چکا,,,not_cle_lexical_or_closed_class,
5403,حسن,,,not_cle_lexical_or_closed_class,
5383,بنایا,,,not_cle_lexical_or_closed_class,
5350,ڈیم,,,not_cle_lexical_or_closed_class,
5348,صوبائی,,,not_cle_lexical_or_closed_class,
5289,متاثرہ,,,not_cle_lexical_or_closed_class,
5191,دیکہ,,,not_cle_lexical_or_closed_class,
5152,متاثرین,,,not_cle_lexical_or_closed_class,
5120,کانفرنس,,,not_cle_lexical_or_closed_class,
5116,ادارے,,,not_cle_lexical_or_closed_class,
5090,مولانا,,,not_cle_lexical_or_closed_class,
5061,اداروں,,,not_cle_lexical_or_closed_class,
5046,میر,,,not_cle_lexical_or_closed_class,
4983,پہنچ,,,not_cle_lexical_or_closed_class,
4983,پیداوار,,,not_cle_lexical_or_closed_class,
4976,کیے,,,not_cle_lexical_or_closed_class,
4975,کونسل,,,not_cle_lexical_or_closed_class,
4933,صورتحال,,,not_cle_lexical_or_closed_class,
4929,کہلاڑی,,,not_cle_lexical_or_closed_class,
4915,پروفیسر,,,not_cle_lexical_or_closed_class,
4899,درج,,,not_cle_lexical_or_closed_class,
4858,چاہتے,,,not_cle_lexical_or_closed_class,
4853,چودہری,,,not_cle_lexical_or_closed_class,
4845,دیتا,,,not_cle_lexical_or_closed_class,
4826,رکہتے,,,not_cle_lexical_or_closed_class,
4819,معاشی,,,not_cle_lexical_or_closed_class,
4801,قیام,,,not_cle_lexical_or_closed_class,
4749,ڈالر,,,not_cle_lexical_or_closed_class,
4740,بہترین,,,not_cle_lexical_or_closed_class,
4719,زیر,,,not_cle_lexical_or_closed_class,
4705,وزیراعظم,,,not_cle_lexical_or_closed_class,
4700,زخمی,,,not_cle_lexical_or_closed_class,
4699,شخصیت,,,not_cle_lexical_or_closed_class,
4625,متاثر,,,not_cle_lexical_or_closed_class,
4614,کہلاڑیوں,,,not_cle_lexical_or_closed_class,
4546,سکول,,,not_cle_lexical_or_closed_class,
4533,سری,,,not_cle_lexical_or_closed_class,
4524,نیوز,,,not_cle_lexical_or_closed_class,
4516,حیثیت,,,not_cle_lexical_or_closed_class,
4506,کہیں,,,not_cle_lexical_or_closed_class,
4481,این,,,not_cle_lexical_or_closed_class,
4477,ملا,,,not_cle_lexical_or_closed_class,
4414,ایف,,,not_cle_lexical_or_closed_class,
4407,چل,,,not_cle_lexical_or_closed_class,
4396,اقدامات,,,not_cle_lexical_or_closed_class,
4350,زائد,,,not_cle_lexical_or_closed_class,
4343,شرح,,,not_cle_lexical_or_closed_class,
4342,تقریب,,,not_cle_lexical_or_closed_class,
4315,چاہیے,,,not_cle_lexical_or_closed_class,
4308,آتا,,,not_cle_lexical_or_closed_class,
4301,تعالی,,,not_cle_lexical_or_closed_class,
4300,لینے,,,not_cle_lexical_or_closed_class,
4284,دیکہا,,,not_cle_lexical_or_closed_class,
4277,اچہا,,,not_cle_lexical_or_closed_class,
4262,رہیں,,,not_cle_lexical_or_closed_class,
4229,گئیں,,,not_cle_lexical_or_closed_class,
4222,جمع,,,not_cle_lexical_or_closed_class,
4214,باتیں,,,not_cle_lexical_or_closed_class,
4201,آؤٹ,,,not_cle_lexical_or_closed_class,
4068,سالہ,,,not_cle_lexical_or_closed_class,
4025,رہتے,,,not_cle_lexical_or_closed_class,
4013,سیکرٹری,,,not_cle_lexical_or_closed_class,
4005,ارکان,,,not_cle_lexical_or_closed_class,
4004,رقم,,,not_cle_lexical_or_closed_class,
3999,آتے,,,not_cle_lexical_or_closed_class,
3968,چیئرمین,,,not_cle_lexical_or_closed_class,
3947,بنائے,,,not_cle_lexical_or_closed_class,
3906,رہنے,,,not_cle_lexical_or_closed_class,
3902,عرصہ,,,not_cle_lexical_or_closed_class,
3856,شوکت,,,not_cle_lexical_or_closed_class,
3842,یونیورسٹی,,,not_cle_lexical_or_closed_class,
3840,شائع,,,not_cle_lexical_or_closed_class,
3829,آتی,,,not_cle_lexical_or_closed_class,
3807,انضمام,,,not_cle_lexical_or_closed_class,
3776,برقرار,,,not_cle_lexical_or_closed_class,
3775,چہوٹے,,,not_cle_lexical_or_closed_class,
3771,حکام,,,not_cle_lexical_or_closed_class,
3726,ملے,,,not_cle_lexical_or_closed_class,
3708,رکہ,,,not_cle_lexical_or_closed_class,
3660,نامہ نگار,,,not_cle_lexical_or_closed_class,
3652,سربراہ,,,not_cle_lexical_or_closed_class,
3650,اتنی,,,not_cle_lexical_or_closed_class,
3642,پورے,,,not_cle_lexical_or_closed_class,
3641,بش,,,not_cle_lexical_or_closed_class,
3632,الیکشن,,,not_cle_lexical_or_closed_class,
3631,منعقد,,,not_cle_lexical_or_closed_class,
3630,قائد,,,not_cle_lexical_or_closed_class,
3630,کہانے,,,not_cle_lexical_or_closed_class,
