front,zipf,reason
کرنے,6.33,no_single_clean_core_consensus
رہے,6.31,no_single_clean_core_consensus
والے,6.27,no_single_clean_core_consensus
ہونے,6.24,no_single_clean_core_consensus
جائے,6.23,no_single_clean_core_consensus
کرتے,6.20,no_single_clean_core_consensus
رہا,6.16,no_single_clean_core_consensus
گئی,6.12,no_single_clean_core_consensus
پی,6.08,no_single_clean_core_consensus
کریں,6.08,no_single_clean_core_consensus
انہوں,6.05,no_single_clean_core_consensus
جاتا,6.05,no_single_clean_core_consensus
لوگوں,6.05,no_single_clean_core_consensus
ہوئی,6.05,no_single_clean_core_consensus
دے,6.04,no_single_clean_core_consensus
بن,6.02,no_single_clean_core_consensus
رہی,6.02,no_single_clean_core_consensus
جا,5.97,no_single_clean_core_consensus
کیلئے,5.97,no_single_clean_core_consensus
ہوتی,5.93,no_single_clean_core_consensus
والی,5.91,no_single_clean_core_consensus
وسلم,5.88,no_single_clean_core_consensus
کرے,5.87,no_single_clean_core_consensus
جانے,5.81,no_single_clean_core_consensus
ہوتے,5.81,no_single_clean_core_consensus
ہوگا,5.80,no_single_clean_core_consensus
ٹی,5.79,no_single_clean_core_consensus
جاتی,5.78,no_single_clean_core_consensus
جائیں,5.77,no_single_clean_core_consensus
ایم,5.75,no_single_clean_core_consensus
دینے,5.75,no_single_clean_core_consensus
علیہ,5.75,no_single_clean_core_consensus
نواز,5.75,no_single_clean_core_consensus
جیسے,5.74,no_single_clean_core_consensus
والا,5.74,no_single_clean_core_consensus
دیں,5.72,no_single_clean_core_consensus
جاتے,5.71,no_single_clean_core_consensus
عمران,5.70,no_single_clean_core_consensus
دونوں,5.69,no_single_clean_core_consensus
علاوہ,5.69,no_single_clean_core_consensus
کیے,5.69,no_single_clean_core_consensus
ایس,5.68,no_single_clean_core_consensus
میڈیا,5.68,no_single_clean_core_consensus
والوں,5.67,no_single_clean_core_consensus
لگا,5.65,no_single_clean_core_consensus
بی,5.63,no_single_clean_core_consensus
تعالی,5.63,no_single_clean_core_consensus
ڈی,5.63,no_single_clean_core_consensus
علیہ,5.75,no_single_clean_core_consensus
وزیراعظم,5.62,no_single_clean_core_consensus
این,5.61,no_single_clean_core_consensus
دیتے,5.61,no_single_clean_core_consensus
صلی,5.61,no_single_clean_core_consensus
پوری,5.61,no_single_clean_core_consensus
ایسی,5.60,no_single_clean_core_consensus
بنانے,5.60,no_single_clean_core_consensus
مل,5.60,no_single_clean_core_consensus
آنے,5.59,no_single_clean_core_consensus
ترین,5.59,no_single_clean_core_consensus
ن,5.59,no_single_clean_core_consensus
آف,5.56,no_single_clean_core_consensus
کرتی,5.56,no_single_clean_core_consensus
الیکشن,5.54,no_single_clean_core_consensus
کردیا,5.53,no_single_clean_core_consensus
مولانا,5.52,no_single_clean_core_consensus
لیں,5.51,no_single_clean_core_consensus
کرکے,5.51,no_single_clean_core_consensus
ہوگی,5.50,no_single_clean_core_consensus
السلام,5.46,no_single_clean_core_consensus
اہل,5.46,no_single_clean_core_consensus
سکتی,5.46,no_single_clean_core_consensus
نئے,5.46,no_single_clean_core_consensus
تحت,5.44,no_single_clean_core_consensus
فرمایا,5.42,no_single_clean_core_consensus
لینے,5.42,no_single_clean_core_consensus
مقام,5.42,no_single_clean_core_consensus
آتا,5.40,no_single_clean_core_consensus
حسن,5.40,no_single_clean_core_consensus
سید,5.40,no_single_clean_core_consensus
ا,5.39,no_single_clean_core_consensus
رکھ,5.39,no_single_clean_core_consensus
رکھنے,5.39,no_single_clean_core_consensus
لکھا,5.39,no_single_clean_core_consensus
تر,5.38,no_single_clean_core_consensus
رکھتے,5.38,no_single_clean_core_consensus
صلی,5.61,no_single_clean_core_consensus
چھوڑ,5.38,no_single_clean_core_consensus
گردی,5.38,no_single_clean_core_consensus
ہوگیا,5.38,no_single_clean_core_consensus
ادارے,5.37,no_single_clean_core_consensus
ذریعے,5.37,no_single_clean_core_consensus
رہیں,5.37,no_single_clean_core_consensus
سپریم,5.37,no_single_clean_core_consensus
نبی,5.36,no_single_clean_core_consensus
پورے,5.36,no_single_clean_core_consensus
چاہئے,5.36,no_single_clean_core_consensus
چکا,5.36,no_single_clean_core_consensus
کیس,5.36,no_single_clean_core_consensus
آتے,5.35,no_single_clean_core_consensus
شمار,5.35,no_single_clean_core_consensus
پہنچ,5.35,no_single_clean_core_consensus
اقبال,5.34,no_single_clean_core_consensus
کمیشن,5.33,no_single_clean_core_consensus
ایل,5.32,no_single_clean_core_consensus
حیثیت,5.32,no_single_clean_core_consensus
سکے,5.32,no_single_clean_core_consensus
گرفتار,5.32,no_single_clean_core_consensus
آتی,5.31,no_single_clean_core_consensus
جمع,5.31,no_single_clean_core_consensus
باتیں,5.30,no_single_clean_core_consensus
تمہارے,5.30,no_single_clean_core_consensus
چوہدری,5.30,no_single_clean_core_consensus
چکے,5.30,no_single_clean_core_consensus
ڈال,5.30,no_single_clean_core_consensus
زخمی,5.29,no_single_clean_core_consensus
سینٹ,5.29,no_single_clean_core_consensus
پڑے,5.29,no_single_clean_core_consensus
گئیں,5.29,no_single_clean_core_consensus
اتنی,5.28,no_single_clean_core_consensus
اداروں,5.28,no_single_clean_core_consensus
بنی,5.28,no_single_clean_core_consensus
درج,5.28,no_single_clean_core_consensus
ایف,5.27,no_single_clean_core_consensus
باوجود,5.27,no_single_clean_core_consensus
تبدیلی,5.27,no_single_clean_core_consensus
خطاب,5.27,no_single_clean_core_consensus
نتیجے,5.27,no_single_clean_core_consensus
ویب,5.27,no_single_clean_core_consensus
ٹاؤن,5.27,no_single_clean_core_consensus
تلاش,5.26,no_single_clean_core_consensus
تمہیں,5.26,no_single_clean_core_consensus
چل,5.26,no_single_clean_core_consensus
رہتے,5.25,no_single_clean_core_consensus
لیتے,5.25,no_single_clean_core_consensus
چلے,5.25,no_single_clean_core_consensus
کردہ,5.25,no_single_clean_core_consensus
الاقوامی,5.24,no_single_clean_core_consensus
انھوں,5.24,no_single_clean_core_consensus
رضی,5.24,no_single_clean_core_consensus
نکل,5.24,no_single_clean_core_consensus
حوالے,5.23,no_single_clean_core_consensus
سارے,5.23,no_single_clean_core_consensus
صوبائی,5.23,no_single_clean_core_consensus
کونسل,5.23,no_single_clean_core_consensus
ہوگئی,5.23,no_single_clean_core_consensus
الدین,5.22,no_single_clean_core_consensus
کئے,5.22,no_single_clean_core_consensus
اٹھا,5.21,no_single_clean_core_consensus
رکھے,5.21,no_single_clean_core_consensus
محفوظ,5.21,no_single_clean_core_consensus
چھ,5.21,no_single_clean_core_consensus
حکمران,5.20,no_single_clean_core_consensus
رکھی,5.20,no_single_clean_core_consensus
لائن,5.20,no_single_clean_core_consensus
مقابلہ,5.20,no_single_clean_core_consensus
نیب,5.20,no_single_clean_core_consensus
کردی,5.20,no_single_clean_core_consensus
آئیں,5.19,no_single_clean_core_consensus
بننے,5.19,no_single_clean_core_consensus
بھٹو,5.19,no_single_clean_core_consensus
دیتی,5.19,no_single_clean_core_consensus
دیر,5.19,no_single_clean_core_consensus
