rank,front,meaning,wordfreq_zipf,semantic_support,kaikki_readurdu_agree,kaikki_word2word_agree,readurdu_word2word_agree,kaikki_meaning,readurdu_meaning,word2word_meaning
1001,پاکستان,Pakistan (a country in South Asia; official name: اسلامی جمہوریہ پاکستان (islāmī jamhūriya-e pākistān; “Islamic Republic of Pakistan”); capital: اسلام آباد,6.50,Kaikki+ReadUrdu+word2word,True,True,True,"Pakistan (a country in South Asia; official name: اسلامی جمہوریہ پاکستان (islāmī jamhūriya-e pākistān, “Islamic Republic of Pakistan”); capital: اسلام آباد (islām-ābād, “Islamabad”))","Pakistan (a country in South Asia; official name: اسلامی جمہوریہ پاکستان (islāmī jamhūriya-e pākistān,…",Pakistan; Paks; Pakistani; low-level; Mullah-crack-a-dulla
1002,اللہ,God; Allah,6.44,Kaikki+ReadUrdu+word2word,True,True,True,God; Allah,"n. Allah; God | Platts: (i.e. al ilāh, 'the God,' by way of eminence)",Allahu; Akbar; Allah; Bismillah; al-Rahim
1003,پھر,then; again,6.17,ReadUrdu+word2word,False,False,True,,"then, afterwards; so; again",again; Then; then; Turk; Or
1004,گئے,went,6.17,ReadUrdu+word2word,False,False,True,,went (plural),gone; went; took; Went; changed
1005,اسلام,Islam,6.01,Kaikki+ReadUrdu+word2word,True,True,True,Islam,name: Islam | Platts:,Islam; religion; Balawi; 45; Islamabad
1006,کہا,said,6.00,ReadUrdu+word2word,False,False,True,,said (of کہنا),said; Mother; told; asked; called
1007,محمد,the Islamic prophet Muhammad; a male given name; Muhammad; Mohammed,5.95,Kaikki+ReadUrdu+word2word,True,True,True,"the Islamic prophet Muhammad; a male given name, Muhammad, Mohammed, or Mohammad, from Arabic","name: the Islamic prophet Muhammad; a male given name, Muhammad, Mohammed, or Mohammad, from Arabic | Platts: (pass. part. of حمّد 'to praise much or repeatedly,' ii of حمد 'to praise'), part. Greatly (or highly)…",Shaikh; Mohammed; facilitators; Mohamed; messenger
1008,کرتا,does,5.90,ReadUrdu+word2word,False,False,True,,does (masculine of کرنا); kurta (shirt),works; does; PLAYS; MUSIC; uses
1009,مطابق,according to,5.87,ReadUrdu+word2word,False,False,True,,according to (کے مطابق),According; date; table; intruder; release
1010,لیا,took,5.86,ReadUrdu+word2word,False,False,True,,took (masculine of لینا),took; taken; appointment; saved; captured
1011,سکتا,can,5.85,ReadUrdu+word2word,False,False,True,,"can, is able (masculine of سکنا)",might; Can; couldn; breathe; happen
1012,پنجاب,Punjab; Punjab (a geographical region in South Asia; politically divided between India and Pakistan),5.83,Kaikki+ReadUrdu,True,False,False,"Punjab (a province in Pakistan); Punjab (a state in northern India); Punjab (a geographical region in South Asia, politically divided between India and Pakistan)","Punjab (a geographical region in South Asia, politically divided between India and Pakistan); Punjab (a state in northern India); Punjab (a province in Pakistan)",
1013,پولیس,police,5.80,ReadUrdu+word2word,False,False,True,,police,police; Police; cop; policeman; cops
1014,آئے,came,5.75,ReadUrdu+word2word,False,False,True,,came (plural),come; came; COME; HAVE; forgot
1015,امریکی,American,5.75,ReadUrdu+word2word,False,False,True,,American,American; U.S; breathe; citizen; Army
1016,لاہور,Lahore (the second largest city of Pakistan and the provincial capital of Punjab; located on the Ravi river),5.73,Kaikki+ReadUrdu+word2word,True,True,True,Lahore (the second largest city of Pakistan and the provincial capital of Punjab; located on the Ravi river),"name: Lahore (the second largest city of Pakistan and the provincial capital of Punjab; located on the Ravi river) | Platts: prop. n. The city of Lahor, the capital of the Panjāb",Lahore; ISI; chased; slow-rolling; bitch
1017,امریکہ,America; United States of America (a country in North America; United States of America); the Americas,5.72,Kaikki+ReadUrdu+word2word,True,True,True,"America, United States of America (a country in North America; in full, United States of America); America, the Americas (a supercontinent consisting of North America, Central America and South America regarded as a whole; in full, the Americas)","America, the United States",America; States; United; closed; enter
1018,عمران,a male given name from Arabic; equivalent to English Imran,5.70,Kaikki+ReadUrdu,True,False,False,"a male given name from Arabic, equivalent to English Imran","a male given name from Arabic, equivalent to English Imran",
1019,اردو,army; camp; the Urdu language; Rekhta,5.69,Kaikki+ReadUrdu,True,False,False,"army, camp; the Urdu language; Rekhta (the Hindustani language)","name: the Urdu language; Rekhta (the Hindustani language) | n. army, camp | Platts:",
1020,جبکہ,while,5.68,ReadUrdu+word2word,False,False,True,,"whereas, while",While; while; OUR; Son; standing
1021,قرآن,Qur'an,5.68,Kaikki+ReadUrdu,True,False,False,Qur'an,n. Qur'an | Platts: (inf. n. of قرا 'to read'),
1022,کراچی,Karachi (the largest city in Pakistan situated along the Arabian Sea; as well as the provincial capital of Sindh Province),5.68,Kaikki+ReadUrdu+word2word,True,True,True,"Karachi (the largest city in Pakistan situated along the Arabian Sea, as well as the provincial capital of Sindh Province)","Karachi (the largest city in Pakistan situated along the Arabian Sea, as well as the provincial capital of…",Karachi; In; 2004; 2003; About
1023,سکتے,can,5.67,ReadUrdu+word2word,False,False,True,,"can, are able (plural)",CAN; Can; cannot; may; leave
1024,بھارت,India,5.66,Kaikki+ReadUrdu,True,False,False,"India, Bharat (a country in South Asia); Hindustan, the undivided Indian subcontinent",India,
1025,بارے,about,5.62,ReadUrdu+word2word,False,False,True,,"about, regarding (کے بارے میں)",about; About; ABOUT; talking; thinking
1026,دیکھ,infinitive of دیکْھنا (dekhnā — to look; see; watch),5.61,ReadUrdu+word2word,False,False,True,,"infinitive of دیکْھنا (dekhnā — to look, see, watch)",see; watching; looking; seeing; Good
1027,صلی,only used in صلیٰ اللہ علیہ وسلم,5.61,Kaikki+ReadUrdu,True,False,False,only used in صلیٰ اللہ علیہ وسلم (sallā-llāhu 'alayhi wa-sallam),phrase only used in صلیٰ اللہ علیہ وسلم (sallā-llāhu 'alayhi wa-sallam) | Platts: 3rd.,advancing; prow; sudden; Of; its
1028,چاہیے,should,5.61,ReadUrdu+word2word,False,False,True,,"should, ought to, is needed",supposed; should; listened; contact; hurry
1029,بھر,"full, whole",5.58,ReadUrdu+word2word,False,False,True,,"full, whole, throughout (دن بھر = all day)",across; OVER; Blackout; effect; full
1030,ٹیم,team,5.58,ReadUrdu+word2word,False,False,True,,team,team; response; Team; kidnap; leading
1031,چیف,chief,5.58,ReadUrdu+word2word,False,False,True,,chief,Chief; CHIEF; GAINES; boss; henceforth
1032,اسمبلی,assembly,5.57,ReadUrdu+word2word,False,False,True,,"assembly, legislature",member; honored; excuse; assembly
1033,دیکھا,saw,5.57,ReadUrdu+word2word,False,False,True,,saw (of دیکھنا),seen; saw; watched; YouTube; haven
1034,عالمی,global,5.56,ReadUrdu+word2word,False,False,True,,"global, international",World; War; global; Her; Second
1035,کشمیر,Jammu Kashmir,5.56,Kaikki+ReadUrdu+word2word,True,True,True,"Jammu Kashmir (a union territory of India; capitals: Srinagar and Jammu); Azad Kashmir (an autonomous territory administered by Pakistan; capital: Muzaffarabad); Kashmir (a contested geographic region of South Asia in the northern part of the Indian subcontinent, located between (and de facto divided between) India, Pakistan and China)","name: Kashmir (a contested geographic region of South Asia in the northern part of the Indian subcontinent, located… | Platts:",towns; medium-sized; hypothesis; current; Kashmir
1036,کہیں,somewhere; anywhere,5.54,ReadUrdu+word2word,False,False,True,,"somewhere, anywhere",anywhere; somewhere; nowhere; Anywhere; wherever
1037,جسٹس,justice,5.52,ReadUrdu+word2word,False,False,True,,justice (judge's title),JUSTICE; justice; law; without; judges
1038,کورٹ,court,5.52,ReadUrdu+word2word,False,False,True,,court,court-martial; Court; Refuse; recourse; duration
1039,سندھ,Sindh; Sind; Scinde,5.51,Kaikki+ReadUrdu,True,False,False,"Sindh (a province of Pakistan); Sind, Scinde (a province of British India)","Sindh (a province of Pakistan); Indus (a river in the provinces of Sindh, Punjab and Khyber Pakhtunkhwa and the administrative territory of…; Sind, Scinde (a province of British India)",
1040,دیتا,gives,5.50,ReadUrdu+word2word,False,False,True,,gives (masculine of دینا),paying; gives; embassies; techniques; break-in
1041,رکھا,kept,5.48,ReadUrdu+word2word,False,False,True,,"kept, placed (of رکھنا)",kept; care; took; awake; gave
1042,سرکاری,official,5.48,ReadUrdu+word2word,False,False,True,,"governmental, official",official; officially; Officially; answer; Google-proof
1043,کہہ,say,5.47,ReadUrdu+word2word,False,False,True,,"say (stem of کہنا, as in کہہ دیا)",saying; telling; sayin; screams; Say
1044,بنایا,made; built,5.46,ReadUrdu+word2word,False,False,True,,"made, built (of بنانا)",made; built; granny; bounce; journey
1045,ایران,Iran,5.44,Kaikki+ReadUrdu+word2word,True,True,True,Iran (a country in West Asia),Iran,Iran; said; Are; Venezuela; or
1046,چاہتے,want,5.44,ReadUrdu+word2word,False,False,True,,want (plural of چاہنا),want; wish; wanna; Want; Festival
1047,افغانستان,Afghanistan,5.43,Kaikki+ReadUrdu+word2word,True,True,True,Afghanistan (a landlocked country between Central Asia and South Asia),Afghanistan,Afghanistan; alike; Camp; Chapman; invaded
1048,لی,took,5.42,ReadUrdu+word2word,False,False,True,,took (feminine of لینا),took; Le; Midnight; Wherever; meeting
1049,حدیث,hadith; a narration,5.40,Kaikki+ReadUrdu,True,False,False,hadith; a narration (ie. statement),"n. a narration (ie. statement); hadith | Platts: (fr. حدث, see ḥadas̤)",
1050,ہندوستان,India; Hindustan,5.40,Kaikki+ReadUrdu,True,False,False,"The Mughal Empire; India (a country in South Asia); Hindustan, the Indian subcontinent","India, Hindustan",
1051,نیوز,news,5.38,ReadUrdu+word2word,False,False,True,,news,Coast; news; East; newsstands; lines
1052,ابن,slave; offspring; son; child,5.37,Kaikki+ReadUrdu,True,False,False,"slave; offspring; son, child","n. son, child; offspring; slave | Platts: (used in comp. only, usually in its nom. form ibnu)",
1053,حالات,circumstances; conditions,5.37,ReadUrdu+word2word,False,False,True,,"circumstances, conditions",situation; circumstances; Conditions; optimal; Schizophrenia
1054,ملا,met,5.37,ReadUrdu+word2word,False,False,True,,"met, received (of ملنا); mullah",got; Got; found; met; SECOND
1055,بہترین,best,5.36,ReadUrdu+word2word,False,False,True,,"best, excellent",best; demands; Best; school; Detective
1056,نا,no; final emphatic particle,5.36,Kaikki+ReadUrdu,True,False,False,no; final emphatic particle,"pcl. final emphatic particle | n. no | prefix not, un-, non-, in- | Platts: (f. -nī) [Prk.",RIGHT; French; unacceptable; speak; surveillance
1057,شمار,s.f. Counting,5.35,ReadUrdu+word2word,False,False,True,,"s.f. Counting, reckoning, computing, numbering; calculation, amount, number; account, note, estimation: —…",count; condolence; letters; On; steps
1058,پیچھے,behind,5.35,ReadUrdu+word2word,False,False,True,,behind,behind; Back; Put; Slaves; Stand
1059,تعمیر,building,5.34,ReadUrdu+word2word,False,False,True,,"construction, building",build; built; rebuild; BUILT; REBUILD
1060,رپورٹ,report,5.34,ReadUrdu+word2word,False,False,True,,report,report; reported; REPORTS; RE; -Did
1061,چاہتا,wants,5.34,ReadUrdu+word2word,False,False,True,,wants (masculine),wants; wanted; WILL; wishes; Nizam
1062,یونیورسٹی,university,5.34,ReadUrdu+word2word,False,False,True,,university,University; hacked; bachelor; stored; university
1063,ایمان,faith; belief,5.33,Kaikki+ReadUrdu+word2word,True,True,True,creed; intention; faith; belief,"faith, belief; integrity",faith; Faith; Evasion; dishonesty; Synesius
1064,قیام,stay,5.33,ReadUrdu+word2word,False,False,True,,"stay, residence; establishment",formation; stay; visit; Keep; Mangrove
1065,نمبر,number; phone number,5.33,ReadUrdu+word2word,False,False,True,,"number, numeral; phone number",number; No; numbers; requested; calling
1066,میچ,match,5.32,ReadUrdu+word2word,False,False,True,,match (sports),be; coincidence; ZIP; 6; match
1067,ووٹ,vote,5.30,ReadUrdu+word2word,False,False,True,,vote,voted; Michelle; Chicago; Nominated; votes
1068,ڈالر,dollar,5.30,ReadUrdu+word2word,False,False,True,,dollar,dollars; billions; Dollars; bald; 1200
1069,کانفرنس,conference,5.30,ReadUrdu+word2word,False,False,True,,conference,conference; Sydney; Eyes; Five; -Press
1070,کمپنی,company,5.30,ReadUrdu+word2word,False,False,True,,company,company; named; affidavit; separation; confirming
1071,ملے,met,5.29,ReadUrdu+word2word,False,False,True,,"met, received (plural)",met; ice; Somebody; Tess; anxious
1072,چلا,went,5.29,ReadUrdu+word2word,False,False,True,,"moved, went (of چلنا)",gone; running; went; goes; stone
1073,تب,then,5.28,Kaikki+ReadUrdu+word2word,True,True,True,then,"adv. then | Platts: adv. & conj. Then, at that time; afterwards; thereupon; therefore, hence: — tab-bhī, adv. Even then, then too…",woods; Into; since; Then; Fine
1074,لفظ,word,5.28,Kaikki+ReadUrdu+word2word,True,True,True,"word, term",word,word; WORD; ANOTHER; SAY; PUT
1075,لندن,London (a city in Ontario; London (the capital city of the United Kingdom; the capital city of England),5.28,Kaikki+ReadUrdu+word2word,True,True,True,"London (a city in Ontario, Canada); London (the capital city of the United Kingdom; the capital city of England)",London (the capital city of the United Kingdom; the capital city of England),London; followed; Blackout; effect; throughout
1076,حساب,account; calculation; arithmetic,5.27,Kaikki+ReadUrdu,True,False,False,"account; viewpoint, perspective; calculation; arithmetic","n. account; calculation; arithmetic; bill (a list of items needed to paid for) | Platts: (inf. n. of حسب, and also of iii of حسب 'to number,' &c.)",miscalculation; anytime; tiny; One; anyone
1077,آیت,verse,5.26,Kaikki+ReadUrdu+word2word,True,True,True,verse (of the Qur'an),n. verse (of the Qur'an) | Platts: (for A. آية),verse; It; last; s; the
1078,تمہیں,contracted dative; accusative of تم,5.26,Kaikki+ReadUrdu,True,False,False,contracted dative/accusative of تم (tum),contracted dative/accusative of تم (tum),wanna; YOU; understand; sure; TO
1079,مطالبہ,demand,5.26,ReadUrdu+word2word,False,False,True,,demand,amnesty; demand; demanding; answers; committee
1080,اسرائیل,Israel,5.25,Kaikki+ReadUrdu+word2word,True,True,True,Israel (a country in Asia),Israel,Israel; immunity; contradict; Israelis; Anything
1081,مسیح,Christ; Messiah,5.25,Kaikki+ReadUrdu+word2word,True,True,True,"Christ, Messiah","n. Christ, Messiah | Platts:",Christ; Death; pagans; moonlighting; Applebee
1082,بلوچستان,a mountainous region of Afghanistan; Balochistan; Sistan and Baluchestan,5.24,Kaikki+ReadUrdu,True,False,False,a mountainous region of Afghanistan; Balochistan (a province of Pakistan); Sistan and Baluchestan (a province of Iran),Balochistan (a province of Pakistan); Balochistan (a region between the Middle East and South Asia),
