front,zipf,reason
کرنے,6.33,no_two_source_agreement
رہے,6.31,no_two_source_agreement
والے,6.27,no_two_source_agreement
ہونے,6.24,no_two_source_agreement
جائے,6.23,no_two_source_agreement
کرتے,6.20,no_two_source_agreement
رہا,6.16,no_two_source_agreement
گئی,6.12,no_two_source_agreement
پی,6.08,no_two_source_agreement
کریں,6.08,no_two_source_agreement
انہوں,6.05,no_two_source_agreement
جاتا,6.05,no_two_source_agreement
لوگوں,6.05,no_two_source_agreement
ہوئی,6.05,no_two_source_agreement
دے,6.04,no_two_source_agreement
بن,6.02,no_two_source_agreement
رہی,6.02,no_two_source_agreement
جا,5.97,no_two_source_agreement
کیلئے,5.97,no_two_source_agreement
ہوتی,5.93,no_two_source_agreement
والی,5.91,no_two_source_agreement
وسلم,5.88,no_two_source_agreement
کرے,5.87,no_two_source_agreement
جانے,5.81,no_two_source_agreement
ہوتے,5.81,no_two_source_agreement
ہوگا,5.80,no_two_source_agreement
ٹی,5.79,no_two_source_agreement
جاتی,5.78,no_two_source_agreement
جائیں,5.77,no_two_source_agreement
ایم,5.75,no_two_source_agreement
دینے,5.75,no_two_source_agreement
علیہ,5.75,no_two_source_agreement
نواز,5.75,no_two_source_agreement
جیسے,5.74,no_two_source_agreement
والا,5.74,no_two_source_agreement
دیں,5.72,no_two_source_agreement
جاتے,5.71,no_two_source_agreement
دونوں,5.69,no_two_source_agreement
علاوہ,5.69,no_two_source_agreement
کیے,5.69,no_two_source_agreement
ایس,5.68,no_two_source_agreement
میڈیا,5.68,no_two_source_agreement
والوں,5.67,no_two_source_agreement
لگا,5.65,no_two_source_agreement
لیگ,5.65,no_two_source_agreement
بی,5.63,no_two_source_agreement
تعالی,5.63,no_two_source_agreement
ڈی,5.63,no_two_source_agreement
علیہ,5.75,no_two_source_agreement
وزیراعظم,5.62,no_two_source_agreement
این,5.61,no_two_source_agreement
دیتے,5.61,no_two_source_agreement
صلی,5.61,agreement_but_no_clean_public_gloss
پوری,5.61,no_two_source_agreement
ایسی,5.60,no_two_source_agreement
بنانے,5.60,no_two_source_agreement
مل,5.60,no_two_source_agreement
آنے,5.59,no_two_source_agreement
ترین,5.59,no_two_source_agreement
ن,5.59,no_two_source_agreement
اعلان,5.57,no_two_source_agreement
آف,5.56,no_two_source_agreement
کرتی,5.56,no_two_source_agreement
الیکشن,5.54,no_two_source_agreement
کردیا,5.53,no_two_source_agreement
مولانا,5.52,no_two_source_agreement
لیں,5.51,no_two_source_agreement
کرکے,5.51,no_two_source_agreement
ہوگی,5.50,no_two_source_agreement
السلام,5.46,no_two_source_agreement
اہل,5.46,no_two_source_agreement
سکتی,5.46,no_two_source_agreement
نئے,5.46,no_two_source_agreement
فرمایا,5.42,no_two_source_agreement
لینے,5.42,no_two_source_agreement
مقام,5.42,no_two_source_agreement
زیر,5.41,no_two_source_agreement
حسن,5.40,no_two_source_agreement
سید,5.40,no_two_source_agreement
ا,5.39,no_two_source_agreement
رکھ,5.39,no_two_source_agreement
رکھنے,5.39,no_two_source_agreement
لکھا,5.39,no_two_source_agreement
تر,5.38,no_two_source_agreement
رکھتے,5.38,no_two_source_agreement
صلی,5.61,agreement_but_no_clean_public_gloss
چھوڑ,5.38,no_two_source_agreement
گردی,5.38,no_two_source_agreement
ہوگیا,5.38,no_two_source_agreement
ادارے,5.37,no_two_source_agreement
ذریعے,5.37,no_two_source_agreement
رہیں,5.37,no_two_source_agreement
سپریم,5.37,no_two_source_agreement
نبی,5.36,no_two_source_agreement
پورے,5.36,no_two_source_agreement
چاہئے,5.36,no_two_source_agreement
چکا,5.36,no_two_source_agreement
کیس,5.36,no_two_source_agreement
آتے,5.35,no_two_source_agreement
اقبال,5.34,no_two_source_agreement
کمیشن,5.33,no_two_source_agreement
ایل,5.32,no_two_source_agreement
حیثیت,5.32,no_two_source_agreement
سکے,5.32,no_two_source_agreement
آتی,5.31,no_two_source_agreement
باتیں,5.30,no_two_source_agreement
تمہارے,5.30,no_two_source_agreement
چوہدری,5.30,no_two_source_agreement
چکے,5.30,no_two_source_agreement
ڈال,5.30,no_two_source_agreement
سینٹ,5.29,no_two_source_agreement
پڑے,5.29,no_two_source_agreement
گئیں,5.29,no_two_source_agreement
اتنی,5.28,no_two_source_agreement
اداروں,5.28,no_two_source_agreement
بنی,5.28,no_two_source_agreement
درج,5.28,no_two_source_agreement
ایف,5.27,no_two_source_agreement
باوجود,5.27,no_two_source_agreement
تبدیلی,5.27,no_two_source_agreement
نتیجے,5.27,no_two_source_agreement
ویب,5.27,no_two_source_agreement
ٹاؤن,5.27,no_two_source_agreement
تمہیں,5.26,agreement_but_no_clean_public_gloss
چل,5.26,no_two_source_agreement
رہتے,5.25,no_two_source_agreement
لیتے,5.25,no_two_source_agreement
چلے,5.25,no_two_source_agreement
کردہ,5.25,no_two_source_agreement
الاقوامی,5.24,no_two_source_agreement
انھوں,5.24,no_two_source_agreement
رضی,5.24,no_two_source_agreement
نکل,5.24,no_two_source_agreement
حوالے,5.23,no_two_source_agreement
سارے,5.23,no_two_source_agreement
صوبائی,5.23,no_two_source_agreement
کونسل,5.23,no_two_source_agreement
ہوگئی,5.23,no_two_source_agreement
الدین,5.22,no_two_source_agreement
امریکا,5.22,agreement_but_no_clean_public_gloss
کئے,5.22,no_two_source_agreement
اٹھا,5.21,no_two_source_agreement
رکھے,5.21,no_two_source_agreement
چھ,5.21,no_two_source_agreement
حکمران,5.20,no_two_source_agreement
رکھی,5.20,no_two_source_agreement
لائن,5.20,no_two_source_agreement
مقابلہ,5.20,no_two_source_agreement
نیب,5.20,no_two_source_agreement
پیپلز,5.20,no_two_source_agreement
