front,zipf,reason
کرنے,6.33,no_clean_two_source_consensus
رہے,6.31,no_clean_two_source_consensus
والے,6.27,no_clean_two_source_consensus
ہونے,6.24,no_clean_two_source_consensus
جائے,6.23,no_clean_two_source_consensus
کرتے,6.20,no_clean_two_source_consensus
رہا,6.16,no_clean_two_source_consensus
گئی,6.12,no_clean_two_source_consensus
پی,6.08,no_clean_two_source_consensus
کریں,6.08,no_clean_two_source_consensus
انہوں,6.05,no_clean_two_source_consensus
جاتا,6.05,no_clean_two_source_consensus
لوگوں,6.05,no_clean_two_source_consensus
ہوئی,6.05,no_clean_two_source_consensus
دے,6.04,no_clean_two_source_consensus
بن,6.02,no_clean_two_source_consensus
رہی,6.02,no_clean_two_source_consensus
جا,5.97,no_clean_two_source_consensus
کیلئے,5.97,no_clean_two_source_consensus
ہوتی,5.93,no_clean_two_source_consensus
والی,5.91,no_clean_two_source_consensus
وسلم,5.88,no_clean_two_source_consensus
کرے,5.87,no_clean_two_source_consensus
جانے,5.81,no_clean_two_source_consensus
ہوتے,5.81,no_clean_two_source_consensus
ہوگا,5.80,no_clean_two_source_consensus
ٹی,5.79,no_clean_two_source_consensus
جاتی,5.78,no_clean_two_source_consensus
جائیں,5.77,no_clean_two_source_consensus
ایم,5.75,no_clean_two_source_consensus
دینے,5.75,no_clean_two_source_consensus
علیہ,5.75,no_clean_two_source_consensus
نواز,5.75,no_clean_two_source_consensus
جیسے,5.74,no_clean_two_source_consensus
والا,5.74,no_clean_two_source_consensus
دیں,5.72,no_clean_two_source_consensus
جاتے,5.71,no_clean_two_source_consensus
دونوں,5.69,no_clean_two_source_consensus
علاوہ,5.69,no_clean_two_source_consensus
کیے,5.69,no_clean_two_source_consensus
ایس,5.68,no_clean_two_source_consensus
میڈیا,5.68,no_clean_two_source_consensus
والوں,5.67,no_clean_two_source_consensus
لگا,5.65,no_clean_two_source_consensus
بی,5.63,no_clean_two_source_consensus
تعالی,5.63,no_clean_two_source_consensus
ڈی,5.63,no_clean_two_source_consensus
علیہ,5.75,no_clean_two_source_consensus
وزیراعظم,5.62,no_clean_two_source_consensus
این,5.61,no_clean_two_source_consensus
دیتے,5.61,no_clean_two_source_consensus
صلی,5.61,no_clean_two_source_consensus
پوری,5.61,no_clean_two_source_consensus
ایسی,5.60,no_clean_two_source_consensus
بنانے,5.60,no_clean_two_source_consensus
مل,5.60,no_clean_two_source_consensus
آنے,5.59,no_clean_two_source_consensus
ترین,5.59,no_clean_two_source_consensus
ن,5.59,no_clean_two_source_consensus
آف,5.56,no_clean_two_source_consensus
کرتی,5.56,no_clean_two_source_consensus
الیکشن,5.54,no_clean_two_source_consensus
کردیا,5.53,no_clean_two_source_consensus
مولانا,5.52,no_clean_two_source_consensus
