front,zipf,reason
کرنے,6.33,no_two_source_semantic_agreement
رہے,6.31,no_two_source_semantic_agreement
والے,6.27,no_two_source_semantic_agreement
ہونے,6.24,no_two_source_semantic_agreement
جائے,6.23,no_two_source_semantic_agreement
کرتے,6.20,no_two_source_semantic_agreement
رہا,6.16,no_two_source_semantic_agreement
گئی,6.12,no_two_source_semantic_agreement
پی,6.08,no_two_source_semantic_agreement
کریں,6.08,no_two_source_semantic_agreement
انہوں,6.05,no_two_source_semantic_agreement
جاتا,6.05,no_two_source_semantic_agreement
لوگوں,6.05,no_two_source_semantic_agreement
ہوئی,6.05,no_two_source_semantic_agreement
دے,6.04,no_two_source_semantic_agreement
بن,6.02,no_two_source_semantic_agreement
رہی,6.02,no_two_source_semantic_agreement
جا,5.97,no_two_source_semantic_agreement
کیلئے,5.97,no_two_source_semantic_agreement
ہوتی,5.93,no_two_source_semantic_agreement
والی,5.91,no_two_source_semantic_agreement
وسلم,5.88,no_two_source_semantic_agreement
کرے,5.87,no_two_source_semantic_agreement
جانے,5.81,no_two_source_semantic_agreement
ہوتے,5.81,no_two_source_semantic_agreement
ہوگا,5.80,no_two_source_semantic_agreement
ٹی,5.79,no_two_source_semantic_agreement
جاتی,5.78,no_two_source_semantic_agreement
جائیں,5.77,no_two_source_semantic_agreement
ایم,5.75,no_two_source_semantic_agreement
دینے,5.75,no_two_source_semantic_agreement
علیہ,5.75,no_two_source_semantic_agreement
نواز,5.75,no_two_source_semantic_agreement
جیسے,5.74,no_two_source_semantic_agreement
والا,5.74,no_two_source_semantic_agreement
دیں,5.72,no_two_source_semantic_agreement
جاتے,5.71,no_two_source_semantic_agreement
دونوں,5.69,no_two_source_semantic_agreement
علاوہ,5.69,no_two_source_semantic_agreement
کیے,5.69,no_two_source_semantic_agreement
ایس,5.68,no_two_source_semantic_agreement
میڈیا,5.68,no_two_source_semantic_agreement
والوں,5.67,no_two_source_semantic_agreement
لگا,5.65,no_two_source_semantic_agreement
لیگ,5.65,no_two_source_semantic_agreement
بی,5.63,no_two_source_semantic_agreement
تعالی,5.63,no_two_source_semantic_agreement
ڈی,5.63,no_two_source_semantic_agreement
کہتے,5.63,raw_grammatical_metadata_only
علیہ,5.75,no_two_source_semantic_agreement
وزیراعظم,5.62,no_two_source_semantic_agreement
این,5.61,no_two_source_semantic_agreement
دیتے,5.61,no_two_source_semantic_agreement
پوری,5.61,no_two_source_semantic_agreement
ایسی,5.60,no_two_source_semantic_agreement
بنانے,5.60,no_two_source_semantic_agreement
مل,5.60,no_two_source_semantic_agreement
آنے,5.59,no_two_source_semantic_agreement
ترین,5.59,no_two_source_semantic_agreement
ن,5.59,no_two_source_semantic_agreement
اعلان,5.57,no_two_source_semantic_agreement
آف,5.56,no_two_source_semantic_agreement
کرتی,5.56,no_two_source_semantic_agreement
الیکشن,5.54,no_two_source_semantic_agreement
کردیا,5.53,no_two_source_semantic_agreement
مولانا,5.52,no_two_source_semantic_agreement
لیں,5.51,no_two_source_semantic_agreement
کرکے,5.51,no_two_source_semantic_agreement
ہوگی,5.50,no_two_source_semantic_agreement
السلام,5.46,no_two_source_semantic_agreement
اہل,5.46,no_two_source_semantic_agreement
سکتی,5.46,no_two_source_semantic_agreement
نئے,5.46,no_two_source_semantic_agreement
تحت,5.44,no_two_source_semantic_agreement
فرمایا,5.42,no_two_source_semantic_agreement
لینے,5.42,no_two_source_semantic_agreement
مقام,5.42,no_two_source_semantic_agreement
زیر,5.41,no_two_source_semantic_agreement
آتا,5.40,no_two_source_semantic_agreement
حسن,5.40,no_two_source_semantic_agreement
سید,5.40,no_two_source_semantic_agreement
ا,5.39,no_two_source_semantic_agreement
رکھ,5.39,no_two_source_semantic_agreement
رکھنے,5.39,no_two_source_semantic_agreement
لکھا,5.39,no_two_source_semantic_agreement
تر,5.38,no_two_source_semantic_agreement
رکھتے,5.38,no_two_source_semantic_agreement
چھوڑ,5.38,no_two_source_semantic_agreement
گردی,5.38,no_two_source_semantic_agreement
ہوگیا,5.38,no_two_source_semantic_agreement
ادارے,5.37,no_two_source_semantic_agreement
بین,5.37,no_two_source_semantic_agreement
ذریعے,5.37,no_two_source_semantic_agreement
رہیں,5.37,no_two_source_semantic_agreement
سپریم,5.37,no_two_source_semantic_agreement
نبی,5.36,no_two_source_semantic_agreement
پورے,5.36,no_two_source_semantic_agreement
چاہئے,5.36,no_two_source_semantic_agreement
چکا,5.36,no_two_source_semantic_agreement
کیس,5.36,no_two_source_semantic_agreement
آتے,5.35,no_two_source_semantic_agreement
پہنچ,5.35,no_two_source_semantic_agreement
اقبال,5.34,no_two_source_semantic_agreement
کمیشن,5.33,no_two_source_semantic_agreement
ایل,5.32,no_two_source_semantic_agreement
حیثیت,5.32,no_two_source_semantic_agreement
سکے,5.32,no_two_source_semantic_agreement
گرفتار,5.32,no_two_source_semantic_agreement
آتی,5.31,no_two_source_semantic_agreement
جمع,5.31,agreement_without_clean_learner_fragment
باتیں,5.30,no_two_source_semantic_agreement
تمہارے,5.30,no_two_source_semantic_agreement
چوہدری,5.30,no_two_source_semantic_agreement
چکے,5.30,no_two_source_semantic_agreement
ڈال,5.30,no_two_source_semantic_agreement
زخمی,5.29,no_two_source_semantic_agreement
سینٹ,5.29,no_two_source_semantic_agreement
پڑے,5.29,no_two_source_semantic_agreement
گئیں,5.29,no_two_source_semantic_agreement
اتنی,5.28,no_two_source_semantic_agreement
اداروں,5.28,no_two_source_semantic_agreement
بنی,5.28,no_two_source_semantic_agreement
درج,5.28,no_two_source_semantic_agreement
ایف,5.27,no_two_source_semantic_agreement
باوجود,5.27,no_two_source_semantic_agreement
تبدیلی,5.27,no_two_source_semantic_agreement
خطاب,5.27,no_two_source_semantic_agreement
رہنے,5.27,raw_grammatical_metadata_only
نتیجے,5.27,no_two_source_semantic_agreement
ویب,5.27,no_two_source_semantic_agreement
ٹاؤن,5.27,no_two_source_semantic_agreement
تلاش,5.26,no_two_source_semantic_agreement
چل,5.26,no_two_source_semantic_agreement
رہتے,5.25,no_two_source_semantic_agreement
لیتے,5.25,no_two_source_semantic_agreement
چلے,5.25,no_two_source_semantic_agreement
کردہ,5.25,no_two_source_semantic_agreement
الاقوامی,5.24,no_two_source_semantic_agreement
انھوں,5.24,no_two_source_semantic_agreement
رضی,5.24,no_two_source_semantic_agreement
نکل,5.24,no_two_source_semantic_agreement
حوالے,5.23,no_two_source_semantic_agreement
سارے,5.23,no_two_source_semantic_agreement
صوبائی,5.23,no_two_source_semantic_agreement
کونسل,5.23,no_two_source_semantic_agreement
کہنے,5.23,raw_grammatical_metadata_only
ہوگئی,5.23,no_two_source_semantic_agreement
الدین,5.22,no_two_source_semantic_agreement
کئے,5.22,no_two_source_semantic_agreement
اٹھا,5.21,no_two_source_semantic_agreement
رکھے,5.21,no_two_source_semantic_agreement
چھ,5.21,no_two_source_semantic_agreement
حکمران,5.20,no_two_source_semantic_agreement
رکھی,5.20,no_two_source_semantic_agreement
لائن,5.20,no_two_source_semantic_agreement
مقابلہ,5.20,no_two_source_semantic_agreement
نیب,5.20,no_two_source_semantic_agreement
پیپلز,5.20,no_two_source_semantic_agreement
کردی,5.20,no_two_source_semantic_agreement
آئیں,5.19,no_two_source_semantic_agreement
بننے,5.19,no_two_source_semantic_agreement
بھٹو,5.19,no_two_source_semantic_agreement
دیتی,5.19,no_two_source_semantic_agreement
دیر,5.19,no_two_source_semantic_agreement
دیے,5.19,no_two_source_semantic_agreement
محمود,5.19,no_two_source_semantic_agreement
معلومات,5.19,no_two_source_semantic_agreement
چھوٹے,5.19,no_two_source_semantic_agreement
چیئرمین,5.19,no_two_source_semantic_agreement
آصف,5.18,no_two_source_semantic_agreement
رکن,5.18,no_two_source_semantic_agreement
سماجی,5.18,no_two_source_semantic_agreement
شدہ,5.18,no_two_source_semantic_agreement
لگتا,5.18,no_two_source_semantic_agreement
لگی,5.18,no_two_source_semantic_agreement
م,5.18,no_two_source_semantic_agreement
مشتمل,5.18,no_two_source_semantic_agreement
منتقل,5.18,agreement_without_clean_learner_fragment
پڑا,5.18,no_two_source_semantic_agreement
جنہوں,5.17,no_two_source_semantic_agreement
ملنے,5.17,no_two_source_semantic_agreement
میر,5.17,no_two_source_semantic_agreement
نتائج,5.17,no_two_source_semantic_agreement
کھانے,5.17,no_two_source_semantic_agreement
ہوگئے,5.17,no_two_source_semantic_agreement
ای,5.16,no_two_source_semantic_agreement
علامہ,5.16,no_two_source_semantic_agreement
مار,5.16,no_two_source_semantic_agreement
مقرر,5.16,no_two_source_semantic_agreement
کررہے,5.16,no_two_source_semantic_agreement
گرد,5.16,no_two_source_semantic_agreement
بنے,5.15,no_two_source_semantic_agreement
سمجھتے,5.15,raw_grammatical_metadata_only
شریک,5.15,no_two_source_semantic_agreement
شمالی,5.15,no_two_source_semantic_agreement
نیشنل,5.15,no_two_source_semantic_agreement
پروگرام,5.15,no_two_source_semantic_agreement
کرپشن,5.15,no_two_source_semantic_agreement
کہتا,5.15,no_two_source_semantic_agreement
آل,5.14,no_two_source_semantic_agreement
جے,5.14,no_two_source_semantic_agreement
خیبر,5.14,no_two_source_semantic_agreement
سوشل,5.14,no_two_source_semantic_agreement
صورتحال,5.14,no_two_source_semantic_agreement
متاثر,5.14,no_two_source_semantic_agreement
مہم,5.14,no_two_source_semantic_agreement
نکال,5.14,no_two_source_semantic_agreement
انھیں,5.13,no_two_source_semantic_agreement
سلسلے,5.13,no_two_source_semantic_agreement
فرق,5.13,no_two_source_semantic_agreement
لیئے,5.13,no_two_source_semantic_agreement
مودی,5.13,no_two_source_semantic_agreement
یو,5.13,no_two_source_semantic_agreement
انتخابی,5.12,no_two_source_semantic_agreement
بطور,5.12,no_two_source_semantic_agreement
بیٹھے,5.12,no_two_source_semantic_agreement
تعلیمی,5.12,no_two_source_semantic_agreement
زرداری,5.12,no_two_source_semantic_agreement
مقابلے,5.12,no_two_source_semantic_agreement
ایچ,5.11,no_two_source_semantic_agreement
طویل,5.11,no_two_source_semantic_agreement
عنہ,5.11,no_two_source_semantic_agreement
مریم,5.11,no_two_source_semantic_agreement
وزیراعلی,5.11,no_two_source_semantic_agreement
اینڈ,5.10,no_two_source_semantic_agreement
رکھنا,5.10,no_two_source_semantic_agreement
سائٹ,5.10,no_two_source_semantic_agreement
صوبے,5.10,raw_grammatical_metadata_only
کرنی,5.10,no_two_source_semantic_agreement
کروں,5.10,no_two_source_semantic_agreement
ہائی,5.10,no_two_source_semantic_agreement
ہزاروں,5.10,no_two_source_semantic_agreement
الحق,5.09,no_two_source_semantic_agreement
جیسی,5.09,no_two_source_semantic_agreement
رکھیں,5.09,no_two_source_semantic_agreement
سمجھا,5.09,no_two_source_semantic_agreement
عبد,5.09,no_two_source_semantic_agreement
فائرنگ,5.09,no_two_source_semantic_agreement
قائد,5.09,no_two_source_semantic_agreement
لو,5.09,no_two_source_semantic_agreement
لینڈ,5.09,no_two_source_semantic_agreement
لیڈر,5.09,no_two_source_semantic_agreement
پریس,5.09,no_two_source_semantic_agreement
ارکان,5.08,no_two_source_semantic_agreement
رہتی,5.08,no_two_source_semantic_agreement
شخصیت,5.08,no_two_source_semantic_agreement
فیصلے,5.08,raw_grammatical_metadata_only
پایا,5.08,no_two_source_semantic_agreement
پرویز,5.08,no_two_source_semantic_agreement
پوچھا,5.08,no_two_source_semantic_agreement
پڑھ,5.08,raw_grammatical_metadata_only
کاری,5.08,no_two_source_semantic_agreement
یونین,5.08,no_two_source_semantic_agreement
اپوزیشن,5.07,no_two_source_semantic_agreement
برائے,5.07,no_two_source_semantic_agreement
تقریب,5.07,no_two_source_semantic_agreement
جاسکتا,5.07,no_two_source_semantic_agreement
حصے,5.07,raw_grammatical_metadata_only
سنی,5.07,no_two_source_semantic_agreement
لحاظ,5.07,no_two_source_semantic_agreement
گردوں,5.07,no_two_source_semantic_agreement
الرحمن,5.06,no_two_source_semantic_agreement
عرصہ,5.06,no_two_source_semantic_agreement
مرزا,5.06,no_two_source_semantic_agreement
نوازشریف,5.06,no_two_source_semantic_agreement
زائد,5.05,no_two_source_semantic_agreement
سوا,5.05,no_two_source_semantic_agreement
عباس,5.05,no_two_source_semantic_agreement
معاشی,5.05,no_two_source_semantic_agreement
ملتا,5.05,no_two_source_semantic_agreement
چھوٹی,5.05,no_two_source_semantic_agreement
کانگریس,5.05,no_two_source_semantic_agreement
اتنے,5.04,no_two_source_semantic_agreement
دوسروں,5.04,no_two_source_semantic_agreement
سری,5.04,no_two_source_semantic_agreement
لگانے,5.04,no_two_source_semantic_agreement
مین,5.04,no_two_source_semantic_agreement
پائی,5.04,no_two_source_semantic_agreement
پڑتا,5.04,no_two_source_semantic_agreement
ہوجائے,5.04,no_two_source_semantic_agreement
جارہا,5.03,no_two_source_semantic_agreement
حلقے,5.03,no_two_source_semantic_agreement
سعید,5.03,no_two_source_semantic_agreement
شعبہ,5.03,no_two_source_semantic_agreement
عملی,5.03,no_two_source_semantic_agreement
معاشرے,5.03,no_two_source_semantic_agreement
پہنچا,5.03,no_two_source_semantic_agreement
گورنر,5.03,no_two_source_semantic_agreement
یافتہ,5.03,no_two_source_semantic_agreement
باتوں,5.02,no_two_source_semantic_agreement
صحابہ,5.02,no_two_source_semantic_agreement
عرصے,5.02,no_two_source_semantic_agreement
قسمت,5.02,no_two_source_semantic_agreement
نثار,5.02,no_two_source_semantic_agreement
ٹیسٹ,5.02,no_two_source_semantic_agreement
پائے,5.02,no_two_source_semantic_agreement
کیں,5.02,no_two_source_semantic_agreement
الزامات,5.01,no_two_source_semantic_agreement
الہی,5.01,no_two_source_semantic_agreement
بنائے,5.01,no_two_source_semantic_agreement
بک,5.01,no_two_source_semantic_agreement
تمہاری,5.01,no_two_source_semantic_agreement
خطے,5.01,no_two_source_semantic_agreement
قبضہ,5.01,no_two_source_semantic_agreement
مجلس,5.01,no_two_source_semantic_agreement
مجموعی,5.01,no_two_source_semantic_agreement
نمایاں,5.01,no_two_source_semantic_agreement
پچھلے,5.01,no_two_source_semantic_agreement
ھے,5.01,no_two_source_semantic_agreement
اسکے,5.00,no_two_source_semantic_agreement
بولا,5.00,no_two_source_semantic_agreement
جانتا,5.00,no_two_source_semantic_agreement
سردار,5.00,no_two_source_semantic_agreement
لگایا,5.00,no_two_source_semantic_agreement
پڑ,5.00,no_two_source_semantic_agreement
اندازہ,4.99,no_two_source_semantic_agreement
رشتہ,4.99,no_two_source_semantic_agreement
فرما,4.99,no_two_source_semantic_agreement
لکھ,4.99,no_two_source_semantic_agreement
مالی,4.99,no_two_source_semantic_agreement
ملتی,4.99,no_two_source_semantic_agreement
پابندی,4.99,no_two_source_semantic_agreement
اکرم,4.98,no_two_source_semantic_agreement
جارہی,4.98,no_two_source_semantic_agreement
جدوجہد,4.98,no_two_source_semantic_agreement
سیریز,4.98,no_two_source_semantic_agreement
شیعہ,4.98,no_two_source_semantic_agreement
ع,4.98,no_two_source_semantic_agreement
عہدے,4.98,no_two_source_semantic_agreement
متعلقہ,4.98,no_two_source_semantic_agreement
حامل,4.97,no_two_source_semantic_agreement
ریاستی,4.97,no_two_source_semantic_agreement
س,4.97,no_two_source_semantic_agreement
سالوں,4.97,no_two_source_semantic_agreement
فیس,4.97,no_two_source_semantic_agreement
نسبت,4.97,no_two_source_semantic_agreement
ٹیکنالوجی,4.97,no_two_source_semantic_agreement
کیو,4.97,no_two_source_semantic_agreement
گر,4.97,no_two_source_semantic_agreement
ء,4.96,no_two_source_semantic_agreement
اپیل,4.96,no_two_source_semantic_agreement
باب,4.96,no_two_source_semantic_agreement
بھیجا,4.96,no_two_source_semantic_agreement
رکھتی,4.96,no_two_source_semantic_agreement
سکیں,4.96,no_two_source_semantic_agreement
لکھے,4.96,no_two_source_semantic_agreement
منعقد,4.96,no_two_source_semantic_agreement
مکہ,4.96,no_two_source_semantic_agreement
ویسے,4.96,no_two_source_semantic_agreement
پہنچے,4.96,no_two_source_semantic_agreement
کرلیا,4.96,no_two_source_semantic_agreement
کیخلاف,4.96,no_two_source_semantic_agreement
ہوئیں,4.96,no_two_source_semantic_agreement
آن,4.95,no_two_source_semantic_agreement
آنکھیں,4.95,no_two_source_semantic_agreement
بتا,4.95,no_two_source_semantic_agreement
بورڈ,4.95,no_two_source_semantic_agreement
تعاون,4.95,no_two_source_semantic_agreement
ر,4.95,no_two_source_semantic_agreement
سلمان,4.95,no_two_source_semantic_agreement
طلبہ,4.95,no_two_source_semantic_agreement
فروغ,4.95,no_two_source_semantic_agreement
لاکھوں,4.95,no_two_source_semantic_agreement
کارکنوں,4.95,no_two_source_semantic_agreement
کوریا,4.95,no_two_source_semantic_agreement
ہاؤس,4.95,no_two_source_semantic_agreement
اداکارہ,4.94,no_two_source_semantic_agreement
ت,4.94,no_two_source_semantic_agreement
حکومتی,4.94,no_two_source_semantic_agreement
سالہ,4.94,no_two_source_semantic_agreement
فاروق,4.94,no_two_source_semantic_agreement
لائے,4.94,no_two_source_semantic_agreement
لگائے,4.94,no_two_source_semantic_agreement
کربلا,4.94,no_two_source_semantic_agreement
بخاری,4.93,no_two_source_semantic_agreement
دیئے,4.93,no_two_source_semantic_agreement
سیکیورٹی,4.93,no_two_source_semantic_agreement
وابستہ,4.93,no_two_source_semantic_agreement
کتابوں,4.93,no_two_source_semantic_agreement
کھا,4.93,no_two_source_semantic_agreement
گو,4.93,no_two_source_semantic_agreement
اسکی,4.92,no_two_source_semantic_agreement
انڈین,4.92,no_two_source_semantic_agreement
بالا,4.92,no_two_source_semantic_agreement
براہ,4.92,no_two_source_semantic_agreement
حقیقی,4.92,no_two_source_semantic_agreement
راجہ,4.92,no_two_source_semantic_agreement
روایات,4.92,no_two_source_semantic_agreement
عامر,4.92,no_two_source_semantic_agreement
فائنل,4.92,no_two_source_semantic_agreement
فرماتے,4.92,no_two_source_semantic_agreement
ماڈل,4.92,no_two_source_semantic_agreement
بھرپور,4.91,no_two_source_semantic_agreement
خانے,4.91,no_two_source_semantic_agreement
سسٹم,4.91,no_two_source_semantic_agreement
سونے,4.91,no_two_source_semantic_agreement
شان,4.91,no_two_source_semantic_agreement
ص,4.91,no_two_source_semantic_agreement
طریقے,4.91,no_two_source_semantic_agreement
مواد,4.91,no_two_source_semantic_agreement
مہینے,4.91,no_two_source_semantic_agreement
پالیسی,4.91,no_two_source_semantic_agreement
پوسٹ,4.91,no_two_source_semantic_agreement
چیک,4.91,no_two_source_semantic_agreement
ہ,4.91,no_two_source_semantic_agreement
انکے,4.90,no_two_source_semantic_agreement
رقم,4.90,no_two_source_semantic_agreement
پڑی,4.90,no_two_source_semantic_agreement
ڈالا,4.90,no_two_source_semantic_agreement
کتنی,4.90,no_two_source_semantic_agreement
کھول,4.90,no_two_source_semantic_agreement
انکی,4.89,no_two_source_semantic_agreement
تیزی,4.89,no_two_source_semantic_agreement
جاں,4.89,no_two_source_semantic_agreement
حکمرانوں,4.89,no_two_source_semantic_agreement
حیدرآباد,4.89,no_two_source_semantic_agreement
خبریں,4.89,no_two_source_semantic_agreement
دریافت,4.89,no_two_source_semantic_agreement
دھماکے,4.89,raw_grammatical_metadata_only
ذیل,4.89,no_two_source_semantic_agreement
سازی,4.89,no_two_source_semantic_agreement
شہریوں,4.89,raw_grammatical_metadata_only
عباسی,4.89,no_two_source_semantic_agreement
پڑھیں,4.89,no_two_source_semantic_agreement
آپس,4.88,no_two_source_semantic_agreement
بھیج,4.88,no_two_source_semantic_agreement
تجویز,4.88,no_two_source_semantic_agreement
خالد,4.88,no_two_source_semantic_agreement
صادق,4.88,no_two_source_semantic_agreement
نیٹ,4.88,no_two_source_semantic_agreement
کتنے,4.88,raw_grammatical_metadata_only
اثرات,4.87,no_two_source_semantic_agreement
انسانوں,4.87,no_two_source_semantic_agreement
بولنے,4.87,raw_grammatical_metadata_only
بچانے,4.87,no_two_source_semantic_agreement
جاؤ,4.87,no_two_source_semantic_agreement
صدیقی,4.87,no_two_source_semantic_agreement
لانے,4.87,no_two_source_semantic_agreement
لکھتے,4.87,raw_grammatical_metadata_only
لکھی,4.87,no_two_source_semantic_agreement
مارے,4.87,no_two_source_semantic_agreement
ٹیلی,4.87,no_two_source_semantic_agreement
پرانے,4.87,raw_grammatical_metadata_only
ہوکر,4.87,no_two_source_semantic_agreement
احادیث,4.86,no_two_source_semantic_agreement
اٹھانے,4.86,no_two_source_semantic_agreement
تھوڑی,4.86,no_two_source_semantic_agreement
حیدر,4.86,no_two_source_semantic_agreement
د,4.86,no_two_source_semantic_agreement
دئیے,4.86,no_two_source_semantic_agreement
زبردست,4.86,no_two_source_semantic_agreement
سعد,4.86,no_two_source_semantic_agreement
سننے,4.86,raw_grammatical_metadata_only
مر,4.86,no_two_source_semantic_agreement
مسلح,4.86,no_two_source_semantic_agreement
مولوی,4.86,no_two_source_semantic_agreement
وسطی,4.86,no_two_source_semantic_agreement
پرست,4.86,no_two_source_semantic_agreement
پیمانے,4.86,no_two_source_semantic_agreement
چودھری,4.86,no_two_source_semantic_agreement
ڈیم,4.86,no_two_source_semantic_agreement
گزار,4.86,no_two_source_semantic_agreement
ہوسکتا,4.86,no_two_source_semantic_agreement
ہونی,4.86,no_two_source_semantic_agreement
انہی,4.85,no_two_source_semantic_agreement
بحق,4.85,no_two_source_semantic_agreement
بنائیں,4.85,no_two_source_semantic_agreement
حصول,4.85,no_two_source_semantic_agreement
حلقوں,4.85,no_two_source_semantic_agreement
خاتمے,4.85,no_two_source_semantic_agreement
ریلوے,4.85,no_two_source_semantic_agreement
ورلڈ,4.85,no_two_source_semantic_agreement
پڑھنے,4.85,raw_grammatical_metadata_only
ڈائریکٹر,4.85,no_two_source_semantic_agreement
کررہا,4.85,no_two_source_semantic_agreement
کھلاڑیوں,4.85,no_two_source_semantic_agreement
آگیا,4.84,no_two_source_semantic_agreement
اراکین,4.84,no_two_source_semantic_agreement
اقدامات,4.84,no_two_source_semantic_agreement
بھول,4.84,no_two_source_semantic_agreement
تیرے,4.84,no_two_source_semantic_agreement
دوں,4.84,no_two_source_semantic_agreement
دکھائی,4.84,no_two_source_semantic_agreement
روایتی,4.84,no_two_source_semantic_agreement
سڑکوں,4.84,no_two_source_semantic_agreement
شخصیات,4.84,no_two_source_semantic_agreement
مبینہ,4.84,no_two_source_semantic_agreement
مرتب,4.84,no_two_source_semantic_agreement
مفاد,4.84,no_two_source_semantic_agreement
منصوبے,4.84,no_two_source_semantic_agreement
پیپلزپارٹی,4.84,no_two_source_semantic_agreement
چلتا,4.84,no_two_source_semantic_agreement
چلنے,4.84,no_two_source_semantic_agreement
کتابیں,4.84,raw_grammatical_metadata_only
کرام,4.84,no_two_source_semantic_agreement
کھل,4.84,no_two_source_semantic_agreement
بر,4.83,no_two_source_semantic_agreement
تے,4.83,no_two_source_semantic_agreement
حزب,4.83,no_two_source_semantic_agreement
رشید,4.83,no_two_source_semantic_agreement
ساز,4.83,no_two_source_semantic_agreement
شمولیت,4.83,no_two_source_semantic_agreement
عائشہ,4.83,no_two_source_semantic_agreement
علوم,4.83,no_two_source_semantic_agreement
فیض,4.83,no_two_source_semantic_agreement
قدرتی,4.83,no_two_source_semantic_agreement
لڑکیوں,4.83,raw_grammatical_metadata_only
لیکر,4.83,no_two_source_semantic_agreement
ملزمان,4.83,no_two_source_semantic_agreement
وے,4.83,no_two_source_semantic_agreement
ٹریفک,4.83,no_two_source_semantic_agreement
پختونخوا,4.83,no_two_source_semantic_agreement
اشارہ,4.82,no_two_source_semantic_agreement
جتنا,4.82,no_two_source_semantic_agreement
حلف,4.82,no_two_source_semantic_agreement
سربراہی,4.82,no_two_source_semantic_agreement
سلیم,4.82,no_two_source_semantic_agreement
شپ,4.82,no_two_source_semantic_agreement
فائز,4.82,no_two_source_semantic_agreement
نوٹ,4.82,no_two_source_semantic_agreement
وہیں,4.82,no_two_source_semantic_agreement
ڈالنے,4.82,no_two_source_semantic_agreement
کشمیری,4.82,no_two_source_semantic_agreement
اٹھ,4.81,no_two_source_semantic_agreement
بزرگ,4.81,no_two_source_semantic_agreement
بچا,4.81,no_two_source_semantic_agreement
بیشتر,4.81,no_two_source_semantic_agreement
جامع,4.81,no_two_source_semantic_agreement
جتنی,4.81,no_two_source_semantic_agreement
دستیاب,4.81,no_two_source_semantic_agreement
سیکرٹری,4.81,no_two_source_semantic_agreement
عائد,4.81,no_two_source_semantic_agreement
عدلیہ,4.81,no_two_source_semantic_agreement
فاطمہ,4.81,no_two_source_semantic_agreement
قریشی,4.81,no_two_source_semantic_agreement
مصطفی,4.81,no_two_source_semantic_agreement
ورک,4.81,no_two_source_semantic_agreement
وصول,4.81,no_two_source_semantic_agreement
پیک,4.81,no_two_source_semantic_agreement
ڈے,4.81,no_two_source_semantic_agreement
کیساتھ,4.81,no_two_source_semantic_agreement
ہمراہ,4.81,no_two_source_semantic_agreement
آکر,4.80,no_two_source_semantic_agreement
ایکشن,4.80,no_two_source_semantic_agreement
جات,4.80,no_two_source_semantic_agreement
حضرات,4.80,no_two_source_semantic_agreement
سکیورٹی,4.80,no_two_source_semantic_agreement
قریبی,4.80,no_two_source_semantic_agreement
لکھنے,4.80,no_two_source_semantic_agreement
