frequency,front,kaikki,readurdu,reason,word2word
64589,کرنے,,,no_direct_mapping_and_not_indowordnet_lemma,
61762,تہا,,,no_direct_mapping_and_not_indowordnet_lemma,
61090,کہا,,,no_direct_mapping_and_not_indowordnet_lemma,
47470,جائے,,,no_direct_mapping_and_not_indowordnet_lemma,
43418,تہے,,,no_direct_mapping_and_not_indowordnet_lemma,
39903,انہوں,,,no_direct_mapping_and_not_indowordnet_lemma,
39784,رہے,,,no_direct_mapping_and_not_indowordnet_lemma,
38807,ساتہ,,,no_direct_mapping_and_not_indowordnet_lemma,
37351,کریں,,,no_direct_mapping_and_not_indowordnet_lemma,
34818,کرتے,,,no_direct_mapping_and_not_indowordnet_lemma,
34212,ہونے,,,no_direct_mapping_and_not_indowordnet_lemma,
34143,گئے,,,no_direct_mapping_and_not_indowordnet_lemma,
33589,والے,,,no_direct_mapping_and_not_indowordnet_lemma,
32228,جا,,,no_direct_mapping_and_not_indowordnet_lemma,
31627,تہی,,,no_direct_mapping_and_not_indowordnet_lemma,
31279,گئی,,,no_direct_mapping_and_not_indowordnet_lemma,
30164,کیلئے,,,no_direct_mapping_and_not_indowordnet_lemma,
29272,رہا,,,no_direct_mapping_and_not_indowordnet_lemma,
25044,رہی,,,no_direct_mapping_and_not_indowordnet_lemma,
24185,جاتا,,,no_direct_mapping_and_not_indowordnet_lemma,
21568,کچہ,,,no_direct_mapping_and_not_indowordnet_lemma,
19935,ہوتی,,,no_direct_mapping_and_not_indowordnet_lemma,
19654,ٹیم,,,no_direct_mapping_and_not_indowordnet_lemma,
19140,بی,,,no_direct_mapping_and_not_indowordnet_lemma,
19080,ہوئی,,,no_direct_mapping_and_not_indowordnet_lemma,
18132,سکتا,,,no_direct_mapping_and_not_indowordnet_lemma,
17951,دے,,,no_direct_mapping_and_not_indowordnet_lemma,
17644,لوگوں,,,no_direct_mapping_and_not_indowordnet_lemma,
17374,جاتی,,,no_direct_mapping_and_not_indowordnet_lemma,
16822,بارے,,,no_direct_mapping_and_not_indowordnet_lemma,
15569,جائیں,,,no_direct_mapping_and_not_indowordnet_lemma,
15557,لیا,,,no_direct_mapping_and_not_indowordnet_lemma,
15262,جانے,,,no_direct_mapping_and_not_indowordnet_lemma,
14970,کئے,,,no_direct_mapping_and_not_indowordnet_lemma,
14811,پی,,,no_direct_mapping_and_not_indowordnet_lemma,
13202,ہوتے,,,no_direct_mapping_and_not_indowordnet_lemma,
12767,ایم,,,no_direct_mapping_and_not_indowordnet_lemma,
12459,پرنٹ,,,no_direct_mapping_and_not_indowordnet_lemma,
12353,مجہے,,,no_direct_mapping_and_not_indowordnet_lemma,
12213,کہیل,,,no_direct_mapping_and_not_indowordnet_lemma,
12200,کیجیئے,,,no_direct_mapping_and_not_indowordnet_lemma,
12199,کرے,,,no_direct_mapping_and_not_indowordnet_lemma,
12034,سکتے,,,no_direct_mapping_and_not_indowordnet_lemma,
11973,گہر,,,no_direct_mapping_and_not_indowordnet_lemma,
11618,جاتے,,,no_direct_mapping_and_not_indowordnet_lemma,
11225,سکتی,,,no_direct_mapping_and_not_indowordnet_lemma,
10756,بن,,,no_direct_mapping_and_not_indowordnet_lemma,
10570,دیں,,,no_direct_mapping_and_not_indowordnet_lemma,
10490,سکے,,,no_direct_mapping_and_not_indowordnet_lemma,
10449,ٹی,,,no_direct_mapping_and_not_indowordnet_lemma,
10245,خبریں,,,no_direct_mapping_and_not_indowordnet_lemma,
9568,سیریز,,,no_direct_mapping_and_not_indowordnet_lemma,
8927,کبہی,,,no_direct_mapping_and_not_indowordnet_lemma,
8818,دینے,,,no_direct_mapping_and_not_indowordnet_lemma,
8769,آنے,,,no_direct_mapping_and_not_indowordnet_lemma,
8359,سید,,,no_direct_mapping_and_not_indowordnet_lemma,
8144,بہارتی,,,no_direct_mapping_and_not_indowordnet_lemma,
8140,ذریعے,,,no_direct_mapping_and_not_indowordnet_lemma,
8052,بنانے,,,no_direct_mapping_and_not_indowordnet_lemma,
7977,دیتے,,,no_direct_mapping_and_not_indowordnet_lemma,
7877,مشرف,,,no_direct_mapping_and_not_indowordnet_lemma,
7745,تہیں,,,no_direct_mapping_and_not_indowordnet_lemma,
7711,لاکہ,,,no_direct_mapping_and_not_indowordnet_lemma,
7662,ڈی,,,no_direct_mapping_and_not_indowordnet_lemma,
7528,پوری,,,no_direct_mapping_and_not_indowordnet_lemma,
7420,لیں,,,no_direct_mapping_and_not_indowordnet_lemma,
7289,نئے,,,no_direct_mapping_and_not_indowordnet_lemma,
7248,والوں,,,no_direct_mapping_and_not_indowordnet_lemma,
7159,جیسے,,,no_direct_mapping_and_not_indowordnet_lemma,
7049,اسمبلی,,,no_direct_mapping_and_not_indowordnet_lemma,
7006,دیئے,,,no_direct_mapping_and_not_indowordnet_lemma,
6786,ابہی,,,no_direct_mapping_and_not_indowordnet_lemma,
6752,آف,,,no_direct_mapping_and_not_indowordnet_lemma,
6693,لیگ,,,no_direct_mapping_and_not_indowordnet_lemma,
6633,بہر,,,no_direct_mapping_and_not_indowordnet_lemma,
6570,چکے,,,no_direct_mapping_and_not_indowordnet_lemma,
6537,حالات,,,no_direct_mapping_and_not_indowordnet_lemma,
6491,سلسلے,,,no_direct_mapping_and_not_indowordnet_lemma,
6429,رکہنے,,,no_direct_mapping_and_not_indowordnet_lemma,
6419,بڑہ,,,no_direct_mapping_and_not_indowordnet_lemma,
6280,رنز,,,no_direct_mapping_and_not_indowordnet_lemma,
6023,رکہا,,,no_direct_mapping_and_not_indowordnet_lemma,
5906,اچہی,,,no_direct_mapping_and_not_indowordnet_lemma,
5860,ہاتہ,,,no_direct_mapping_and_not_indowordnet_lemma,
5738,بہائی,,,no_direct_mapping_and_not_indowordnet_lemma,
5722,کہتے,,,no_direct_mapping_and_not_indowordnet_lemma,
5715,سکیں,,,no_direct_mapping_and_not_indowordnet_lemma,
5583,باوجود,,,no_direct_mapping_and_not_indowordnet_lemma,
5383,بنایا,,,no_direct_mapping_and_not_indowordnet_lemma,
5350,ڈیم,,,no_direct_mapping_and_not_indowordnet_lemma,
5289,متاثرہ,,,no_direct_mapping_and_not_indowordnet_lemma,
5191,دیکہ,,,no_direct_mapping_and_not_indowordnet_lemma,
5152,متاثرین,,,no_direct_mapping_and_not_indowordnet_lemma,
5116,ادارے,,,no_direct_mapping_and_not_indowordnet_lemma,
5061,اداروں,,,no_direct_mapping_and_not_indowordnet_lemma,
5046,میر,,,no_direct_mapping_and_not_indowordnet_lemma,
4976,کیے,,,no_direct_mapping_and_not_indowordnet_lemma,
4929,کہلاڑی,,,no_direct_mapping_and_not_indowordnet_lemma,
4915,پروفیسر,,,no_direct_mapping_and_not_indowordnet_lemma,
4858,چاہتے,,,no_direct_mapping_and_not_indowordnet_lemma,
4853,چودہری,,,no_direct_mapping_and_not_indowordnet_lemma,
4845,دیتا,,,no_direct_mapping_and_not_indowordnet_lemma,
4826,رکہتے,,,no_direct_mapping_and_not_indowordnet_lemma,
4705,وزیراعظم,,,no_direct_mapping_and_not_indowordnet_lemma,
4614,کہلاڑیوں,,,no_direct_mapping_and_not_indowordnet_lemma,
4546,سکول,,,no_direct_mapping_and_not_indowordnet_lemma,
4533,سری,,,no_direct_mapping_and_not_indowordnet_lemma,
4524,نیوز,,,no_direct_mapping_and_not_indowordnet_lemma,
4481,این,,,no_direct_mapping_and_not_indowordnet_lemma,
4414,ایف,,,no_direct_mapping_and_not_indowordnet_lemma,
4407,چل,,,no_direct_mapping_and_not_indowordnet_lemma,
4396,اقدامات,,,no_direct_mapping_and_not_indowordnet_lemma,
4315,چاہیے,,,no_direct_mapping_and_not_indowordnet_lemma,
4308,آتا,,,no_direct_mapping_and_not_indowordnet_lemma,
4301,تعالی,,,no_direct_mapping_and_not_indowordnet_lemma,
4300,لینے,,,no_direct_mapping_and_not_indowordnet_lemma,
4284,دیکہا,,,no_direct_mapping_and_not_indowordnet_lemma,
4277,اچہا,,,no_direct_mapping_and_not_indowordnet_lemma,
4262,رہیں,,,no_direct_mapping_and_not_indowordnet_lemma,
4229,گئیں,,,no_direct_mapping_and_not_indowordnet_lemma,
4214,باتیں,,,no_direct_mapping_and_not_indowordnet_lemma,
4068,سالہ,,,no_direct_mapping_and_not_indowordnet_lemma,
4025,رہتے,,,no_direct_mapping_and_not_indowordnet_lemma,
4013,سیکرٹری,,,no_direct_mapping_and_not_indowordnet_lemma,
4005,ارکان,,,no_direct_mapping_and_not_indowordnet_lemma,
3999,آتے,,,no_direct_mapping_and_not_indowordnet_lemma,
3947,بنائے,,,no_direct_mapping_and_not_indowordnet_lemma,
3906,رہنے,,,no_direct_mapping_and_not_indowordnet_lemma,
3856,شوکت,,,no_direct_mapping_and_not_indowordnet_lemma,
3840,شائع,,,no_direct_mapping_and_not_indowordnet_lemma,
3829,آتی,,,no_direct_mapping_and_not_indowordnet_lemma,
3775,چہوٹے,,,no_direct_mapping_and_not_indowordnet_lemma,
3708,رکہ,,,no_direct_mapping_and_not_indowordnet_lemma,
3650,اتنی,,,no_direct_mapping_and_not_indowordnet_lemma,
3642,پورے,,,no_direct_mapping_and_not_indowordnet_lemma,
3641,بش,,,no_direct_mapping_and_not_indowordnet_lemma,
3632,الیکشن,,,no_direct_mapping_and_not_indowordnet_lemma,
3630,کہانے,,,no_direct_mapping_and_not_indowordnet_lemma,
3603,مشتمل,,,no_direct_mapping_and_not_indowordnet_lemma,
3599,رہتا,,,no_direct_mapping_and_not_indowordnet_lemma,
3584,بہٹو,,,no_direct_mapping_and_not_indowordnet_lemma,
3581,فلموں,,,no_direct_mapping_and_not_indowordnet_lemma,
