Front,Back
کرتا,"Rank: 1001

Meaning: does (masculine of کرنا)

Frequency evidence: 13089

Semantic verification: readurdu+word2word

Sources:
- CLE Urdu 5,000 corpus frequency list — ordering authority
- IndoWordNet Urdu — lexical lemma gate
- Kaikki/Wiktextract, ReadUrdu, word2word — independent bilingual semantic signals
- Candidate only; requires final audit before promotion"
پولیس,"Rank: 1002

Meaning: police

Frequency evidence: 12285

Semantic verification: readurdu+word2word

Sources:
- CLE Urdu 5,000 corpus frequency list — ordering authority
- IndoWordNet Urdu — lexical lemma gate
- Kaikki/Wiktextract, ReadUrdu, word2word — independent bilingual semantic signals
- Candidate only; requires final audit before promotion"
آئے,"Rank: 1003

Meaning: came (plural)

Frequency evidence: 9322

Semantic verification: readurdu+word2word

Sources:
- CLE Urdu 5,000 corpus frequency list — ordering authority
- IndoWordNet Urdu — lexical lemma gate
- Kaikki/Wiktextract, ReadUrdu, word2word — independent bilingual semantic signals
- Candidate only; requires final audit before promotion"
تعمیر,"Rank: 1004

Meaning: building

Frequency evidence: 8317

Semantic verification: readurdu+word2word

Sources:
- CLE Urdu 5,000 corpus frequency list — ordering authority
- IndoWordNet Urdu — lexical lemma gate
- Kaikki/Wiktextract, ReadUrdu, word2word — independent bilingual semantic signals
- Candidate only; requires final audit before promotion"
نمبر,"Rank: 1005

Meaning: number; phone number

Frequency evidence: 6107

Semantic verification: readurdu+word2word

Sources:
- CLE Urdu 5,000 corpus frequency list — ordering authority
- IndoWordNet Urdu — lexical lemma gate
- Kaikki/Wiktextract, ReadUrdu, word2word — independent bilingual semantic signals
- Candidate only; requires final audit before promotion"
پیداوار,"Rank: 1006

Meaning: produce; production

Frequency evidence: 4983

Semantic verification: readurdu+word2word

Sources:
- CLE Urdu 5,000 corpus frequency list — ordering authority
- IndoWordNet Urdu — lexical lemma gate
- Kaikki/Wiktextract, ReadUrdu, word2word — independent bilingual semantic signals
- Candidate only; requires final audit before promotion"
ڈالر,"Rank: 1007

Meaning: dollar

Frequency evidence: 4749

Semantic verification: readurdu+word2word

Sources:
- CLE Urdu 5,000 corpus frequency list — ordering authority
- IndoWordNet Urdu — lexical lemma gate
- Kaikki/Wiktextract, ReadUrdu, word2word — independent bilingual semantic signals
- Candidate only; requires final audit before promotion"
کہیں,"Rank: 1008

Meaning: somewhere; anywhere

Frequency evidence: 4506

Semantic verification: readurdu+word2word

Sources:
- CLE Urdu 5,000 corpus frequency list — ordering authority
- IndoWordNet Urdu — lexical lemma gate
- Kaikki/Wiktextract, ReadUrdu, word2word — independent bilingual semantic signals
- Candidate only; requires final audit before promotion"
آؤٹ,"Rank: 1009

Meaning: out

Frequency evidence: 4201

Semantic verification: readurdu+word2word

Sources:
- CLE Urdu 5,000 corpus frequency list — ordering authority
- IndoWordNet Urdu — lexical lemma gate
- Kaikki/Wiktextract, ReadUrdu, word2word — independent bilingual semantic signals
- Candidate only; requires final audit before promotion"
برقرار,"Rank: 1010

Meaning: maintained

Frequency evidence: 3776

Semantic verification: readurdu+word2word

Sources:
- CLE Urdu 5,000 corpus frequency list — ordering authority
- IndoWordNet Urdu — lexical lemma gate
- Kaikki/Wiktextract, ReadUrdu, word2word — independent bilingual semantic signals
- Candidate only; requires final audit before promotion"
