Front,Back
پاکستان,"Rank: 1001

Meaning: Pakistan (a country in South Asia; official name: اسلامی جمہوریہ پاکستان (islāmī jamhūriya-e pākistān; “Islamic Republic of Pakistan”); capital: اسلام آباد

Frequency evidence: wordfreq Zipf 6.50
Frequency source: wordfreq Urdu multi-corpus ranking

Semantic verification: independent agreement — Kaikki+ReadUrdu+word2word

Sources:
- wordfreq Urdu — Unicode multi-corpus frequency ordering
- Kaikki/Wiktextract — bilingual lexicographic evidence
- ReadUrdu — independent Urdu-English bilingual evidence
- word2word — independent corpus-derived bilingual evidence"
اللہ,"Rank: 1002

Meaning: God; Allah

Frequency evidence: wordfreq Zipf 6.44
Frequency source: wordfreq Urdu multi-corpus ranking

Semantic verification: independent agreement — Kaikki+ReadUrdu+word2word

Sources:
- wordfreq Urdu — Unicode multi-corpus frequency ordering
- Kaikki/Wiktextract — bilingual lexicographic evidence
- ReadUrdu — independent Urdu-English bilingual evidence
- word2word — independent corpus-derived bilingual evidence"
پھر,"Rank: 1003

Meaning: then; again

Frequency evidence: wordfreq Zipf 6.17
Frequency source: wordfreq Urdu multi-corpus ranking

Semantic verification: independent agreement — ReadUrdu+word2word

Sources:
- wordfreq Urdu — Unicode multi-corpus frequency ordering
- Kaikki/Wiktextract — bilingual lexicographic evidence
- ReadUrdu — independent Urdu-English bilingual evidence
- word2word — independent corpus-derived bilingual evidence"
گئے,"Rank: 1004

Meaning: went

Frequency evidence: wordfreq Zipf 6.17
Frequency source: wordfreq Urdu multi-corpus ranking

Semantic verification: independent agreement — ReadUrdu+word2word

Sources:
- wordfreq Urdu — Unicode multi-corpus frequency ordering
- Kaikki/Wiktextract — bilingual lexicographic evidence
- ReadUrdu — independent Urdu-English bilingual evidence
- word2word — independent corpus-derived bilingual evidence"
اسلام,"Rank: 1005

Meaning: Islam

Frequency evidence: wordfreq Zipf 6.01
Frequency source: wordfreq Urdu multi-corpus ranking

Semantic verification: independent agreement — Kaikki+ReadUrdu+word2word

Sources:
- wordfreq Urdu — Unicode multi-corpus frequency ordering
- Kaikki/Wiktextract — bilingual lexicographic evidence
- ReadUrdu — independent Urdu-English bilingual evidence
- word2word — independent corpus-derived bilingual evidence"
کہا,"Rank: 1006

Meaning: said

Frequency evidence: wordfreq Zipf 6.00
Frequency source: wordfreq Urdu multi-corpus ranking

Semantic verification: independent agreement — ReadUrdu+word2word

Sources:
- wordfreq Urdu — Unicode multi-corpus frequency ordering
- Kaikki/Wiktextract — bilingual lexicographic evidence
- ReadUrdu — independent Urdu-English bilingual evidence
- word2word — independent corpus-derived bilingual evidence"
محمد,"Rank: 1007

Meaning: the Islamic prophet Muhammad; a male given name; Muhammad; Mohammed

Frequency evidence: wordfreq Zipf 5.95
Frequency source: wordfreq Urdu multi-corpus ranking

Semantic verification: independent agreement — Kaikki+ReadUrdu+word2word

Sources:
- wordfreq Urdu — Unicode multi-corpus frequency ordering
- Kaikki/Wiktextract — bilingual lexicographic evidence
- ReadUrdu — independent Urdu-English bilingual evidence
- word2word — independent corpus-derived bilingual evidence"
کرتا,"Rank: 1008

Meaning: does

Frequency evidence: wordfreq Zipf 5.90
Frequency source: wordfreq Urdu multi-corpus ranking

Semantic verification: independent agreement — ReadUrdu+word2word

Sources:
- wordfreq Urdu — Unicode multi-corpus frequency ordering
- Kaikki/Wiktextract — bilingual lexicographic evidence
- ReadUrdu — independent Urdu-English bilingual evidence
- word2word — independent corpus-derived bilingual evidence"
مطابق,"Rank: 1009

Meaning: according to

Frequency evidence: wordfreq Zipf 5.87
Frequency source: wordfreq Urdu multi-corpus ranking

Semantic verification: independent agreement — ReadUrdu+word2word

Sources:
- wordfreq Urdu — Unicode multi-corpus frequency ordering
- Kaikki/Wiktextract — bilingual lexicographic evidence
- ReadUrdu — independent Urdu-English bilingual evidence
- word2word — independent corpus-derived bilingual evidence"
لیا,"Rank: 1010

Meaning: took

Frequency evidence: wordfreq Zipf 5.86
Frequency source: wordfreq Urdu multi-corpus ranking

Semantic verification: independent agreement — ReadUrdu+word2word

Sources:
- wordfreq Urdu — Unicode multi-corpus frequency ordering
- Kaikki/Wiktextract — bilingual lexicographic evidence
- ReadUrdu — independent Urdu-English bilingual evidence
- word2word — independent corpus-derived bilingual evidence"
