rank,status,note,proposed_target,proposed_english,proposed_pos
601,REPAIR,"سنگھ is most commonly encountered in Urdu as Singh, a Sikh/South Asian surname/title/name element. The Sanskrit-derived 'lion' sense is etymological; Leo/constellation is not a useful core Urdu gloss.",سنگھ,Singh (surname/title/name element); lion (etymological/literary),name / noun
602,PASS,,,,
603,PASS,,,,
604,PASS,,,,
605,REPAIR,چونکہ is a subordinating conjunction meaning because/since. 'Closed-class' is too vague.,چونکہ,because; since,subordinating conjunction
606,PASS,,,,
607,PASS,,,,
608,PASS,,,,
609,PASS,,,,
610,PASS,,,,
611,REPAIR,ذہن centrally means mind/intellect/mental faculty. 'Wit; genius' are secondary and should not replace the basic learner senses.,ذہن,mind; intellect; mental faculty; understanding,noun
612,PASS,,,,
613,PASS,,,,
614,PASS,,,,
615,REPAIR,بجے is used in clock-time expressions for o'clock and is also a verb form of بجنا ('rings/sounds') depending on construction. The source gives only the clock use.,بجے,"o'clock; rings/sounds (form of بجنا, context-dependent)",time expression / verb form
616,PASS,,,,
617,PASS,,,,
618,PASS,,,,
619,PASS,,,,
620,PASS,,,,
621,PASS,,,,
622,PASS,,,,
623,REPAIR,چہرے is an inflected form of چہرہ and must state face/faces rather than only inflection labels.,چہرے,"faces; face (oblique/vocative singular, context-dependent)",noun
624,PASS,,,,
625,REPAIR,"تحفظ centrally means protection/safeguarding/preservation/security/conservation. 'Learning by heart, committing to memory' is confusion with حفظ and should be removed.",تحفظ,protection; safeguarding; preservation; security; conservation,noun
626,REPAIR,اوقات is the plural of وقت and very commonly means times/hours/periods; it can also mean circumstances/status/means in idioms. The core temporal sense is missing.,اوقات,"times; hours; periods; circumstances/status; means/capacity (idiomatic, context-dependent)",noun
627,PASS,,,,
628,REPAIR,علاقہ centrally means area/region/locality/territory. The source's 'area of a shape; affinity; connection' misses the everyday geographic meaning.,علاقہ,area; region; locality; territory; connection/association (context-dependent),noun
629,PASS,,,,
630,PASS,,,,
631,PASS,,,,
632,REPAIR,نہایت very commonly functions adverbially as very/extremely/exceedingly and also means end/limit. The source omits the dominant intensifier use.,نہایت,very; extremely; exceedingly; end; limit,adverb / noun
633,PASS,,,,
634,REPAIR,لگ is the stem/imperative base of لگنا meaning attach/be attached/seem/begin/cost depending on construction. 'Content word' is not a POS.,لگ,"attach; seem; begin; be attached; cost (stem of لگنا, context-dependent)",verb stem
635,REPAIR,سمجھ is the noun understanding and also the verb stem/imperative 'understand!'. The source lists only the noun.,سمجھ,understanding; understand! (stem/imperative of سمجھنا),noun / verb stem / imperative
636,PASS,,,,
637,PASS,,,,
638,PASS,,,,
639,PASS,,,,
640,REPAIR,Rekhta gives livelihood/subsistence/employment as central senses alongside economy.,,economy; economic condition; livelihood; subsistence; employment,
641,REPAIR,اگرچہ means although/even though/though. Bare 'even' is not the correct standalone English equivalent.,اگرچہ,although; even though; though,conjunction
642,REPAIR,"Modern Urdu commonly writes the English loan ball as بال, especially in sports; Cambridge and Urdu usage sources explicitly attest this same spelling.",,"hair; wing; child; ball (English loan, especially sports, context-dependent)",
643,REPAIR,"روانہ means departed/set off/dispatched/sent off and functions adjectivally/participially. 'Pass, permit' is source noise and should be removed.",روانہ,departed; set off; dispatched; sent off,adjective / participle
644,PASS,,,,
645,PASS,,,,
646,PASS,,,,
647,REPAIR,قدم centrally means foot/step/footstep. The qidam reading 'antiquity/permanence' is a distinct learned homograph; the source omits the basic 'foot' meaning.,قدم,"foot; step; footstep; antiquity/oldness (different vocalization, learned use)",noun
648,PASS,,,,
649,PASS,,,,
650,PASS,,,,
