rank,status,note,proposed_target,proposed_english,proposed_pos
1,PASS,,,,
2,PASS,,,,
3,PASS,,,,
4,PASS,,,,
5,REPAIR,"اور is primarily the conjunction 'and' and also means more/other/another. Noun POS is misleading for the learner-facing entry.",اور,"and; more; other; another",conjunction / adverb / adjective-determiner
6,PASS,,,,
7,PASS,,,,
8,PASS,,,,
9,PASS,,,,
10,PASS,,,,
11,PASS,,,,
12,REPAIR,"ہیں is the plural/honorific present form of ہونا ('are'). Interjection POS is dictionary noise for this standard Urdu learner entry.",ہیں,"are (plural/honorific present of ہونا)",verb
13,REPAIR,"پر is the postposition on/at/upon and can also be a conjunction 'but/yet'; the same spelling also represents the noun feather/wing (پَر). Noun POS is currently unexplained and adjective POS is unnecessary.",پر,"on; at; upon; but/yet; feather/wing (پَر, context-dependent)",postposition / conjunction / noun
14,PASS,,,,
15,PASS,,,,
16,PASS,,,,
17,PASS,,,,
18,PASS,,,,
19,PASS,,,,
20,PASS,,,,
21,PASS,,,,
22,PASS,,,,
23,PASS,,,,
24,REPAIR,"لئے is a form of لینا meaning taken, and it appears in the compound postposition کے لیے 'for'. Verb-only POS does not account for the learner gloss 'for'.",لئے,"taken; for (in کے لیے)",verb form / compound-postposition component
25,PASS,,,,
26,REPAIR,"گیا is overwhelmingly the masculine singular perfect form of جانا ('went/gone/left') in ordinary Urdu. The proper noun Gaya should not lead the learner definition.",گیا,"went; gone/left (masculine singular perfect of جانا); Gaya (proper noun, context-dependent)",verb / proper noun
27,REPAIR,"جو is a relative pronoun meaning who/which/that, not a noun in this use.",جو,"who; which; that (relative pronoun)",relative pronoun
28,REPAIR,"و is the conjunction 'and' (Persian/Arabic-origin linker in Urdu). 'Character' is implementation metadata, not a learner POS.",و,"and",conjunction
29,REPAIR,"گا is the masculine singular future marker/suffix, not merely an unspecified 'closed-class' item.",گا,"will (masculine singular future marker)",future marker / suffix
30,PASS,,,,
31,PASS,,,,
32,REPAIR,"جب introduces or asks about time ('when') and functions as an adverbial/subordinating conjunction; adverb-only POS is incomplete.",جب,"when",adverb / conjunction
33,REPAIR,"اپنے is the masculine plural/oblique form of اپنا and functions as a reflexive possessive determiner/adjective. 'Closed-class' is too vague for learner grammar.",اپنے,"one's own; own (masculine plural/oblique form of اپنا)",reflexive possessive determiner / adjective
34,PASS,,,,
35,REPAIR,"جس is the oblique singular relative pronoun corresponding to جو. 'Closed-class' is too vague and hides its grammatical role.",جس,"whom/which/that (oblique singular relative pronoun)",relative pronoun
36,REPAIR,"دیا can be the noun lamp and, very commonly, the masculine singular perfect form of دینا ('gave/given'). Noun-only POS is incorrect.",دیا,"gave; given (masculine singular form of دینا); lamp",noun / verb form
37,PASS,,,,
38,PASS,,,,
39,REPAIR,"تک is a postposition/particle meaning until, up to, or as far as. 'Closed-class' is not an adequate learner POS.",تک,"until; up to; as far as",postposition / particle
40,PASS,,,,
41,PASS,,,,
42,PASS,,,,
43,PASS,,,,
44,PASS,,,,
45,REPAIR,"گے is the masculine plural/honorific future marker. Noun POS is incorrect.",گے,"will (masculine plural/honorific future marker)",future marker / suffix
46,REPAIR,"اپنی is the feminine form of اپنا and functions as a reflexive possessive determiner/adjective. 'Closed-class' is too vague.",اپنی,"one's own; own (feminine form of اپنا)",reflexive possessive determiner / adjective
47,PASS,,,,
48,REPAIR,"بہت centrally means very, much, many, or a lot. 'Enough/sufficient' is not an appropriate core gloss and the adjective-only POS misses its common adverb/quantifier use.",بہت,"very; much; many; a lot",adverb / quantifier / adjective
49,PASS,,,,
50,PASS,,,,
