rank,status,note,proposed_target,proposed_english,proposed_pos
551,PASS,,,,
552,PASS,,,,
553,REPAIR,"فهم is also the common noun فَهْم 'understanding/comprehension', not only the perfect verb 'understood'.",فهم,"understanding; comprehension; understood (depending on vocalization/use)",noun / perfect-past verb
554,PASS,,,,
555,PASS,,,,
556,PASS,,,,
557,PASS,,,,
558,REPAIR,"سجن is not only 'prison/imprisonment'; the same unvocalized form also represents the perfect verb سَجَنَ 'imprisoned'.",سجن,"prison; imprisonment; imprisoned",noun / perfect-past verb
559,PASS,,,,
560,PASS,,,,
561,PASS,,,,
562,REPAIR,"ولد also has the extremely common passive reading وُلِدَ 'was born', which is important for learners and omitted by the current entry.",ولد,"boy; son; child; gave birth; was born (depending on vocalization/use)",noun / perfect-past verb / passive perfect verb
563,PASS,,,,
564,PASS,,,,
565,PASS,,,,
566,PASS,,,,
567,PASS,,,,
568,REPAIR,"أمين commonly functions as a noun meaning secretary/custodian (e.g. أمين عام), in addition to the adjective trustworthy/honest/faithful.",أمين,"trustworthy; honest; faithful; secretary; custodian",adjective / noun
569,REPAIR,"The entry labels قدر as noun/verb but gives no verb glosses. Common verbal readings include 'was able/could', 'estimated', and 'decreed/determined', depending on vocalization.",قدر,"fate; destiny; amount; value; ability; was able to; estimated; decreed/determined (depending on vocalization/use)",noun / perfect-past verb
570,PASS,,,,
571,PASS,,,,
572,PASS,,,,
573,PASS,,,,
574,PASS,,,,
575,PASS,,,,
576,PASS,,,,
577,PASS,,,,
578,REPAIR,"عرف also commonly represents the noun عُرْف 'custom/convention', not only the perfect verb 'knew/recognized'.",عرف,"custom; convention; knew; recognized (depending on vocalization/use)",noun / perfect-past verb
579,PASS,,,,
580,PASS,,,,
581,PASS,,,,
582,PASS,,,,
583,PASS,,,,
584,PASS,,,,
585,PASS,,,,
586,PASS,,,,
587,PASS,,,,
588,PASS,,,,
589,PASS,,,,
590,PASS,,,,
591,REPAIR,"Standard Modern Arabic spelling for 'woman' is امرأة; مرأة is not the standard learner form.",امرأة,woman,noun
592,PASS,,,,
593,PASS,,,,
594,PASS,,,,
595,REPAIR,"قائمة also commonly represents the feminine active participle 'standing/existing' in addition to the noun 'list/menu'.",قائمة,"list; menu; standing; existing (feminine, depending on use)",noun / active participle / adjective
596,PASS,,,,
597,PASS,,,,
598,PASS,,,,
599,PASS,,,,
600,PASS,,,,
