rank,status,note,proposed_target,proposed_english,proposed_pos
651,PASS,,,,
652,PASS,,,,
653,PASS,,,,
654,PASS,,,,
655,PASS,,,,
656,PASS,,,,
657,PASS,,,,
658,PASS,,,,
659,PASS,,,,
660,PASS,,,,
661,PASS,,,,
662,PASS,,,,
663,PASS,,,,
664,PASS,,,,
665,PASS,,,,
666,REPAIR,Common modern vehicle tire/tyre sense omitted.,,framework; frame; tire/tyre,
667,PASS,,,,
668,REPAIR,مسؤول is commonly an adjective meaning 'responsible' as well as a noun meaning an official/person responsible; the adjective reading and POS are missing.,مسؤول,responsible; official; person responsible,adjective / noun
669,PASS,,,,
670,PASS,,,,
671,REPAIR,"وقع also commonly represents وَقْع 'impact/effect' and وَقَّعَ 'signed', in addition to وَقَعَ 'happened/fell/was located'.",وقع,impact; effect; happened; occurred; fell; was located; signed (depending on vocalization/use),noun / perfect-past verb
672,PASS,,,,
673,PASS,,,,
674,PASS,,,,
675,PASS,,,,
676,REPAIR,"The current entry omits the common modern noun sense 'the universe/cosmos/world'. Cambridge gives الكَوْن for 'the universe', while Cairo Arabic Academy records كَوْن as existence/being.",,being; existence; universe/cosmos/world (especially الكون); formed/created (depending on vocalization/use),
677,PASS,,,,
678,REPAIR,Common hit and contextual medical/sports senses omitted; keep contextual labels.,,injury; casualty; hit; infection/case (medical context); score/goal (sports context),
679,PASS,,,,
680,REPAIR,"مهما is a jussive conditional noun/pronominal expression (اسم شرط جازم) meaning 'whatever/no matter what', not merely a particle.",مهما,whatever; no matter what,conditional pronoun / conditional noun
681,PASS,,,,
682,PASS,,,,
683,PASS,,,,
684,PASS,,,,
685,PASS,,,,
686,PASS,,,,
687,PASS,,,,
688,PASS,,,,
689,PASS,,,,
690,PASS,,,,
691,PASS,,,,
692,PASS,,,,
693,PASS,,,,
694,PASS,,,,
695,PASS,,,,
696,REPAIR,"أسهم also commonly means 'arrows' as the plural of سهم, in addition to shares/stocks and the verb 'contributed'.",أسهم,arrows; shares; stocks; contributed; participated (depending on vocalization/use),plural noun / perfect-past verb
697,PASS,,,,
698,PASS,,,,
699,PASS,,,,
700,REPAIR,"Formal MSA writes this negative-continuative expression as two words: لا يزال, not fused لايزال.",لا يزال,still is; continues to be,negative particle + defective imperfect verb; fixed continuative expression
