rank,status,note,proposed_target,proposed_english,proposed_pos
401,PASS,,,,
402,PASS,,,,
403,PASS,,,,
404,PASS,,,,
405,PASS,,,,
406,PASS,,,,
407,PASS,,,,
408,PASS,,,,
409,PASS,,,,
410,PASS,,,,
411,PASS,,,,
412,PASS,,,,
413,PASS,,,,
414,PASS,,,,
415,PASS,,,,
416,PASS,,,,
417,PASS,,,,
418,PASS,,,,
419,PASS,,,,
420,PASS,,,,
421,PASS,,,,
422,PASS,,,,
423,PASS,,,,
424,PASS,,,,
425,PASS,,,,
426,PASS,,,,
427,PASS,,,,
428,PASS,,,,
429,PASS,,,,
430,PASS,,,,
431,PASS,,,,
432,PASS,,,,
433,PASS,,,,
434,PASS,,,,
435,PASS,,,,
436,PASS,,,,
437,PASS,,,,
438,PASS,,,,
439,PASS,,,,
440,PASS,,,,
441,PASS,,,,
442,PASS,,,,
443,PASS,,,,
444,PASS,,,,
445,PASS,,,,
446,PASS,,,,
447,PASS,,,,
448,PASS,,,,
449,PASS,,,,
450,PASS,,,,
