rank,status,note,proposed_target,proposed_english,proposed_pos
501,REPAIR,"Assurer should foreground assure/ensure/insure/make sure; 'belay' is specialized and should not lead a general learner entry.",assurer,"to assure; to ensure; to insure; to make sure; to secure; to belay (specialized)",verb
502,REPAIR,"The entry mentions a subjunctive verb form of sortir but labels sorte only as a noun. The homographic finite verb form should either be represented or removed; for completeness, represent it.",sorte,"kind; sort; type; manner; may go out/leave (subjunctive form of sortir, context-dependent)",noun / finite verb form
503,REPAIR,"The current gloss omits the core meanings of remettre and foregrounds secondary reflexive uses. Remettre means put back, hand/give, postpone, restore; se remettre can recover/remember/get back to something.",remettre,"to put back; to return/hand over; to postpone; to restore; to recover/get back to (se remettre)",verb
504,REPAIR,"Tiens is not an adjective. It is a finite/imperative form of tenir and also an interjection meaning here/look/hey.",tiens,"hold!; you hold/keep; here; look; hey",finite verb form / imperative form / interjection
505,PASS,,,,
506,REPAIR,"The entry omits the word's most basic meaning: simple. It can also mean easy/plain/mere/single.",simple,"simple; easy; plain; mere; single; one-way",adjective / noun
507,PASS,,,,
508,PASS,,,,
509,REPAIR,"The entry omits a basic sense: café is coffee and also a café/coffee shop; 'public house' is not the best general learner gloss.",café,"coffee; café; coffee shop; coffee-colored",noun / adjective
510,PASS,,,,
511,REPAIR,"Chemin means path/way/road; 'road' alone is too narrow for this high-frequency learner word.",chemin,"path; way; road; route",noun
512,REPAIR,"Rire is both the verb 'to laugh' and the noun 'laugh/laughter'; the one-word gloss does not distinguish the two POS values.",rire,"to laugh; laugh; laughter",verb / noun
513,PASS,,,,
514,PASS,,,,
515,REPAIR,"English 'to destruct' is nonstandard/technical and unnecessary. The learner-safe core is destroy/demolish/ruin.",détruire,"to destroy; to demolish; to ruin",verb
516,PASS,,,,
517,PASS,,,,
518,PASS,,,,
519,PASS,,,,
520,PASS,,,,
521,REPAIR,"Amuser also has the essential reflexive use s'amuser = enjoy oneself/have fun, which should be explicit.",amuser,"to amuse; to entertain; to have fun/enjoy oneself (s'amuser)",verb
522,PASS,,,,
523,PASS,,,,
524,REPAIR,"Force is primarily the noun force/strength; the same spelling is also a finite/imperative form of forcer. The current adjective POS is misleading, while the mentioned imperative lacks verb POS.",force,"force; strength; forces; force! (forms of forcer, context-dependent)",noun / finite verb form / imperative form
525,PASS,,,,
526,PASS,,,,
527,PASS,,,,
528,REPAIR,"The entry omits the primary adjective meaning 'white'. It currently lists only noun phrases despite adjective POS.",blanc,"white; blank; white color; white wine/meat (context-dependent noun uses)",adjective / noun
529,PASS,,,,
530,PASS,,,,
531,REPAIR,"Courant as a noun very commonly means current/flow/electric current; noun POS is listed but these noun senses are missing.",courant,"current; present; common; fluent; current/flow; electric current",adjective / noun
532,PASS,,,,
533,REPAIR,"Cul is vulgar/informal body vocabulary and the entry should label register rather than presenting a stack of English slurs as neutral equivalents.",cul,"butt; backside; ass; anus (vulgar/informal)",noun (vulgar/informal)
534,REPAIR,"Soirée is not only the time period 'evening'; it also commonly means an evening party/event/gathering.",soirée,"evening; evening party; event/gathering",noun
535,PASS,,,,
536,PASS,,,,
537,PASS,,,,
538,PASS,,,,
539,PASS,,,,
540,PASS,,,,
541,PASS,,,,
542,PASS,,,,
543,REPAIR,"Sens very commonly means direction as well as sense/meaning; omitting direction is a major learner gap.",sens,"sense; meaning; direction",noun
544,PASS,,,,
545,PASS,,,,
546,REPAIR,"Intérieur can be the noun interior/inside and the adjective inner/internal/interior; adjective POS is listed but adjective meanings are absent.",intérieur,"interior; inside; inner; internal",noun / adjective
547,PASS,,,,
548,PASS,,,,
549,REPAIR,"Réfléchir means think/reflect/consider and can describe reflection of light; 'realize' is not a safe basic equivalent.",réfléchir,"to think; to reflect; to consider; to be reflected",verb
550,REPAIR,"For learner use gamin is primarily an informal noun 'kid/child/boy'. The adjective label is unnecessary without a clearly taught adjectival sense.",gamin,"kid; child; boy (informal)",noun
