rank,status,note,proposed_target,proposed_english,proposed_pos
301,PASS,,,,
302,REPAIR,"لہذا is a conclusion connector meaning therefore/thus/hence; labeling it only as an adverb understates its discourse/conjunctive role.",لہذا,"therefore; thus; hence",conjunctive adverb / discourse connector
303,REPAIR,"آزاد centrally means free/independent/liberated. 'Universal' is not a normal core meaning and the basic 'free' gloss is missing.",آزاد,"free; independent; liberated; unrestricted",adjective
304,PASS,,,,
305,PASS,,,,
306,REPAIR,"شرکت centrally means participation/participating or association, especially in شرکت کرنا 'to participate'. 'Contribution, role' is too narrow.",شرکت,"participation; involvement; association; company/partnership (context-dependent)",noun
307,PASS,,,,
308,REPAIR,"چکی is both the noun mill/millstone and a very common feminine completive form of چکنا in constructions such as کر چکی ہے ('has already done'). The source omits this grammatical use entirely.",چکی,"mill; millstone; has/had already completed (feminine completive form in verb constructions, context-dependent)",noun / auxiliary-verb form
309,REPAIR,"رہ is the stem/imperative base of رہنا meaning remain/stay/live. 'Content word' is not a POS.",رہ,"remain; stay; live (stem/imperative base of رہنا)",verb stem
310,REPAIR,"جماعت commonly means group/class/congregation and can mean an organized party/group. 'Army, military' is peripheral and should not lead the entry.",جماعت,"group; class; congregation; organized party/group",noun
311,PASS,,,,
312,PASS,,,,
313,REPAIR,"نقصان is a noun meaning loss/harm/damage/disadvantage. The adjective 'harmful' is not the direct lexical meaning.",نقصان,"loss; harm; damage; disadvantage; drawback",noun
314,REPAIR,"کافی is a crucial homograph: kāfī means enough/sufficient/quite, while coffee is also کافی. The source teaches only coffee and misses the very frequent quantifier/adjective.",کافی,"enough; sufficient; quite/fairly; coffee (context-dependent)",adjective / adverb / noun
315,PASS,,,,
316,PASS,,,,
317,PASS,,,,
318,PASS,,,,
319,REPAIR,"ظاہر means evident/apparent/clear and is also used adverbially in ظاہر ہے / apparently/obviously. Adjective-only POS is incomplete.",ظاہر,"apparent; evident; clear; obvious; apparently/obviously (adverbial use)",adjective / adverb
320,PASS,,,,
321,PASS,,,,
322,PASS,,,,
323,REPAIR,"تحریک centrally means movement/campaign/motion/stimulation and can mean a proposal/motion. 'Scheme, project' is not an appropriate core gloss.",تحریک,"movement; campaign; motion; stimulation; proposal/motion",noun
324,PASS,,,,
325,PASS,,,,
326,PASS,,,,
327,REPAIR,"شیخ means sheikh, elder, or religious leader/cleric and can be a name/title. 'Stingy' is peripheral/source noise and should not lead the entry.",شیخ,"sheikh; elder; religious leader/cleric; title/name",noun / title / name
328,PASS,,,,
329,REPAIR,"پور is a noun/suffix of Sanskrit origin meaning town/city/settlement and appears extensively in place names. 'Fortress' is not the appropriate core modern learner gloss.",پور,"town; city; settlement; -pur (place-name element)",noun / suffix
330,PASS,,,,
331,REPAIR,"متعلق means related/connected/attached/concerning and is adjectival/participial; it is not itself a preposition.",متعلق,"related; connected; attached; concerning",adjective / participle
332,PASS,,,,
333,REPAIR,"حال centrally means condition/state/situation and can mean present/current state. The current gloss should be made more direct for learners.",حال,"condition; state; situation; present/current state",noun
334,PASS,,,,
335,REPAIR,"بجائے is especially used in کے بجائے meaning instead of/in place of. Adverb-only analysis misses the common postpositional construction.",بجائے,"instead; instead of; in place of (especially in کے بجائے)",adverb / postpositional expression
336,PASS,,,,
337,REPAIR,"کروڑ denotes exactly one crore = ten million; 'millions' is imprecise and can teach the wrong number.",کروڑ,"crore; ten million",numeral / noun
338,REPAIR,"مضبوط centrally means strong/sturdy/solid/firm. 'Seized' is not an appropriate core gloss and 'strong' is missing.",مضبوط,"strong; sturdy; solid; firm; secure",adjective
339,PASS,,,,
340,PASS,,,,
341,REPAIR,"شدید centrally means severe/intense/strong/extreme. The current 'fast, abundant, hard/arduous' list misses the normal modern senses.",شدید,"severe; intense; strong; extreme",adjective
342,PASS,,,,
343,PASS,,,,
344,REPAIR,"سرحد means border/frontier/boundary. 'Front-line' and 'difference/distinction' are peripheral and can confuse a learner.",سرحد,"border; frontier; boundary",noun
345,PASS,,,,
346,REPAIR,"پیر is a homograph meaning foot, Monday, and a spiritual guide/saint/elder. 'Old man' alone does not capture the culturally important title sense.",پیر,"foot; Monday; spiritual guide/saint; elder",noun / title
347,PASS,,,,
348,REPAIR,"زر means gold/money/wealth. 'Content word' is not a POS.",زر,"gold; money; wealth",noun
349,PASS,,,,
350,PASS,,,,
