rank,status,note,proposed_target,proposed_english,proposed_pos
851,PASS,,,,
852,PASS,,,,
853,REPAIR,پیغام centrally means message/news/communication. 'Advice' can occur contextually but should not be the leading gloss.,پیغام,message; communication; news; advice (context-dependent),noun
854,PASS,,,,
855,PASS,,,,
856,PASS,,,,
857,PASS,,,,
858,PASS,,,,
859,PASS,,,,
860,PASS,,,,
861,REPAIR,Common literary/poetic mind/heart/soul reading omitted while rare unit leads.,,mind; heart; soul; will; maund (unit of mass) (context-dependent),
862,REPAIR,شب means night/evening in Urdu/Persian-derived vocabulary. 'Alum' is unrelated source contamination.,شب,night; evening,noun
863,PASS,,,,
864,REPAIR,فرض centrally means duty/obligation and also an obligatory religious act/prayer; it can mean assumption/supposition in technical contexts. Adjective POS is unnecessary.,فرض,duty; obligation; obligatory religious act/prayer; assumption/supposition,noun
865,PASS,,,,
866,REPAIR,"مملکت centrally means state/country/kingdom/realm. 'Grandeur, magnificence' is unrelated/noisy and the modern political sense 'state' is missing.",مملکت,state; country; kingdom; realm,noun
867,PASS,,,,
868,PASS,,,,
869,PASS,,,,
870,PASS,,,,
871,REPAIR,"Besides Arabic-derived لا 'not', the same Urdu spelling is the stem/imperative form of لانا 'to bring'; this is a common form-level homograph.",,"not; bring!/bring (stem or imperative of لانا, context-dependent)",
872,REPAIR,اکبر is an Arabic comparative/superlative adjective meaning greater/greatest and a common proper name Akbar. 'Closed-class' is incorrect.,اکبر,greater; greatest; Akbar (name),adjective / name
873,PASS,,,,
874,PASS,,,,
875,PASS,,,,
876,REPAIR,صفائی centrally means cleanliness/cleaning/hygiene and can mean explanation/defense/exoneration in legal or argumentative contexts. 'Truthfulness' is not a core meaning.,صفائی,cleanliness; cleaning; hygiene; explanation/defense/exoneration (context-dependent),noun
877,PASS,,,,
878,PASS,,,,
879,PASS,,,,
880,REPAIR,"تیسری is the feminine form of تیسرا 'third' and functions as an adjective/determiner, not an unspecified closed-class item.",تیسری,third (feminine),adjective / determiner
881,REPAIR,حافظ means guardian/protector/keeper and especially a person who has memorized the Qur'an; it is also a name/title. 'Governor' is not an appropriate core gloss.,حافظ,guardian; protector; keeper; person who has memorized the Qur'an; Hafiz (name/title),noun / title / name
882,REPAIR,کپڑے is an inflected/plural form of کپڑا and must explicitly give clothes/clothing/cloth rather than only inflection labels.,کپڑے,clothes; clothing; cloth; garment(s),noun
883,PASS,,,,
884,PASS,,,,
885,PASS,,,,
886,REPAIR,ریاض in Urdu is most commonly a male name Riaz/Riyaz and the Arabic place name Riyadh; etymologically it means gardens. 'Toil; practice; training' is confusion with ریاضت.,ریاض,Riaz/Riyaz (male name); Riyadh; gardens (Arabic-derived),name / proper noun / noun
887,PASS,,,,
888,REPAIR,ذات means self/being/essence and very commonly caste/community background in South Asian usage. The caste sense is missing.,ذات,self; being; essence; caste; community/background (context-dependent),noun
889,REPAIR,عطا means giving/grant/gift/bestowal and appears in عطا کرنا 'to grant/bestow'. 'Giving' alone is too narrow.,عطا,gift; grant; bestowal; giving,noun
890,PASS,,,,
891,PASS,,,,
892,REPAIR,"بلا is a homograph: bi-lā functions as without/without any, while balā means calamity/disaster/affliction. Noun-only POS misses the prepositional use.",بلا,without; calamity; disaster; affliction (depending on vocalization/context),preposition / noun
893,REPAIR,"نواب is the historical title nawab, a Muslim noble/ruler/governor. 'A rich Mughal ruler' is overly narrow and inaccurate as a general definition.",نواب,nawab; noble; ruler/governor (historical title),noun / title
894,PASS,,,,
895,PASS,,,,
896,PASS,,,,
897,PASS,,,,
898,PASS,,,,
899,PASS,,,,
900,PASS,,,,
