rank,status,note,proposed_target,proposed_english,proposed_pos
601,PASS,,,,
602,PASS,,,,
603,REPAIR,"Unvocalized أحضر has several very common readings: أَحْضَرَ 'brought', أَحْضِرْ 'bring!', and أَحْضُرُ 'I attend/am present'. The current gloss presents only the first family.",أحضر,"brought; brought in; supplied; bring!; I attend / I am present (depending on vocalization/context)",perfect-past verb / imperative verb / first-person imperfect verb
604,PASS,,,,
605,PASS,,,,
606,PASS,,,,
607,PASS,,,,
608,REPAIR,"شخصية also functions adjectivally as the feminine form 'personal', in addition to the nouns personality/character.",شخصية,"personality; character; personal (feminine, depending on use)",noun / adjective
609,REPAIR,"رياضي commonly means not only athletic/sporting but also an athlete/sportsman and a mathematician, depending on context.",رياضي,"athletic; sporting; athlete; sportsman; mathematician",adjective / noun
610,PASS,,,,
611,PASS,,,,
612,PASS,,,,
613,PASS,,,,
614,PASS,,,,
615,PASS,,,,
616,PASS,,,,
617,PASS,,,,
618,PASS,,,,
619,REPAIR,"مؤكدا represents an accusative participial/adverbial form (مؤكِّدًا / مؤكَّدًا), not a noun. The POS and learner gloss should reflect confirming/emphasizing vs confirmed/certain readings.",مؤكدا,"confirming; emphasizing; confirmed; certain; definitely (depending on vocalization/context)",active/passive participle / adjective used adverbially or circumstantially
620,PASS,,,,
621,REPAIR,"حالي can also be حال + possessive suffix ي, meaning 'my condition/state', a common surface reading omitted by the adjective-only entry.",حالي,"current; present; my condition; my state (depending on structure)",adjective / noun + possessive suffix
622,PASS,,,,
623,PASS,,,,
624,PASS,,,,
625,PASS,,,,
626,PASS,,,,
627,PASS,,,,
628,PASS,,,,
629,PASS,,,,
630,PASS,,,,
631,PASS,,,,
632,PASS,,,,
633,PASS,,,,
634,REPAIR,"سوى is traditionally an exceptive noun (اسم استثناء) meaning 'except/other than', not an exceptive particle.",سوى,"except; other than; apart from",exceptive noun / restrictive expression
635,PASS,,,,
636,PASS,,,,
637,PASS,,,,
638,PASS,,,,
639,PASS,,,,
640,PASS,,,,
641,PASS,,,,
642,PASS,,,,
643,PASS,,,,
644,REPAIR,"أشهر is both the plural 'months' (أَشْهُر) and the elative 'more/most famous' (أَشْهَر), a very common reading omitted by the entry.",أشهر,"months; more famous; most famous (depending on vocalization/use)",plural noun / elative adjective
645,REPAIR,"ملك is a major unvocalized homograph: مَلِك 'king', مَلَك 'angel', مِلْك 'property/possession', and مَلَكَ 'owned/possessed'. Teaching only 'angel' is materially incomplete.",ملك,"king; angel; property; possession; owned; possessed (depending on vocalization/use)",noun / perfect-past verb
646,PASS,,,,
647,PASS,,,,
648,PASS,,,,
649,PASS,,,,
650,REPAIR,"صعب is very commonly the adjective صَعْب 'difficult/hard', not only the perfect verb 'was difficult/became hard'.",صعب,"difficult; hard; was difficult; became hard (depending on vocalization/use)",adjective / perfect-past verb
