rank,status,note,proposed_target,proposed_english,proposed_pos
151,REPAIR,"بنا is a common perfect form of بننا meaning became/was made or formed, and also a postposition/preposition meaning without. The source's 'mason, builder; basis, foundation' does not represent the dominant modern form.",بنا,became; was made/formed (form of بننا); without,verb form / postposition
152,PASS,,,,
153,PASS,,,,
154,PASS,,,,
155,PASS,,,,
156,PASS,,,,
157,PASS,,,,
158,REPAIR,"ہلاک commonly means killed/dead/destroyed or ruined, and as a noun can refer to destruction/ruin. 'A killer' is incorrect.",ہلاک,killed; dead/destroyed; ruined; destruction/ruin,adjective / noun
159,PASS,,,,
160,PASS,,,,
161,REPAIR,اہم centrally means important/significant. 'Ego' is cross-linguistic/dictionary contamination and noun POS is not appropriate for the standard Urdu entry.,اہم,important; significant; essential,adjective
162,PASS,,,,
163,REPAIR,Common occasion/place senses omitted.,,chance; opportunity; occasion; place/site,
164,PASS,,,,
165,REPAIR,بچے is an inflected form of بچہ and must actually identify the lexical meaning child/children; grammatical labels alone are not a usable learner gloss.,بچے,"children; child (oblique/vocative singular, context-dependent)",noun
166,PASS,,,,
167,REPAIR,"اپنا is a reflexive possessive meaning one's own/my own/your own/his own etc. according to the subject; it does not simply mean 'oneself, yourself'.",اپنا,one's own; own (reflexive possessive agreeing with the possessed noun),reflexive possessive determiner / pronoun
168,PASS,,,,
169,PASS,,,,
170,PASS,,,,
171,REPAIR,ایسا means such/like this/of this kind and functions as a demonstrative adjective/determiner. 'Closed-class' is too vague.,ایسا,such; like this/that; of this kind,demonstrative adjective / determiner
172,PASS,,,,
173,PASS,,,,
174,PASS,,,,
175,PASS,,,,
176,REPAIR,"روز means day and is extremely common adverbially as every day/daily. The current 'period, age, time' senses are peripheral and omit the basic everyday adverbial use.",روز,day; every day; daily,noun / adverb
177,PASS,,,,
178,REPAIR,ہماری is the feminine possessive form meaning our/ours. 'Closed-class' is too vague for learner grammar.,ہماری,our; ours (feminine form),possessive determiner / pronoun
179,REPAIR,وہاں simply means there/over there as a locative adverb. The long explanatory gloss about English existential 'there is' is unnecessary dictionary prose rather than a vocabulary meaning.,وہاں,there; over there,locative adverb
180,PASS,,,,
181,PASS,,,,
182,REPAIR,"دوسری is the feminine form of دوسرا meaning second/other and functions adjectivally or as a determiner, not an unspecified closed-class item.",دوسری,second; other (feminine),adjective / determiner
183,PASS,,,,
184,PASS,,,,
185,REPAIR,Common burden/load homograph sense omitted.,,time; turn; occasion; instance; occurrence; burden; load; weight,
186,PASS,,,,
187,PASS,,,,
188,PASS,,,,
189,PASS,,,,
190,REPAIR,بہتر means better/improved and is an adjective/adverbial comparative. Numeral POS is incorrect.,بہتر,better; improved,adjective / adverb
191,REPAIR,"کبھی means ever/at some time/sometimes and, with negation, never. 'Sometimes' alone is too narrow for a high-frequency learner entry.",کبھی,ever; sometime; sometimes; never (with negation),adverb
192,PASS,,,,
193,PASS,,,,
194,PASS,,,,
195,PASS,,,,
196,PASS,,,,
197,REPAIR,سامنے means in front/in front of/facing/opposite and functions as a locative adverb/noun or postpositional expression. 'Closed-class' is too vague.,سامنے,in front; in front of; facing; opposite,locative adverb / noun / postpositional expression
198,REPAIR,"ادا has noun senses such as style/grace/manner and is also central in ادا کرنا for performing, paying, or fulfilling. The current entry omits that very common functional meaning.",ادا,style; manner; grace/charm; performed/paid/fulfilled (especially in ادا کرنا),noun / participial element
199,PASS,,,,
200,REPAIR,"صورت commonly means form/shape/appearance, face, situation/case, or way. 'Appearance; circumstance' is too narrow.",صورت,form; shape; appearance; face; situation; case; way,noun
