rank,status,note,proposed_target,proposed_english,proposed_pos
801,PASS,,,,
802,PASS,,,,
803,PASS,,,,
804,PASS,,,,
805,PASS,,,,
806,PASS,,,,
807,REPAIR,صلاحیت centrally means ability/capability/capacity/talent. 'Gentleness; a good characteristic' is not an appropriate core modern definition.,صلاحیت,ability; capability; capacity; talent; aptitude,noun
808,REPAIR,خیر means goodness/well-being/welfare and is also used discourse-pragmatically as 'well/anyway'. Bare 'no' is misleading.,خیر,goodness; well-being; welfare; well; anyway,noun / discourse marker
809,PASS,,,,
810,PASS,,,,
811,PASS,,,,
812,REPAIR,بھوت means ghost/spirit/demon. The insulting 'ugly man' sense is colloquial/derogatory and should not be presented without register qualification.,بھوت,"ghost; spirit; demon; ghost-like/ghastly person (derogatory, context-dependent)",noun
813,PASS,,,,
814,PASS,,,,
815,REPAIR,روک is both a noun meaning stop/prevention/restraint and the verb stem/imperative 'stop!' from روکنا. 'Content word' is not a POS and the verb use is missing.,روک,stop; prevention; restraint; stop! (stem/imperative of روکنا),noun / verb stem / imperative
816,PASS,,,,
817,REPAIR,شہید centrally means martyr/martyred person. 'A lover; an injured person' are poetic/archaic peripheral senses and should not lead a general learner entry.,شہید,martyr; martyred person; one killed for a cause/faith (context-dependent),noun / adjective
818,REPAIR,Common bill/invoice homograph omitted.,,"force; strength; power; bill/invoice (loanword homograph, context-dependent)",
819,PASS,,,,
820,REPAIR,داخلہ centrally means admission/entry/enrollment/entrance. 'Interior' is not the useful learner meaning of this noun.,داخلہ,admission; entry; enrollment; entrance,noun
821,PASS,,,,
822,PASS,,,,
823,PASS,,,,
824,PASS,,,,
825,PASS,,,,
826,PASS,,,,
827,REPAIR,زمانے is an inflected form of زمانہ and must explicitly give times/eras/ages rather than only inflection labels.,زمانے,"times; eras; ages; time/era (oblique/vocative singular, context-dependent)",noun
828,REPAIR,Rekhta lists revenue/income/incomings/receipts as established standalone senses.,,arrival; coming/incoming; revenue; income; receipts,
829,PASS,,,,
830,PASS,,,,
831,REPAIR,واحد means one/single/sole/only and is also the grammatical term singular. 'Single' alone is too narrow.,واحد,one; single; sole; only; singular (grammar),adjective / numeral / noun
832,PASS,,,,
833,REPAIR,"شوق commonly means interest/hobby/enthusiasm/desire/passion. The current archaic English 'ardor; alacrity, gaiety' misses the learner-relevant senses.",شوق,interest; hobby; enthusiasm; desire; passion,noun
834,PASS,,,,
835,PASS,,,,
836,PASS,,,,
837,REPAIR,گزر is related to گزرنا and means passage/passing or functions as its stem ('pass/go by'); it can also refer to livelihood in constructions. 'Carrot' is simply incorrect (carrot = گاجر).,گزر,passage; passing; pass/go by (verb stem); livelihood (in constructions/context-dependent),noun / verb stem
838,PASS,,,,
839,PASS,,,,
840,REPAIR,روزانہ means daily/every day and functions primarily as an adverb/adjective. Noun POS is unnecessary.,روزانہ,daily; every day,adverb / adjective
841,REPAIR,پا is the noun foot/leg and also the verb stem of پانا meaning get/obtain/find. The source says only 'stem' without the verb meaning.,پا,"foot; leg; get; obtain; find (verb stem of پانا, context-dependent)",noun / verb stem
842,PASS,,,,
843,PASS,,,,
844,PASS,,,,
845,PASS,,,,
846,PASS,,,,
847,PASS,,,,
848,PASS,,,,
849,REPAIR,حکمت centrally means wisdom/sagacity and can mean strategy/prudence or philosophy. 'Miracle; mystery' are not appropriate core meanings.,حکمت,wisdom; sagacity; prudence; strategy; philosophy (context-dependent),noun
850,PASS,,,,
