rank,status,note,proposed_target,proposed_english,proposed_pos
401,PASS,,,,
402,PASS,,,,
403,REPAIR,"Jeter means throw/cast; 'to rush oneself' requires the reflexive se jeter. The entry should distinguish the construction.",jeter,"to throw; to cast; to discard; to rush/throw oneself (se jeter)",verb
404,PASS,,,,
405,PASS,,,,
406,PASS,,,,
407,REPAIR,"Bare marier is transitive ('to marry/wed someone; join in marriage'); 'get/be married' is normally se marier. The current gloss conflates them.",marier,"to marry/wed someone; to join in marriage; to get married (se marier)",verb
408,PASS,,,,
409,REPAIR,"For a modern learner entry, gentil is primarily the adjective kind/nice/gentle/sweet. The noun label reflects specialized/dated senses not represented in the gloss and adds noise.",gentil,"kind; nice; gentle; sweet",adjective
410,PASS,,,,
411,PASS,,,,
412,PASS,,,,
413,PASS,,,,
414,PASS,,,,
415,PASS,,,,
416,PASS,,,,
417,PASS,,,,
418,PASS,,,,
419,PASS,,,,
420,PASS,,,,
421,PASS,,,,
422,PASS,,,,
423,PASS,,,,
424,PASS,,,,
425,PASS,,,,
426,PASS,,,,
427,REPAIR,"Bare coucher is normally transitive ('put to bed; lay down'); 'lie down/go to bed' is the reflexive se coucher. The gloss should distinguish them.",coucher,"to put to bed; to lay down; to go to bed/lie down (se coucher)",verb
428,PASS,,,,
429,PASS,,,,
430,PASS,,,,
431,PASS,,,,
432,PASS,,,,
433,REPAIR,"Bas also functions adverbially as 'low/down'. Since adverb POS is listed, that core use should be included.",bas,"low; down; bass; bottom/lower part; stocking",adjective / adverb / noun
434,PASS,,,,
435,PASS,,,,
436,REPAIR,"The entry omits the most important learner sense: envie = desire/wish/urge, especially avoir envie de = to feel like/want. Envy is secondary and hangnail/birthmark are specialized.",envie,"desire; wish; urge; wanting (avoir envie de = to feel like/want); envy",noun
437,PASS,,,,
438,PASS,,,,
439,PASS,,,,
440,PASS,,,,
441,PASS,,,,
442,PASS,,,,
443,REPAIR,"Détester commonly means 'to hate' as well as strongly dislike; 'dislike' alone understates the verb.",détester,"to hate; to strongly dislike",verb
444,PASS,,,,
445,PASS,,,,
446,PASS,,,,
447,PASS,,,,
448,PASS,,,,
449,PASS,,,,
450,PASS,,,,
