rank,status,note,proposed_target,proposed_english,proposed_pos
701,PASS,,,,
702,PASS,,,,
703,REPAIR,Manière is the noun manner/way. The current bare gloss 'somewhat/kinda/a bit' belongs to constructions such as de manière rather than being a straightforward noun meaning.,manière,manner; way; fashion/method,noun
704,PASS,,,,
705,REPAIR,Coin should foreground corner/area/spot and also means wedge. 'Quack' is an onomatopoeic/specialized use and should not lead the entry.,coin,corner; area; spot; nook; wedge,noun
706,REPAIR,The entry omits the basic noun entirely: bois = wood/woods. The same spelling is also a very common form of boire meaning 'drink/you drink'.,bois,"wood; woods; drink!; I/you drink (forms of boire, context-dependent)",noun / finite verb form / imperative form
707,REPAIR,Camp means camp and can also mean side/faction/group; the current camping-ground-only gloss is too narrow.,camp,camp; campsite; side; faction; group,noun
708,PASS,,,,
709,REPAIR,Paraître is primarily the verb appear/seem/be published; 'appearance' is the noun le paraître and requires noun POS if retained.,paraître,"to appear; to seem; to be published; appearance (le paraître, noun use)",verb / noun
710,REPAIR,Armée is the noun army but also the feminine past-participle/adjectival form 'armed'. The common homographic reading is missing.,armée,army; armed (feminine form/past participle),noun / past participle / adjective
711,PASS,,,,
712,PASS,,,,
713,PASS,,,,
714,REPAIR,Information is not merely 'an item of information'; it is the general noun information and can also mean news/inquiry/investigation in context.,information,information; piece of information; news; inquiry/investigation (context-dependent),noun
715,REPAIR,Professeur means teacher as well as professor; limiting it to professor would mislead learners in ordinary school contexts.,professeur,teacher; professor,noun
716,PASS,,,,
717,PASS,,,,
718,REPAIR,"Fond also commonly means background, depth, bottom/core, and substance; the current back/base/bottom gloss is incomplete.",fond,bottom; back; background; depth; base; core/substance,noun
719,PASS,,,,
720,PASS,,,,
721,PASS,,,,
722,REPAIR,"Régler very commonly means pay/settle a bill or matter, in addition to regulate/set/adjust. This everyday use is missing.",régler,to adjust; to set; to regulate; to pay; to settle; to resolve,verb
723,PASS,,,,
724,PASS,,,,
725,PASS,,,,
726,PASS,,,,
727,REPAIR,Meal names vary regionally. In contemporary France déjeuner is lunch; in Belgium/Switzerland and some other varieties it can mean breakfast. The current unqualified dual gloss can confuse learners.,déjeuner,lunch; to have lunch (standard France); breakfast/to have breakfast in some regional varieties,noun / verb
728,REPAIR,Common organizational sense 'manage/run/lead' is omitted.,,to direct; to lead; to manage/run; to aim; to steer; to direct (a film),
729,REPAIR,Compris is principally the past participle of comprendre ('understood') and can function adjectivally as included/understood. POS should explicitly include past participle.,compris,understood; included,past participle / adjective
730,PASS,,,,
731,PASS,,,,
732,REPAIR,Ravir very commonly means delight/thrill/enchant. The current entry lists only older/violent senses such as abduct/plunder and omits the everyday modern meaning.,ravir,to delight; to thrill; to enchant; to abduct/carry off (older/formal),verb
733,PASS,,,,
734,PASS,,,,
735,REPAIR,Marché is the noun market/deal/contract and also the past participle of marcher ('walked/worked' depending context). The entry mentions the participle but labels only noun.,marché,"market; deal; contract; walked/worked (past participle of marcher, context-dependent)",noun / past participle
736,PASS,,,,
737,REPAIR,Visite is not only the noun visit; it is also a common finite/imperative form of visiter ('visits; visit!').,visite,"visit; visits; visit! (forms of visiter, context-dependent)",noun / finite verb form / imperative form
738,REPAIR,Poste has several basic senses beyond job/post office: post/position/station and device/set in compounds. The current gloss is too narrow.,poste,post; position; job; station; post office; set/device (context-dependent),noun
739,PASS,,,,
740,PASS,,,,
741,PASS,,,,
742,PASS,,,,
743,PASS,,,,
744,PASS,,,,
745,PASS,,,,
746,PASS,,,,
747,PASS,,,,
748,REPAIR,Forme is the noun form/shape and also a common finite/imperative form of former ('forms/shapes; form!').,forme,"form; shape; forms/shapes; form! (forms of former, context-dependent)",noun / finite verb form / imperative form
749,PASS,,,,
750,REPAIR,"Dame is lady/queen and has a dated interjection use ('indeed!/well!'). Since interjection POS is listed, that meaning should be represented or POS removed.",dame,lady; queen; indeed!/well! (dated interjection),noun / interjection
