rank,status,note,proposed_target,proposed_english,proposed_pos
601,PASS,,,,
602,PASS,,,,
603,REPAIR,"'Embarrassing' is not a noun meaning of dossier. Core senses are file/folder, dossier, record, and case file.",dossier,file; folder; dossier; record; case file,noun
604,PASS,,,,
605,PASS,,,,
606,PASS,,,,
607,PASS,,,,
608,PASS,,,,
609,REPAIR,Recherche means both search and research; the same spelling also represents finite/imperative forms of rechercher. The current POS says noun only despite listing verb forms.,recherche,"search; research; searches/looks for; search!/look for! (forms of rechercher, context-dependent)",noun / finite verb form / imperative form
610,PASS,,,,
611,PASS,,,,
612,REPAIR,Common electoral sense omitted.,,voice; vote,
613,PASS,,,,
614,REPAIR,"Garde is a noun meaning guard/watch/custody/protection, but the same common form also means 'keeps/guards' and 'keep!/guard!' from garder.",garde,guard; watch; custody; protection; keeps/guards; keep!/guard! (forms of garder),noun / finite verb form / imperative form
615,PASS,,,,
616,PASS,,,,
617,PASS,,,,
618,PASS,,,,
619,REPAIR,Amoureux does not mean the noun 'love'. It means in love/loving as an adjective and lover/sweetheart as a noun; the surname is irrelevant.,amoureux,in love; loving; lover; sweetheart,adjective / noun
620,PASS,,,,
621,PASS,,,,
622,PASS,,,,
623,PASS,,,,
624,PASS,,,,
625,PASS,,,,
626,PASS,,,,
627,PASS,,,,
628,REPAIR,Prévenir very commonly means warn/inform/notify as well as prevent. Teaching only 'prevent' is materially incomplete.,prévenir,to warn; to inform; to notify; to prevent,verb
629,PASS,,,,
630,PASS,,,,
631,REPAIR,"Est is overwhelmingly also the third-person singular present form of être, 'is'. Limiting the entry to the noun/adjective 'east' would badly misteach one of French's most frequent forms.",est,is (form of être); east; eastern,finite verb form / noun / adjective
632,PASS,,,,
633,PASS,,,,
634,REPAIR,"Réaliser means carry out/achieve/make and, in modern French, can mean realize/become aware. The current gloss omits achievement and realization senses.",réaliser,to carry out; to achieve; to make/produce; to realize/become aware; to direct (a film),verb
635,PASS,,,,
636,PASS,,,,
637,REPAIR,"'To build' is not a safe general meaning of arranger. Core meanings are arrange, organize, fix, adjust, and in reflexive use work things out/manage.",arranger,to arrange; to organize; to fix; to adjust; to suit; to work things out/manage (s'arranger),verb
638,REPAIR,"The current entry omits the basic meaning 'to jump'. Sauter can also skip, explode/blow, sauté, or jump over.",sauter,to jump; to skip; to jump over; to explode/blow; to sauté,verb
639,PASS,,,,
640,PASS,,,,
641,PASS,,,,
642,PASS,,,,
643,PASS,,,,
644,REPAIR,"Core meanings 'treat', 'deal with/handle', and 'address a subject' are omitted.",,to treat; to deal with/handle; to address/discuss (a subject); to process; to call/label; to treat medically,
645,REPAIR,Craindre primarily means fear/dread. The colloquial 'suck/be bad' use occurs especially in ça craint and should be labeled rather than presented as a neutral equivalent.,craindre,"to fear; to dread; to be bad/suck (ça craint, informal)",verb
646,PASS,,,,
647,PASS,,,,
648,PASS,,,,
649,PASS,,,,
650,PASS,,,,
