rank,status,note,proposed_target,proposed_english,proposed_pos
651,REPAIR,فکر means thought/concern/worry/anxiety. 'Concern' alone is too narrow.,فکر,thought; concern; worry; anxiety,noun
652,PASS,,,,
653,REPAIR,حیات is a noun meaning life/lifetime/existence. 'Alive' is not the normal direct POS/meaning of حیات and adjective POS is misleading.,حیات,life; lifetime; existence,noun
654,REPAIR,جیسا is a resemblance/comparative form meaning like/as/such as. 'Closed-class' is too vague.,جیسا,like; as; such as; resembling,comparative/resemblance adjective / connector
655,PASS,,,,
656,PASS,,,,
657,REPAIR,The same written form is also an established English loan for base in modern Urdu; omitting it conflicts with the workbook's form-based homograph treatment.,,"twenty; base (English loan, especially technical/military compounds, context-dependent)",
658,PASS,,,,
659,REPAIR,Common law/code/regulation senses omitted.,,constitution; law; code; regulation; custom/practice (context-dependent),
660,PASS,,,,
661,PASS,,,,
662,REPAIR,عدم centrally means absence/lack/nonexistence/negation. 'Being lost' is not a suitable core learner gloss.,عدم,absence; lack; nonexistence; negation; nothingness,noun
663,REPAIR,مال centrally means goods/property/wealth/money/assets. 'Hero; boxer' is erroneous source contamination.,مال,goods; property; wealth; money; assets,noun
664,REPAIR,مجھ is the oblique first-person pronoun and should directly tell learners 'me' rather than only give a grammatical reference.,مجھ,"me (oblique form, used before postpositions)",pronoun
665,PASS,,,,
666,REPAIR,دعا means prayer/supplication/wish/blessing and can also be a personal name. 'The prayers in the Qur'an' is overly specific as a definition.,دعا,"prayer; supplication; wish; blessing; Dua (name, context-dependent)",noun / name
667,REPAIR,گل in Urdu/Persian-derived vocabulary centrally means flower/rose and is also a common name element. The source's 'bole; hook; neck' is unrelated/noisy.,گل,"flower; rose; Gul (name element, context-dependent)",noun / name
668,PASS,,,,
669,PASS,,,,
670,REPAIR,گیس centrally means gas and can denote gasoline in some regional/loan contexts. 'Fart' is a colloquial bodily-gas use and should not lead the general learner entry.,گیس,gas; gaseous fuel; gasoline/petrol (regional/context-dependent); bodily gas (colloquial),noun
671,PASS,,,,
672,REPAIR,اتفاق very commonly means agreement/accord as well as coincidence/chance/unity. 'Agreement' is missing.,اتفاق,agreement; accord; coincidence; chance; unity,noun
673,PASS,,,,
674,PASS,,,,
675,PASS,,,,
676,REPAIR,ادبی centrally means literary/related to literature and can extend to cultured/polite contexts. 'Moral' is not a direct standard meaning.,ادبی,literary; related to literature; cultured/polite (context-dependent),adjective
677,PASS,,,,
678,PASS,,,,
679,PASS,,,,
680,REPAIR,ذہنی centrally means mental/intellectual/psychological. 'Ideal; subjective' are context-specific philosophical senses and should not lead the entry.,ذہنی,mental; intellectual; psychological; subjective (specialized/context-dependent),adjective
681,PASS,,,,
682,REPAIR,"مسئلے is an inflected form of مسئلہ and must explicitly give problem(s)/issue(s), not only inflection labels.",مسئلے,"problems; issues; problem/issue (oblique/vocative singular, context-dependent)",noun
683,REPAIR,جمہوریت means democracy. 'Republic' is جمہوریہ and should not be given as the direct meaning of جمہوریت.,جمہوریت,democracy,noun
684,PASS,,,,
685,REPAIR,ذاتی centrally means personal/private/individual/one's own. The source instead lists innate/natural/inherent and omits the dominant modern meaning.,ذاتی,personal; private; individual; one's own; inherent (context-dependent),adjective
686,REPAIR,خوراک centrally means food/diet/nourishment and also dose. The source omits 'food' entirely.,خوراک,food; diet; nourishment; dose,noun
687,PASS,,,,
688,PASS,,,,
689,REPAIR,خاتون means lady/woman and can be an honorific. 'Noblewoman' is too narrow.,خاتون,woman; lady; respected lady,noun / honorific
690,REPAIR,خراب means bad/spoiled/broken/out of order/poor. 'Volatile' is not a standard core meaning.,خراب,bad; spoiled; broken; out of order; poor; ruined,adjective
691,PASS,,,,
692,PASS,,,,
693,REPAIR,"نور centrally means light/radiance, often divine/spiritual light. The source omits plain 'light' and treats a surah reference like a lexical meaning.",نور,"light; radiance; divine/spiritual light; Noor (name, context-dependent)",noun / name
694,PASS,,,,
695,PASS,,,,
696,PASS,,,,
697,REPAIR,حضور is an honorific/address meaning sir/your presence/His or Her Excellency and literally presence. 'Beloved' is not a core direct meaning.,حضور,presence; sir; respected/honored person; honorific form of address,noun / honorific
698,REPAIR,تسلیم means acceptance/acknowledgment/admission/recognition and can also mean surrender/submission. 'Acceptance' alone is too narrow.,تسلیم,acceptance; acknowledgment; admission; recognition; surrender/submission,noun
699,PASS,,,,
700,PASS,,,,
