rank,status,note,proposed_target,proposed_english,proposed_pos
351,REPAIR,Kitchen/head-chef use is common and learner-relevant but absent from the current entry.,,head; boss; chief; leader; chef/head cook (context-dependent); principal point,
352,PASS,,,,
353,REPAIR,Académie française gives the ordinary senses words/remarks exchanged in conversation and the subject or matter being discussed; these are more central than the current narrow gloss.,,remarks/comments; words/speech; subject/topic; aim/intention,
354,PASS,,,,
355,PASS,,,,
356,PASS,,,,
357,PASS,,,,
358,REPAIR,"The current definition consists only of obscure specialist senses and omits the basic meaning entirely. Jeu means game/play and also set, hand, play/movement in context.",jeu,game; play; set; hand (cards); movement/play (context-dependent),noun
359,PASS,,,,
360,PASS,,,,
361,REPAIR,"Feu is the noun fire, but as an adjective before a noun it can also mean late/deceased ('feu mon père'). Adjective POS is listed but its meaning is missing.",feu,fire; late/deceased (literary/formal adjective before a noun),noun / adjective
362,REPAIR,Confiance means both confidence and trust; omitting 'trust' is a major learner gap.,confiance,trust; confidence,noun
363,PASS,,,,
364,PASS,,,,
365,PASS,,,,
366,PASS,,,,
367,REPAIR,"Reste is the noun remainder/rest, but the same written form also means 'remains/stays' and 'stay!' from rester. The current entry mentions an imperative without verb POS or gloss.",reste,remainder; rest; remains/stays; stay! (form of rester),noun / finite verb form / imperative form
368,PASS,,,,
369,PASS,,,,
370,PASS,,,,
371,REPAIR,Agir centrally means act/take action/behave. 'Prosecute/sue' requires the construction agir en justice and should not lead the gloss.,agir,to act; to take action; to behave; to sue/take legal action (agir en justice),verb
372,PASS,,,,
373,PASS,,,,
374,REPAIR,"Plan is not only a noun; as an adjective it means flat/level. Since adjective POS is listed, that meaning should be included.",plan,plan; map; shot (film); flat; level,noun / adjective
375,PASS,,,,
376,PASS,,,,
377,PASS,,,,
378,PASS,,,,
379,PASS,,,,
380,REPAIR,The current entry omits the core meanings of monter: go up/climb/rise/increase/assemble. Editing and horse-riding are only secondary uses.,monter,to go up; to climb; to rise; to increase; to assemble/set up; to ride/mount; to edit,verb
381,PASS,,,,
382,PASS,,,,
383,PASS,,,,
384,PASS,,,,
385,PASS,,,,
386,PASS,,,,
387,PASS,,,,
388,PASS,,,,
389,PASS,,,,
390,PASS,,,,
391,PASS,,,,
392,PASS,,,,
393,PASS,,,,
394,PASS,,,,
395,PASS,,,,
396,PASS,,,,
397,PASS,,,,
398,REPAIR,"Cher means dear/beloved or expensive, and adverbially dearly/at a high price. 'Super' is not a normal basic gloss.",cher,dear; beloved; expensive; dearly; at a high price,adjective / adverb / noun
399,REPAIR,Very common il vaut mieux / equivalence senses omitted.,,to be worth; to be equivalent to; to be preferable/better (il vaut mieux),
400,REPAIR,Fête means party/celebration/holiday/feast/name day. It is not itself the ordinary word for birthday (anniversaire).,fête,party; celebration; holiday; feast; name day,noun
