rank,status,note,proposed_target,proposed_english,proposed_pos
101,PASS,,,,
102,PASS,,,,
103,PASS,,,,
104,REPAIR,"مدد centrally means help/aid/assistance. Relief and reinforcement can occur contextually, but 'supply' is not an appropriate standalone core gloss.",مدد,"help; aid; assistance; relief; reinforcement (context-dependent)",noun
105,PASS,,,,
106,PASS,,,,
107,REPAIR,"بے is primarily a productive privative prefix meaning without-/un-/-less; the letter-name homograph is a noun. Adjective POS is misleading.",بے,"without-; un-; -less; non-; name of the letter ب (context-dependent)",prefix / noun
108,REPAIR,"دوسرے is the masculine plural/oblique form of دوسرا meaning second or other. 'Closed-class' hides its adjectival/determiner role.",دوسرے,"second; other (masculine plural/oblique form of دوسرا)",adjective / determiner
109,PASS,,,,
110,PASS,,,,
111,PASS,,,,
112,PASS,,,,
113,REPAIR,"پیش functions adverbially/noun-like in expressions meaning before/in front/forward and can mean presented/offered; it is also the Urdu name of the damma vowel mark. Adjective/noun alone is incomplete.",پیش,"before; in front; forward; presented/offered; pesh/damma vowel mark",adverb / noun / adjective-participle
114,REPAIR,"مختلف centrally means different/various. The current gloss omits 'different' and leads with less useful 'other/opposed'.",مختلف,"different; various; differing; opposed (context-dependent)",adjective
115,PASS,,,,
116,PASS,,,,
117,PASS,,,,
118,REPAIR,"ہمارے is a possessive determiner/pronoun form meaning our/ours, masculine plural or oblique. 'Closed-class' is too vague.",ہمارے,"our; ours (masculine plural/oblique form)",possessive determiner / pronoun
119,PASS,,,,
120,PASS,,,,
121,PASS,,,,
122,PASS,,,,
123,PASS,,,,
124,REPAIR,"پانی centrally means water. Sweat/tears can be described with پانی in compounds or figurative uses, while 'alcohol' is not a safe core learner gloss.",پانی,"water; liquid/moisture; tears or sweat (in compounds/context-dependent)",noun
125,PASS,,,,
126,PASS,,,,
127,PASS,,,,
128,REPAIR,"دوران means duration/course/period and is widely used in کے دوران 'during'. 'Content word' is not a grammatical POS.",دوران,"duration; course; period; during (in کے دوران)",noun / postpositional expression
129,PASS,,,,
130,PASS,,,,
131,PASS,,,,
132,REPAIR,"بڑی should give a direct learner meaning instead of only saying it is the feminine of بڑا.",بڑی,"big; large; elder/older; great (feminine form of بڑا, context-dependent)",adjective
133,PASS,,,,
134,REPAIR,"مجھے should directly tell a learner 'me/to me' rather than only describe it as the dative/accusative of میں.",مجھے,"me; to me",pronoun
135,REPAIR,"ایسے means such/like this/in this way and functions as a demonstrative/adjectival or adverbial form. 'Closed-class' is too vague.",ایسے,"such; like this/that; in this way",demonstrative adjective / adverbial form
136,PASS,,,,
137,PASS,,,,
138,REPAIR,"موجود centrally means present/existing/available. 'Ready, willing' is not a normal standalone modern learner meaning and should not be taught as core.",موجود,"present; existing; available; obtainable",adjective
139,PASS,,,,
140,REPAIR,"کھیل should lead with game/sport/play/fun. 'Scheme, plan' is peripheral/idiomatic and risks confusing a beginner.",کھیل,"game; sport; play; fun; easy matter/task (idiomatic, context-dependent)",noun
141,REPAIR,"بلکہ is a conjunction/discourse connector meaning rather/but rather/in fact/moreover, not merely an adverb.",بلکہ,"rather; but rather; in fact; moreover",conjunction / discourse connector
142,REPAIR,"نظر means sight/view/look/gaze and can mean opinion/attention/supervision in constructions. 'Eye' alone is more properly آنکھ and should not lead the learner entry.",نظر,"sight; view; look; gaze; opinion; attention/supervision (context-dependent)",noun
143,PASS,,,,
144,PASS,,,,
145,REPAIR,"جہاں is the relative/interrogative adverb 'where/wherever'. 'Beloved' is spurious dictionary noise (likely contamination from جان or a name) and noun POS is misleading here.",جہاں,"where; wherever",relative/interrogative adverb
146,PASS,,,,
147,REPAIR,"میرے is the masculine plural/oblique possessive form of میرا and functions as possessive determiner/pronoun. 'Closed-class' is too vague.",میرے,"my; mine (masculine plural/oblique form)",possessive determiner / pronoun
148,PASS,,,,
149,REPAIR,"مگر is a conjunction meaning but/however/except or unless in some constructions. Noun POS is unexplained dictionary noise for this learner entry.",مگر,"but; however; except; unless (context-dependent)",conjunction
150,REPAIR,"پاس means near/nearby/by and is central in کے پاس to express possession ('with/have'). The current one-word gloss is too narrow.",پاس,"near; nearby; by; with/in someone's possession (in کے پاس)",adverb / noun / postpositional expression
