rank,status,note,proposed_target,proposed_english,proposed_pos
901,REPAIR,اطلاع centrally means information/notice/notification/news. 'Advice' is not the ordinary direct meaning and should not lead the entry.,اطلاع,information; notice; notification; news,noun
902,PASS,,,,
903,PASS,,,,
904,REPAIR,Common poetry/verse senses omitted.,,poetry; verse; couplet,
905,PASS,,,,
906,PASS,,,,
907,REPAIR,پیسے is an inflected/plural form of پیسہ and in ordinary Urdu very commonly means money. The source gives only inflection labels and no lexical meaning.,پیسے,"money; paise/coins; paisa (oblique/vocative singular, context-dependent)",noun
908,PASS,,,,
909,REPAIR,رہنا means to stay/remain/live/reside and also helps form progressive constructions. The source omits the basic stay/remain senses.,رہنا,to stay; to remain; to live; to reside; progressive auxiliary use,verb
910,PASS,,,,
911,PASS,,,,
912,PASS,,,,
913,PASS,,,,
914,REPAIR,"سلامتی centrally means safety/security/well-being. 'Health, cheers' is awkward/noisy learner English.",سلامتی,safety; security; well-being; welfare,noun
915,REPAIR,"امکان centrally means possibility/chance/likelihood/feasibility. The source's 'control; means, courage; contingent existence' omits the normal modern meaning.",امکان,possibility; chance; likelihood; feasibility,noun
916,PASS,,,,
917,REPAIR,"تصویر centrally means picture/image/photo/portrait/representation. 'Condition, state' is erroneous source contamination.",تصویر,picture; image; photograph; portrait; representation,noun
918,REPAIR,خالی centrally means empty/vacant/free/bare and can function adverbially as only/merely. The source omits plain 'empty'.,خالی,empty; vacant; free; bare; only/merely (context-dependent),adjective / adverb
919,REPAIR,مستقل means permanent/constant/stable/regular. 'Complete' is not a normal direct meaning.,مستقل,permanent; constant; stable; regular,adjective / adverb (context-dependent)
920,PASS,,,,
921,REPAIR,"پس means therefore/so/then and, in another Persian-derived spatial reading, behind/after. 'Closed-class' is too vague.",پس,therefore; so; then; behind; after (context-dependent),adverb / conjunction / prepositional element
922,PASS,,,,
923,REPAIR,جذبہ means emotion/feeling/sentiment and very commonly passion/drive. The current gloss is valid but incomplete for a learner.,جذبہ,emotion; feeling; sentiment; passion; drive,noun
924,REPAIR,مقامی means local/native as an adjective and local resident as a noun. Noun use is missing from POS.,مقامی,local; native; local resident,adjective / noun
925,PASS,,,,
926,PASS,,,,
927,REPAIR,اچانک means suddenly/unexpectedly/all of a sudden. 'Dramatic' is not a direct meaning and should be removed.,اچانک,suddenly; unexpectedly; all of a sudden,adverb
928,PASS,,,,
929,PASS,,,,
930,REPAIR,"نقل means copy/imitation/transcription/quotation and can mean transfer/transport in compounds. 'Print, printing' is too narrow and not the main sense.",نقل,copy; imitation; transcription; quotation; transfer/transport (context-dependent),noun
931,PASS,,,,
932,PASS,,,,
933,PASS,,,,
934,PASS,,,,
935,PASS,,,,
936,REPAIR,"پنجابی means Punjabi as an adjective, the Punjabi language, or a Punjabi person. 'Name' POS does not capture the noun/language use.",پنجابی,Punjabi; Punjabi language; Punjabi person,adjective / noun
937,PASS,,,,
938,REPAIR,فصل means crop/harvest and also season/chapter/section. 'Farm' is not a direct meaning; chapter/section is a common learner sense.,فصل,crop; harvest; season; chapter; section,noun
939,REPAIR,مغرب means west/the West and Maghrib (sunset/time/prayer). Morocco is المغرب in Arabic but is not the normal Urdu lexical meaning of مغرب and should not be mixed into this entry.,مغرب,west; the West; sunset/Maghrib time; Maghrib prayer,noun
940,PASS,,,,
941,PASS,,,,
942,PASS,,,,
943,PASS,,,,
944,PASS,,,,
945,REPAIR,"آنا centrally means to come/arrive. It can express knowing how in constructions such as مجھے تیرنا آتا ہے, but 'to know' is not an unqualified direct translation.",آنا,"to come; to arrive; to know how (in ability constructions, context-dependent)",verb
946,PASS,,,,
947,PASS,,,,
948,PASS,,,,
949,PASS,,,,
950,PASS,,,,
