rank,status,note,proposed_target,proposed_english,proposed_pos
201,REPAIR,پارٹی means a political party/group but also a social party/gathering. The social meaning is too common to omit.,پارٹی,party; political party/group; social party/gathering,noun
202,PASS,,,,
203,PASS,,,,
204,REPAIR,دل centrally means heart and also mind/feelings/desire in many expressions. 'Wish; attention' alone does not give the learner the core semantic range.,دل,heart; mind/feelings; desire/wish; attention (in expressions),noun
205,PASS,,,,
206,REPAIR,"باہر is primarily the locative adverb/noun outside/outdoors. 'Eminent, excelling' is unrelated/noisy for a modern learner entry.",باہر,outside; outdoors; exterior/outside area,adverb / noun
207,PASS,,,,
208,PASS,,,,
209,PASS,,,,
210,REPAIR,"حضرت is an honorific title used for revered/respected persons, saints, prophets, or elders. 'Gentleman' is much too narrow and can misrepresent register.",حضرت,honorific for a revered/respected person; His/Her Holiness; respected sir/lady (context-dependent),honorific noun / title
211,REPAIR,"بھارتی means Indian, either adjective or person/nationality noun. 'Name' POS is not appropriate.",بھارتی,Indian; an Indian person,adjective / noun
212,REPAIR,"تاہم functions as an adversative conjunction/discourse connector ('however/nevertheless'), not merely a lexical adverb.",تاہم,however; nevertheless; nonetheless; yet,conjunction / discourse adverb
213,PASS,,,,
214,REPAIR,تاکہ is a subordinating conjunction meaning so that/in order that. 'Closed-class' is too vague.,تاکہ,so that; in order that,subordinating conjunction
215,REPAIR,جگہ should lead with place/location/space/site. 'Post; station' are context-specific and should not obscure the central meaning.,جگہ,place; location; space; site; position/post (context-dependent),noun
216,PASS,,,,
217,REPAIR,بند centrally means closed/shut and also a dam/barrier or band/stanza in specific contexts. 'Bun' is dictionary contamination and should be removed.,بند,closed; shut; dam/barrier; band/stanza (context-dependent),adjective / noun
218,PASS,,,,
219,REPAIR,فوجی means soldier as a noun and military/army-related as an adjective. Noun-only POS omits the adjectival use.,فوجی,soldier; military; army-related,noun / adjective
220,PASS,,,,
221,REPAIR,"تھیں is the feminine plural past form of ہونا ('were'), not an unspecified closed-class item.",تھیں,were (feminine plural past of ہونا),verb
222,REPAIR,Central expression sense omitted and gloss is overlong/noisy.,,expression; statement; declaration; disclosure; manifestation,
223,PASS,,,,
224,REPAIR,کمی means lack/shortage/deficiency/decrease. The caste-related dictionary sense is derogatory/obsolete and should not be presented without register context in a general learner entry.,کمی,lack; shortage; deficiency; decrease; deficit,noun
225,PASS,,,,
226,REPAIR,Productive owner/possessor sense omitted.,,sir; mister; gentleman; owner; possessor; person having/endowed with (especially in compounds),
227,REPAIR,یعنی is a discourse/conjunctive expression meaning that is/namely/i.e./meaning. Interjection POS is misleading.,یعنی,that is; namely; i.e.; meaning/in other words,conjunction / discourse marker
228,REPAIR,ہونا means to be/exist/become/happen. 'To want' is incorrect for this verb.,ہونا,to be; to exist; to become; to happen,verb
229,REPAIR,یہی is an emphatic demonstrative meaning this very/this same/exactly this. 'Closed-class' is too vague.,یہی,this very; this same; exactly this,emphatic demonstrative pronoun / determiner
230,REPAIR,بغیر is a postposition/preposition meaning without/except for. Adjective POS and 'lacking' as the headword meaning are not the clearest learner analysis.,بغیر,without; except for,postposition / preposition
231,PASS,,,,
232,PASS,,,,
233,PASS,,,,
234,REPAIR,"وی is the name/representation of the Latin letter V, especially in acronyms. 'Content word' is not a POS.",وی,the letter V (especially in acronyms),letter name / noun
235,PASS,,,,
236,REPAIR,بڑا centrally means big/large/great/elder and can intensify as very. The source omits the basic 'big/large' meaning.,بڑا,big; large; great; elder/older; very (intensifying use),adjective / intensifier
237,PASS,,,,
238,PASS,,,,
239,REPAIR,ناظم is a noun meaning administrator/manager/organizer/coordinator; it can also mean poet/composer in older/literary usage. Adjective POS is incorrect.,ناظم,administrator; manager; organizer; coordinator; poet/composer (literary/older),noun
240,PASS,,,,
241,PASS,,,,
242,PASS,,,,
243,PASS,,,,
244,PASS,,,,
245,REPAIR,"فراہم in modern Urdu is learned as provided/supplied/available, especially in فراہم کرنا 'to provide'. 'Gathered, collected, obtained' reflects etymological/older senses and is poor as the core learner gloss.",فراہم,provided; supplied; available; furnished,adjective / participle
246,PASS,,,,
247,PASS,,,,
248,REPAIR,زلزلے is an inflected form of زلزلہ and must explicitly give the lexical meaning earthquake/earthquakes rather than only inflection labels.,زلزلے,"earthquakes; earthquake (oblique/vocative singular, context-dependent)",noun
249,PASS,,,,
250,REPAIR,"قبل means before/prior to/ago, often in سے قبل. It functions adverbially and in postpositional expressions; the current gloss is acceptable but POS can be clearer.",قبل,before; prior to; ago,adverb / postpositional expression
