rank,status,note,proposed_target,proposed_english,proposed_pos
801,PASS,,,,
802,REPAIR,"Engager has central modern meanings hire/employ, engage/commit, and involve. The current pawn/enlist senses are valid but omit the most useful learner meanings.",engager,"to hire; to employ; to engage; to commit; to involve; to enlist; to pawn (context-dependent)",verb
803,REPAIR,"Gueule is informal and can be rude/vulgar when used for a person's face or mouth. The register warning should be explicit.",gueule,"mouth/muzzle; face or mouth (informal, often rude); gob/mug (informal/rude)",noun
804,PASS,,,,
805,PASS,,,,
806,REPAIR,"Excuse is not only the noun 'excuse'; it is also a common present-tense and imperative form of excuser, including Excuse-moi. The gloss mentions these forms but POS does not.",excuse,"excuse; excuses/is excusing; excuse! (forms of excuser, context-dependent)",noun / finite verb form / imperative form
807,PASS,,,,
808,PASS,,,,
809,PASS,,,,
810,PASS,,,,
811,PASS,,,,
812,PASS,,,,
813,PASS,,,,
814,PASS,,,,
815,PASS,,,,
816,REPAIR,"Riche must include the basic adjective meaning rich/wealthy. The current gloss gives secondary senses but omits the central learner meaning.",riche,"rich; wealthy; rich/abundant; rich person",adjective / noun
817,PASS,,,,
818,PASS,,,,
819,PASS,,,,
820,PASS,,,,
821,PASS,,,,
822,PASS,,,,
823,PASS,,,,
824,PASS,,,,
825,PASS,,,,
826,PASS,,,,
827,PASS,,,,
828,REPAIR,"Course is also extremely common in faire les courses / les courses for shopping, errands, or groceries. That everyday plural use should be included.",course,"race; run/running; errand; shopping/groceries (especially plural: les courses)",noun
829,PASS,,,,
830,REPAIR,"Bête is both the noun beast/animal and the very common adjective stupid/silly/foolish. The adjective is omitted despite adjective POS being listed.",bête,"beast; animal; stupid; silly; foolish",adjective / noun
831,PASS,,,,
832,REPAIR,"Risque is a noun but also a common finite and imperative form of risquer. The current definition mentions those forms without reflecting them in POS.",risque,"risk; risks/is risking; risk! (forms of risquer, context-dependent)",noun / finite verb form / imperative form
833,PASS,,,,
834,PASS,,,,
835,PASS,,,,
836,PASS,,,,
837,PASS,,,,
838,PASS,,,,
839,PASS,,,,
840,PASS,,,,
841,PASS,,,,
842,PASS,,,,
843,REPAIR,"Officier is both the noun officer and the verb 'to officiate'. Verb POS is already listed but the verb meaning is missing.",officier,"officer; to officiate",noun / verb
844,PASS,,,,
845,REPAIR,"Attaque is the noun attack/assault and also a common finite/imperative form of attaquer. The current POS lists only noun.",attaque,"attack; assault; aggression; attacks/is attacking; attack! (forms of attaquer, context-dependent)",noun / finite verb form / imperative form
846,PASS,,,,
847,PASS,,,,
848,PASS,,,,
849,REPAIR,"Juge is both the noun judge and a common finite/imperative form of juger. The learner entry should not hide that homograph.",juge,"judge; judges/is judging; judge! (forms of juger, context-dependent)",noun / finite verb form / imperative form
850,PASS,,,,
