rank,status,note,proposed_target,proposed_english,proposed_pos
901,PASS,,,,
902,REPAIR,"Magasin should lead with the everyday shop/store sense. 'Barn' is not an appropriate core modern learner gloss; storage/warehouse/magazine senses are secondary.",magasin,"shop; store; storeroom/warehouse; magazine/storage chamber (specialized)",noun
903,PASS,,,,
904,REPAIR,"Quartier normally means neighborhood/district/quarter. The current wording incorrectly narrows neighborhood to an impoverished suburban area.",quartier,"neighborhood; district; quarter; area",noun
905,PASS,,,,
906,PASS,,,,
907,PASS,,,,
908,PASS,,,,
909,PASS,,,,
910,PASS,,,,
911,PASS,,,,
912,REPAIR,"Intéressant is an adjective and also the present participle of intéresser, which the gloss explicitly mentions but the POS omits.",intéressant,"interesting; interesting/engaging; present participle of intéresser",adjective / present participle
913,PASS,,,,
914,PASS,,,,
915,PASS,,,,
916,PASS,,,,
917,REPAIR,"Demande is both the noun request/demand and a common finite/imperative form of demander. The current entry mentions only the imperative while POS remains noun-only.",demande,"request; demand; asks/requests; ask/request! (forms of demander, context-dependent)",noun / finite verb form / imperative form
918,PASS,,,,
919,REPAIR,"Laisse is the noun leash/lead but is also an extremely common finite and imperative form of laisser, as in laisse-moi. The current rare foreshore sense should not hide this.",laisse,"leash; lead; leaves/lets; leave!/let! (forms of laisser, context-dependent); foreshore (specialized)",noun / finite verb form / imperative form
920,PASS,,,,
921,PASS,,,,
922,PASS,,,,
923,PASS,,,,
924,REPAIR,"Ennui means boredom but also trouble/problem/annoyance, especially in plural or fixed expressions. The current gloss is too narrow.",ennui,"boredom; trouble; problem; annoyance",noun
925,PASS,,,,
926,PASS,,,,
927,REPAIR,"La is the feminine article/object pronoun, and noun POS is listed because la is also the musical note A. That noun meaning is missing.",la,"the (feminine singular); her; it; A/la (musical note)",article / determiner / pronoun / noun
928,REPAIR,"Enceinte means pregnant as an adjective and, as nouns, a speaker or an enclosure/compound. 'Interior' is an imprecise noun gloss.",enceinte,"pregnant; speaker/loudspeaker; enclosure; enclosed area/compound",adjective / noun
929,PASS,,,,
930,PASS,,,,
931,PASS,,,,
932,PASS,,,,
933,PASS,,,,
934,PASS,,,,
935,REPAIR,"Débarrasser is normally learned as clear/remove and especially se débarrasser de = get rid of. Bare 'rid' is not usable learner English.",débarrasser,"to clear; to remove; to rid; to get rid of (se débarrasser de)",verb
936,PASS,,,,
937,PASS,,,,
938,REPAIR,"Adresse centrally means address. The current entry omits that basic meaning and leads with secondary senses such as skill/adroitness.",adresse,"address; skill; dexterity/adroitness; direction (older/context-dependent)",noun
939,REPAIR,"Morceau should teach piece/bit/slice and piece of music. 'Gun, piece' is an obsolete/specialized sense and should not lead a learner entry.",morceau,"piece; bit; slice; morsel; piece of music/work",noun
940,PASS,,,,
941,REPAIR,"Causer centrally means cause and, informally, talk/chat. 'Speak a language' is not a suitable core learner definition.",causer,"to cause; to talk; to chat (informal)",verb
942,PASS,,,,
943,PASS,,,,
944,PASS,,,,
945,PASS,,,,
946,REPAIR,"Oser means dare/venture. 'To be allowed to' is not a direct core meaning and can misteach the verb.",oser,"to dare; to venture; to have the nerve/courage to",verb
947,PASS,,,,
948,PASS,,,,
949,PASS,,,,
950,PASS,,,,
