rank,status,note,proposed_target,proposed_english,proposed_pos
1,PASS,,,,
2,PASS,,,,
3,REPAIR,"For learner-facing French, de is fundamentally a preposition; the noun label is noisy and unsupported by the displayed core meaning.",de,"of; from",preposition
4,PASS,,,,
5,PASS,,,,
6,REPAIR,"le functions as the masculine singular definite article/determiner and as a masculine direct-object pronoun; the noun label is misleading for this entry.",le,"the; him; it (masculine direct-object pronoun)",definite article / determiner / pronoun
7,PASS,,,,
8,PASS,,,,
9,PASS,,,,
10,PASS,,,,
11,PASS,,,,
12,PASS,,,,
13,PASS,,,,
14,PASS,,,,
15,PASS,,,,
16,PASS,,,,
17,PASS,,,,
18,PASS,,,,
19,PASS,,,,
20,PASS,,,,
21,PASS,,,,
22,PASS,,,,
23,PASS,,,,
24,PASS,,,,
25,PASS,,,,
26,PASS,,,,
27,PASS,,,,
28,PASS,,,,
29,PASS,,,,
30,PASS,,,,
31,REPAIR,"me is an unstressed object/reflexive pronoun in ordinary modern French; the noun label is learner-noise.",me,"me; myself",object / reflexive pronoun
32,PASS,,,,
33,PASS,,,,
34,PASS,,,,
35,PASS,,,,
36,PASS,,,,
37,PASS,,,,
38,PASS,,,,
39,PASS,,,,
40,PASS,,,,
41,PASS,,,,
42,PASS,,,,
43,PASS,,,,
44,PASS,,,,
45,PASS,,,,
46,REPAIR,"se is an unstressed reflexive/reciprocal pronoun; the noun label is not appropriate for the learner entry.",se,"oneself; himself; herself; themselves; each other (reflexive/reciprocal use)",reflexive / reciprocal pronoun
47,PASS,,,,
48,PASS,,,,
49,PASS,,,,
50,REPAIR,"comme is not only a conjunction: in common learner use it also functions as a comparative/prepositional marker and adverbial element ('like/as/how').",comme,"like; as; such as; how",conjunction / comparative marker / adverbial expression
