rank,status,note,proposed_target,proposed_english,proposed_pos
51,PASS,,,,
52,PASS,,,,
53,PASS,,,,
54,PASS,,,,
55,PASS,,,,
56,REPAIR,"parler can also be the noun le parler, meaning speech/way of speaking/dialect; the current noun POS has no matching noun gloss.",parler,to talk; to speak; speech; way of speaking; dialect,verb / noun
57,PASS,,,,
58,PASS,,,,
59,PASS,,,,
60,PASS,,,,
61,PASS,,,,
62,PASS,,,,
63,PASS,,,,
64,PASS,,,,
65,PASS,,,,
66,PASS,,,,
67,PASS,,,,
68,PASS,,,,
69,REPAIR,The current gloss omits the very common adverbial juste = 'just; only; exactly'.,juste,just; only; exactly; correct; fair; just,adverb / adjective / noun
70,REPAIR,"The current gloss foregrounds marginal senses ('don', 'run') and omits core learner uses. A safer high-frequency gloss is pass/go by, spend time, take an exam, put on/hand/pass something.",passer,to pass; to go/come by; to spend (time); to take (an exam); to hand/pass; to put on,verb
71,PASS,,,,
72,PASS,,,,
73,PASS,,,,
74,PASS,,,,
75,REPAIR,"jamais means 'ever' in questions/conditionals but, with negation or as a negative response, its core learner meaning is 'never'; omitting 'never' is materially misleading.",jamais,never; ever,adverb
76,PASS,,,,
77,PASS,,,,
78,PASS,,,,
79,PASS,,,,
80,PASS,,,,
81,PASS,,,,
82,REPAIR,The current explanatory gloss is obscure and 'second' is not a useful core translation. Learners need other/another/else.,autre,other; another; else,adjective / pronoun
83,PASS,,,,
84,PASS,,,,
85,REPAIR,Everyday 'happen/occur' sense omitted.,,to arrive; to happen/occur; to manage/succeed (arriver à); to achieve success (context-dependent),
86,REPAIR,"maintenant is normally the adverb 'now/currently', but the same spelling is also the present participle of maintenir ('maintaining'); the meaning mentions this while POS omits it.",maintenant,"now; currently; maintaining (present participle of maintenir, context-dependent)",adverb / present participle
87,PASS,,,,
88,PASS,,,,
89,PASS,,,,
90,REPAIR,"The current gloss is awkward and includes 'come across', which is not a safe general equivalent. Core meanings are give, provide, donate, produce/yield, and (with sur) face/open onto.",donner,to give; to provide; to donate; to produce/yield; to face/open onto (donner sur),verb
91,PASS,,,,
92,PASS,,,,
93,PASS,,,,
94,PASS,,,,
95,REPAIR,petit also functions as a noun meaning a small child/little one/young one; noun POS is present but the noun gloss is missing.,petit,small; little; petty; small child; little one; young one,adjective / noun
96,PASS,,,,
97,PASS,,,,
98,PASS,,,,
99,PASS,,,,
100,PASS,,,,
