rank,status,note,proposed_target,proposed_english,proposed_pos
151,PASS,,,,
152,PASS,,,,
153,REPAIR,"Maison means both house and home; omitting 'home' is a significant learner gap.",maison,"house; home",noun
154,PASS,,,,
155,PASS,,,,
156,PASS,,,,
157,REPAIR,"Voilà is a presentative expression, not a preposition. It introduces or points out something: 'there is/are; there/here it is'.",voilà,"there is/are; there it is; here it is; there you are",presentative / interjection-like expression
158,PASS,,,,
159,PASS,,,,
160,REPAIR,"The unlabelled derogatory/dated sense in the current gloss is inappropriate as a core beginner definition. The central meanings are girl and daughter.",fille,"girl; daughter; female child; young woman (context-dependent)",noun
161,PASS,,,,
162,PASS,,,,
163,PASS,,,,
164,PASS,,,,
165,PASS,,,,
166,REPAIR,"Sentir centrally means to feel and to smell; the existing gloss obscures the basic 'smell' sense and overstates 'taste'.",sentir,"to feel; to smell; to smell of; to sense",verb
167,PASS,,,,
168,PASS,,,,
169,PASS,,,,
170,PASS,,,,
171,REPAIR,"French moment means moment/time/while; in physics it can mean moment/torque. English 'momentum' is not the ordinary equivalent.",moment,"moment; point in time; a while; moment/torque (physics)",noun
172,PASS,,,,
173,PASS,,,,
174,PASS,,,,
175,PASS,,,,
176,PASS,,,,
177,REPAIR,"The current gloss omits core uses of rendre: give/return something, make someone/something a state, and render/yield. 'Call on' is only through constructions such as rendre visite.",rendre,"to return; to give back; to make; to render; to yield; to visit (rendre visite)",verb
178,PASS,,,,
179,PASS,,,,
180,PASS,,,,
181,REPAIR,"Bonjour does not mean 'goodbye' in standard learner French. The surname entry is irrelevant here.",bonjour,"hello; good morning; good day",interjection / noun
182,REPAIR,"Moins principally means less/fewer and can mean minus; the current gloss gives only 'minus'.",moins,"less; fewer; minus; least (in constructions)",adverb / noun
183,REPAIR,"Plaire is the verb 'to please; to be pleasing; to appeal to', not the English politeness word 'please'.",plaire,"to please; to be pleasing to; to appeal to",verb
184,PASS,,,,
185,REPAIR,"For learners, rentrer should foreground return/go home/go back in, with fit/enter and scoring as context-dependent extensions.",rentrer,"to return; to go/come home; to go back in; to re-enter; to fit; to score (context-dependent)",verb
186,REPAIR,"The current entry omits the literal core noun 'air' and gives an unclear 'air (pretension)' gloss.",air,"air; appearance; look; manner; tune; aria",noun
187,REPAIR,"Mort is both the noun 'death/dead person' and the adjective/past participle 'dead'; the current meaning lists only death.",mort,"death; dead; dead person",noun / adjective / past participle
188,REPAIR,"Tenir centrally means hold/keep; 'behave' is construction-dependent. The basic 'hold' sense should be explicit.",tenir,"to hold; to keep; to maintain; to hold on; to care about/be attached to (tenir à)",verb
189,REPAIR,"Affaire centrally means matter/business/affair/case; the current gloss omits the common business/matter readings.",affaire,"matter; business; affair; case; deal; thing (context-dependent)",noun
190,PASS,,,,
191,PASS,,,,
192,PASS,,,,
193,PASS,,,,
194,PASS,,,,
195,PASS,,,,
196,REPAIR,"The current gloss foregrounds the dated/slang 'pimp' sense. For learner French, mec should primarily be guy/man/dude and can mean boyfriend in context.",mec,"guy; man; dude; fellow; boyfriend (informal/context-dependent)",noun
197,PASS,,,,
198,PASS,,,,
199,REPAIR,"Devenir as a verb means 'to become'; 'to come from' is venir de, not devenir. The noun le devenir can mean future/development/fate.",devenir,"to become; future; development/fate (noun use)",verb / noun
200,PASS,,,,
