rank,status,target,english,ipa_candidate,learner_hint_candidate,issue,proposed_ipa,proposed_learner_hint
651,PENDING,فکر,thought; concern; worry; anxiety,fˈɪkr,fayaykr,,,
652,PENDING,کپ,"cup, glass",kˈʌp,kʌp,,,
653,PENDING,حیات,life; lifetime; existence,hajˈaːt,hayat,,,
654,PENDING,جیسا,like; as; such as; resembling,ɟˈeːsaː,gyaysa,,,
655,PENDING,جماعتوں,groups; parties; classes,ɟamˈaːtõː,gyamatõ,,,
656,PENDING,تفصیلات,details,tˌəfʂˌiːlˈaːt,tohohhfʂayaylat,,,
657,PENDING,بیس,twenty,bˈeːs,bays,,,
658,PENDING,قوانین,laws; regulations,qˌaʋaːnˈiːn,qaʋanayayn,,,
659,PENDING,آئین,constitution,aːˈiːn,aayayn,,,
660,PENDING,تشدد,"severity, hardship, rigour; violence, oppression, aggression",taʃˈadʊd,tashadohohd,,,
661,PENDING,خوش,happy; content,xˈʊʃ,khohohsh,,,
662,PENDING,عدم,absence; lack; nonexistence; negation; nothingness,ˈadəm,adohohhm,,,
663,PENDING,مال,goods; property; wealth; money; assets,mˈaːl,mal,,,
664,PENDING,مجھ,"me (oblique form, used before postpositions)",mʊɟʰ,mohohgyʰ,,,
665,PENDING,مشہور,"famous, reputed",mˌəʃhˈuːr,mohohhshhohohr,,,
666,PENDING,دعا,"prayer; supplication; wish; blessing; Dua (name, context-dependent)",dˈʊaː,dohoha,,,
667,PENDING,گل,"flower; rose; Gul (name element, context-dependent)",ɡˈʊl,gohohl,,,
668,PENDING,اساتذہ,teachers,asˈaːtza,asatza,,,
669,PENDING,مرض,"disease, illness, sickness, malady",mˈarz,marz,,,
670,PENDING,گیس,gas; gaseous fuel; gasoline/petrol (regional/context-dependent); bodily gas (colloquial),ɡˈeːs,gays,,,
671,PENDING,تجارتی,"anything related to trade; mercantile, commercial, business",tɪɟˈaːratˌiː,tayaygyaratayay,,,
672,PENDING,اتفاق,agreement; accord; coincidence; chance; unity,ˌɪtɪfˈaːq,ayaytayayfaq,,,
673,PENDING,انجام,"end, finishing; result, conclusion",ˈanɟaːm,angyam,,,
674,PENDING,گرم,hot; warm,ɡˈarm,garm,,,
675,PENDING,ملزم,"accused, charged",mˈʊlzˌɪm,mohohlzayaym,,,
676,PENDING,ادبی,literary; related to literature; cultured/polite (context-dependent),ˈadbˌiː,adbayay,,,
677,PENDING,گھروں,homes; houses (oblique plural),ɡʰˈʌrõː,gʰʌrõ,,,
678,PENDING,گاڑی,"car; any railed vehicle (train, tram); any four-wheeled motor vehicle (bus, truck)",ɡˈaːr.i,gar.ayay,,,
679,PENDING,مغربی,western,mˈaɣrˌɪbi,maghrayaybayay,,,
680,PENDING,ذہنی,mental; intellectual; psychological; subjective (specialized/context-dependent),zˈɛhni,zayhnayay,,,
681,PENDING,زبانوں,languages; tongues (oblique plural),zəbˈaːnõː,zohohhbanõ,,,
682,PENDING,مسئلے,"problems; issues; problem/issue (oblique/vocative singular, context-dependent)",mˈʌslˌeː,mʌslay,,,
683,PENDING,جمہوریت,democracy,ɟˌəmhˌuːriˈat,gyohohhmhohohrayayat,,,
684,PENDING,کہاں,where,kˈʌhãː,kʌhã,,,
685,PENDING,ذاتی,personal; private; individual; one's own; inherent (context-dependent),zˈaːti,zatayay,,,
686,PENDING,خوراک,food; diet; nourishment; dose,xoːrˈaːk,khohrak,,,
687,PENDING,اسپتال,hospital,ˌɪspətˈaːl,ayayspohohhtal,,,
688,PENDING,وزارت,ministry; vizierate; premiership,ʋəzˈaːrət,ʋohohhzarohohht,,,
689,PENDING,خاتون,woman; lady; respected lady,xaːtˈuːn,khatohohn,,,
690,PENDING,خراب,bad; spoiled; broken; out of order; poor; ruined,xərˈaːb,khohohhrab,,,
691,PENDING,کمپیوٹر,computer,kˌəmpeːˈoːʈər,kohohhmpayohtohohhr,,,
692,PENDING,ناکام,failed; unsuccessful,naːkˈaːm,nakam,,,
693,PENDING,نور,"light; radiance; divine/spiritual light; Noor (name, context-dependent)",nˈuːr,nohohr,,,
694,PENDING,تحقیق,"research, investigation; truth, exactness, fact, verification",tˌɛhqˈiːq,tayhqayayq,,,
695,PENDING,مقصد,purpose (ie. intention; goal; aim),mˈaqʂad,maqʂad,,,
696,PENDING,افغان,Afghan (a person from Afghanistan); Pashtun (a person of Pashtun ethnicity),ˌafɣˈaːn,afghan,,,
697,PENDING,حضور,presence; sir; respected/honored person; honorific form of address,hʊzˈuːr,hohohzohohr,,,
698,PENDING,تسلیم,acceptance; acknowledgment; admission; recognition; surrender/submission,tˌəslˈiːm,tohohhslayaym,,,
699,PENDING,منہ,face; mouth; bad mood,mˈuːn,mohohn,,,
700,PENDING,ذریعہ,"source, resource; means, way, agency",zarˈiːa,zarayaya,,,
