rank,status,target,english,ipa_candidate,learner_hint_candidate,issue,proposed_ipa,proposed_learner_hint
601,PENDING,سنگھ,Singh (surname/title/name element); lion (etymological/literary),sˈɪnɡʰ,sayayngʰ,,,
602,PENDING,فتح,victory; conquest,fˌətˈah,fohohhtah,,,
603,PENDING,آٹھ,eight,ˈaːʈʰ,atʰ,,,
604,PENDING,کاروبار,"occupation; business, trade",kˌaːroːbˈaːr,karohbar,,,
605,PENDING,چونکہ,because; since,cuːnkˈeːh,cohohnkayh,,,
606,PENDING,امیر,rich; wealthy; nobleman,amˈiːr,amayayr,,,
607,PENDING,درد,pain; ache; sorrow,dˈʌrd,dʌrd,,,
608,PENDING,سعودی,"Saudi, Saudi Arabian",saːˈoːdi,saohdayay,,,
609,PENDING,غالب,"victorious; higher, superior; dominant, predominant",ɣˈaːlɪb,ghalayayb,,,
610,PENDING,ریاست,"a state; rule, control; a princely state",rjaːsˈat,ryasat,,,
611,PENDING,ذہن,mind; intellect; mental faculty; understanding,zˈɛhɛn,zayhayn,,,
612,PENDING,روشنی,light; brightness,rˈoːʃnˌiː,rohshnayay,,,
613,PENDING,ڈرامہ,play; drama; acting,ɖərˈaːmˌa,dohohhrama,,,
614,PENDING,واقعہ,event; incident; occurrence,ʋˈaːqja,ʋaqya,,,
615,PENDING,بجے,"o'clock; rings/sounds (form of بجنا, context-dependent)",bˈʌɟeː,bʌgyay,,,
616,PENDING,تا,to; until; while,tˈaː,ta,,,
617,PENDING,دولت,wealth; fortune; prosperity,dˈoːlət,dohlohohht,,,
618,PENDING,عوامی,public; popular,aʋˈaːmi,aʋamayay,,,
619,PENDING,منٹ,minute,mˈɪnɪʈ,mayaynayayt,,,
620,PENDING,قانونی,legal; lawful; legitimate,qˈaːnuːnˌiː,qanohohnayay,,,
621,PENDING,زندہ,"alive, living",zˈɪnda,zayaynda,,,
622,PENDING,نتیجہ,"result, consequence, end, outcome",nətˈiːɟˌa,nohohhtayaygya,,,
623,PENDING,چہرے,"faces; face (oblique/vocative singular, context-dependent)",cˈɛhreː,cayhray,,,
624,PENDING,انیس,nineteen,ʊnˈiːs,ohohnayays,,,
625,PENDING,تحفظ,protection; safeguarding; preservation; security; conservation,tahˈafʊʐ,tahafohohʐ,,,
626,PENDING,اوقات,"times; hours; periods; circumstances/status; means/capacity (idiomatic, context-dependent)",ˌoːqˈaːt,ohqat,,,
627,PENDING,قوت,"food; strength, power, force",quːʋˈat,qohohʋat,,,
628,PENDING,علاقہ,area; region; locality; territory; connection/association (context-dependent),ɪlˈaːqa,ayaylaqa,,,
629,PENDING,ممتاز,"distinguished, exalted; a unisex given name, Mumtaz, from Arabic",mʊmtˈaːz,mohohmtaz,,,
630,PENDING,جھوٹ,"lie, fib, falsehood, fabrication",ɟʰˈuːʈ,gyʰohoht,,,
631,PENDING,گاؤں,"hometown; village, hamlet",ɡaːˈoːn,gaohn,,,
632,PENDING,نہایت,very; extremely; exceedingly; end; limit,nˌɪhaːjˈat,nayayhayat,,,
633,PENDING,خوشی,happiness; pleasure; delight; joy,xˈʊʃi,khohohshayay,,,
634,PENDING,لگ,"attach; seem; begin; be attached; cost (stem of لگنا, context-dependent)",lˈʌɡ,lʌg,,,
635,PENDING,سمجھ,understanding; understand! (stem/imperative of سمجھنا),sˈʌməɟʰ,sʌmohohhgyʰ,,,
636,PENDING,مشترکہ,shared; combined; joint,mʊʃtˈarka,mohohshtarka,,,
637,PENDING,شہروں,cities (oblique plural),ʃˈɛhrõː,shayhrõ,,,
638,PENDING,درخواست,"appeal, petition; application, proposal; desire, will, request",dˌarxʋˈaːst,darkhʋast,,,
639,PENDING,شدت,"severity, sternness, rigour; intensity, harshness",ʃɪdˈat,shayaydat,,,
640,PENDING,معیشت,economy,mˌaiʃˈat,maayayshat,,,
641,PENDING,اگرچہ,although; even though; though,ˌaɡarcˈeːh,agarcayh,,,
642,PENDING,بال,hair; wing; child,bˈaːl,bal,,,
643,PENDING,روانہ,departed; set off; dispatched; sent off,raʋˈaːnˌa,raʋana,,,
644,PENDING,کلام,word; speech; discourse,kəlˈaːm,kohohhlam,,,
645,PENDING,میدان,"battleground; maidan, plains; ground, field, arena",meːdˈaːn,maydan,,,
646,PENDING,سرگرم,"active, working",sˌarɡˈarm,sargarm,,,
647,PENDING,قدم,"foot; step; footstep; antiquity/oldness (different vocalization, learned use)",qˈʌdəm,qʌdohohhm,,,
648,PENDING,شہری,citizen; urban; pertaining to the city,ʃˈɛhri,shayhrayay,,,
649,PENDING,انتظامیہ,"administration, establishment",ˌɪntɪʐaːmˈiːa,ayayntayayʐamayaya,,,
650,PENDING,شے,"object, thing; article, matter",ʃˈeː,shay,,,
