rank,status,target,english,ipa_candidate,learner_hint_candidate,issue,proposed_ipa,proposed_learner_hint
701,REPAIR,Peux-tu m'apprendre comment jouer de la cornemuse ?,Can you teach me how to play the bagpipes?,pˈøty mapʁˈɑ̃dʁ kɔmˌɑ̃ ʒwˈe də- la- kɔʁnəmˈyz ?,peuty maprandr kohman zhway dohohh- la- kohrnohohhmyz ?,Peux-tu is /pø ty/; remove artifacts and mark apprendre/comment nasal.,/pø ty mapʁɑ̃dʁ kɔmɑ̃ ʒwe də la kɔʁnəmyz/,peu tü mah-prahn-dr koh-mahn zhway duh lah kawr-nuh-müz
702,REPAIR,Pouvez-vous m'apprendre à monter à cheval ?,Can you teach me how to ride a horse?,puvˈevu mapʁˈɑ̃dʁ a mɔ̃tˈe a ʃəvˈal ?,pohohvayvohoh maprandr a mohntay a shohohhval ?,Pouvez-vous is /puve vu/; remove stress and mark nasal vowels.,/puve vu mapʁɑ̃dʁ a mɔ̃te a ʃəval/,poo-vay voo mah-prahn-dr ah mohn-tay ah shuh-vahl
703,REPAIR,Vous pouvez m'apprendre à jurer en français ?,Can you teach me how to swear in French?,vu puvˈe mapʁˈɑ̃dʁ a ʒyʁˈe ɑ̃ fʁɑ̃sˈɛ ?,vohoh pohohvay maprandr a zhyray an fransay ?,Remove artificial stresses; jurer uses French /y/ and français is nasal.,/vu puve mapʁɑ̃dʁ a ʒyʁe ɑ̃ fʁɑ̃sɛ/,voo poo-vay mah-prahn-dr ah zhü-ray ahn frahn-seh
704,REPAIR,Tu peux me dire quel jour on est aujourd'hui ?,Can you tell me what day it is today?,ty pˈø mə- dˈiʁ kɛl ʒˈuʁ ɔ̃n ɛt oʒuʁdyˈi ?,ty peu mohohh- dayayr kayl zhohohr ohnn ayt ohzhohohrdyayay ?,Use broad everyday on est /ɔ̃ nɛ/ without marked t before aujourd'hui; machine also misses /ɥ/.,/ty pø mə diʁ kɛl ʒuʁ ɔ̃ nɛ oʒuʁdɥi/,tü peu muh deer kel zhoor ohn neh oh-zhoor-dwee
705,REPAIR,Peux-tu me dire ce que tu entends par ça ?,Can you tell me what you mean by that?,pˈøty mə- dˈiʁ sə- kə ty ɑ̃tˈɑ̃ paʁ sˈa ?,peuty mohohh- dayayr sohohh- kohohh ty antan par sa ?,Peux-tu is /pø ty/; remove artifacts and mark entends nasal.,/pø ty mə diʁ sə kə ty ɑ̃tɑ̃ paʁ sa/,peu tü muh deer suh kuh tü ahn-tahn par sah
706,REPAIR,Pouvez-vous me dire ce que vous voulez faire ?,Can you tell me what you want to do?,puvˈevu mə- dˈiʁ sə- kə vu vulˈe fˈɛʁ ?,pohohvayvohoh mohohh- dayayr sohohh- kohohh vohoh vohohlay fayr ?,Pouvez-vous is /puve vu/; remove stress/hyphen artifacts.,/puve vu mə diʁ sə kə vu vule fɛʁ/,poo-vay voo muh deer suh kuh voo voo-lay fehr
707,REPAIR,Est-ce que tu peux me dire ce que tu essaies de faire ?,Can you tell me what you're trying to do?,ɛs kə ty pˈø mə- dˈiʁ sə- kə ty esˈɛ də- fˈɛʁ ?,ays kohohh ty peu mohohh- dayayr sohohh- kohohh ty aysay dohohh- fayr ?,Remove artifacts; essaies is /esɛ/.,/ɛs kə ty pø mə diʁ sə kə ty esɛ də fɛʁ/,es kuh tü peu muh deer suh kuh tü ay-seh duh fehr
708,REPAIR,Pouvez-vous m'indiquer où se trouve l'entrée du métro ?,Can you tell me where the subway entrance is?,puvˈevu mɛ̃dikˈe u sə- tʁˈuv lɑ̃tʁˈe dy- metʁˈo ?,pohohvayvohoh mayayndayaykay ohoh sohohh- trohohv lantray dy- maytroh ?,Pouvez-vous is /puve vu/; remove artifacts and mark l'entrée nasal.,/puve vu mɛ̃dike u sə tʁuv lɑ̃tʁe dy metʁo/,poo-vay voo mehn-dee-kay oo suh troov lahn-tray dü may-troh
709,REPAIR,Pouvez-vous me dire où vous êtes en ce moment ?,Can you tell me where you are right now?,puvˈevu mə- dˈiʁ u vuz ɛtz ɑ̃ sə- momˈɑ̃ ?,pohohvayvohoh mohohh- dayayr ohoh vohohz aytz an sohohh- mohman ?,Pouvez-vous is /puve vu/. Keep vous êtes /vu zɛt/ but remove false extra /z/ after êtes before en; moment is /mɔmɑ̃/.,/puve vu mə diʁ u vu zɛt ɑ̃ sə mɔmɑ̃/,poo-vay voo muh deer oo voo zet ahn suh maw-mahn
710,REPAIR,Pouvez-vous me dire qui va venir ce soir ?,Can you tell me who's going to come tonight?,puvˈevu mə- dˈiʁ ki vˈa vənˈiʁ sə- swˈaʁ ?,pohohvayvohoh mohohh- dayayr kayay va vohohhnayayr sohohh- swar ?,Pouvez-vous is /puve vu/; remove artifacts.,/puve vu mə diʁ ki va vəniʁ sə swaʁ/,poo-vay voo muh deer kee vah vuh-neer suh swar
