rank,status,target,english,ipa_candidate,learner_hint_candidate,issue,proposed_ipa,proposed_learner_hint
101,REPAIR,هل تعلم لماذا؟,Do you know why?,hˈal tˈaʕallˌam lˈimaːðˌaː,hal ta‘allam layaymadha,Machine misreads تَعْلَم as تَعَلَّم; restore finite verb meaning know,/hal taʕlam limaːðaː/,hal taʿlam limādhā
102,REPAIR,هل تفهمني؟,Do you understand me?,hˈal tfhmnˈiː,hal tfhmnayay,Machine candidate omits lexical vowels and object-clitic linking vowel,/hal tafhamuniː/,hal tafhamunī
103,REPAIR,كيف يمكنني المساعدة؟,How can I help?,kˈajfa jmknnˈiː ʔalmusˈaːʕadˌa,kayfa ymknnayay ʔalmohohsa‘ada,Machine misvocalizes يُمْكِنُنِي and hint is unusable,/kajfa jumkinuniː al-musaːʕada/,kayfa yumkinunī al-musāʿada
104,REPAIR,كيف تعرف؟,How do you know?,kˈajfa tˈaʕarrˌuf,kayfa ta‘arrohohf,Machine misreads finite تَعْرِف as verbal noun تَعَرُّف,/kajfa taʕrif/,kayfa taʿrif
105,REPAIR,ما عساني أن أفعل؟,What can I do?,mˈaː ʕsˈaːniː ʔn ʔˈafʕal,ma ‘sanayay ʔn ʔaf‘al,Machine omits lexical short vowels and hint is unusable,/maː ʕasaːniː ʔan ʔafʕal/,mā ʿasānī ʾan ʾafʿal
106,REPAIR,ماذا فعلتَ؟,What did you do?,mˈaːðaː fʕlta,madha f‘lta,Machine omits lexical short vowel in فَعَلْتَ,/maːðaː faʕalta/,mādhā faʿalta
107,REPAIR,ماذا تحب؟,What do you like?,mˈaːðaː tħb,madha thb,Machine candidate omits lexical vowels and gemination in تُحِبّ,/maːðaː tuħibb/,mādhā tuḥibb
108,REPAIR,ماذا تحتاج؟,What do you need?,mˈaːðaː tħtˈaːdʒ,madha thtay,Machine candidate omits lexical short vowels and hint mistransliterates ج,/maːðaː taħtaːdʒ/,mādhā taḥtāj
109,REPAIR,ماذا تقولين؟,What do you say?,mˈaːðaː tˌaqawwulˈiːna,madha taqawwohohlayayna,Machine misreads finite feminine تَقُولِينَ as form-II verbal morphology,/maːðaː taquːliːn/,mādhā taqūlīn
110,REPAIR,ماذا ترون؟,What do you see?,mˈaːðaː trˈuːna,madha trohohna,Machine misvocalizes irregular verb تَرَوْنَ,/maːðaː tarawna/,mādhā tarawna
111,REPAIR,ما الذي تريده؟,What do you want?,mˈaː ʔˈallaðˌiː trˈiːdh,ma ʔalladhayay trayaydh,Machine candidate omits lexical vowels and object-clitic vowel in تُرِيدُهُ,/maː allaðiː turiːduhu/,mā alladhī turīduhu
112,REPAIR,متى يمكننا الأكل؟,When can we eat?,mˈataː jmknnˈaː ʔalʔˈakal,mata ymknna ʔalʔakal,Machine misvocalizes يُمْكِنُنَا and the verbal noun أَكْل,/mataː jumkinunaː al-ʔakl/,matā yumkinunā al-ʾakl
113,REPAIR,متى أتيت؟,When did you come?,mˈataː ʔtˈiːt,mata ʔtayayt,Machine misvocalizes past أَتَيْتَ and hint is unusable,/mataː ʔatajta/,matā ʾatayta
114,REPAIR,متى سنأكل؟,When will we eat?,mˈataː snʔkl,mata snʔkl,Machine candidate omits lexical vowels in future سَنَأْكُل,/mataː sanaʔkul/,matā sanaʾkul
115,REPAIR,إلى أين ذهبت؟,Where did you go?,ʔˈilaː ʔˈajna ðhbt,ʔayayla ʔayna dhhbt,Machine candidate omits lexical vowels in ذَهَبْتَ and hint is unusable,/ʔilaː ʔajna ðahabta/,ʾilā ʾayna dhahabta
116,REPAIR,أين تعمل؟,Where do you work?,ʔˈajna tˈaʕammˌul,ʔayna ta‘ammohohl,Machine misreads finite تَعْمَل as verbal noun تَعَمُّل,/ʔajna taʕmal/,ʾayna taʿmal
117,REPAIR,لماذا أنت هنا؟,Why are you here?,lˈimaːðˌaː ʔˈanta hˈunaː,layaymadha ʔanta hohohna,Machine hint is unusable; normalize vowel lengths and learner hamza,/limaːðaː ʔanta hunaː/,limādhā ʾanta hunā
118,REPAIR,بإمكاني القدوم غدًا.,I can come tomorrow.,bʔmkaːnˌiː ʔalqˈaduːm ɣˈadan.,bʔmkanayay ʔalqadohohm ghadan.,Machine candidate omits lexical vowels and hint is unusable,/biʔimkaːniː al-quduːm ɣadan/,biʾimkānī al-qudūm ghadan
119,REPAIR,أنا أُحب عملك.,I like your work.,ˈana ʔˈuħb ʕˈamalkˌa.,ana ʔohohhb ‘amalka.,Machine drops gemination/indicative vowel in أُحِبُّ and the possessive linking vowel,/ʔanaː ʔuħibbu ʕamalaka/,ʾanā ʾuḥibbu ʿamalaka
120,REPAIR,أحتاج مساعدتك.,I need your help.,ʔħtˈaːdʒ msˈaːʕdtka.,ʔhtay msa‘dtka.,Machine omits lexical vowels and construct-state ending; as direct object مساعدتك is accusative,/ʔaħtaːdʒ musaːʕadataka/,ʾaḥtāj musāʿadataka
121,REPAIR,نحتاج إلى مساعدتك.,We need your help.,nħtˈaːdʒ ʔˈilaː msˈaːʕdtka.,nhtay ʔayayla msa‘dtka.,Machine omits lexical vowels and construct-state ending; after إلى the noun is genitive,/naħtaːdʒ ʔilaː musaːʕadatika/,naḥtāj ʾilā musāʿadatika
122,REPAIR,هل الجميع جاهز؟,Is everyone ready?,hˈal ʔaldʒamˈiːʕ dʒˈaːhiz,hal ʔalyamayay‘ yahayayz,Machine hint is unusable and mistransliterates ج,/hal al-dʒamiːʕ dʒaːhiz/,hal al-jamīʿ jāhiz
123,REPAIR,هل أنت في البيت؟,Are you at home?,hˈal ʔˈanta fˈiː ʔalbˈajt,hal ʔanta fayay ʔalbayt,Machine hint is unusable; normalize vowel length and learner hamza,/hal ʔanta fiː al-bajt/,hal ʾanta fī al-bayt
124,REPAIR,هل أنت متفرغ غدًا؟,Are you free tomorrow?,hˈal ʔˈanta mtfrɣ ɣˈadan,hal ʔanta mtfrgh ghadan,Machine candidate omits lexical vowels/gemination in مُتَفَرِّغ,/hal ʔanta mutafarriɣ ɣadan/,hal ʾanta mutafarrigh ghadan
125,REPAIR,هل أنت سعيد هنا؟,Are you happy here?,hˈal ʔˈanta sˈaʕiːd hˈunaː,hal ʔanta sa‘ayayd hohohna,Machine hint is unusable; preserve ʿayn/vowel lengths,/hal ʔanta saʕiːd hunaː/,hal ʾanta saʿīd hunā
126,REPAIR,هل أنت جديد هنا؟,Are you new here?,hˈal ʔˈanta dʒadˈiːd hˈunaː,hal ʔanta yadayayd hohohna,Machine hint is unusable and mistransliterates ج,/hal ʔanta dʒadiːd hunaː/,hal ʾanta jadīd hunā
127,REPAIR,هل يمكننا البقاء هنا؟,Can we stay here?,hˈal jmknnˈaː ʔalbˈaqaːʔ hˈunaː,hal ymknna ʔalbaqaʔ hohohna,Machine misvocalizes يُمْكِنُنَا and hint is unusable,/hal jumkinunaː al-baqaːʔ hunaː/,hal yumkinunā al-baqāʾ hunā
128,REPAIR,أيمكننا الوثوق بك؟,Can we trust you?,ʔˈiːmknnaː ʔalwˈuθuːq bˈak,ʔayaymknna ʔalwohohthohohq bak,Machine misreads interrogative أَ + يُمْكِنُنَا and omits lexical vowels in بِكَ,/ʔa-jumkinunaː al-wuθuːq bika/,ʾa-yumkinunā al-wuthūq bika
129,REPAIR,أيمكنك أن تسمعني؟,Can you hear me?,ʔiːmkˈunnakˌa ʔn tsmʕnˈiː,ʔayaymkohohnnaka ʔn tsm‘nayay,Machine misreads interrogative أَ + يُمْكِنُكَ and omits subjunctive/object-clitic vowels,/ʔa-jumkinuka ʔan tasmaʕaniː/,ʾa-yumkinuka ʾan tasmaʿanī
130,REPAIR,هل تستطيع التحدث باللغة الإنجليزية؟,Can you speak English?,hˈal tstt̪ˈi.ːʕ ʔattaħˈadːaθ billˈuɣa ʔalʔinɡlˈiːzijˌah,hal tstt̪ayay.‘ ʔattahadath bayayllohohgha ʔalʔayaynglayayzayayyah,Machine omits lexical vowels/emphatic ṭ and misreads verbal noun التَّحَدُّث as finite/past form,/hal tastatˤiːʕ at-taħadduθ bil-luɣa al-ʔingliːzijja/,hal tastaṭīʿ at-taḥadduth bil-lugha al-ʾinglīziyya
131,REPAIR,هل تستطيع التحدث بالفرنسية؟,Can you speak French?,hˈal tstt̪ˈi.ːʕ ʔattaħˈadːaθ bilfrnsˈijjah,hal tstt̪ayay.‘ ʔattahadath bayaylfrnsayayyyah,Machine omits lexical vowels/emphatic ṭ and misreads verbal noun التَّحَدُّث; hint is unusable,/hal tastatˤiːʕ at-taħadduθ bil-faransijja/,hal tastaṭīʿ at-taḥadduth bil-faransiyya
