rank,status,target,english,ipa_candidate,learner_hint_candidate,issue,proposed_ipa,proposed_learner_hint
851,REPAIR,هناك بعض الأشياء التي من الصعب ترجمتها.,There are some things that are difficult to translate.,hunˈaːka bˈaʕdˤ ʔalʔʃˈiːʔ ʔˈallatˌiː mˈin ʔas̪s̪ˈaʕb trdʒmthˈaː.,hohohnaka ba‘dˤ ʔalʔshayayʔ ʔallatayay mayayn ʔas̪s̪a‘b trymtha.,Machine omits lexical vowels in الأَشْيَاء and تَرْجَمَتُهَا and fails to mark emphatic/sun-letter ṣ in الصَّعْب; hint mistransliterates ج,/hunaːka baʕdˤ al-ʔaʃjaːʔ allatiː min asˤ-sˤaʕb tardʒamatuhaː/,hunāka baʿḍ al-ʾashyāʾ allatī min aṣ-ṣaʿb tarjamatuhā
852,REPAIR,لا بدّ أنّ هناك طريقة أفضل لفعل هذا.,There must be a better way to do this.,lˈaː bdː ʔnn hunˈaːka t̪ˈariːqˌa ʔˈafdˤal lfʕl hˈaːðaː.,la bd ʔnn hohohnaka t̪arayayqa ʔafdˤal lf‘l hadha.,Machine omits lexical vowel/gemination in لَا بُدَّ and gemination/vowels in أَنَّ; fails to mark emphatic ṭ in طَرِيقَة and under-vocalizes لِفِعْلِ,/laː budda ʔanna hunaːka tˤariːqa ʔafdˤal lifiʕli haːðaː/,lā budda ʾanna hunāka ṭarīqa ʾafḍal lifiʿli hādhā
853,REPAIR,كان هناك ثلاثة أشخاص ينتظرون أمامي.,There were three people waiting in front of me.,kˈaːn hunˈaːka θlˈaːθt ʔʃχˈaːs̪ jntðrˈuːna ʔˈamaːmˌiːj.,kan hohohnaka thlatht ʔshkhas̪ yntdhrohohna ʔamamayayy.,Machine omits lexical vowels in ثَلَاثَة أَشْخَاص and يَنْتَظِرُونَ and fails to mark emphatic ṣ/ẓ; incorrectly adds final glide after أَمَامِي,/kaːna hunaːka θalaːθatu ʔaʃxaːsˤ jantazˤiruːna ʔamaːmiː/,kāna hunāka thalāthatu ʾashkhāṣ yantaẓirūna ʾamāmī
854,REPAIR,هذه كتبي، وتلك كتبه.,"These are my books, and those are his books.",hˈaːðihˌi kˈutubˌiːj wtlka kˈatabh.,hadhayayhayay kohohtohohbayayy wtlka katabh.,Machine incorrectly adds a final glide after كُتُبِي and misreads تِلْكَ كُتُبُهُ,/haːðihi kutubiː wa-tilka kutubuhu/,hādhihi kutubī wa-tilka kutubuhu
855,REPAIR,"اليوم مُشمس جداً, لذلك الجميع يرتدي نظارات الشمس.","Today it's very sunny, so everyone is wearing sunglasses.","ʔaljˈawm mˈuʃms dʒdˈaː, lðlka ʔaldʒamˈiːʕ jrtdˈiː nðˈa.ːraːt ʔaʃʃˈams.","ʔalyawm mohohshms yda, ldhlka ʔalyamayay‘ yrtdayay ndha.rat ʔashshams.",Machine misreads جِدًّا without tanwin and omits lexical vowels in لِذَلِكَ/يَرْتَدِي; fails to mark emphatic/geminate ẓẓ in نَظَّارَات and hint mistransliterates ج,/al-jawm muʃmis dʒiddan liðaːlika al-dʒamiːʕ jartadiː naðˤðˤaːraːt aʃ-ʃams/,al-yawm mushmis jiddan lidhālika al-jamīʿ yartadī naẓẓārāt ash-shams
856,REPAIR,لسوء الحظ، كنت مشغولًا بالأمس ولم أستطع فعل ذلك.,"Unfortunately, I was busy yesterday and couldn't do that.",lsuːʔ ʔalħˈaðð kˈint mˈaʃɣuːlˌan bilʔˈams wˈalm ʔstt̪ʕ fˈiʕl ðˈaːlikˌa.,lsohohʔ ʔalhadhdh kayaynt mashghohohlan bayaylʔams walm ʔstt̪‘ fayay‘l dhalayayka.,Machine omits lexical vowels in لِسُوءِ الحَظِّ and first-person كُنْتُ and fails to mark emphatic ṭ in jussive أَسْتَطِعْ; hint is unusable,/lisuːʔi al-ħaðˤðˤ kuntu maʃɣuːlan bil-ʔams wa-lam ʔastatˤiʕ fiʕla ðaːlika/,lisūʾi al-ḥaẓẓ kuntu mashghūlan bil-ʾams wa-lam ʾastaṭiʿ fiʿla dhālika
857,REPAIR,غسل الملابس باليد عملية صعبة ومضيعة للوقت.,Washing laundry by hand is hard and time-consuming.,ɣˈusl ʔalmlˈaːbs biljˈad ʕˌamalˈiːja s̪ʕbt wmdˤi.ːʕt lluːqt.,ghohohsl ʔalmlabs bayaylyad ‘amalayayya s̪‘bt wmdˤayay.‘t llohohqt.,Machine selects غُسْل instead of verbal noun غَسْل and omits lexical vowels in عَمَلِيَّة صَعْبَة مُضَيِّعَة; fails to mark emphatic ṣ/ḍ,/ɣasl al-malaːbis bil-jad ʕamalijja sˤaʕba wa-mudˤajjiʕa lil-waqt/,ghasl al-malābis bil-yad ʿamaliyya ṣaʿba wa-muḍayyiʿa lil-waqt
858,REPAIR,عندنا كلب وقط وثلاثة طيور كناري.,"We have a dog, a cat and three canaries.",ʕndnˈaː kˈalb wqt̪ wθlaːθt t̪ˈi.ːwr kˈanaːrˌiːj.,‘ndna kalb wqt̪ wthlatht t̪ayay.wr kanarayayy.,Machine omits lexical vowels in عِنْدَنَا and ثَلَاثَة and fails to mark emphatic/geminate ṭṭ in قِطّ and emphatic ṭ in طُيُور; hint is unusable,/ʕindanaː kalb wa-qitˤtˤ wa-θalaːθatu tˤujuːr kanaːriː/,ʿindanā kalb wa-qiṭṭ wa-thalāthatu ṭuyūr kanārī
859,REPAIR,لم نرَ الكثير من السياح بالقرب من هنا مؤخرًا.,We haven't seen a lot of tourists around here lately.,lˈam nrˈa ʔalkaθˈiːr mˈin ʔassˈajjaːħ bilqˈurb mˈin hˈunaː muʔˈaχχarˌan.,lam nra ʔalkathayayr mayayn ʔassayyah bayaylqohohrb mayayn hohohna mohohʔakhkharan.,Machine under-vocalizes jussive نَرَ and misvocalizes plural السُّيَّاح; hint is unusable,/lam nara al-kaθiːr min as-sujjaːħ bil-qurb min hunaː muʔaxxaran/,lam nara al-kathīr min as-suyyāḥ bil-qurb min hunā muʾakhkharan
860,REPAIR,كلما وجدت شيئًا يعجبني، وجدته غاليًا جدًا.,"Whenever I find something I like, it's very expensive.",kˈullamˌaː wdʒdt ʃˈiːʔan jʕdʒbnˈiː wdʒdth ɣˈaːliːˌan dʒˈidːan.,kohohllama wydt shayayʔan y‘ybnayay wydth ghalayayan yayaydan.,Machine omits first-person lexical vowels in وَجَدْتُ and object-clitic vowels in يُعْجِبُنِي/وَجَدْتُهُ; hint mistransliterates ج,/kullamaː wadʒadtu ʃajʔan juʕdʒibuniː wadʒadtuhu ɣaːlijan dʒiddan/,kullamā wajadtu shayʾan yuʿjibunī wajadtuhu ghāliyan jiddan
