rank,status,target,english,ipa_candidate,learner_hint_candidate,issue,proposed_ipa,proposed_learner_hint
651,REPAIR,أتمنى أن تفعل ما أُمِرت به.,I wish you would do as you're told.,ʔtmnˈaː ʔn tfʕl mˈaː ʔˈumirt bh.,ʔtmna ʔn tf‘l ma ʔohohmayayrt bh.,Machine omits lexical/geminate vowels in أَتَمَنَّى and subjunctive/pronominal vowels in تَفْعَلَ/بِهِ,/ʔatamannaː ʔan tafʕala maː ʔumirta bihi/,ʾatamannā ʾan tafʿala mā ʾumirta bihi
652,REPAIR,أودّ سماع صوتك أيضاً.,"I would like to hear your voice, too.",ʔˈuːdː sˈamaːʕ s̪ˈawtka ʔˈiːdˤa.ː.,ʔohohd sama‘ s̪awtka ʔayaydˤa..,Machine misvocalizes أَوَدُّ and fails to mark emphatic ṣ in صَوْتِكَ plus adverbial أَيْضًا,/ʔawaddu samaːʕa sˤawtika ʔajdˤan/,ʾawaddu samāʿa ṣawtika ʾayḍan
653,REPAIR,لن أنس أبدًا ما فعلته من أجلي.,I'll never forget what you did for me.,lˈan ʔˈanas ʔˈabadˌan mˈaː fʕlth mˈin ʔdʒlˈiː.,lan ʔanas ʔabadan ma f‘lth mayayn ʔylayay.,Target orthography appears to omit final ى required in لن أنسى; machine also omits lexical/object vowels in فَعَلْتَهُ and hint mistransliterates ج. Pronounce the intended standard form,/lan ʔansaː ʔabadan maː faʕaltahu min ʔadʒliː/,lan ʾansā ʾabadan mā faʿaltahu min ʾajlī
654,REPAIR,أرجو أن تتصل بي إن أردتني.,Please call me up if you want me.,ʔrdʒˈuː ʔn tts̪l bˈiː ʔˈin ʔrdtnˈiː.,ʔryohoh ʔn tts̪l bayay ʔayayn ʔrdtnayay.,Machine omits lexical vowels in أَرْجُو and subjunctive/geminate emphatic ṣ in تَتَّصِلَ plus object vowels in أَرَدْتَنِي,/ʔardʒuː ʔan tattasˤila biː ʔin ʔaradtaniː/,ʾarjū ʾan tattaṣila bī ʾin ʾaradtanī
655,REPAIR,من فضلك، صحح لي عندما أخطئ.,Please correct me when I make a mistake.,mˈin fˈadˤlka s̪ˈaħħaħ lˈajj ʕndmˈaː ʔχt̪ʔ.,mayayn fadˤlka s̪ahhah layy ‘ndma ʔkht̪ʔ.,Machine fails to mark emphatic ṣ in imperative صَحِّحْ misreads لِي as layy and omits vowels/emphatic ṭ in أُخْطِئُ,/min fadˤlika sˤaħħiħ liː ʕindamaː ʔuxtˤiʔu/,min faḍlika ṣaḥḥiḥ lī ʿindamā ʾukhṭiʾu
656,REPAIR,من فضلك تحدث ببطء، كي أفهمك.,"Please speak slowly, so I can understand you.",mˈin fˈadˤlka taħˈadːaθ bbt̪ʔ kˈaj ʔˈafhamkˌa.,mayayn fadˤlka tahadath bbt̪ʔ kay ʔafhamka.,Machine omits lexical vowels and fails to mark emphatic ṭ in بِبُطْءٍ plus object/subjunctive vowel in أَفْهَمَكَ,/min fadˤlika taħaddaθ bibuṭʔin kaj ʔafhamaka/,min faḍlika taḥaddath bibuṭʾin kay ʾafhamaka
657,REPAIR,أخبرني كيف يمكنني مساعدتك.,Tell me how I can help you.,ʔχbrnˈiː kˈajfa jmknnˈiː msˈaːʕdtka.,ʔkhbrnayay kayfa ymknnayay msa‘dtka.,Machine omits imperative vowels in أَخْبِرْنِي and misvocalizes يُمْكِنُنِي plus lexical/object structure in مُسَاعَدَتُكَ,/ʔaxbirniː kajfa jumkinuniː musaːʕadatuka/,ʾakhbirnī kayfa yumkinunī musāʿadatuka
658,REPAIR,أخبرني بما تريدني أن أفعله.,Tell me what you want me to do.,ʔχbrnˈiː bmaː trˈiːdniː ʔn ʔˈafʕalh.,ʔkhbrnayay bma trayaydnayay ʔn ʔaf‘alh.,Machine omits imperative vowels and lexical/object vowels in تُرِيدُنِي and أَفْعَلَهُ,/ʔaxbirniː bimaː turiːduniː ʔan ʔafʕalahu/,ʾakhbirnī bimā turīdunī ʾan ʾafʿalahu
659,REPAIR,ليس هذا ما أردت إخبارك به.,That's not what I wanted to tell you.,lˈajsa hˈaːðaː mˈaː ʔrdt ʔˈiχbaːrkˌa bh.,laysa hadha ma ʔrdt ʔayaykhbarka bh.,Machine omits lexical vowels in أَرَدْتُ and object/pronominal vowels in إِخْبَارَكَ بِهِ,/lajsa haːðaː maː ʔaradtu ʔixbaːraka bihi/,laysa hādhā mā ʾaradtu ʾikhbāraka bihi
660,REPAIR,ثمّة العديد من الكلمات التي لا أفهمها.,There are many words that I don't understand.,θmmt ʔalʕˈadiːd mˈin ʔalklmaːt ʔˈallatˌiː lˈaː ʔˈafhamhˌaː.,thmmt ʔal‘adayayd mayayn ʔalklmat ʔallatayay la ʔafhamha.,Machine omits lexical vowels in ثَمَّة/الكَلِمَات and object-clitic vowel in أَفْهَمُهَا; hint is unusable,/θamma al-ʕadiːd min al-kalimaːt allatiː laː ʔafhamuhaː/,thamma al-ʿadīd min al-kalimāt allatī lā ʾafhamuhā
