rank,status,target,english,ipa_candidate,learner_hint_candidate,issue,proposed_ipa,proposed_learner_hint
551,PENDING,ہمیں انتظار کرنا ہے۔,We need to wait.,hˈʌmẽː ˌɪntɪʐˈaːr kˌarnaː hɛ,hʌmẽ ayayntayayʐar karna hay,,,
552,PENDING,ہمیں انتظار کرنا چاہیے۔,We should wait.,hˈʌmẽː ˌɪntɪʐˈaːr kˌarnaː cˈaːhjeː,hʌmẽ ayayntayayʐar karna cahyay,,,
553,PENDING,ہم انتظار کر سکتے ہیں۔,We can wait.,ham ˌɪntɪʐˈaːr kar sˈʌktˌeː hẽ,ham ayayntayayʐar kar sʌktay hẽ,,,
554,PENDING,براہِ کرم انتظار کیجیے۔,Please wait.,bˌəraːhˈeː kˈʌrəm ˌɪntɪʐˈaːr kˈiːɟiˌeː,bohohhrahay kʌrohohhm ayayntayayʐar kayaygyayayay,,,
555,PENDING,براہِ کرم انتظار نہ کیجیے۔,Please do not wait.,bˌəraːhˈeː kˈʌrəm ˌɪntɪʐˈaːr nˈa kˈiːɟiˌeː,bohohhrahay kʌrohohhm ayayntayayʐar na kayaygyayayay,,,
556,PENDING,ہمیں اب شروع کرنا ہے۔,We need to start now.,hˈʌmẽː ˈab ʃˈʊruː kˌarnaː hɛ,hʌmẽ ab shohohrohoh karna hay,,,
557,PENDING,ہمیں اب شروع کرنا چاہیے۔,We should start now.,hˈʌmẽː ˈab ʃˈʊruː kˌarnaː cˈaːhjeː,hʌmẽ ab shohohrohoh karna cahyay,,,
558,PENDING,ہم اب شروع کر سکتے ہیں۔,We can start now.,ham ˈab ʃˈʊruː kar sˈʌktˌeː hẽ,ham ab shohohrohoh kar sʌktay hẽ,,,
559,PENDING,براہِ کرم اب شروع کیجیے۔,Please start now.,bˌəraːhˈeː kˈʌrəm ˈab ʃˈʊruː kˈiːɟiˌeː,bohohhrahay kʌrohohhm ab shohohrohoh kayaygyayayay,,,
560,PENDING,براہِ کرم ابھی شروع نہ کیجیے۔,Please do not start now.,bˌəraːhˈeː kˈʌrəm ˈabʰi ʃˈʊruː nˈa kˈiːɟiˌeː,bohohhrahay kʌrohohhm abʰayay shohohrohoh na kayaygyayayay,,,
561,PENDING,ہمیں اب روانہ ہونا ہے۔,We need to leave now.,hˈʌmẽː ˈab raʋˈaːnˌa hˈoːnaː hɛ,hʌmẽ ab raʋana hohna hay,,,
562,PENDING,ہمیں اب روانہ ہونا چاہیے۔,We should leave now.,hˈʌmẽː ˈab raʋˈaːnˌa hˈoːnaː cˈaːhjeː,hʌmẽ ab raʋana hohna cahyay,,,
563,PENDING,ہم اب روانہ ہو سکتے ہیں۔,We can leave now.,ham ˈab raʋˈaːnˌa hˈoː sˈʌktˌeː hẽ,ham ab raʋana hoh sʌktay hẽ,,,
564,PENDING,براہِ کرم اب روانہ ہو جائیے۔,Please leave now.,bˌəraːhˈeː kˈʌrəm ˈab raʋˈaːnˌa hˈoː ɟˈaːjeː,bohohhrahay kʌrohohhm ab raʋana hoh gyayay,,,
565,PENDING,براہِ کرم ابھی روانہ نہ ہوں۔,Please do not leave now.,bˌəraːhˈeː kˈʌrəm ˈabʰi raʋˈaːnˌa nˈa hõː,bohohhrahay kʌrohohhm abʰayay raʋana na hõ,,,
566,PENDING,ہمیں دروازہ کھولنا ہے۔,We need to open the door.,hˈʌmẽː dərʋˈaːzˌa kʰˈoːlnˌaː hɛ,hʌmẽ dohohhrʋaza kʰohlna hay,,,
567,PENDING,ہمیں دروازہ کھولنا چاہیے۔,We should open the door.,hˈʌmẽː dərʋˈaːzˌa kʰˈoːlnˌaː cˈaːhjeː,hʌmẽ dohohhrʋaza kʰohlna cahyay,,,
568,PENDING,ہم دروازہ کھول سکتے ہیں۔,We can open the door.,ham dərʋˈaːzˌa kʰˈoːl sˈʌktˌeː hẽ,ham dohohhrʋaza kʰohl sʌktay hẽ,,,
569,PENDING,براہِ کرم دروازہ کھولیے۔,Please open the door.,bˌəraːhˈeː kˈʌrəm dərʋˈaːzˌa kʰˈoːljeː,bohohhrahay kʌrohohhm dohohhrʋaza kʰohlyay,,,
570,PENDING,براہِ کرم دروازہ نہ کھولیے۔,Please do not open the door.,bˌəraːhˈeː kˈʌrəm dərʋˈaːzˌa nˈa kʰˈoːljeː,bohohhrahay kʌrohohhm dohohhrʋaza na kʰohlyay,,,
571,PENDING,ہمیں دروازہ بند کرنا ہے۔,We need to close the door.,hˈʌmẽː dərʋˈaːzˌa bˈʌnd kˌarnaː hɛ,hʌmẽ dohohhrʋaza bʌnd karna hay,,,
572,PENDING,ہمیں دروازہ بند کرنا چاہیے۔,We should close the door.,hˈʌmẽː dərʋˈaːzˌa bˈʌnd kˌarnaː cˈaːhjeː,hʌmẽ dohohhrʋaza bʌnd karna cahyay,,,
573,PENDING,ہم دروازہ بند کر سکتے ہیں۔,We can close the door.,ham dərʋˈaːzˌa bˈʌnd kar sˈʌktˌeː hẽ,ham dohohhrʋaza bʌnd kar sʌktay hẽ,,,
574,PENDING,براہِ کرم دروازہ بند کیجیے۔,Please close the door.,bˌəraːhˈeː kˈʌrəm dərʋˈaːzˌa bˈʌnd kˈiːɟiˌeː,bohohhrahay kʌrohohhm dohohhrʋaza bʌnd kayaygyayayay,,,
575,PENDING,براہِ کرم دروازہ بند نہ کیجیے۔,Please do not close the door.,bˌəraːhˈeː kˈʌrəm dərʋˈaːzˌa bˈʌnd nˈa kˈiːɟiˌeː,bohohhrahay kʌrohohhm dohohhrʋaza bʌnd na kayaygyayayay,,,
576,PENDING,ہمیں بتی جلانا ہے۔,We need to turn on the light.,hˈʌmẽː bˈʌti ɟəlˈaːnaː hɛ,hʌmẽ bʌtayay gyohohhlana hay,,,
577,PENDING,ہمیں بتی جلانا چاہیے۔,We should turn on the light.,hˈʌmẽː bˈʌti ɟəlˈaːnaː cˈaːhjeː,hʌmẽ bʌtayay gyohohhlana cahyay,,,
578,PENDING,ہم بتی جلا سکتے ہیں۔,We can turn on the light.,ham bˈʌti ɟˈʌlaː sˈʌktˌeː hẽ,ham bʌtayay gyʌla sʌktay hẽ,,,
579,PENDING,براہِ کرم بتی جلائیے۔,Please turn on the light.,bˌəraːhˈeː kˈʌrəm bˈʌti ɟəlˈaːjeː,bohohhrahay kʌrohohhm bʌtayay gyohohhlayay,,,
580,PENDING,براہِ کرم بتی نہ جلائیے۔,Please do not turn on the light.,bˌəraːhˈeː kˈʌrəm bˈʌti nˈa ɟəlˈaːjeː,bohohhrahay kʌrohohhm bʌtayay na gyohohhlayay,,,
581,PENDING,ہمیں بتی بند کرنا ہے۔,We need to turn off the light.,hˈʌmẽː bˈʌti bˈʌnd kˌarnaː hɛ,hʌmẽ bʌtayay bʌnd karna hay,,,
582,PENDING,ہمیں بتی بند کرنا چاہیے۔,We should turn off the light.,hˈʌmẽː bˈʌti bˈʌnd kˌarnaː cˈaːhjeː,hʌmẽ bʌtayay bʌnd karna cahyay,,,
583,PENDING,ہم بتی بند کر سکتے ہیں۔,We can turn off the light.,ham bˈʌti bˈʌnd kar sˈʌktˌeː hẽ,ham bʌtayay bʌnd kar sʌktay hẽ,,,
584,PENDING,براہِ کرم بتی بند کیجیے۔,Please turn off the light.,bˌəraːhˈeː kˈʌrəm bˈʌti bˈʌnd kˈiːɟiˌeː,bohohhrahay kʌrohohhm bʌtayay bʌnd kayaygyayayay,,,
585,PENDING,براہِ کرم بتی بند نہ کیجیے۔,Please do not turn off the light.,bˌəraːhˈeː kˈʌrəm bˈʌti bˈʌnd nˈa kˈiːɟiˌeː,bohohhrahay kʌrohohhm bʌtayay bʌnd na kayaygyayayay,,,
586,PENDING,ہمیں ٹیکسی بلانا ہے۔,We need to call a taxi.,hˈʌmẽː ʈˈeːksˌiː bəlˈaːnaː hɛ,hʌmẽ tayksayay bohohhlana hay,,,
587,PENDING,ہمیں ٹیکسی بلانا چاہیے۔,We should call a taxi.,hˈʌmẽː ʈˈeːksˌiː bəlˈaːnaː cˈaːhjeː,hʌmẽ tayksayay bohohhlana cahyay,,,
588,PENDING,ہم ٹیکسی بلا سکتے ہیں۔,We can call a taxi.,ham ʈˈeːksˌiː bˈʌlaː sˈʌktˌeː hẽ,ham tayksayay bʌla sʌktay hẽ,,,
589,PENDING,براہِ کرم ٹیکسی بلائیے۔,Please call a taxi.,bˌəraːhˈeː kˈʌrəm ʈˈeːksˌiː bəlˈaːjeː,bohohhrahay kʌrohohhm tayksayay bohohhlayay,,,
590,PENDING,براہِ کرم ٹیکسی نہ بلائیے۔,Please do not call a taxi.,bˌəraːhˈeː kˈʌrəm ʈˈeːksˌiː nˈa bəlˈaːjeː,bohohhrahay kʌrohohhm tayksayay na bohohhlayay,,,
591,PENDING,ہمیں ڈاکٹر کو بلانا ہے۔,We need to call a doctor.,hˈʌmẽː ɖˌaːkʈˈar kˈoː bəlˈaːnaː hɛ,hʌmẽ daktar koh bohohhlana hay,,,
592,PENDING,ہمیں ڈاکٹر کو بلانا چاہیے۔,We should call a doctor.,hˈʌmẽː ɖˌaːkʈˈar kˈoː bəlˈaːnaː cˈaːhjeː,hʌmẽ daktar koh bohohhlana cahyay,,,
593,PENDING,ہم ڈاکٹر کو بلا سکتے ہیں۔,We can call a doctor.,ham ɖˌaːkʈˈar kˈoː bˈʌlaː sˈʌktˌeː hẽ,ham daktar koh bʌla sʌktay hẽ,,,
594,PENDING,براہِ کرم ڈاکٹر کو بلائیے۔,Please call a doctor.,bˌəraːhˈeː kˈʌrəm ɖˌaːkʈˈar kˈoː bəlˈaːjeː,bohohhrahay kʌrohohhm daktar koh bohohhlayay,,,
595,PENDING,براہِ کرم ڈاکٹر کو نہ بلائیے۔,Please do not call a doctor.,bˌəraːhˈeː kˈʌrəm ɖˌaːkʈˈar kˈoː nˈa bəlˈaːjeː,bohohhrahay kʌrohohhm daktar koh na bohohhlayay,,,
596,PENDING,ہمیں فارم پڑھنا ہے۔,We need to read the form.,hˈʌmẽː fˈaːrm pˈʌr.hənˌaː hɛ,hʌmẽ farm pʌr.hohohhna hay,,,
597,PENDING,ہمیں فارم پڑھنا چاہیے۔,We should read the form.,hˈʌmẽː fˈaːrm pˈʌr.hənˌaː cˈaːhjeː,hʌmẽ farm pʌr.hohohhna cahyay,,,
598,PENDING,ہم فارم پڑھ سکتے ہیں۔,We can read the form.,ham fˈaːrm pˈʌr.h sˈʌktˌeː hẽ,ham farm pʌr.h sʌktay hẽ,,,
599,PENDING,براہِ کرم فارم پڑھیے۔,Please read the form.,bˌəraːhˈeː kˈʌrəm fˈaːrm pˈʌr.hjeː,bohohhrahay kʌrohohhm farm pʌr.hyay,,,
600,PENDING,براہِ کرم فارم نہ پڑھیے۔,Please do not read the form.,bˌəraːhˈeː kˈʌrəm fˈaːrm nˈa pˈʌr.hjeː,bohohhrahay kʌrohohhm farm na pʌr.hyay,,,
