rank,status,target,english,ipa_candidate,learner_hint_candidate,issue,proposed_ipa,proposed_learner_hint
901,REPAIR,peau,fur; hide; skin,pˈo,poh,Remove inappropriate lexical stress; IPA otherwise correct.,/po/,poh
902,REPAIR,magasin,shop; store; storeroom/warehouse; magazine/storage chamber (specialized),maɡazˈɛ̃,magazayayn,Remove inappropriate lexical stress; final vowel is nasal /ɛ̃/.,/maɡazɛ̃/,mah-gah-zehn (nasal final vowel)
903,REPAIR,tel,"such; like, as; one (impersonal pronoun)",tˈɛl,tayl,Remove inappropriate lexical stress; cue /ɛ/ accurately.,/tɛl/,tel
904,REPAIR,quartier,neighborhood; district; quarter; area,kaʁtjˈe,kartyay,Remove inappropriate lexical stress; retain /j/ glide.,/kaʁtje/,kar-tyay
905,REPAIR,surprendre,surprise,syʁpʁˈɑ̃dʁ,syrprandr,Remove inappropriate lexical stress; learner hint should distinguish French /y/ and cue nasal /ɑ̃/.,/syʁpʁɑ̃dʁ/,sür-prahn-dr (nasal vowel)
906,REPAIR,toilette,toilet,twalˈɛt,twalayt,Remove inappropriate lexical stress; final vowel is /ɛ/.,/twalɛt/,twah-let
907,REPAIR,silence,silence,silˈɑ̃s,sayaylans,Remove inappropriate lexical stress; learner hint is corrupted and final vowel is nasal /ɑ̃/.,/silɑ̃s/,see-lahns (nasal final vowel)
908,REPAIR,radio,"radio, tuner; short for radiographie; short for radiotélégramme",ʁadjˈo,radyoh,Remove inappropriate lexical stress; retain /j/ glide.,/ʁadjo/,rah-dyoh
909,REPAIR,recommencer,to restart; start again; begin again; do again,ʁəkɔmɑ̃sˈe,rohohhkohmansay,Remove inappropriate lexical stress; learner hint is corrupted and medial vowel is nasal /ɑ̃/.,/ʁəkɔmɑ̃se/,ruh-koh-mahn-say (nasal middle vowel)
910,REPAIR,exemple,example,ɛɡzˈɑ̃pl,aygzanpl,Remove inappropriate lexical stress; vowel is nasal /ɑ̃/.,/ɛɡzɑ̃pl/,eg-zahn-pl (nasal vowel)
911,REPAIR,tort,"fault; wrong, error",tˈɔʁ,tohr,Remove inappropriate lexical stress; final t is silent.,/tɔʁ/,tawr
912,REPAIR,intéressant,interesting; interesting/engaging; present participle of intéresser,ɛ̃teʁɛsˈɑ̃,ayayntayraysan,Standard medial vowel is /e/: /ɛ̃teʁesɑ̃/, not /ɛ̃teʁɛsɑ̃/; remove stress and cue nasal edge vowels.,/ɛ̃teʁesɑ̃/,ehn-tay-ray-sahn (nasal edge vowels)
913,REPAIR,vin,wine,vˈɛ̃,vayayn,Remove inappropriate lexical stress; vowel is nasal /ɛ̃/.,/vɛ̃/,vehn (nasal)
914,REPAIR,trace,trace; track,tʁˈas,tras,Remove inappropriate lexical stress; cue open /a/.,/tʁas/,trahs
915,REPAIR,regretter,to regret; to miss; to wish something had not happened or occurred,ʁəɡʁɛtˈe,rohohhgraytay,Remove inappropriate lexical stress; learner hint is corrupted and /ɛ/ should be clear.,/ʁəɡʁɛte/,ruh-greh-tay
916,REPAIR,coincer,to jam; get stuck; trap; wedge,kwɛ̃sˈe,kwayaynsay,Remove inappropriate lexical stress; first vowel is nasal /ɛ̃/.,/kwɛ̃se/,kwehn-say (nasal first vowel)
917,REPAIR,demande,"request; demand; asks/requests; ask/request! (forms of demander, context-dependent)",dəmˈɑ̃d,dohohhmand,Remove inappropriate lexical stress; learner hint is corrupted and medial vowel is nasal /ɑ̃/.,/dəmɑ̃d/,duh-mahnd (nasal vowel)
918,REPAIR,nul,no; none; worthless/lousy; draw/tie,nˈyl,nyl,Remove inappropriate lexical stress; learner hint should distinguish French /y/.,/nyl/,nül
919,REPAIR,laisse,"leash; lead; leaves/lets; leave!/let! (forms of laisser, context-dependent); foreshore (specialized)",lˈɛs,lays,Remove inappropriate lexical stress; cue /ɛ/ accurately.,/lɛs/,les
920,REPAIR,lequel,which one; which (masculine singular),ləkˈɛl,lohohhkayl,Remove inappropriate lexical stress; learner hint is corrupted and final vowel is /ɛ/.,/ləkɛl/,luh-kel
921,REPAIR,code,code,kˈɔd,kohd,Remove inappropriate lexical stress; standard vowel is open /ɔ/.,/kɔd/,kawd
922,REPAIR,félicitation,congratulation,felisitasjˈɔ̃,faylayaysayaytasyohn,Remove inappropriate lexical stress; learner hint is corrupted and final vowel is nasal /ɔ̃/.,/felisitasjɔ̃/,fay-lee-see-tah-syohn (nasal final vowel)
923,REPAIR,convaincre,convince; persuade,kɔ̃vˈɛ̃kʁ,kohnvayaynkr,Remove inappropriate lexical stress; both nasal vowels should be explicit.,/kɔ̃vɛ̃kʁ/,kohn-vehn-kr (nasal vowels)
924,REPAIR,ennui,boredom; trouble; problem; annoyance,ɑ̃nyˈi,annyayay,Machine misses the French /ɥ/ glide: ennui is /ɑ̃nɥi/, not /ɑ̃nyi/; initial vowel is nasal.,/ɑ̃nɥi/,ahn-nwee (nasal first vowel)
925,REPAIR,résultat,bottom line; outcome; result,ʁezyltˈa,rayzylta,Remove inappropriate lexical stress; learner hint should distinguish French /y/ and final open /a/.,/ʁezylta/,ray-zül-tah
926,REPAIR,monstre,monster,mˈɔ̃stʁ,mohnstr,Remove inappropriate lexical stress; vowel is nasal /ɔ̃/.,/mɔ̃stʁ/,mohn-str (nasal)
927,REPAIR,la,the (feminine singular); her; it; A/la (musical note),lˈa-,la,Remove inappropriate lexical stress and trailing hyphen; /a/ is open.,/la/,lah
928,REPAIR,enceinte,pregnant; speaker/loudspeaker; enclosure; enclosed area/compound,ɑ̃sˈɛ̃t,ansayaynt,Remove inappropriate lexical stress; both vowels are nasal and learner hint is corrupted.,/ɑ̃sɛ̃t/,ahn-sehnt (nasal vowels)
929,REPAIR,réparer,fix; repair,ʁepaʁˈe,rayparay,Remove inappropriate lexical stress; improve learner segmentation.,/ʁepaʁe/,ray-pah-ray
930,REPAIR,vide,gap; empty; space,vˈid,vayayd,Remove inappropriate lexical stress; learner hint is corrupted.,/vid/,veed
931,REPAIR,centre,"centre, center; cross, specifically one directed into the penalty area; Centre (a former administrative region of France, now named Centre-Val de Loire)",sˈɑ̃tʁ,santr,Remove inappropriate lexical stress; vowel is nasal /ɑ̃/.,/sɑ̃tʁ/,sahn-tr (nasal)
932,REPAIR,rôle,role; character,ʁˈoːl,rohl,Machine adds non-phonemic vowel length /oː/ and lexical stress.,/ʁol/,rohl
933,REPAIR,nulle,no; none (feminine); lousy/terrible (informal adjective),nˈyl,nyl,Remove inappropriate lexical stress; learner hint should distinguish French /y/.,/nyl/,nül
934,REPAIR,zone,zone,zˈon,zohn,Remove inappropriate lexical stress; IPA otherwise correct.,/zon/,zohn
