rank,status,target,english,ipa_candidate,learner_hint_candidate,issue,proposed_ipa,proposed_learner_hint
651,PENDING,ہمیں آرام کرنا ہے۔,We need to rest.,hˈʌmẽː aːrˈaːm kˌarnaː hɛ,hʌmẽ aram karna hay,,,
652,PENDING,ہمیں آرام کرنا چاہیے۔,We should rest.,hˈʌmẽː aːrˈaːm kˌarnaː cˈaːhjeː,hʌmẽ aram karna cahyay,,,
653,PENDING,ہم آرام کر سکتے ہیں۔,We can rest.,ham aːrˈaːm kar sˈʌktˌeː hẽ,ham aram kar sʌktay hẽ,,,
654,PENDING,براہِ کرم آرام کیجیے۔,Please rest.,bˌəraːhˈeː kˈʌrəm aːrˈaːm kˈiːɟiˌeː,bohohhrahay kʌrohohhm aram kayaygyayayay,,,
655,PENDING,براہِ کرم آرام نہ کیجیے۔,Please do not rest.,bˌəraːhˈeː kˈʌrəm aːrˈaːm nˈa kˈiːɟiˌeː,bohohhrahay kʌrohohhm aram na kayaygyayayay,,,
656,PENDING,ہمیں یہاں بیٹھنا ہے۔,We need to sit here.,hˈʌmẽː jˈʌhãː bˈeːʈʰnˌaː hɛ,hʌmẽ yʌhã baytʰna hay,,,
657,PENDING,ہمیں یہاں بیٹھنا چاہیے۔,We should sit here.,hˈʌmẽː jˈʌhãː bˈeːʈʰnˌaː cˈaːhjeː,hʌmẽ yʌhã baytʰna cahyay,,,
658,PENDING,ہم یہاں بیٹھ سکتے ہیں۔,We can sit here.,ham jˈʌhãː bˈeːʈʰ sˈʌktˌeː hẽ,ham yʌhã baytʰ sʌktay hẽ,,,
659,PENDING,براہِ کرم یہاں بیٹھیے۔,Please sit here.,bˌəraːhˈeː kˈʌrəm jˈʌhãː bˈeːʈʰjeː,bohohhrahay kʌrohohhm yʌhã baytʰyay,,,
660,PENDING,براہِ کرم یہاں نہ بیٹھیے۔,Please do not sit here.,bˌəraːhˈeː kˈʌrəm jˈʌhãː nˈa bˈeːʈʰjeː,bohohhrahay kʌrohohhm yʌhã na baytʰyay,,,
661,PENDING,ہمیں یہاں کھڑے ہونا ہے۔,We need to stand here.,hˈʌmẽː jˈʌhãː kʰˈʌr.eː hˈoːnaː hɛ,hʌmẽ yʌhã kʰʌr.ay hohna hay,,,
662,PENDING,ہمیں یہاں کھڑے ہونا چاہیے۔,We should stand here.,hˈʌmẽː jˈʌhãː kʰˈʌr.eː hˈoːnaː cˈaːhjeː,hʌmẽ yʌhã kʰʌr.ay hohna cahyay,,,
663,PENDING,ہم یہاں کھڑے ہو سکتے ہیں۔,We can stand here.,ham jˈʌhãː kʰˈʌr.eː hˈoː sˈʌktˌeː hẽ,ham yʌhã kʰʌr.ay hoh sʌktay hẽ,,,
664,PENDING,براہِ کرم یہاں کھڑے ہو جائیے۔,Please stand here.,bˌəraːhˈeː kˈʌrəm jˈʌhãː kʰˈʌr.eː hˈoː ɟˈaːjeː,bohohhrahay kʌrohohhm yʌhã kʰʌr.ay hoh gyayay,,,
665,PENDING,براہِ کرم یہاں کھڑے نہ ہوں۔,Please do not stand here.,bˌəraːhˈeː kˈʌrəm jˈʌhãː kʰˈʌr.eː nˈa hõː,bohohhrahay kʌrohohhm yʌhã kʰʌr.ay na hõ,,,
666,PENDING,ہمیں آہستہ بولنا ہے۔,We need to speak slowly.,hˈʌmẽː aːhˈɪsta bˈoːlnˌaː hɛ,hʌmẽ ahayaysta bohlna hay,,,
667,PENDING,ہمیں آہستہ بولنا چاہیے۔,We should speak slowly.,hˈʌmẽː aːhˈɪsta bˈoːlnˌaː cˈaːhjeː,hʌmẽ ahayaysta bohlna cahyay,,,
668,PENDING,ہم آہستہ بول سکتے ہیں۔,We can speak slowly.,ham aːhˈɪsta bˈoːl sˈʌktˌeː hẽ,ham ahayaysta bohl sʌktay hẽ,,,
669,PENDING,براہِ کرم آہستہ بولیے۔,Please speak slowly.,bˌəraːhˈeː kˈʌrəm aːhˈɪsta bˈoːljeː,bohohhrahay kʌrohohhm ahayaysta bohlyay,,,
