rank,status,target,english,ipa_candidate,learner_hint_candidate,issue,proposed_ipa,proposed_learner_hint
401,REPAIR,Je ne peux pas t'aider aujourd'hui.,I can't help you today.,ʒə- nə- pˈø pa tɛdˈe oʒuʁdyˈi.,zhohohh- nohohh- peu pa tayday ohzhohohrdyayay.,T'aider is /tede/ and aujourd'hui requires /ɥ/; remove machine hyphens/artificial stresses.,/ʒə nə pø pa tede oʒuʁdɥi/,zhuh nuh peu pah tay-day oh-zhoor-dwee
402,REPAIR,Je ne peux pas te dire pourquoi.,I can't tell you why.,ʒə- nə- pˈø pa tə- dˈiʁ puʁkwˈa.,zhohohh- nohohh- peu pa tohohh- dayayr pohohrkwa.,Remove machine hyphens/artificial stresses; learner hint is corrupted.,/ʒə nə pø pa tə diʁ puʁkwa/,zhuh nuh peu pah tuh deer poor-kwa
403,REPAIR,Je pourrais t'accompagner.,I could go with you.,ʒə- puʁˈɛ takɔ̃panjˈe.,zhohohh- pohohray takohnpanyay.,Machine uses /nj/ rather than palatal nasal /ɲ/ in accompagner; remove machine hyphen/artificial stresses.,/ʒə puʁɛ takɔ̃paɲe/,zhuh poo-reh tah-kohn-pah-nyay (kohn nasal)
404,REPAIR,Je pourrais vous faire arrêter.,I could have you arrested.,ʒə- puʁˈɛ vu fˈɛʁ aʁɛtˈe.,zhohohh- pohohray vohoh fayr araytay.,Normalize arrêter to /aʁete/ and remove machine hyphen/artificial stresses.,/ʒə puʁɛ vu fɛʁ aʁete/,zhuh poo-reh voo fehr ah-ray-tay
405,REPAIR,Je ne pourrais te dire pourquoi.,I couldn't tell you why.,ʒə- nə- puʁˈɛ tə- dˈiʁ puʁkwˈa.,zhohohh- nohohh- pohohray tohohh- dayayr pohohrkwa.,Remove machine hyphens/artificial stresses; learner hint is corrupted.,/ʒə nə puʁɛ tə diʁ puʁkwa/,zhuh nuh poo-reh tuh deer poor-kwa
406,REPAIR,J'ai bien fait mon travail.,I did my work well.,ʒe bjˈɛ̃ fˈɛ mɔ̃ tʁavˈaj.,zhay byayayn fay mohn travay.,Remove artificial stresses; bien/mon are nasal and travail ends /aj/.,/ʒe bjɛ̃ fɛ mɔ̃ tʁavaj/,zhay byehn feh mohn trah-vahy (nasal vowels)
407,REPAIR,J'ai fait ce que je pouvais.,I did what I could.,ʒe fˈɛ sə- kə ʒə- puvˈɛ.,zhay fay sohohh- kohohh zhohohh- pohohvay.,Remove machine hyphens/artificial stresses; cue /ɛ/ accurately.,/ʒe fɛ sə kə ʒə puvɛ/,zhay feh suh kuh zhuh poo-veh
408,REPAIR,J'ai fait ce que tu as demandé.,I did what you asked.,ʒe fˈɛ sə- kə ty a dəmɑ̃dˈe.,zhay fay sohohh- kohohh ty a dohohhmanday.,Remove machine hyphen/artificial stresses; demander contains nasal /ɑ̃/.,/ʒe fɛ sə kə ty a dəmɑ̃de/,zhay feh suh kuh tü ah duh-mahn-day (mahn nasal)
409,REPAIR,J'ai fait ce que vous vouliez.,I did what you wanted.,ʒe fˈɛ sə- kə vu vuljˈe.,zhay fay sohohh- kohohh vohoh vohohlyay.,Remove machine hyphen/artificial stresses; retain /j/ glide in vouliez.,/ʒe fɛ sə kə vu vulje/,zhay feh suh kuh voo voo-lyay
410,REPAIR,Je n'avais pas besoin de ton aide.,I didn't need your help.,ʒə- navˈɛ pa bəzwˈɛ̃ də- tɔ̃n ˈɛd.,zhohohh- navay pa bohohhzwayayn dohohh- tohnn ayd.,Keep natural liaison /n/ in ton aide; remove machine hyphen/artificial stresses and mark besoin nasal.,/ʒə navɛ pa bəzwɛ̃ də tɔ̃ nɛd/,zhuh nah-veh pah buh-zwehn duh tohn ned (nasal vowels)
411,REPAIR,J'espère vraiment que vous comprenez.,I do hope you understand.,ʒɛspˈɛʁ vʁɛmˈɑ̃ kə vu kɔ̃pʁənˈe.,zhayspayr vrayman kohohh vohoh kohnprohohhnay.,Remove artificial stresses; vraiment and comprendre stem contain nasal vowels.,/ʒɛspɛʁ vʁɛmɑ̃ kə vu kɔ̃pʁəne/,zhes-pehr vreh-mahn kuh voo kohn-pruh-nay (nasal vowels)
412,REPAIR,Je fais bien mon travail.,I do my work well.,ʒə- fˈɛ bjˈɛ̃ mɔ̃ tʁavˈaj.,zhohohh- fay byayayn mohn travay.,Remove machine hyphen/artificial stresses; bien/mon are nasal.,/ʒə fɛ bjɛ̃ mɔ̃ tʁavaj/,zhuh feh byehn mohn trah-vahy (nasal vowels)
413,REPAIR,J'ai vraiment besoin de votre aide.,I do need your help.,ʒe vʁɛmˈɑ̃ bəzwˈɛ̃ də- votʁ ˈɛd.,zhay vrayman bohohhzwayayn dohohh- vohtr ayd.,Correct votre /vɔtʁ/; remove machine hyphen/stresses and mark nasal vowels in vraiment/besoin.,/ʒe vʁɛmɑ̃ bəzwɛ̃ də vɔtʁ ɛd/,zhay vreh-mahn buh-zwehn duh vawtr ed (nasal vowels)
