rank,status,target,english,ipa_candidate,learner_hint_candidate,issue,proposed_ipa,proposed_learner_hint
701,REPAIR,exact,exact; precise,ɛɡzˈakt,aygzakt,Remove inappropriate lexical stress; learner hint is corrupted.,/ɛɡzakt/,eg-zakt
702,REPAIR,faim,hunger,fˈɛ̃,fayayn,Remove inappropriate lexical stress; vowel is nasal /ɛ̃/.,/fɛ̃/,fehn (nasal)
703,REPAIR,manière,manner; way; fashion/method,manjˈɛʁ,manyayr,Remove inappropriate lexical stress; retain /j/ glide and cue /ɛ/ accurately.,/manjɛʁ/,mah-nyehr
704,REPAIR,papier,paper,papjˈe,papyay,Remove inappropriate lexical stress; retain /j/ glide.,/papje/,pah-pyay
705,REPAIR,coin,corner; area; spot; nook; wedge,kwˈɛ̃,kwayayn,Remove inappropriate lexical stress; vowel is nasal /ɛ̃/.,/kwɛ̃/,kwehn (nasal)
706,REPAIR,bois,"wood; woods; drink!; I/you drink (forms of boire, context-dependent)",bwˈa,bwa,Remove inappropriate lexical stress; final s is silent in these isolated forms.,/bwa/,bwa
707,REPAIR,camp,camp; campsite; side; faction; group,kˈɑ̃,kan,Remove inappropriate lexical stress; vowel is nasal /ɑ̃/ and final consonants are silent.,/kɑ̃/,kahn (nasal)
708,REPAIR,arrière,rear; back; behind,aʁjˈɛʁ,aryayr,Remove inappropriate lexical stress; retain /j/ glide and cue /ɛ/.,/aʁjɛʁ/,ah-ryehr
709,REPAIR,paraître,"to appear; to seem; to be published; appearance (le paraître, noun use)",paʁˈɛtʁ,paraytr,Remove inappropriate lexical stress; cue /ɛ/ accurately.,/paʁɛtʁ/,pah-rehtr
710,REPAIR,armée,army; armed (feminine form/past participle),aʁmˈe,armay,Remove inappropriate lexical stress; cue final /e/.,/aʁme/,ar-may
711,REPAIR,club,"club (an implement to hit the ball in certain ball games, such as golf); club (an association of members joining together for some common purpose, especially sports or recreation)",klˈœb,kleub,Remove inappropriate lexical stress; learner hint should cue rounded /œ/.,/klœb/,kluhb (rounded vowel)
712,REPAIR,dedans,inside,dədˈɑ̃,dohohhdan,Remove inappropriate lexical stress; learner hint is corrupted and final vowel is nasal /ɑ̃/.,/dədɑ̃/,duh-dahn (nasal final vowel)
713,REPAIR,boîte,box; tin,bwˈat,bwat,Remove inappropriate lexical stress; IPA otherwise correct.,/bwat/,bwat
714,REPAIR,information,information; piece of information; news; inquiry/investigation (context-dependent),ɛ̃fɔʁmasjˈɔ̃,ayaynfohrmasyohn,Remove inappropriate lexical stress; initial /ɛ̃/ and final /ɔ̃/ are nasal.,/ɛ̃fɔʁmasjɔ̃/,ehn-fawr-mah-syohn (nasal edge vowels)
715,REPAIR,professeur,teacher; professor,pʁofɛsˈœʁ,prohfayseur,Standard first vowel is open /ɔ/: /pʁɔfɛsœʁ/, not /pʁofɛsœʁ/; remove lexical stress.,/pʁɔfɛsœʁ/,praw-feh-suhr
716,REPAIR,jambe,leg,ʒˈɑ̃b,zhanb,Remove inappropriate lexical stress; vowel is nasal /ɑ̃/.,/ʒɑ̃b/,zhahnb (nasal vowel)
