rank,status,target,english,ipa_candidate,learner_hint_candidate,issue,proposed_ipa,proposed_learner_hint
51,REPAIR,بين,between; among; clarified/explained (بَيْن / بَيَّن),bˈajna,bayna,Workbook gloss spans the preposition and Form II past verb; include both standard readings,/bajna/ / /bajjana/,bayna / bayyana
52,REPAIR,قد,already; indeed; may; might (قَدْ),qˈad,qad,Normalize broad monosyllabic IPA,/qad/,qad
53,REPAIR,بعض,some; part of,bˈaʕdˤ,ba‘dˤ,Normalize broad MSA IPA and use standardized ʿayn/emphatic transliteration,/baʕdˤ/,baʿḍ
54,REPAIR,فقط,only; just,fˈaqat̪,faqat̪,Machine consonant quality is not the MSA emphatic ṭ; normalize pronunciation and hint,/faqatˤ/,faqaṭ
55,REPAIR,لن,will not,lˈan,lan,Normalize broad monosyllabic IPA,/lan/,lan
56,REPAIR,حتى,until; up to; even; so that,ħˈatːaː,hata,Machine hint loses gemination and vowel length,/ħatːaː/,ḥattā
57,REPAIR,أمر,matter; affair; order/command; ordered/commanded,ʔˈamr,ʔamr,Workbook gloss spans noun أَمْر and past verb أَمَرَ; include both readings,/ʔamr/ / /ʔamara/,ʾamr / ʾamara
58,REPAIR,عمل,work; action; worked; functioned,ʕˈamal,‘amal,Workbook gloss spans noun عَمَل and past verb عَمِلَ; include both readings,/ʕamal/ / /ʕamila/,ʿamal / ʿamila
59,REPAIR,يجب,must; should; is necessary,jdʒb,yyb,Machine candidate omits the lexical short vowels,/jadʒib/,yajib
60,REPAIR,أحد,one; someone; anyone,ʔˈaħad,ʔahad,Normalize broad IPA and distinguish hamza and ḥ,/ʔaħad/,ʾaḥad
61,REPAIR,وقت,time,wˈaqt,waqt,Normalize broad monosyllabic IPA,/waqt/,waqt
62,REPAIR,أجل,term/appointed time; for the sake of/because of (أَجْل); yes/indeed (أَجَلْ),ʔˈadʒl,ʔayl,Workbook gloss includes أَجَل and أَجْل; machine candidate supplies only the latter and its hint is unusable,/ʔadʒal/ / /ʔadʒl/,ʾajal / ʾajl
63,REPAIR,قبل,before; prior to; earlier,qˈabl,qabl,Normalize broad pause-form IPA,/qabl/,qabl
64,REPAIR,خلال,during; throughout; through,xilˈaːl,khayaylal,Machine hint is unusable; normalize vowel length,/xilaːl/,khilāl
65,REPAIR,نفس,self; same; soul; breath (depending on vocalization),nˈafs,nafs,Workbook gloss spans نَفْس and نَفَس; include both readings,/nafs/ / /nafas/,nafs / nafas
66,REPAIR,يفعل,does; performs,jfʕl,yf‘l,Machine candidate omits the lexical short vowels,/jafʕal/,yafʿal
67,REPAIR,يعتقد,believes; thinks,jʕtqd,y‘tqd,Machine candidate omits the lexical short vowels,/jaʕtaqid/,yaʿtaqid
68,REPAIR,يستطيع,can; is able to,jstt̪ˈi.ːʕ,ystt̪ayay.‘,Machine candidate/hint mishandle the emphatic consonant and standard syllabification,/jastatˤiːʕ/,yastaṭīʿ
69,REPAIR,كما,as; just as; as well as,kˈamaː,kama,Normalize broad IPA and preserve final vowel length,/kamaː/,kamā
70,REPAIR,رجل,man; leg/foot (depending on vocalization),rˈa.dʒul,ra.yohohl,Workbook gloss spans رَجُل and رِجْل; include both standard readings,/radʒul/ / /ridʒl/,rajul / rijl
71,REPAIR,عندما,when,ʕndmˈaː,‘ndma,Machine candidate omits lexical short vowels,/ʕindamaː/,ʿindamā
72,REPAIR,كيف,how?,kˈajfa,kayfa,Normalize broad MSA IPA,/kajfa/,kayfa
73,REPAIR,نحن,we,nˈaħnu,nahnohoh,Machine hint is unusable; normalize ḥ,/naħnu/,naḥnu
74,REPAIR,أول,first; foremost,ʔˈawwal,ʔawwal,Normalize broad IPA and learner hamza marker,/ʔawwal/,ʾawwal
75,REPAIR,جيد,good; well,dʒˈajjid,yayyayayd,Machine hint is unusable; normalize standard MSA reading,/dʒajjid/,jayyid
76,REPAIR,يقول,says; tells,jqwl,yqwl,Machine candidate omits the lexical vowels,/jaquːl/,yaqūl
77,REPAIR,يرى,sees; considers,jrˈaː,yra,Machine candidate omits the initial short vowel and hint loses the final long vowel,/jaraː/,yarā
78,REPAIR,غير,other than; not; except; changed (غَيْر / غَيَّر),ɣˈajr,ghayr,Workbook gloss spans غَيْر and past verb غَيَّرَ; include both readings,/ɣajr/ / /ɣajjara/,ghayr / ghayyara
79,REPAIR,واحد,one; single,wˈaːħid,wahayayd,Machine hint is unusable; normalize standard MSA form,/waːħid/,wāḥid
80,REPAIR,جديد,new,dʒadˈiːd,yadayayd,Machine hint is unusable; normalize standard MSA form,/dʒadiːd/,jadīd
81,REPAIR,أكثر,more; most,ʔˈakθar,ʔakthar,Normalize broad IPA and learner hamza marker,/ʔakθar/,ʾakthar
82,REPAIR,مثل,like; similar to; example; proverb,mˈiθl,mayaythl,Workbook gloss spans مِثْل and مَثَل; include both readings,/miθl/ / /maθal/,mithl / mathal
83,REPAIR,جدا,very; very much,dʒˈadaː,yada,Machine candidate misreads جِدًّا; use the standard adverbial pronunciation,/dʒiddan/,jiddan
84,REPAIR,آخر,other; another (آخَر); last; final (آخِر),ʔˈaːxar,ʔakhar,Workbook gloss explicitly spans آخَر and آخِر; include both readings,/ʔaːxar/ / /ʔaːxir/,ʾākhar / ʾākhir
85,REPAIR,سوف,will; shall (future marker),sˈawfa,sawfa,Normalize broad MSA IPA,/sawfa/,sawfa
