rank,status,target,english,ipa_candidate,learner_hint_candidate,issue,proposed_ipa,proposed_learner_hint
1,REPAIR,être,to be,ˈɛtʁ,aytr,Remove inappropriate lexical stress; learner hint does not clearly cue French vowel/r.,/ɛtʁ/,ehtr
2,REPAIR,avoir,to have; to possess; to have to; to be [age],avwˈaʁ,avwar,Remove inappropriate lexical stress and normalize citation IPA; improve learner segmentation.,/avwaʁ/,ah-vwar
3,REPAIR,de,of; from,də-,dohohh,Trailing hyphen is not part of isolated citation form; learner hint is corrupted.,/də/,duh
4,REPAIR,je,I,ʒə-,zhohohh,Trailing hyphen is not part of isolated citation form; learner hint is corrupted.,/ʒə/,zhuh
5,REPAIR,pas,not; step,pˈa,pa,Remove inappropriate lexical stress; learner hint should cue open /a/.,/pa/,pah
6,REPAIR,le,the; him; it (masculine direct-object pronoun),lˈə-,lohohh,Trailing hyphen is not part of isolated citation form; learner hint is corrupted.,/lə/,luh
7,REPAIR,que,that; what; than,kˈə,kohohh,Remove inappropriate lexical stress; learner hint is corrupted.,/kə/,kuh
8,REPAIR,vous,you (plural or formal singular),vˈu,vohoh,Remove inappropriate lexical stress; learner hint is corrupted.,/vu/,voo
9,REPAIR,tu,you (informal singular),tˈy,ty,Remove inappropriate lexical stress; learner hint should distinguish French /y/ from English /u/.,/ty/,tü
10,REPAIR,et,and,ˈe,ay,Remove inappropriate lexical stress; IPA otherwise correct.,/e/,ay
11,REPAIR,il,he; it,ˈil,ayayl,Remove inappropriate lexical stress; learner hint is corrupted.,/il/,eel
12,REPAIR,un,a; an; one,ˈœ̃,ohohn,Remove inappropriate lexical stress; learner hint must indicate a nasal vowel rather than a pronounced final n.,/œ̃/,uhn (nasal)
13,REPAIR,aller,to go; to suit; to be (feeling),alˈe,alay,Remove inappropriate lexical stress; improve learner segmentation.,/ale/,ah-lay
14,REPAIR,faire,"to do; to make; to become, to get",fˈɛʁ,fayr,Remove inappropriate lexical stress and cue /ɛ/ rather than /e/.,/fɛʁ/,fehr
15,REPAIR,en,in; of it; some; from there (pronoun/adverb uses),ˈɑ̃,an,Remove inappropriate lexical stress; learner hint should explicitly cue nasalization without a released n.,/ɑ̃/,ahn (nasal)
16,REPAIR,ça,that; it; this (informal demonstrative pronoun),sˈa,sa,Remove inappropriate lexical stress; learner hint should cue open /a/.,/sa/,sah
17,REPAIR,on,one; we; people; they (indefinite subject pronoun),ˈɔ̃,ohn,Remove inappropriate lexical stress; learner hint should explicitly cue nasalization.,/ɔ̃/,ohn (nasal)
18,REPAIR,une,a; an; one (feminine),ˈyn,yn,Remove inappropriate lexical stress; learner hint should distinguish French /y/.,/yn/,ün
19,REPAIR,ce,this; that; it,sˈə-,sohohh,Remove inappropriate lexical stress and trailing hyphen; learner hint is corrupted.,/sə/,suh
20,REPAIR,pour,for; to; in order to,pˈuʁ,pohohr,Remove inappropriate lexical stress; learner hint is corrupted.,/puʁ/,poor
21,REPAIR,pouvoir,can; to be able to; power; authority,puvwˈaʁ,pohohvwar,Remove inappropriate lexical stress; learner hint is corrupted.,/puvwaʁ/,poo-vwar
22,REPAIR,dire,to say; to tell; statement/saying (noun),dˈiʁ,dayayr,Remove inappropriate lexical stress; learner hint badly distorts /i/.,/diʁ/,deer
23,REPAIR,vouloir,want; wish; be willing to,vulwˈaʁ,vohohlwar,Remove inappropriate lexical stress; learner hint is corrupted.,/vulwaʁ/,voo-lwar
24,REPAIR,qui,who; which; that,kˈi,kayay,Remove inappropriate lexical stress; learner hint is corrupted.,/ki/,kee
25,REPAIR,mais,but; however,mˈɛ,may,Remove inappropriate lexical stress; learner hint should cue /ɛ/ rather than /e/.,/mɛ/,meh
26,REPAIR,savoir,know; know how,savwˈaʁ,savwar,Remove inappropriate lexical stress; improve learner segmentation.,/savwaʁ/,sah-vwar
27,REPAIR,nous,we; us,nˈu,nohoh,Remove inappropriate lexical stress; learner hint is corrupted.,/nu/,noo
28,REPAIR,dans,in; into,dˈɑ̃,dan,Remove inappropriate lexical stress; learner hint should mark nasal vowel rather than final n.,/dɑ̃/,dahn (nasal)
29,REPAIR,elle,she; it (feminine),ˈɛl,ayl,Remove inappropriate lexical stress; cue /ɛ/ accurately.,/ɛl/,el
30,REPAIR,bien,well; good; quite; indeed,bjˈɛ̃,byayayn,Remove inappropriate lexical stress; learner hint is corrupted and should cue nasal /ɛ̃/.,/bjɛ̃/,byehn (nasal)
31,REPAIR,me,me; myself,mə-,mohohh,Trailing hyphen is not part of isolated citation form; learner hint is corrupted.,/mə/,muh
32,REPAIR,si,if; whether; so; yes (replying to a negative question),sˈi,sayay,Remove inappropriate lexical stress; learner hint is corrupted.,/si/,see
33,REPAIR,du,of the; from the; some (partitive),dy-,dy,Trailing hyphen is not part of isolated citation form; learner hint should distinguish French /y/.,/dy/,dü
34,REPAIR,non,no; not,nˈɔ̃,nohn,Remove inappropriate lexical stress; learner hint should explicitly cue nasalization.,/nɔ̃/,nohn (nasal)
35,REPAIR,avec,with,avˈɛk,avayk,Remove inappropriate lexical stress; cue /ɛ/ accurately.,/avɛk/,ah-vek
36,REPAIR,devoir,must; have to; owe; duty,dəvwˈaʁ,dohohhvwar,Remove inappropriate lexical stress; learner hint is corrupted.,/dəvwaʁ/,duh-vwar
37,REPAIR,plus,more; most; no more (with negation),plˈy,ply,Remove inappropriate lexical stress. Pronunciation is context-sensitive: isolated/adverbial citation /ply/ contrasts with /plys/ in some uses and liaison /plyz/; use /ply/ for this broad workbook headword.,/ply/,plü
38,REPAIR,mon,my (masculine singular; also before vowel-initial feminine nouns),mɔ̃,mohn,Learner hint should explicitly cue nasalization rather than a released n.,/mɔ̃/,mohn (nasal)
39,REPAIR,voir,see,vwˈaʁ,vwar,Remove inappropriate lexical stress; IPA otherwise correct.,/vwaʁ/,vwar
