rank,status,target,english,ipa_candidate,learner_hint_candidate,issue,proposed_ipa,proposed_learner_hint
251,REPAIR,نائب,deputy; vice-president; representative,nˈaːʔib,naʔayayb,Machine hint is unusable; normalize hamza and vowel length,/naːʔib/,nāʾib
252,REPAIR,أسبوع,week,ʔˈusbuːʕ,ʔohohsbohoh‘,Machine hint is unusable; normalize ʿayn and vowel length,/ʔusbuːʕ/,ʾusbūʿ
253,REPAIR,قانون,law,qa.ːnˈuːn,qa.nohohn,Machine syllabification/hint is malformed; preserve both long vowels,/qaːnuːn/,qānūn
254,REPAIR,مستوى,level; standard,mˈustawˌaː,mohohstawa,Machine hint is unusable; normalize final long vowel,/mustawaː/,mustawā
255,REPAIR,قطاع,sector,qit̪ˈa.ːʕ,qayayt̪a.‘,Machine consonant quality is wrong for emphatic ṭ and hint is unusable,/qitˤaːʕ/,qiṭāʿ
256,REPAIR,نظام,system; regime,niðˈa.ːm,nayaydha.m,Machine syllabification is malformed and must mark emphatic ẓ,/niðˤaːm/,niẓām
257,REPAIR,ما زال,still is/was; continues/continued to be,mˈaː zˈaːl,ma zal,Machine phrase drops the lexical final vowel of past verb زال and the hint loses vowel length,/maː zaːla/,mā zāla
258,REPAIR,مساعدة,help; assistance,musˈaːʕadˌa,mohohsa‘ada,Machine hint is unusable; normalize ʿayn and long vowel,/musaːʕada/,musāʿada
259,REPAIR,يحصل,gets; obtains; happens; collects/achieves (depending on form),jħs̪l,yhs̪l,Workbook gloss spans يَحْصُل and Form II يُحَصِّل; machine candidate supplies neither vocalization,/jaħsˤul/ / /juħasˤsˤil/,yaḥṣul / yuḥaṣṣil
260,REPAIR,شهر,month,ʃˈahr,shahr,Normalize broad monosyllabic IPA,/ʃahr/,shahr
261,REPAIR,فني,technician; technical/specialized (depending on use),fˈanniːj,fannayayy,Machine hint is unusable and final nisba gemination should be represented consistently,/fannijj/,faniyy
262,REPAIR,صفحة,page,s̪ˈafħa,s̪afha,Machine consonant quality is wrong for emphatic ṣ and hint is unusable,/sˤafħa/,ṣafḥa
263,REPAIR,عامة,general; public; in general,ʕˈaːmma,‘amma,Workbook gloss spans adjective عَامَّة and adverb عَامَّةً; include both readings,/ʕaːmma/ / /ʕaːmmatan/,ʿāmma / ʿāmmatan
264,REPAIR,تحت,under; below,tˈaħta,tahta,Use the broad pause/headword form rather than a context-dependent case vowel,/taħt/,taḥt
265,REPAIR,حين,when; while; time,ħˈiːn,hayayn,Machine hint is unusable; preserve ḥ and vowel length,/ħiːn/,ḥīn
266,REPAIR,قليل,little; few; small amount,qˈaliːl,qalayayl,Machine hint is unusable; normalize vowel length,/qaliːl/,qalīl
267,REPAIR,نحو,toward; about; approximately,nˈaħw,nahw,Normalize broad IPA and distinguish ḥ,/naħw/,naḥw
268,REPAIR,أطفال,children,ʔt̪fˈaːl,ʔt̪fal,Machine candidate omits the initial vowel and fails to mark emphatic ṭ,/ʔatˤfaːl/,ʾaṭfāl
269,REPAIR,لا بد,must; necessarily; inevitably,lˈaː bˈudː,la bohohd,Machine phrase drops the fixed final vowel in لا بُدَّ and hint is unusable,/laː budda/,lā budda
270,REPAIR,نوع,type; kind; form,nˈawʕ,naw‘,Normalize broad IPA and ʿayn transliteration,/nawʕ/,nawʿ
271,REPAIR,منتخب,team; national/select team; elected/selected (context-dependent),mˈuntaχˌab,mohohntakhab,Machine hint is unusable; normalize the standard passive-participle/team form,/muntaxab/,muntakhab
272,REPAIR,شيخ,sheikh; elder; senior man,ʃˈajx,shaykh,Normalize broad monosyllabic IPA,/ʃajx/,shaykh
273,REPAIR,مشروع,project; plan; lawful; legitimate,maʃrˈuːʕ,mashrohoh‘,Machine hint is unusable; normalize ʿayn and vowel length,/maʃruːʕ/,mashrūʿ
274,REPAIR,أشياء,things,ʔʃˈiːʔ,ʔshayayʔ,Machine candidate is lexically incorrect for أَشْيَاء and omits the diphthong/long vowel sequence,/ʔaʃjaːʔ/,ʾashyāʾ
275,REPAIR,وحيد,only; lone; unique; lonely,wˈaħiːd,wahayayd,Machine hint is unusable; normalize ḥ and vowel length,/waħiːd/,waḥīd
276,REPAIR,صباح,morning; in the morning,s̪ˈabaːħ,s̪abah,Machine consonant quality is wrong for emphatic ṣ and hint loses vowel length,/sˤabaːħ/,ṣabāḥ
277,REPAIR,شعب,people; nation; populace,ʃˈaʕb,sha‘b,Normalize broad IPA and ʿayn transliteration,/ʃaʕb/,shaʿb
278,REPAIR,يأخذ,takes; receives,jʔχð,yʔkhdh,Machine candidate omits lexical short vowels,/jaʔxuð/,yaʾkhudh
279,REPAIR,يجد,finds,jdʒd,yyd,Machine candidate omits lexical short vowels,/jadʒid/,yajid
280,REPAIR,توقف,stopped; halted; stop!,tˈawaqːˌaf,tawaqaf,Workbook gloss spans past تَوَقَّفَ and imperative تَوَقَّفْ; include both readings,/tawaqqafa/ / /tawaqqaf/,tawaqqafa / tawaqqaf
281,REPAIR,لأن,because; because of the fact that (لأن),lʔn,lʔn,Machine candidate omits the lexical vowels and gemination of لِأَنَّ,/liʔanna/,liʾanna
282,REPAIR,بطولة,championship; tournament; heroism,bˈut̪uːlˌa,bohoht̪ohohla,Machine consonant quality is wrong for emphatic ṭ and hint is unusable,/butˤuːla/,buṭūla
283,REPAIR,هيئة,form; appearance; body; authority; commission; organization,hˈajʔa,hayʔa,Normalize broad IPA and learner hamza marker,/hajʔa/,hayʾa
284,REPAIR,عملية,process; operation,ʕˌamalˈiːja,‘amalayayya,Machine hint is unusable; normalize ʿayn and final nisba/feminine sequence,/ʕamalijja/,ʿamaliyya
285,REPAIR,طويل,long; tall,t̪ˈawiːl,t̪awayayl,Machine consonant quality is wrong for emphatic ṭ and hint is unusable,/tˤawiːl/,ṭawīl
286,REPAIR,بل,rather; but; instead,bˈal,bal,Normalize broad monosyllabic IPA,/bal/,bal
287,REPAIR,تأكيد,confirmation; emphasis,tˈaʔkiːd,taʔkayayd,Machine hint is unusable; normalize hamza and vowel length,/taʔkiːd/,taʾkīd
288,REPAIR,إذن,then; therefore; in that case (إِذًا/إذن); permission; authorization (إِذْن),ʔˈiðn,ʔayaydhn,Workbook gloss spans adverb إِذًا and noun إِذْن; include both readings,/ʔiðan/ / /ʔiðn/,ʾidhan / ʾidhn
289,REPAIR,أمور,matters; affairs; things,ʔmˈuːr,ʔmohohr,Machine candidate omits the initial short vowel and hint is unusable,/ʔumuːr/,ʾumūr
290,REPAIR,فوز,victory; winning,fˈawz,fawz,Normalize broad monosyllabic IPA,/fawz/,fawz
291,REPAIR,أقل,less; least; fewer,ʔˈaqall,ʔaqall,Normalize broad IPA and learner hamza marker,/ʔaqall/,ʾaqall
292,REPAIR,ألا,attention/emphasis particle; that not (أَلَّا); don't/doesn't/isn't... ? (أَ + لا),ʔˈalaː,ʔala,Workbook gloss spans أَلَا/أَ+لا and assimilated أَلَّا; include both distinct readings,/ʔalaː/ / /ʔallaː/,ʾalā / ʾallā
293,REPAIR,شباب,youth; young people,ʃˈabaːb,shabab,Normalize broad IPA and preserve vowel length,/ʃabaːb/,shabāb
294,REPAIR,حقيقي,real; genuine; true,ħˈaqiːqˌiːj,haqayayqayayy,Machine hint is unusable; normalize the nisba adjective with final gemination,/ħaqiːqijj/,ḥaqīqiyy
295,REPAIR,كامل,complete; full; entire,kˈaːmil,kamayayl,Machine hint is unusable; preserve vowel length,/kaːmil/,kāmil
296,REPAIR,لاعب,player; sport/game player,lˈaːʕib,la‘ayayb,Machine hint is unusable; normalize ʿayn and vowel length,/laːʕib/,lāʿib
297,REPAIR,انتظر,waited; wait!,ˈintaðˌar,ayayntadhar,Workbook gloss spans past اِنْتَظَرَ and imperative اِنْتَظِرْ; machine also fails to mark emphatic ẓ,/ʔintaðˤara/ / /ʔintaðˤir/,ʾintaẓara / ʾintaẓir
298,REPAIR,شركات,companies,ʃrkˈaːt,shrkat,Machine candidate omits the lexical short vowels,/ʃarikaːt/,sharikāt
299,REPAIR,مما,"from/of what; from/of which; from what/that which, depending on context",mmˈaː,mma,Machine candidate omits initial vowel and fails to represent assimilation in مِمَّا,/mimmaː/,mimmā
300,REPAIR,سابق,previous; former; preceding; competed/raced (depending on vocalization),sˈaːbiq,sabayayq,Workbook gloss spans adjective سَابِق and past verb سَابَقَ; include both readings,/saːbiq/ / /saːbaqa/,sābiq / sābaqa
