rank,status,target,english,ipa_candidate,learner_hint_candidate,issue,proposed_ipa,proposed_learner_hint
951,REPAIR,Je veux simplement que tu saches que je le regrette.,I just want you to know I regret it.,ʒə- vˈø sɛ̃pləmˈɑ̃ kə ty sˈaʃ kə ʒə- lə- ʁəɡʁˈɛt.,zhohohh- veu sayaynplohohhman kohohh ty sash kohohh zhohohh- lohohh- rohohhgrayt.,Remove stress/hyphen artifacts; simplement is nasal.,/ʒə vø sɛ̃pləmɑ̃ kə ty saʃ kə ʒə lə ʁəɡʁɛt/,zhuh veu sehn-pluh-mahn kuh tü sahsh kuh zhuh luh ruh-gret
952,REPAIR,Je veux seulement que vous sachiez que je suis désolée.,I just want you to know that I'm sorry.,ʒə- vˈø sølmˈɑ̃ kə vu saʃjˈe kə ʒə- syˌi dezolˈe.,zhohohh- veu seulman kohohh vohoh sashyay kohohh zhohohh- syayay dayzohlay.,Machine misses /ɥ/ in suis; normalize désolée /dezɔle/ and remove artifacts.,/ʒə vø sœlmɑ̃ kə vu saʃje kə ʒə sɥi dezɔle/,zhuh veu suhl-mahn kuh voo sah-shyay kuh zhuh swee day-zaw-lay
953,REPAIR,Je sais à quel point c'est difficile de faire cela.,I know how hard it is to do that.,ʒə- sˈɛz a kɛl pwˌɛ̃ sɛ difisˈil də- fˈɛʁ səlˈa.,zhohohh- sayz a kayl pwayayn say dayayfayaysayayl dohohh- fayr sohohhla.,False /z/ after finite sais before à; remove artifacts and mark point nasal.,/ʒə sɛ a kɛl pwɛ̃ sɛ difisil də fɛʁ səla/,zhuh seh ah kel pwehn seh dee-fee-seel duh fehr suh-lah
954,REPAIR,Je sais combien vous êtes fier de votre travail.,I know how proud you are of your work.,ʒə- sˈɛ kɔ̃bjˈɛ̃ vuz ɛt fjˈɛʁ də- votʁ tʁavˈaj.,zhohohh- say kohnbyayayn vohohz ayt fyayr dohohh- vohtr travay.,Keep mandatory vous êtes /vu zɛt/; correct votre /vɔtʁ/ and remove artifacts.,/ʒə sɛ kɔ̃bjɛ̃ vu zɛt fjɛʁ də vɔtʁ tʁavaj/,zhuh seh kohn-byehn voo zet fyehr duh vawtr trah-vahy
955,REPAIR,Je sais que beaucoup de gens veulent faire cela.,I know lots of people want to do that.,ʒə- sˈɛ kə bokˌu də- ʒˈɑ̃ vˈœl fˈɛʁ səlˈa.,zhohohh- say kohohh bohkohoh dohohh- zhan veul fayr sohohhla.,Remove stress/hyphen artifacts; gens is nasal.,/ʒə sɛ kə boku də ʒɑ̃ vœl fɛʁ səla/,zhuh seh kuh boh-koo duh zhahn vuhl fehr suh-lah
956,REPAIR,Je sais qu'on peut faire ça si on essaye.,I know we can do this if we try.,ʒə- sˈɛ kɔ̃ pˈø fˈɛʁ sa sˈi ɔ̃n esˈɛj.,zhohohh- say kohn peu fayr sa sayay ohnn aysayy.,Keep natural /n/ link in on essaye; remove artificial stresses.,/ʒə sɛ kɔ̃ pø fɛʁ sa si ɔ̃ nesɛj/,zhuh seh kohn peu fehr sah see ohn nay-sehy
957,REPAIR,Je sais que tu n'as pas appris à parler français.,I know you didn't learn to speak French.,ʒə- sˈɛ kə ty na paz apʁˈi a paʁlˈe fʁɑ̃sˈɛ.,zhohohh- say kohohh ty na paz aprayay a parlay fransay.,Drop optional/marked /z/ after pas before appris; remove artifacts and mark français nasal.,/ʒə sɛ kə ty na pa apʁi a paʁle fʁɑ̃sɛ/,zhuh seh kuh tü nah pah ah-pree ah par-lay frahn-seh
958,REPAIR,Je sais que tu m'as menti l'autre jour.,I know you lied to me the other day.,ʒə- sˈɛ kə ty ma mɑ̃tˈi lotʁ ʒˈuʁ.,zhohohh- say kohohh ty ma mantayay lohtr zhohohr.,Remove stress/hyphen artifacts; menti is nasal.,/ʒə sɛ kə ty ma mɑ̃ti lotʁ ʒuʁ/,zhuh seh kuh tü mah mahn-tee lohtr zhoor
959,REPAIR,Je sais que tu dois avoir plein de questions.,I know you must have a lot of questions.,ʒə- sˈɛ kə ty dwˈaz avwˈaʁ plˈɛ̃ də- kɛstjˈɔ̃.,zhohohh- say kohohh ty dwaz avwar playayn dohohh- kaystyohn.,False /z/ after finite dois before infinitive avoir; remove artifacts and mark nasal vowels.,/ʒə sɛ kə ty dwa avwaʁ plɛ̃ də kɛstjɔ̃/,zhuh seh kuh tü dwa ah-vwar plehn duh kes-tyohn
960,REPAIR,Je sais que tu feras ce qu'il faut faire.,I know you'll do what needs to be done.,ʒə- sˈɛ kə ty fəʁˈa sə- kil fo fˈɛʁ.,zhohohh- say kohohh ty fohohhra sohohh- kayayl foh fayr.,Remove stress/hyphen artifacts.,/ʒə sɛ kə ty fəʁa sə kil fo fɛʁ/,zhuh seh kuh tü fuh-rah suh keel foh fehr
