rank,status,target,english,ipa_candidate,learner_hint_candidate,issue,proposed_ipa,proposed_learner_hint
251,REPAIR,Y en a-t-il d'autres comme toi ?,Are there others like you?,i ɑ̃n atil dotʁ kɔm twˈa ?,ayay ann atayayl dohtr kohm twa ?,Normalize clitic linking: en a is /ɑ̃ na/ and a-t-il is /a til/; remove artificial stress.,/i ɑ̃ na til dotʁ kɔm twa/,ee ahn nah teel dohr kom twa (ahn nasal)
252,REPAIR,Sommes-nous prêts à partir ?,Are we ready to go?,sˈɔmnu pʁˈɛz a paʁtˈiʁ ?,sohmnohoh prayz a partayayr ?,Machine incorrectly inserts /z/ after predicative prêts before à; no liaison is made here. Remove stresses.,/sɔm nu pʁɛ a paʁtiʁ/,som noo preh ah par-teer
253,REPAIR,C'est vous qui me reconduisez à la maison ?,Are you the one taking me home?,sɛ vu ki mə- ʁəkɔ̃dyizˈez a la- mɛzˈɔ̃ ?,say vohoh kayay mohohh- rohohhkohndyayayzayz a la- mayzohn ?,Machine misses /ɥ/ in reconduisez and falsely pronounces final -z before à; finite verb liaison is not made. Remove hyphens/stresses.,/sɛ vu ki mə ʁəkɔ̃dɥize a la mɛzɔ̃/,seh voo kee muh ruh-kohn-dwee-zay ah lah meh-zohn (nasal vowels)
254,REPAIR,Es-tu prêt à partir ?,Are you ready to go?,ɛty pʁˈɛ a paʁtˈiʁ ?,ayty pray a partayayr ?,Remove artificial stress and distinguish French /y/.,/ɛ ty pʁɛ a paʁtiʁ/,eh tü preh ah par-teer
255,REPAIR,Es-tu prêt à travailler ?,Are you ready to work?,ɛty pʁˈɛ a tʁavajˈe ?,ayty pray a travayay ?,Remove artificial stresses; travailler contains /j/ glide.,/ɛ ty pʁɛ a tʁavaje/,eh tü preh ah trah-vah-yay
256,REPAIR,Est-ce que je peux te demander pourquoi ?,Can I ask you why?,ɛs kə ʒə- pˈø tə- dəmɑ̃dˈe puʁkwˈa ?,ays kohohh zhohohh- peu tohohh- dohohhmanday pohohrkwa ?,Remove machine hyphens/artificial stresses; demander contains nasal /ɑ̃/.,/ɛs kə ʒə pø tə dəmɑ̃de puʁkwa/,es kuh zhuh peu tuh duh-mahn-day poor-kwa (mahn nasal)
257,REPAIR,Puis-je te rappeler ?,Can I call you back?,pyˈiʒ tə- ʁaplˈe ?,pyayayzh tohohh- raplay ?,Machine misses /ɥ/ in puis-je; remove machine hyphen/artificial stresses.,/pɥiʒ tə ʁaple/,pweezh tuh rah-play
258,REPAIR,Puis-je vous appeler demain ?,Can I call you tomorrow?,pyˈiʒ vuz aplˈe dəmˈɛ̃ ?,pyayayzh vohohz aplay dohohhmayayn ?,Machine misses /ɥ/ in puis-je. Keep mandatory /z/ from object clitic vous before appeler; remove stresses and mark demain nasal.,/pɥiʒ vu zaple dəmɛ̃/,pweezh voo zah-play duh-mehn (mehn nasal)
259,REPAIR,Est-ce que je peux aller avec vous ?,Can I go with you?,ɛs kə ʒə- pˈøz alˈe avˌɛk vˈu ?,ays kohohh zhohohh- peuz alay avayk vohoh ?,Machine incorrectly inserts /z/ after finite peux before aller; remove hyphen/stress artifacts.,/ɛs kə ʒə pø ale avɛk vu/,es kuh zhuh peu ah-lay ah-vek voo
260,REPAIR,Est-ce que je peux faire ça ici ?,Can I do that here?,ɛs kə ʒə- pˈø fˈɛʁ sa isˈi ?,ays kohohh zhohohh- peu fayr sa ayaysayay ?,Remove machine hyphen/artificial stresses; learner hint is corrupted.,/ɛs kə ʒə pø fɛʁ sa isi/,es kuh zhuh peu fehr sah ee-see
261,REPAIR,Puis-je rentrer à la maison maintenant ?,Can I go home now?,pyˈiʒ ʁɑ̃tʁˈe a la- mɛzˈɔ̃ mɛ̃tnˈɑ̃ ?,pyayayzh rantray a la- mayzohn mayayntnan ?,Machine misses /ɥ/ in puis-je; remove stresses/hyphen and mark nasal vowels in rentrer/maison/maintenant.,/pɥiʒ ʁɑ̃tʁe a la mɛzɔ̃ mɛ̃tnɑ̃/,pweezh rahn-tray ah lah meh-zohn mehn-tahn (nasal vowels)
262,REPAIR,Puis-je y aller maintenant ?,Can I go there now?,pyˈiʒ i alˈe mɛ̃tnˈɑ̃ ?,pyayayzh ayay alay mayayntnan ?,Machine misses /ɥ/ in puis-je; remove artificial stresses and cue maintenant nasal vowels.,/pɥiʒ i ale mɛ̃tnɑ̃/,pweezh ee ah-lay mehn-tahn (nasal vowels)
263,REPAIR,Puis-je me rendre au travail ?,Can I go to work?,pyˈiʒ mə- ʁˈɑ̃dʁ o tʁavˈaj ?,pyayayzh mohohh- randr oh travay ?,Machine misses /ɥ/ in puis-je; remove hyphen/stresses and mark rendre nasal.,/pɥiʒ mə ʁɑ̃dʁ o tʁavaj/,pweezh muh rahn-dr oh trah-vahy (rahn nasal)
264,REPAIR,Puis-je avoir votre autographe ?,Can I have your autograph?,pyˈiʒ avwˈaʁ votʁ otoɡʁˈaf ?,pyayayzh avwar vohtr ohtohgraf ?,Machine misses /ɥ/ in puis-je and uses /votʁ/ instead of /vɔtʁ/; remove artificial stresses.,/pɥiʒ avwaʁ vɔtʁ otoɡʁaf/,pweezh ah-vwar vawtr oh-toh-graf
265,REPAIR,Puis-je vous rencontrer demain ?,Can I meet you tomorrow?,pyˈiʒ vu ʁɑ̃kɔ̃tʁˈe dəmˈɛ̃ ?,pyayayzh vohoh rankohntray dohohhmayayn ?,Machine misses /ɥ/ in puis-je; remove artificial stresses and cue nasal vowels in rencontrer/demain.,/pɥiʒ vu ʁɑ̃kɔ̃tʁe dəmɛ̃/,pweezh voo rahn-kohn-tray duh-mehn (nasal vowels)
266,REPAIR,Puis-je te voir demain ?,Can I see you tomorrow?,pyˈiʒ tə- vwˈaʁ dəmˈɛ̃ ?,pyayayzh tohohh- vwar dohohhmayayn ?,Machine misses /ɥ/ in puis-je; remove hyphen/stresses and mark demain nasal.,/pɥiʒ tə vwaʁ dəmɛ̃/,pweezh tuh vwar duh-mehn (mehn nasal)
