rank,status,target,english,ipa_candidate,learner_hint_candidate,issue,proposed_ipa,proposed_learner_hint
601,REPAIR,Je suis d'accord avec ce que vous dites.,I agree with what you say.,ʒə- syˌi dakˈɔʁ avˌɛk sə- kə vu dˈit.,zhohohh- syayay dakohr avayk sohohh- kohohh vohoh dayayt.,Machine misses /ɥ/ in suis; remove stress/hyphen artifacts.,/ʒə sɥi dakɔʁ avɛk sə kə vu dit/,zhuh swee dah-kawr ah-vek suh kuh voo deet
602,REPAIR,Je sais déjà ce que c'est.,I already know what it is.,ʒə- sˈɛ deʒˈa sə- kə sˈɛ.,zhohohh- say dayzha sohohh- kohohh say.,Remove stress/hyphen artifacts.,/ʒə sɛ deʒa sə kə sɛ/,zhuh seh day-zhah suh kuh seh
603,REPAIR,Je suppose que c'est ce que vous voulez.,I assume that's what you want.,ʒə- sypˈɔz kə sɛ sə- kə vu vulˈe.,zhohohh- sypohz kohohh say sohohh- kohohh vohoh vohohlay.,Standard suppose uses closed /o/: /sypoz/. Remove artifacts.,/ʒə sypoz kə sɛ sə kə vu vule/,zhuh sü-pohz kuh seh suh kuh voo voo-lay
604,REPAIR,Je suppose que vous parlez français.,I assume you speak French.,ʒə- sypˈɔz kə vu paʁlˈe fʁɑ̃sˈɛ.,zhohohh- sypohz kohohh vohoh parlay fransay.,Normalize suppose /sypoz/; remove artifacts and mark français nasal.,/ʒə sypoz kə vu paʁle fʁɑ̃sɛ/,zhuh sü-pohz kuh voo par-lay frahn-seh
605,REPAIR,Je crois que tu as mon parapluie.,I believe you have my umbrella.,ʒə- kʁwˈa kə ty a mɔ̃ paʁaplyˈi.,zhohohh- krwa kohohh ty a mohn paraplyayay.,Machine misses /ɥ/ in parapluie; remove artifacts.,/ʒə kʁwa kə ty a mɔ̃ paʁaplɥi/,zhuh krwa kuh tü ah mohn pah-rah-plwee
606,REPAIR,Je crois que tu aimes ton métier.,I believe you like your job.,ʒə- kʁwˈa kə ty ˈɛm tɔ̃ metjˈe.,zhohohh- krwa kohohh ty aym tohn maytyay.,Remove stress/hyphen artifacts; ton is nasal.,/ʒə kʁwa kə ty ɛm tɔ̃ metje/,zhuh krwa kuh tü em tohn may-tyay
607,REPAIR,Je peux revenir une autre fois.,I can come back another time.,ʒə- pˈø ʁəvnˈiʁ yn otʁ fwˈa.,zhohohh- peu rohohhvnayayr yn ohtr fwa.,Use careful /ʁəvəniʁ/ for revenir; remove artifacts.,/ʒə pø ʁəvəniʁ yn otʁ fwa/,zhuh peu ruh-vuh-neer ün ohtr fwa
608,REPAIR,Je peux le faire pour toi.,I can do it for you.,ʒə- pˈø lə- fˈɛʁ puʁ twˈa.,zhohohh- peu lohohh- fayr pohohr twa.,Remove stress/hyphen artifacts.,/ʒə pø lə fɛʁ puʁ twa/,zhuh peu luh fehr poor twa
609,REPAIR,Je ne peux rien faire pour aider.,I can't do anything to help.,ʒə- nə- pˈø ʁjˌɛ̃ fˈɛʁ puʁ ɛdˈe.,zhohohh- nohohh- peu ryayayn fayr pohohr ayday.,Aider is /ede/, not /ɛde/; remove artifacts and mark rien nasal.,/ʒə nə pø ʁjɛ̃ fɛʁ puʁ ede/,zhuh nuh peu ryehn fehr poor ay-day
610,REPAIR,Je peux faire ce que je veux.,I can do whatever I want.,ʒə- pˈø fˈɛʁ sə- kə ʒə- vˈø.,zhohohh- peu fayr sohohh- kohohh zhohohh- veu.,Remove stress/hyphen artifacts.,/ʒə pø fɛʁ sə kə ʒə vø/,zhuh peu fehr suh kuh zhuh veu
611,REPAIR,J'y arriverai sans son aide.,I'll manage without his help.,ʒi aʁivʁˈe sɑ̃ sɔ̃n ˈɛd.,zhayay arayayvray san sohnn ayd.,Keep natural /n/ in son aide; remove stress and mark sans/son nasal.,/ʒi aʁivʁe sɑ̃ sɔ̃ nɛd/,zhee ah-ree-vray sahn sohn ned
612,REPAIR,Je peux me rendre où que tu le veuilles.,I can go wherever you like.,ʒə- pˈø mə- ʁˈɑ̃dʁ u kə ty lə- vˈœj.,zhohohh- peu mohohh- randr ohoh kohohh ty lohohh- veuy.,Remove artifacts; rendre is nasal and veuilles /vœj/.,/ʒə pø mə ʁɑ̃dʁ u kə ty lə vœj/,zhuh peu muh rahn-dr oo kuh tü luh vuhy
613,REPAIR,Ça va être dur d'attendre jusqu'à demain.,It will be hard to wait until tomorrow.,sa vˈa ˈɛtʁ dˈyʁ datˈɑ̃dʁ ʒyska dəmˈɛ̃.,sa va aytr dyr datandr zhyska dohohhmayayn.,Remove artificial stresses; dur has French /y/ and attendre/demain are nasal.,/sa va ɛtʁ dyʁ datɑ̃dʁ ʒyska dəmɛ̃/,sah vah etr dür dah-tahn-dr zhüs-kah duh-mehn
614,REPAIR,Je peux t'aider si tu veux.,I can help you if you want.,ʒə- pˈø tɛdˈe sˈi ty vˈø.,zhohohh- peu tayday sayay ty veu.,T'aider is /tede/, not /tɛde/; remove artifacts.,/ʒə pø tede si ty vø/,zhuh peu tay-day see tü veu
615,REPAIR,Je ne peux plus te faire confiance.,I can no longer trust you.,ʒə- nə- pˈø ply tə- fˈɛʁ kɔ̃fjˈɑ̃s.,zhohohh- nohohh- peu ply tohohh- fayr kohnfyans.,Remove artifacts; negative plus /ply/ and confiance has nasal vowels.,/ʒə nə pø ply tə fɛʁ kɔ̃fjɑ̃s/,zhuh nuh peu plü tuh fehr kohn-fyahns
616,REPAIR,Je ne peux pas venir travailler demain.,I can't come to work tomorrow.,ʒə- nə- pˈø pa vənˈiʁ tʁavajˈe dəmˈɛ̃.,zhohohh- nohohh- peu pa vohohhnayayr travayay dohohhmayayn.,Remove artifacts; travailler has /j/ glide and demain is nasal.,/ʒə nə pø pa vəniʁ tʁavaje dəmɛ̃/,zhuh nuh peu pah vuh-neer trah-vah-yay duh-mehn
617,REPAIR,Je ne peux pas pardonner ce que tu as fait.,I can't forgive what you did.,ʒə- nə- pˈø pa paʁdɔnˈe sə- kə ty a fˈɛ.,zhohohh- nohohh- peu pa pardohnay sohohh- kohohh ty a fay.,Remove stress/hyphen artifacts.,/ʒə nə pø pa paʁdɔne sə kə ty a fɛ/,zhuh nuh peu pah par-daw-nay suh kuh tü ah feh
618,REPAIR,Je ne peux pas aller avec toi demain.,I can't go with you tomorrow.,ʒə- nə- pˈø paz alˈe avˌɛk twˌa dəmˈɛ̃.,zhohohh- nohohh- peu paz alay avayk twa dohohhmayayn.,False /z/ after pas before infinitive aller; remove artifacts.,/ʒə nə pø pa ale avɛk twa dəmɛ̃/,zhuh nuh peu pah ah-lay ah-vek twa duh-mehn
619,REPAIR,Je ne peux pas dire ce qu'il est.,I can't tell what it is.,ʒə- nə- pˈø pa dˈiʁ sə- kil ˈɛ.,zhohohh- nohohh- peu pa dayayr sohohh- kayayl ay.,Remove stress/hyphen artifacts.,/ʒə nə pø pa diʁ sə kil ɛ/,zhuh nuh peu pah deer suh keel eh
620,REPAIR,Je ne peux pas te dire ce qui est arrivé.,I can't tell you what happened.,ʒə- nə- pˈø pa tə- dˈiʁ sə- ki ɛt aʁivˈe.,zhohohh- nohohh- peu pa tohohh- dayayr sohohh- kayay ayt arayayvay.,Keep standard /t/ link in est arrivé; remove artifacts.,/ʒə nə pø pa tə diʁ sə ki ɛ taʁive/,zhuh nuh peu pah tuh deer suh kee eh tah-ree-vay
621,REPAIR,Je ne comprends pas ce que tu dis.,I cannot understand what you say.,ʒə- nə- kɔ̃pʁˈɑ̃ pa sə- kə ty dˈi.,zhohohh- nohohh- kohnpran pa sohohh- kohohh ty dayay.,Remove artifacts; comprends is nasal.,/ʒə nə kɔ̃pʁɑ̃ pa sə kə ty di/,zhuh nuh kohn-prahn pah suh kuh tü dee
622,REPAIR,Je viens à l'école en bus.,I come to school by bus.,ʒə- vjˈɛ̃z a lekˈɔl ɑ̃ bˈys.,zhohohh- vyayaynz a laykohl an bys.,False /z/ after finite viens before à; remove artifacts and distinguish /y/ in bus.,/ʒə vjɛ̃ a lekɔl ɑ̃ bys/,zhuh vyehn ah lay-kawl ahn büs
623,REPAIR,J'aurais pu perdre mon travail.,I could have lost my job.,ʒoʁˈɛ pˈy pˈɛʁdʁ mɔ̃ tʁavˈaj.,zhohray py payrdr mohn travay.,Remove artificial stresses; pu has French /y/ and mon is nasal.,/ʒoʁɛ py pɛʁdʁ mɔ̃ tʁavaj/,zhoh-reh pü pehr-dr mohn trah-vahy
624,REPAIR,J'aurais besoin d'aide.,I could use some help.,ʒoʁˈɛ bəzwˈɛ̃ dˈɛd.,zhohray bohohhzwayayn dayd.,Remove artificial stresses; besoin is nasal and aide /ɛd/.,/ʒoʁɛ bəzwɛ̃ dɛd/,zhoh-reh buh-zwehn ded
625,REPAIR,J'ai fait tout ce que j'ai pu aujourd'hui.,I did everything I could today.,ʒe fˈɛ tu sə- kə ʒe pˈy oʒuʁdyˈi.,zhay fay tohoh sohohh- kohohh zhay py ohzhohohrdyayay.,Machine misses /ɥ/ in aujourd'hui; remove artifacts and distinguish /y/ in pu.,/ʒe fɛ tu sə kə ʒe py oʒuʁdɥi/,zhay feh too suh kuh zhay pü oh-zhoor-dwee
626,REPAIR,Je ne savais pas quoi faire.,I didn't know what to do.,ʒə- nə- savˈɛ pa kwˌa fˈɛʁ.,zhohohh- nohohh- savay pa kwa fayr.,Remove stress/hyphen artifacts.,/ʒə nə savɛ pa kwa fɛʁ/,zhuh nuh sah-veh pah kwa fehr
627,REPAIR,Je ne savais pas bien quoi dire.,I didn't quite know what to say.,ʒə- nə- savˈɛ pa bjˈɛ̃ kwˌa dˈiʁ.,zhohohh- nohohh- savay pa byayayn kwa dayayr.,Remove artifacts; bien is nasal.,/ʒə nə savɛ pa bjɛ̃ kwa diʁ/,zhuh nuh sah-veh pah byehn kwa deer
628,REPAIR,Je ne savais pas où tu étais.,I didn't know where you were.,ʒə- nə- savˈɛ paz u ty etˈɛ.,zhohohh- nohohh- savay paz ohoh ty aytay.,False /z/ after pas before où; remove other artifacts.,/ʒə nə savɛ pa u ty etɛ/,zhuh nuh sah-veh pah oo tü ay-teh
629,REPAIR,Je ne savais pas qui avait fait ça.,I didn't know who had done that.,ʒə- nə- savˈɛ pa ki avˈɛ fˈɛ sˈa.,zhohohh- nohohh- savay pa kayay avay fay sa.,Remove stress/hyphen artifacts.,/ʒə nə savɛ pa ki avɛ fɛ sa/,zhuh nuh sah-veh pah kee ah-veh feh sah
630,REPAIR,Je ne savais pas que tu savais cuisiner.,I didn't know you knew how to cook.,ʒə- nə- savˈɛ pa kə ty savˈɛ kyizinˈe.,zhohohh- nohohh- savay pa kohohh ty savay kyayayzayaynay.,Machine misses /ɥ/ in cuisiner: /kɥizine/. Remove other artifacts.,/ʒə nə savɛ pa kə ty savɛ kɥizine/,zhuh nuh sah-veh pah kuh tü sah-veh kwee-zee-nay
631,REPAIR,Je ne savais pas que tu étais là.,I didn't know you were there.,ʒə- nə- savˈɛ pa kə ty etˈɛ lˈa.,zhohohh- nohohh- savay pa kohohh ty aytay la.,Remove stress/hyphen artifacts.,/ʒə nə savɛ pa kə ty etɛ la/,zhuh nuh sah-veh pah kuh tü ay-teh lah
632,REPAIR,Je ne savais pas que tu travaillais ici.,I didn't know you worked here.,ʒə- nə- savˈɛ pa kə ty tʁavajˈɛz isˈi.,zhohohh- nohohh- savay pa kohohh ty travayayz ayaysayay.,False /z/ after finite travaillais before ici; remove artifacts.,/ʒə nə savɛ pa kə ty tʁavajɛ isi/,zhuh nuh sah-veh pah kuh tü trah-vah-yeh ee-see
633,REPAIR,Je réprouve ce que tu dis.,I disapprove of what you say.,ʒə- ʁepʁˈuv sə- kə ty dˈi.,zhohohh- rayprohohv sohohh- kohohh ty dayay.,Remove stress/hyphen artifacts.,/ʒə ʁepʁuv sə kə ty di/,zhuh ray-proov suh kuh tü dee
634,REPAIR,Je fais mes devoirs après l'école.,I do my homework after school.,ʒə- fˈɛ me- dəvwˈaʁz apʁˌɛ lekˈɔl.,zhohohh- fay may- dohohhvwarz apray laykohl.,False /z/ after plural noun devoirs before après; remove artifacts.,/ʒə fɛ me dəvwaʁ apʁɛ lekɔl/,zhuh feh may duh-vwar ah-preh lay-kawl
635,REPAIR,Je me fiche de qui vous êtes.,I don't care who you are.,ʒə- mə- fˈiʃ də- ki vuz ˈɛt.,zhohohh- mohohh- fayaysh dohohh- kayay vohohz ayt.,Keep mandatory vous êtes /vu zɛt/; remove stress/hyphen artifacts.,/ʒə mə fiʃ də ki vu zɛt/,zhuh muh feesh duh kee voo zet
636,REPAIR,Je n'ai pas envie de t'aider.,I don't feel like helping you.,ʒə- ne paz ɑ̃vˈi də- tɛdˈe.,zhohohh- nay paz anvayay dohohh- tayday.,Normalize everyday form without optional /z/ after pas; t'aider is /tede/.,/ʒə ne pa ɑ̃vi də tede/,zhuh nay pah ahn-vee duh tay-day
637,REPAIR,Je n'ai pas de temps pour toi.,I don't have time for you.,ʒə- ne pa də- tˈɑ̃ puʁ twˈa.,zhohohh- nay pa dohohh- tan pohohr twa.,Remove artifacts; temps is nasal.,/ʒə ne pa də tɑ̃ puʁ twa/,zhuh nay pah duh tahn poor twa
638,REPAIR,Je ne sais pas ce dont j'ai besoin.,I don't know what I need.,ʒə- nə- sˈɛ pa sə- dɔ̃ ʒe bəzwˈɛ̃.,zhohohh- nohohh- say pa sohohh- dohn zhay bohohhzwayayn.,Remove artifacts; dont/besoin are nasal.,/ʒə nə sɛ pa sə dɔ̃ ʒe bəzwɛ̃/,zhuh nuh seh pah suh dohn zhay buh-zwehn
639,REPAIR,Je ne sais pas ce que je veux.,I don't know what I want.,ʒə- nə- sˈɛ pa sə- kə ʒə- vˈø.,zhohohh- nohohh- say pa sohohh- kohohh zhohohh- veu.,Remove stress/hyphen artifacts.,/ʒə nə sɛ pa sə kə ʒə vø/,zhuh nuh seh pah suh kuh zhuh veu
640,REPAIR,Je ne sais pas ce que c'est.,I don't know what it is.,ʒə- nə- sˈɛ pa sə- kə sˈɛ.,zhohohh- nohohh- say pa sohohh- kohohh say.,Remove stress/hyphen artifacts.,/ʒə nə sɛ pa sə kə sɛ/,zhuh nuh seh pah suh kuh seh
641,REPAIR,Je ne sais pas ce qu'ils veulent.,I don't know what they want.,ʒə- nə- sˈɛ pa sə- kil vˈœl.,zhohohh- nohohh- say pa sohohh- kayayl veul.,Remove artifacts; no liaison before consonant-initial veulent.,/ʒə nə sɛ pa sə kil vœl/,zhuh nuh seh pah suh keel vuhl
642,REPAIR,Je ne sais pas quoi faire.,I don't know what to do.,ʒə- nə- sˈɛ pa kwˌa fˈɛʁ.,zhohohh- nohohh- say pa kwa fayr.,Remove stress/hyphen artifacts.,/ʒə nə sɛ pa kwa fɛʁ/,zhuh nuh seh pah kwa fehr
643,REPAIR,Je ne sais quoi dire.,I don't know what to say.,ʒə- nə- sˈɛ kwˌa dˈiʁ.,zhohohh- nohohh- say kwa dayayr.,Remove stress/hyphen artifacts.,/ʒə nə sɛ kwa diʁ/,zhuh nuh seh kwa deer
644,REPAIR,Je ne sais pas ce que tu fais.,I don't know what you're doing.,ʒə- nə- sˈɛ pa sə- kə ty fˈɛ.,zhohohh- nohohh- say pa sohohh- kohohh ty fay.,Remove stress/hyphen artifacts.,/ʒə nə sɛ pa sə kə ty fɛ/,zhuh nuh seh pah suh kuh tü feh
645,REPAIR,Je ne sais pas ce que tu veux dire.,I don't know what you mean.,ʒə- nə- sˈɛ pa sə- kə ty vˈø dˈiʁ.,zhohohh- nohohh- say pa sohohh- kohohh ty veu dayayr.,Remove stress/hyphen artifacts.,/ʒə nə sɛ pa sə kə ty vø diʁ/,zhuh nuh seh pah suh kuh tü veu deer
646,REPAIR,Je ne sais pas où c'est.,I don't know where it is.,ʒə- nə- sˈɛ paz u sˈɛ.,zhohohh- nohohh- say paz ohoh say.,False /z/ after pas before où; remove other artifacts.,/ʒə nə sɛ pa u sɛ/,zhuh nuh seh pah oo seh
647,REPAIR,Je ne sais pas qui l'a fait.,I don't know who did it.,ʒə- nə- sˈɛ pa ki la fˈɛ.,zhohohh- nohohh- say pa kayay la fay.,Remove stress/hyphen artifacts.,/ʒə nə sɛ pa ki la fɛ/,zhuh nuh seh pah kee lah feh
648,REPAIR,Je ne sais pas qui a fait ça.,I don't know who did that.,ʒə- nə- sˈɛ pa ki a fˈɛ sˈa.,zhohohh- nohohh- say pa kayay a fay sa.,Remove stress/hyphen artifacts.,/ʒə nə sɛ pa ki a fɛ sa/,zhuh nuh seh pah kee ah feh sah
649,REPAIR,Je ne sais pas qui il est.,I don't know who he is.,ʒə- nə- sˈɛ pa ki il ˈɛ.,zhohohh- nohohh- say pa kayay ayayl ay.,Remove stress/hyphen artifacts.,/ʒə nə sɛ pa ki il ɛ/,zhuh nuh seh pah kee eel eh
650,REPAIR,Je ne sais pas qui c'est.,I don't know who it is.,ʒə- nə- sˈɛ pa ki sˈɛ.,zhohohh- nohohh- say pa kayay say.,Remove stress/hyphen artifacts.,/ʒə nə sɛ pa ki sɛ/,zhuh nuh seh pah kee seh
