Front,Back
les,"Rank: 1001

Meaning: the (plural); them

Part of speech: article/determiner / pronoun

Frequency evidence: 1153.510000

Sources:
- Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics
- Verified continuation; passed structural, corpus, lexical, and semantic review gates"
réel,"Rank: 1002

Meaning: real (reality); real (of a number); real (true, factual, not fictional)

Part of speech: adjective / noun

Frequency evidence: 61.482000

Sources:
- Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics
- Verified continuation; passed structural, corpus, lexical, and semantic review gates"
reculer,"Rank: 1003

Meaning: to go astern; to go backwards; to back down, to concede

Part of speech: verb

Frequency evidence: 61.436000

Sources:
- Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics
- Verified continuation; passed structural, corpus, lexical, and semantic review gates"
tas,"Rank: 1004

Meaning: thing; heap, pile, a great many

Part of speech: noun

Frequency evidence: 61.411000

Sources:
- Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics
- Verified continuation; passed structural, corpus, lexical, and semantic review gates"
nécessaire,"Rank: 1005

Meaning: kit; necessary

Part of speech: adjective / noun

Frequency evidence: 61.209000

Sources:
- Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics
- Verified continuation; passed structural, corpus, lexical, and semantic review gates"
terrain,"Rank: 1006

Meaning: ground, landscape; lot, plot, parcel; field (as in soccer field)

Part of speech: noun

Frequency evidence: 61.209000

Sources:
- Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics
- Verified continuation; passed structural, corpus, lexical, and semantic review gates"
billet,"Rank: 1007

Meaning: ticket; note, a brief message; ellipsis of billet de banque (“banknote”)

Part of speech: noun

Frequency evidence: 60.971000

Sources:
- Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics
- Verified continuation; passed structural, corpus, lexical, and semantic review gates"
souci,"Rank: 1008

Meaning: a problem; worry; concern; marigold (flower)

Part of speech: noun

Frequency evidence: 60.889000

Sources:
- Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics
- Verified continuation; passed structural, corpus, lexical, and semantic review gates"
tante,"Rank: 1009

Meaning: aunt; homosexual (man); faggot, fag (US); poof (UK)

Part of speech: noun

Frequency evidence: 60.833000

Sources:
- Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics
- Verified continuation; passed structural, corpus, lexical, and semantic review gates"
portable,"Rank: 1010

Meaning: portable

Part of speech: adjective

Frequency evidence: 60.658000

Sources:
- Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics
- Verified continuation; passed structural, corpus, lexical, and semantic review gates"
poisson,"Rank: 1011

Meaning: fish (marine animal)

Part of speech: noun

Frequency evidence: 60.564000

Sources:
- Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics
- Verified continuation; passed structural, corpus, lexical, and semantic review gates"
pitié,"Rank: 1012

Meaning: pity, mercy

Part of speech: noun

Frequency evidence: 60.437000

Sources:
- Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics
- Verified continuation; passed structural, corpus, lexical, and semantic review gates"
oreille,"Rank: 1013

Meaning: ear

Part of speech: noun

Frequency evidence: 60.405000

Sources:
- Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics
- Verified continuation; passed structural, corpus, lexical, and semantic review gates"
note,"Rank: 1014

Meaning: note; mark (UK), grade (US); bill (UK, US), check (US)

Part of speech: noun

Frequency evidence: 60.212000

Sources:
- Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics
- Verified continuation; passed structural, corpus, lexical, and semantic review gates"
lorsque,"Rank: 1015

Meaning: when (at a time when)

Part of speech: conjunction

Frequency evidence: 60.142000

Sources:
- Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics
- Verified continuation; passed structural, corpus, lexical, and semantic review gates"
grand-mère,"Rank: 1016

Meaning: grandmother

Part of speech: noun

Frequency evidence: 60.098000

Sources:
- Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics
- Verified continuation; passed structural, corpus, lexical, and semantic review gates"
