Front,Back
في,"Rank: 1

Meaning: in; at

Part of speech: preposition

Sources:
- Al-Said (2023), Table 4 — existing rank 1; rank/order preserved
- CALIMA-MSA r13 via CAMeL Tools — morphology/root validation; stem-level semantics only
- Learner-safety review — high-risk function words/homographs resolved explicitly; raw analyzer gloss hidden"
أن,"Rank: 2

Meaning: that; to (subordinator: أَنْ / أَنَّ)

Part of speech: particle

Sources:
- Al-Said (2023), Table 4 — existing rank 2; rank/order preserved
- CALIMA-MSA r13 via CAMeL Tools — morphology/root validation; stem-level semantics only
- Learner-safety review — high-risk function words/homographs resolved explicitly; raw analyzer gloss hidden"
من,"Rank: 3

Meaning: from (مِنْ); who; whom; whoever (مَنْ)

Part of speech: preposition (مِنْ) / interrogative, relative, or conditional pronoun (مَنْ)

Sources:
- Al-Said (2023), Table 4 — existing rank 3; rank/order preserved
- CALIMA-MSA r13 via CAMeL Tools — morphology/root validation; stem-level semantics only
- Learner-safety review — high-risk function words/homographs resolved explicitly; raw analyzer gloss hidden
- Arabic Language Academy in Cairo / Quranic Arabic Corpus grammar recheck — second-pass educator review (2026-08-13)"
على,"Rank: 4

Meaning: on; upon; over

Part of speech: preposition

Sources:
- Al-Said (2023), Table 4 — existing rank 4; rank/order preserved
- CALIMA-MSA r13 via CAMeL Tools — morphology/root validation; stem-level semantics only
- Learner-safety review — high-risk function words/homographs resolved explicitly; raw analyzer gloss hidden"
لا,"Rank: 5

Meaning: no; not

Part of speech: particle

Sources:
- Al-Said (2023), Table 4 — existing rank 5; rank/order preserved
- CALIMA-MSA r13 via CAMeL Tools — morphology/root validation; stem-level semantics only
- Learner-safety review — high-risk function words/homographs resolved explicitly; raw analyzer gloss hidden"
إلى,"Rank: 6

Meaning: to; toward

Part of speech: preposition

Sources:
- Al-Said (2023), Table 4 — existing rank 6; rank/order preserved
- CALIMA-MSA r13 via CAMeL Tools — morphology/root validation; stem-level semantics only
- Learner-safety review — high-risk function words/homographs resolved explicitly; raw analyzer gloss hidden"
هذا,"Rank: 7

Meaning: this (masculine singular)

Part of speech: demonstrative

Sources:
- Al-Said (2023), Table 4 — existing rank 7; rank/order preserved
- CALIMA-MSA r13 via CAMeL Tools — morphology/root validation; stem-level semantics only
- Learner-safety review — high-risk function words/homographs resolved explicitly; raw analyzer gloss hidden"
كان,"Rank: 8

Meaning: was; were; be (past form of كان)

Part of speech: perfect / past verb

Sources:
- Al-Said (2023), Table 4 — existing rank 8; rank/order preserved
- CALIMA-MSA r13 via CAMeL Tools — morphology/root validation; stem-level semantics only
- Learner-safety review — high-risk function words/homographs resolved explicitly; raw analyzer gloss hidden"
إن,"Rank: 9

Meaning: if (إِنْ); indeed; certainly (إِنَّ)

Part of speech: particle

Sources:
- Al-Said (2023), Table 4 — existing rank 9; rank/order preserved
- CALIMA-MSA r13 via CAMeL Tools — morphology/root validation; stem-level semantics only
- Learner-safety review — high-risk function words/homographs resolved explicitly; raw analyzer gloss hidden"
ما,"Rank: 10

Meaning: not; what; that which; whatever (conditional)

Part of speech: negative particle / interrogative, relative, or conditional pronoun / subordinating particle (ما المصدرية), depending on use

Sources:
- Al-Said (2023), Table 4 — existing rank 10; rank/order preserved
- CALIMA-MSA r13 via CAMeL Tools — morphology/root validation; stem-level semantics only
- Learner-safety review — high-risk function words/homographs resolved explicitly; raw analyzer gloss hidden
- Arabic Language Academy in Cairo / Quranic Arabic Corpus grammar recheck — second-pass educator review (2026-08-13)"
