rank,status,note,proposed_target,proposed_english
701,PASS,,,
702,PASS,,,
703,PASS,,,
704,PASS,,,
705,REPAIR,"Peux tu requires a hyphen (Peux-tu), and the sentence is a question, not a statement.",Peux-tu me dire ce que tu entends par ça ?,Can you tell me what you mean by that?
706,PASS,,,
707,PASS,,,
708,PASS,,,
709,PASS,,,
710,PASS,,,
711,REPAIR,"Indirect-question syntax is faulty: quelle sorte de pomme est-ce cannot follow me dire this way.",Peux-tu me dire quelle sorte de pomme c'est ?,Can you tell me what kind of apple this is?
712,PASS,,,
713,REPAIR,"Puis-je is present modal 'Can I', not conditional 'Could I'.","Puis-je avoir encore une canette de bière, s'il vous plaît ?",Can I please have one more can of beer?
714,PASS,,,
715,REPAIR,"Tu peux is 'Can you', not 'Could you'.",Tu peux me déposer à l'arrêt de bus ?,Can you drop me off at the bus stop?
716,PASS,,,
717,REPAIR,"Accent required: plaît, not plait.","Pourriez-vous parler un peu plus lentement, s'il vous plaît ?",Could you please speak a little bit more slowly?
718,REPAIR,"French contains no 'please'; le means 'it', not 'this'.",Pourrais-tu me dire comment le faire ?,Could you tell me how to do it?
719,REPAIR,"Peux-tu is 'Can you', not 'Could you'; accent required in plaît.","Peux-tu, s'il te plaît, me dire pourquoi tu l'aimes ?",Can you please tell me why you love her?
720,PASS,,,
721,REPAIR,"mander is archaic/marked for a practical learner workbook; envoyer is the normal modern verb.","Pourriez-vous envoyer quelqu'un à l'étage pour mes bagages, je vous prie ?","Could you send someone up for my bags, please?"
722,PASS,,,
723,REPAIR,"Pouvez-vous is 'Can you', not 'Could you'.",Pouvez-vous me montrer comment utiliser cette pompe ?,Can you show me how to use this pump?
724,REPAIR,"Pouvez-vous is 'Can you', not 'Could you'.",Pouvez-vous m'apprendre à jouer du piano ?,Can you teach me how to play the piano?
725,PASS,,,
726,REPAIR,"Pouvez-vous is 'Can you', not 'Could you'.",Pouvez-vous me dire comment utiliser le téléphone ?,Can you tell me how to use the telephone?
727,PASS,,,
728,REPAIR,"Pouvez-vous is 'Can you', not 'Could you'.",Pouvez-vous m'indiquer la direction du port ?,Can you tell me the way to the port?
729,REPAIR,"Pouvez-vous is 'Can you', not 'Could you'.",Pouvez-vous m'indiquer le chemin jusqu'à la gare ?,Can you tell me the way to the station?
730,REPAIR,"Peux-tu is 'Can you', not 'Could you'.",Peux-tu m'indiquer la direction à prendre ?,Can you tell me which way I should go?
731,PASS,,,
732,REPAIR,"French asks whether the speaker really/correctly saw what they saw; English adds 'just' and 'I think'.",Ai-je bien vu ce que j'ai vu ?,Did I really see what I saw?
733,PASS,,,
734,REPAIR,"French contains no ici ('here').",Tu es venu en train ou en bus ?,Did you come by train or by bus?
735,REPAIR,"délibérément means deliberately/on purpose, not 'of your own free will'.",L'avez-vous fait délibérément ?,Did you do that deliberately?
736,PASS,,,
737,PASS,,,
738,PASS,,,
739,PASS,,,
740,PASS,,,
741,PASS,,,
742,PASS,,,
743,REPAIR,"inviter means invite; 'ask me out' can imply a date and is not an exact learner translation.",As-tu dit à ta sœur de m'inviter ?,Did you tell your sister to invite me?
744,PASS,,,
745,PASS,,,
746,PASS,,,
747,REPAIR,"clarifier means clarify; English slang 'spell this out' and demonstrative 'this' are not exact.",Dois-je vous le clarifier ?,Do I have to clarify it for you?
748,PASS,,,
749,PASS,,,
750,PASS,,,
