rank,status,note,proposed_target,proposed_english
401,PASS,,,
402,PASS,,,
403,PASS,,,
404,PASS,,,
405,PASS,,,
406,PASS,,,
407,PASS,,,
408,PASS,,,
409,REPAIR,"Standard interrogative form is ألا, not الا.",ألا تريد أن تعرف لماذا؟,Don't you want to know why?
410,PASS,,,
411,PASS,,,
412,REPAIR,"Standard contraction is ألا rather than أن لا in this construction.",كيف يمكن ألا تقول شيئًا؟,How could you not say something?
413,REPAIR,"منذ متى وأنت هنا؟ asks how long the person has been here; English asks how long they will remain.",منذ متى وأنت هنا؟,How long have you been here?
414,REPAIR,"Question incorrectly ends with a period.",كم نسخة تحتاج؟,How many copies do you need?
415,REPAIR,"الدونت is a poor/nonstandard learner-facing form and the sentence lacks terminal punctuation.",كم عدد حبات الدونات التي تريد؟,How many donuts do you want?
416,REPAIR,"ولد is male-specific in this context; English 'kids' is gender-neutral.",كم طفلًا لديك؟,How many kids do you have?
417,PASS,,,
418,PASS,,,
419,PASS,,,
420,PASS,,,
421,PASS,,,
422,PASS,,,
423,REPAIR,"من أجل ماذا is grammatically possible but markedly awkward for this basic learner sentence; لماذا is standard and natural.",لماذا أتيت إلى هنا؟,What did you come here for?
424,PASS,,,
425,PASS,,,
426,REPAIR,"ليلة الأمس means last night, not specifically yesterday evening.",ماذا فعلت ليلة الأمس؟,What did you do last night?
427,PASS,,,
428,PASS,,,
429,PASS,,,
430,PASS,,,
431,PASS,,,
432,PASS,,,
433,PASS,,,
434,REPAIR,"Standard spelling requires أن.",ماذا تقترح أن نفعل؟,What do you suggest we do?
435,PASS,,,
436,PASS,,,
437,PASS,,,
438,PASS,,,
439,PASS,,,
440,PASS,,,
441,PASS,,,
442,PASS,,,
443,PASS,,,
444,REPAIR,"اشتريت takes hamzat al-wasl; هذا means 'this' while English says 'that'.",من أين اشتريت ذلك الثوب؟,Where did you buy that dress?
445,PASS,,,
446,PASS,,,
447,PASS,,,
448,PASS,,,
449,REPAIR,"Arabic does not contain the English intensifier 'so'.",لمَ أنت متعبٌ اليوم؟,Why are you tired today?
450,REPAIR,"عادت means returned; English 'came' is less exact.",لماذا عادت إلى المنزل باكرًا؟,Why did she return home early?
