rank,status,note,proposed_target,proposed_english
551,PASS,,,
552,PASS,,,
553,REPAIR,"With second-person disjunctive subject toi seul, verb must be peux, not peut.",Toi seul peux m'aider.,You alone can help me.
554,PASS,,,
555,PASS,,,
556,PASS,,,
557,PASS,,,
558,PASS,,,
559,PASS,,,
560,REPAIR,"iras is future; English simple present is incorrect.",Tu iras là-bas sans moi.,You will go there without me.
561,PASS,,,
562,PASS,,,
563,PASS,,,
564,PASS,,,
565,PASS,,,
566,PASS,,,
567,PASS,,,
568,PASS,,,
569,PASS,,,
570,REPAIR,"de qui je veux parler means 'who I want to talk about', not merely 'who I mean'.",Vous savez de qui je veux parler.,You know who I want to talk about.
571,PASS,,,
572,PASS,,,
573,REPAIR,"dois means must/have to; English 'need to' is less exact. Use must here to preserve a distinct exact English rendering from the vous sentence at rank 562.",Tu dois m'aider.,You must help me.
574,PASS,,,
575,REPAIR,"traiter d'idiot means 'call me an idiot', not adjective 'call me stupid'.",Comment oses-tu me traiter d'idiot !,How dare you call me an idiot!
576,PASS,,,
577,PASS,,,
578,PASS,,,
579,PASS,,,
580,PASS,,,
581,PASS,,,
582,PASS,,,
583,REPAIR,"dès que means 'as soon as', stronger than generic 'when'.",Appelle-moi dès que tu es rentré.,Call me as soon as you get back.
584,REPAIR,"Sentence improperly mixes tu imperative Appelle with vous future arriverez. Use consistent vous register.",Appelez-nous lorsque vous y arriverez !,Call us when you get there.
585,PASS,,,
586,PASS,,,
587,PASS,,,
588,PASS,,,
589,PASS,,,
590,PASS,,,
591,PASS,,,
592,PASS,,,
593,PASS,,,
594,PASS,,,
595,PASS,,,
596,PASS,,,
597,PASS,,,
598,PASS,,,
599,PASS,,,
600,PASS,,,
