rank,status,note,proposed_target,proposed_english
551,PASS,,,
552,REPAIR,"حللت واجبك narrows the meaning to 'solved your homework'; أنجزت matches general 'did your homework'.",هل أنجزت واجبك بنفسك؟,Did you do your homework by yourself?
553,REPAIR,"بالباص is colloquial/loan-register; use standard MSA بالحافلة.",هل تذهب إلى المدرسة بالحافلة؟,Do you go to school by bus?
554,REPAIR,"Arabic asks whether the person wants to advise; English asks whether they have advice.",هل لديك أي نصيحة لي؟,Do you have any advice for me?
555,PASS,,,
556,PASS,,,
557,REPAIR,"Standard spelling is الانتظار, not الإنتظار.",كل ما عليك القيام به هو الانتظار.,All you need to do is wait.
558,REPAIR,"Standard collocation is مساعدتك في إيجاد عمل.",أستطيع مساعدتك في إيجاد عمل.,I can help you find a job.
559,REPAIR,"Arabic uses ذلك ('that'); English says 'this' and uses a less direct construction.",لا أعرف كيف يُفعل ذلك.,I don't know how that is done.
560,REPAIR,"Word order is unnatural in standard MSA; حتى should scope أعرف naturally.",أنا لا أعرف حتى ما ذلك.,I don't even know what that is.
561,REPAIR,"في بتناول is malformed by doubled prepositions.",لا أرغب في تناول أي طعام اليوم.,I don't feel like eating anything today.
562,REPAIR,"Standard orthography requires للأكل الآن.",ليس لدي وقت للأكل الآن.,I don't have time to eat now.
563,PASS,,,
564,PASS,,,
565,PASS,,,
566,REPAIR,"ما أفعله means 'what I do'; English is infinitival 'what to do'.",لا أعرف ماذا أفعل غدًا.,I don't know what to do tomorrow.
567,PASS,,,
568,PASS,,,
569,PASS,,,
570,PASS,,,
571,PASS,,,
572,PASS,,,
573,PASS,,,
574,REPAIR,"English adds 'just', absent from Arabic.",لا أعلم ماذا أقول.,I don't know what to say.
575,REPAIR,"Arabic is present أريد; English is past 'wanted'.",أريد فقط أن تساعدني.,I just want you to help me.
576,REPAIR,"Current Arabic is misspelled and future ('won't do this'), while English is past ('didn't do that').",أعلم أنك لم تفعل ذلك.,I know that you didn't do that.
577,PASS,,,
578,REPAIR,"Standard spelling is الذي, not الذى.",أنا أعرف ما الذي تحاول فعله.,I know what you're trying to do.
579,REPAIR,"Arabic كنت أعلم ... ستقول is past 'I knew you would say'; English is present/future.",كنت أعلم أنك ستقول لا.,I knew you would say no.
580,PASS,,,
581,PASS,,,
582,PASS,,,
583,REPAIR,"Current Arabic says 'I will never say no to you'; English says past inability 'I never could'.",لم أستطع قط أن أقول لك لا.,I never could say no to you.
584,REPAIR,"Current phrasing أنه الوقت لشرب is awkward; use standard حان الوقت.",أظن أن الوقت قد حان لشرب شيء ما.,I think it's time for a drink.
585,REPAIR,"Missing initial hamza in أعتقد.",أعتقد بأنه يمكننا مساعدة بعضنا البعض.,I think we can help each other.
586,PASS,,,
587,REPAIR,"Missing hamzas and Arabic merely says 'wouldn't come'; English says 'would never come'.",اعتقدت أنك لن تأتي إلى هنا أبدًا.,I thought you would never come here.
588,REPAIR,"Direct contradiction: Arabic says 'I don't know where she went'; English says 'I want to know'.",أريد أن أعرف إلى أين ذهبت.,I want to know where she went.
589,PASS,,,
590,PASS,,,
591,PASS,,,
592,PASS,,,
593,PASS,,,
594,PASS,,,
595,PASS,,,
596,REPAIR,"Current phrase is ungrammatical and misspells بإمكانك; use a standard help + على construction.",ربما يمكنك مساعدتي على فعل ذلك.,Maybe you can help me do that.
597,PASS,,,
598,REPAIR,"Standard spelling is الاتصال, not الإتصال.",بلغها أن تعاود الاتصال بي من فضلك.,Please tell her to call me back.
599,REPAIR,"إلى أي مكان أذهب is awkward; إلى أين is standard and directly matches 'where'.",أخبرني من فضلك إلى أين أذهب بعد ذلك.,Please tell me where to go next.
600,PASS,,,
