rank,status,note,proposed_target,proposed_english
651,PASS,,,
652,PASS,,,
653,REPAIR,"Standard orthography uses أبدًا.",لن أنس أبدًا ما فعلته من أجلي.,I'll never forget what you did for me.
654,PASS,,,
655,REPAIR,"أُخطيء is misspelled; correct first-person form is أخطئ. Normalize punctuation.","من فضلك، صحح لي عندما أخطئ.",Please correct me when I make a mistake.
656,REPAIR,"Normalize learner-facing punctuation; meaning is otherwise sound.","من فضلك تحدث ببطء، كي أفهمك.","Please speak slowly, so I can understand you."
657,REPAIR,"Arabic explicitly says لمساعدتك ('to help you'); English omits 'you'.",أخبرني ما الذي يمكنني فعله لمساعدتك.,Tell me what I can do to help you.
658,REPAIR,"وضح لي means explain/clarify; English says tell. Use أخبرني for exact fidelity.",أخبرني بما تريدني أن أفعله.,Tell me what you want me to do.
659,REPAIR,"إخبارك عنه is awkward here; standard collocation is إخبارك به.",ليس هذا ما أردت إخبارك به.,That's not what I wanted to tell you.
660,PASS,,,
661,REPAIR,"Gender mismatch هذا قائمة and incomplete ما نحتاج; use هذه قائمة بما نحتاج إليه.",هذه قائمة بما نحتاج إليه.,This is a list of what we need.
662,PASS,,,
663,PASS,,,
664,REPAIR,"هذا المساء means 'this evening', not 'this afternoon'.",نحتاج منك أن تساعدنا بعد ظهر اليوم.,We need you to help us this afternoon.
665,PASS,,,
666,REPAIR,"Missing إلى after بحاجة; use ذلك to match English 'that'.",هل أنت متأكد من أنك لست بحاجة إلى فعل ذلك؟,Are you sure you don't need to do that?
667,PASS,,,
668,REPAIR,"Correct preposition spelling is إلى, not إلي.",هل يمكنك إخباري بالطريق إلى المكتبة؟,Can you tell me the way to the library?
669,PASS,,,
670,REPAIR,"ببطئ is misspelled; English also specifies 'a little bit more slowly'.",أيمكنك أن تتحدث ببطء أكثر قليلًا من فضلك؟,Could you please speak a little bit more slowly?
671,PASS,,,
672,REPAIR,"Correct أي; Arabic يستطيع is 'can', not conditional 'would'.",هل لديك أي فكرة عمن يستطيع فعل هذا؟,Do you have any idea who can do this?
673,PASS,,,
674,PASS,,,
675,REPAIR,"Arabic directly means 'Would you like me to help you?'; English paraphrase is less exact.",أتود أن أساعدك؟,Would you like me to help you?
676,REPAIR,"في ذلك means 'with that'; English says help you do that. Add فعل.",أتريد مني مساعدتك في فعل ذلك؟,Do you want me to help you do that?
677,REPAIR,"احتساء شيء is vague; use مشروب for exact learner-facing match to 'a drink'.",أتريد الخروج لتناول مشروب؟,Do you want to go out for a drink?
678,PASS,,,
679,REPAIR,"Arabic says الحفلة ('the party'), not 'your party'.",كم شخصًا دعوت إلى الحفلة؟,How many people did you invite to the party?
680,PASS,,,
681,PASS,,,
682,REPAIR,"Arabic uses 'usually' and omits possessive homework; rewrite to match 'How often...your homework?'.",كم مرة تنسى أن تقوم بواجباتك المنزلية؟,How often do you forget to do your homework?
683,PASS,,,
684,REPAIR,"أخر is misspelled; correct form is آخر.",هل يوجد أي شيء آخر تريد أن تخبرني به؟,Is there anything else you want to tell me?
685,PASS,,,
686,PASS,,,
687,PASS,,,
688,PASS,,,
689,PASS,,,
690,PASS,,,
691,REPAIR,"Verb spelling is نظّفت, not نظفّت.",متى كانت آخر مرة نظّفت فيها الشقة؟,When was the last time you cleaned your apartment?
692,PASS,,,
693,REPAIR,"تفضل means prefer; English 'like more' is a paraphrase. Use direct equivalent.",أي لون تفضل؟ الأزرق أم الأحمر؟,"Which color do you prefer, blue or red?"
694,REPAIR,"Bare لم is ambiguous; صديقك الأخير is 'last friend' rather than specifically boyfriend. Use explicit لماذا and حبيبك السابق.",لماذا انفصلتِ عن حبيبكِ السابق؟,Why did you break up with your last boyfriend?
695,PASS,,,
696,REPAIR,"Bare لم is ambiguous and مالا needs correct tanwin spelling.",لماذا أعرت مالًا لشخص مثلها؟,Why did you lend money to someone like her?
697,PASS,,,
698,REPAIR,"لم لم is malformed and عرضت الأمر عليك does not mean 'suggested the way'.",لماذا لم تفعل ذلك بالطريقة التي اقترحتها؟,Why didn't you do that the way I suggested?
699,REPAIR,"Use explicit لماذا and required أن after عليّ.",لماذا عليّ أن أقوم بذلك بنفسي؟,Why do I have to do this by myself?
700,REPAIR,"Bare لم is ambiguous for interrogative 'why'.",لماذا تظن أنني أخبرتها بذلك؟,Why do you think I told her about it?
