rank,status,note,proposed_target,proposed_english
801,PASS,,,
802,PASS,,,
803,PASS,,,
804,PASS,,,
805,PASS,,,
806,PASS,,,
807,PASS,,,
808,REPAIR,"French says si tu veux ('if you want'); English adds 'me to'.",Je peux marcher plus rapidement si tu veux.,I can walk faster if you want.
809,PASS,,,
810,PASS,,,
811,PASS,,,
812,PASS,,,
813,REPAIR,"m'énerve means annoys/irritates me; 'makes me angry' is stronger and less exact.",Je ne peux te dire combien cela m'énerve.,I can't tell you how much that annoys me.
814,PASS,,,
815,REPAIR,"French says votre gentillesse without the English quantifier 'all'.",Je ne peux pas vous remercier suffisamment pour votre gentillesse.,I can't thank you enough for your kindness.
816,REPAIR,"Je ne comprends pas means 'I don't understand', not inability 'I can't understand'.",Je ne comprends pas ce qu'il essaie de dire.,I don't understand what he is trying to say.
817,PASS,,,
818,PASS,,,
819,PASS,,,
820,PASS,,,
821,PASS,,,
822,PASS,,,
823,REPAIR,"le refers to 'it'; English incorrectly says 'that'.",Je l'ai fait comme tu me l'as demandé.,I did it the way you asked me to.
824,REPAIR,"English 'that which' is unnecessarily unnatural; French straightforwardly means 'what she asked me to do'.",J'ai fait ce qu'elle m'a demandé de faire.,I did what she asked me to do.
825,REPAIR,"m'avaient dit is pluperfect; preserve the earlier past event.",Je n'ai pas fait ce qu'ils m'avaient dit de faire.,I didn't do what they had told me to do.
826,PASS,,,
827,PASS,,,
828,PASS,,,
829,PASS,,,
830,PASS,,,
831,PASS,,,
832,PASS,,,
833,PASS,,,
834,PASS,,,
835,PASS,,,
836,PASS,,,
837,PASS,,,
838,PASS,,,
839,PASS,,,
840,PASS,,,
841,PASS,,,
842,PASS,,,
843,PASS,,,
844,PASS,,,
845,PASS,,,
846,REPAIR,"s'y prendre means 'go about it/how to proceed', which English 'do that' loses.",Je ne sais pas comment je vais m'y prendre.,I don't know how I'm going to go about it.
847,PASS,,,
848,PASS,,,
849,REPAIR,"le refaire means 'do it again', not 'do that again'.",Je ne sais pas si je peux le refaire.,I don't know if I can do it again.
850,REPAIR,"encore faire ceci most directly means 'still do this'; 'anymore' shifts the polarity nuance.",Je ne sais pas si je peux encore faire ceci.,I don't know if I can still do this.
