rank,status,note,proposed_target,proposed_english
851,PASS,,,
852,PASS,,,
853,PASS,,,
854,PASS,,,
855,PASS,,,
856,REPAIR,"cette situation means 'this situation'; English incorrectly says 'that situation'.",Je ne sais pas ce que je ferais dans cette situation.,I don't know what I'd do in this situation.
857,PASS,,,
858,PASS,,,
859,PASS,,,
860,PASS,,,
861,REPAIR,"ce truc is singular 'this thing', not mass noun 'this stuff'.",Je ne sais pas quoi faire de ce truc.,I don't know what to do with this thing.
862,REPAIR,"ces restes means 'these leftovers', not 'those leftovers'.",Je ne sais pas quoi faire de ces restes.,I don't know what to do with these leftovers.
863,REPAIR,"maman is 'mom/mum', more specific in register than formal 'mother'.",Je ne sais pas quand ma maman reviendra.,I don't know when my mom will come back.
864,PASS,,,
865,PASS,,,
866,PASS,,,
867,PASS,,,
868,REPAIR,"devons means have to/must; English 'need to' is less exact.",Je ne sais pas pourquoi nous devons faire cela.,I don't know why we have to do that.
869,PASS,,,
870,PASS,,,
871,PASS,,,
872,PASS,,,
873,PASS,,,
874,PASS,,,
875,PASS,,,
876,PASS,,,
877,PASS,,,
878,REPAIR,"le faire means 'do it'; English incorrectly says 'do this'.",Je ne pense pas pouvoir le faire sans toi.,I don't think I can do it without you.
879,PASS,,,
880,REPAIR,"le refaire means 'do it again'; English says 'do that again'.",Je ne pense pas avoir à le refaire.,I don't think I have to do it again.
881,REPAIR,"le faire means 'do it'; English says 'do that'.",Je ne pense pas que nous puissions le faire aujourd'hui.,I don't think that we can do it today.
882,REPAIR,"si tôt means 'so early', not 'that soon'.",Je ne pense pas que nous puissions le faire si tôt.,I don't think we can do it so early.
883,PASS,,,
884,PASS,,,
885,PASS,,,
886,REPAIR,"risque means risk; English 'chance' changes the connotation.",Je ne pense pas que tu veuilles prendre ce risque.,I don't think you want to take that risk.
887,PASS,,,
888,PASS,,,
889,REPAIR,"Standard French is pizzas au pepperoni; keep the plural sense aligned in English.",Je ne comprends pas pourquoi les pizzas au pepperoni sont si populaires.,I don't understand why pepperoni pizzas are so popular.
890,PASS,,,
891,PASS,,,
892,PASS,,,
893,PASS,,,
894,PASS,,,
895,REPAIR,"comme cela means 'like that'; English incorrectly says 'like this'.",Je ne veux pas vivre ma vie comme cela.,I don't want to live my life like that.
896,PASS,,,
897,PASS,,,
898,PASS,,,
899,REPAIR,"With a noun object, connaître is the standard learner-safe verb for knowing someone's name.",Je ne veux pas que vous connaissiez mon vrai nom.,I don't want you to know my real name.
900,PASS,,,
