rank,status,note,proposed_target,proposed_english
201,PASS,,,
202,PASS,,,
203,PASS,,,
204,PASS,,,
205,PASS,,,
206,PASS,,,
207,PASS,,,
208,PASS,,,
209,PASS,,,
210,PASS,,,
211,REPAIR,"Redundant/ungrammatical أظنني أنني and tense mismatch with English present.","أظن أنني أفهم.","I think I understand."
212,PASS,,,
213,PASS,,,
214,PASS,,,
215,REPAIR,"Arabic has no politeness marker corresponding to 'Please'.",ساعدني في الطبخ.,Help me cook.
216,PASS,,,
217,PASS,,,
218,PASS,,,
219,PASS,,,
220,PASS,,,
221,PASS,,,
222,PASS,,,
223,REPAIR,"هذه means 'this', not 'that'.",هذه مدرستنا.,This is our school.
224,PASS,,,
225,PASS,,,
226,PASS,,,
227,PASS,,,
228,PASS,,,
229,PASS,,,
230,PASS,,,
231,REPAIR,"Current Arabic lacks the object represented by English 'it'; add ذلك to preserve meaning and avoid collision with row 22.","نعم، أعلم ذلك.","Yes, I know it."
232,PASS,,,
233,PASS,,,
234,PASS,,,
235,PASS,,,
236,PASS,,,
237,PASS,,,
238,PASS,,,
239,PASS,,,
240,PASS,,,
241,PASS,,,
242,PASS,,,
243,REPAIR,"Orthography/case: حذاؤك is the correct nominative form in this nominal sentence.",حذاؤك هنا.,Your shoes are here.
244,REPAIR,"Hamzat al-wasl: انتهى, not إنتهى.",انتهى وقتك.,Your time is up.
245,PASS,,,
246,PASS,,,
247,REPAIR,"كم رائع أنت describes how wonderful/nice the person is; 'How nice of you!' instead praises an act.","كم رائع أنتَ!","How wonderful you are!"
248,PASS,,,
249,PASS,,,
250,PASS,,,
