rank,status,note,proposed_target,proposed_english
701,PASS,,,
702,PASS,,,
703,PASS,,,
704,PASS,,,
705,PASS,,,
706,PASS,,,
707,PASS,,,
708,PASS,,,
709,PASS,,,
710,PASS,,,
711,PASS,,,
712,PASS,,,
713,PASS,,,
714,PASS,,,
715,PASS,,,
716,PASS,,,
717,PASS,,,
718,PASS,,,
719,PASS,,,
720,PASS,,,
721,PASS,,,
722,PASS,,,
723,PASS,,,
724,PASS,,,
725,PASS,,,
726,PASS,,,
727,PASS,,,
728,PASS,,,
729,PASS,,,
730,PASS,,,
731,PASS,,,
732,PASS,,,
733,PASS,,,
734,PASS,,,
735,PASS,,,
736,PASS,,,
737,PASS,,,
738,PASS,,,
739,PASS,,,
740,PASS,,,
741,PASS,,,
742,PASS,,,
743,PASS,,,
744,PASS,,,
745,PASS,,,
746,PASS,,,
747,PASS,,,
748,PASS,,,
749,PASS,,,
750,PASS,,,
